,Time,X,Y,BAO,RAO,X_n,Y_n,BAO_n,RAO_n,X_o,Y_o
0,8.272,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.30947429619965,-100.46593737054083,4.19715833476833,207.60312852354036,0.0,0.0
1,8.373,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.9671798363214,-99.59248371700349,4.212402976886131,205.9454229834186,0.0,0.0
2,8.882,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.78892302862573,-99.99793442709405,4.205326527040501,205.12367979111428,0.0,0.0
3,9.388,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.00089038585793,-101.75472430634542,4.1746647593818516,205.9117124338821,0.0,0.0
4,9.794,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.9823419943365,-99.39950148408045,4.215771152248489,206.9302608254035,0.0,0.0
5,10.301,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.62542897396676,-100.17154826119572,4.202296394008417,205.28717384577325,0.0,0.0
6,10.811,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.49470062580326,-100.26135641519164,4.200728946026049,206.41790219393675,0.0,0.0
7,11.321,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.24274907867255,-101.4532414124908,4.179926628518055,205.66985374106747,0.0,0.0
8,11.928,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.4454196881081,-99.87611909471296,4.207452605669963,206.4671831316319,0.0,0.0
9,12.435,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.72554007624004,-101.52652453186984,4.178647596798759,206.18706274349998,0.0,0.0
10,12.843,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.34930030881353,-99.84566446454365,4.207984139238895,207.5633025109265,0.0,0.0
11,13.35,-179.98,-100.29,4.206130677065329,205.77086771455282,-180.3671399432864,-98.2609277792389,4.2415446680783635,205.38372777126642,-0.02,-0.51
12,13.957,-179.9,-100.76,4.207058912721599,205.4136830885421,-179.94538602986066,-102.21067869914658,4.181739793032943,205.36829705868143,-0.16,-1.32
13,14.363,-179.75,-101.24,4.20772206197228,204.915698032142,-180.15522785542768,-103.52831510197171,4.167783429119764,204.5104701767143,-0.38,-2.16
14,14.872,-179.54,-101.72,4.208081148732475,204.30397769010764,-178.49060345065675,-102.13647431852002,4.200812300624301,205.3533742394509,-0.67,-3.0
15,15.377,-179.28,-102.19,4.208181496208958,203.5959655788886,-180.02255352520456,-101.1175298684245,4.2268996311342475,202.85341205368405,-1.02,-3.83
16,15.888,-178.97,-102.64,4.208020537317751,202.79164578453424,-180.62107558940585,-102.10457064367391,4.2173655424974745,201.1405701951284,-1.43,-4.64
17,16.392,-178.61,-103.07,4.207642824246523,201.90854984373496,-180.67441480312118,-103.73215933966681,4.196085963596506,199.8441350406138,-1.88,-5.43
18,16.901,-178.22,-103.48,4.2071126895382704,200.9506369733622,-179.42421984559974,-102.01802437278648,4.232628977817056,199.74641712776247,-2.38,-6.21
19,17.407,-177.78,-103.87,4.206378858051298,199.90046173033218,-176.01383912207066,-104.19941375191307,4.2006295034790675,201.66662260826152,-2.93,-6.98
20,17.914,-177.31,-104.23,4.205534771683002,198.79308338068506,-176.46926675785647,-104.40998640125235,4.202393416372333,199.6338166228286,-3.51,-7.73
21,18.421,-176.81,-104.56,4.204577843845982,197.62855588198786,-176.24193811267202,-105.31283719642147,4.191438356036945,198.19661776931585,-4.12,-8.46
22,18.827,-176.29,-104.87,4.203485575540629,196.42054602306754,-177.99833920316703,-106.67309865847974,4.172015567211865,194.7122068199005,-4.76,-9.17
23,19.334,-175.74,-105.15,4.202344155484575,195.1593728212919,-175.3568781482425,-102.90240494719231,4.2415720894076046,195.54249467304942,-5.42,-9.87
24,19.842,-175.17,-105.41,4.2008557154928035,194.04928291544906,-174.9005883694921,-105.93460461940084,4.191699637613087,194.31869454595693,-5.96,-10.42
25,20.35,-174.58,-105.64,4.1995443977170295,192.700468603478,-172.66798113766808,-105.4026981533628,4.203686096261911,194.61248746580992,-6.67,-11.09
26,20.857,-173.98,-105.85,4.198254201894515,191.32474016707823,-173.87856601478836,-105.59742226444467,4.202662514997186,191.42617415228986,-7.39,-11.76
27,21.365,-173.5,-105.99,4.197459606377435,190.02042206036697,-173.63237719756685,-106.29947634058888,4.192058225277135,189.88804486280011,-8.12,-12.41
28,21.871,-172.87,-106.16,4.196024948355564,188.5881016925511,-174.30496346603556,-105.65837587681895,4.204779940912503,187.15313822651555,-8.87,-13.05
29,22.379,-172.24,-106.3,4.194634745935263,187.1375870850108,-172.3347754504399,-105.10691407765599,4.215458023539359,187.0428116345709,-9.63,-13.68
30,22.885,-171.6,-106.43,4.1931693819173645,185.6700754025807,-171.96881846844784,-108.33636987853048,4.159896950776163,185.30125693413285,-10.4,-14.3
31,23.392,-170.95,-106.53,4.191720848550853,184.17566967436278,-171.04961063189486,-104.83046270325332,4.2213833701395265,184.0760590424679,-11.18,-14.91
32,23.899,-170.3,-106.61,4.190316217469727,182.6630148661737,-170.68342312293152,-107.49985686102075,4.174785285373453,182.2795917432422,-11.97,-15.52
33,24.406,-169.64,-106.68,4.188832932593957,181.13340525700937,-170.83359192225817,-107.73001681107539,4.170506682039401,179.9398133347512,-12.77,-16.12
34,24.912,-168.97,-106.74,4.186718517951759,179.65573327895774,-169.27019373680017,-107.9199820934582,4.166123945306338,179.35553954215757,-13.57,-16.59
35,25.419,-168.3,-106.77,4.185240139503049,178.08609210154512,-166.80236088440242,-107.05263523607537,4.180307224051383,179.5837312171427,-14.39,-17.18
36,25.926,-167.62,-106.8,4.184224792813948,176.46643108534838,-167.51135162850528,-105.36176047926624,4.209326807883057,176.5750794568431,-15.2,-17.87
37,26.434,-166.95,-106.81,4.182668192233315,174.88883126146163,-165.44668147958308,-107.02273296701756,4.178955301531322,176.39214978187854,-16.03,-18.44
38,26.94,-166.27,-106.8,4.1811535214893105,173.29290868353502,-165.93802578451152,-106.06497341562263,4.193982155476383,173.6248828990235,-16.86,-19.01
39,27.65,-165.59,-106.79,4.179560528516557,171.70247057046092,-165.7828554603498,-108.56801285295852,4.148528350089653,171.50961511011113,-17.69,-19.57
40,27.956,-164.9,-106.77,4.1778810885737325,170.2924957242685,-164.2452942962969,-105.87564769517947,4.193490480965651,170.9472014279716,-18.36,-20.02
41,28.361,-164.22,-106.73,4.176330848513983,168.6927576987228,-163.80449738570198,-107.65354465671322,4.1602119534651365,169.10826031302082,-19.19,-20.57
42,28.868,-163.54,-106.69,4.174689626144265,167.07625474614878,-163.73602731230795,-107.28076981886313,4.164378747683693,166.88022743384082,-20.04,-21.12
43,29.375,-162.85,-106.64,4.173068198524344,165.45507486928287,-163.14971123732784,-105.34311480727332,4.195703115157786,165.15536363195503,-20.88,-21.67
44,29.983,-162.17,-106.57,4.171519336203133,163.82404005517625,-160.64042036660683,-105.90058180659034,4.183202887750884,165.3536196885694,-21.73,-22.22
45,30.389,-161.62,-106.52,4.170194484091308,162.32023656956642,-161.0712548802217,-105.84337101044412,4.182003887773501,162.86898168934474,-22.58,-22.76
46,30.895,-160.93,-106.44,4.1685540470385725,160.6813915797346,-160.94224218660645,-106.51566346148707,4.167233470512167,160.66914939312815,-23.43,-23.3
47,31.402,-160.25,-106.36,4.16691242873488,159.05153661628046,-160.92364518737608,-106.41586745005007,4.165937357786813,158.37789142890438,-24.28,-23.84
48,31.908,-159.56,-106.27,4.165224973165701,157.39983640398106,-157.30005301337374,-105.40096067074617,4.180392570790503,159.65978339060732,-25.14,-24.38
49,32.415,-158.87,-106.18,4.163501731883074,155.74859389413442,-159.21211702342686,-106.65192665213353,4.155265057975431,155.40647687070756,-26.0,-24.92
50,32.923,-158.18,-106.07,4.161796868397862,154.092591645413,-159.04448999158575,-105.69562965026242,4.168330863622625,153.22810165382725,-26.86,-25.45
51,33.429,-157.49,-105.97,4.160054968371146,152.437047006297,-157.09845430649742,-107.41312165700094,4.134867743949643,152.8285926997996,-27.72,-25.99
52,33.937,-156.8,-105.86,4.1582748225981465,150.78197505007023,-156.3136648027583,-106.4294722705185,4.148335656478791,151.26831024731194,-28.58,-26.52
53,34.443,-156.11,-105.74,4.156512129721915,149.12211438951636,-154.6832788433512,-105.58315601629582,4.159249573649498,150.54883554616518,-29.44,-27.05
54,34.951,-155.42,-105.62,4.154709760241388,147.46272749410272,-153.70226995033974,-106.07812679288601,4.1467139393139245,149.18045754376297,-30.3,-27.58
55,35.458,-154.73,-105.5,4.152866371397955,145.80383053953005,-155.01798386652078,-105.2001916477301,4.158099014270043,145.51584667300926,-31.16,-28.11
56,35.965,-154.04,-105.37,4.15100235418895,144.13165162447837,-152.98405170083547,-104.8041175113726,4.160878866794878,145.1875999236429,-32.03,-28.64
57,36.472,-153.35,-105.24,4.149132064590713,142.4684403648752,-154.58352394372756,-105.05709929838522,4.152324284038098,141.23491642114763,-32.89,-29.17
58,36.879,-152.8,-105.13,4.147578144934692,141.12872032297324,-152.77775526145945,-105.55906859355599,4.140089485260239,141.1509650615138,-33.59,-29.59
59,37.488,-151.97,-104.97,4.145268937910119,139.3322392700268,-152.61810529289235,-103.22242276065136,4.175769914669666,138.68413397713445,-34.45,-30.12
60,37.995,-151.27,-104.83,4.143247121488155,137.64837412770268,-151.66038648136157,-105.67592263712781,4.128482986253122,137.25798764634112,-35.32,-30.65
61,38.401,-150.58,-104.69,4.141192888270597,135.98731705567252,-149.94288716718756,-104.55937702273775,4.143472689302581,136.62442988848497,-36.18,-31.17
62,38.908,-150.03,-104.57,4.139549859258363,134.44150140488614,-150.1058138663059,-103.7886981889495,4.153186148312988,134.36568753858023,-37.05,-31.7
63,39.417,-149.34,-104.43,4.137422031675918,132.7676782955852,-148.8513745841073,-104.06780999904892,4.143743439710316,133.2563037114779,-37.92,-32.23
64,39.923,-148.65,-104.28,4.135281496527005,131.1028519903362,-147.6857995156086,-103.99636357616521,4.140231886001504,132.0670524747276,-38.78,-32.75
65,40.429,-147.96,-104.13,4.133043612602438,129.43027350662595,-148.5769219490905,-104.49228222841973,4.126720594895051,128.81335155753547,-39.65,-33.27
66,40.937,-147.27,-103.98,4.13081254920595,127.75286650404367,-147.79097233530433,-103.7702779430234,4.134472889614247,127.23189416873936,-40.52,-33.8
67,41.443,-146.58,-103.83,4.128455955549988,126.08162514815551,-147.65798489425072,-105.66242596672858,4.096474089131535,125.0036402539048,-41.39,-34.32
68,41.95,-145.89,-103.67,4.126214446853538,124.40836788576561,-145.8018450754016,-105.0065205499557,4.102887762736246,124.49652281036401,-42.25,-34.85
69,42.46,-145.2,-103.52,4.123731068936167,122.73853877246542,-147.1519780985451,-103.14666921618331,4.130246920312819,120.78656067392029,-43.12,-35.37
70,42.968,-144.51,-103.36,4.121247784622957,121.06391411151382,-145.22105319612353,-102.86387457776092,4.129906806743876,120.35286091539028,-43.99,-35.89
71,43.471,-143.82,-103.23,4.118556013169275,119.40124664340821,-144.35085375192463,-104.35196238820558,4.098974075411549,118.87039289148358,-44.86,-36.42
72,43.98,-143.13,-103.04,4.11618732865637,117.71965893596533,-144.373517513856,-103.55492722270371,4.10720015321204,116.47614142210931,-45.72,-36.94
73,44.486,-142.44,-102.88,4.1134878862962765,116.04739936767216,-142.7133828062458,-103.70346008401619,4.099115796571445,115.77401656142638,-46.59,-37.46
74,44.996,-141.75,-102.72,4.110781609107438,114.3703501787067,-142.0311079128134,-104.25610229621248,4.083971566391084,114.08924226589328,-47.46,-37.99
75,45.5,-141.06,-102.56,4.107921793718891,112.69984649501525,-141.04551105502372,-104.35364874180038,4.076616717550221,112.71433543999153,-48.33,-38.51
76,46.007,-140.37,-102.4,4.10516133357242,111.23517159603792,-140.56385631695423,-101.70270589022043,4.117331411642836,111.04131527908369,-49.02,-38.93
77,46.516,-139.68,-102.24,4.102081760783431,109.55835203214768,-138.5880611977552,-100.5256197531309,4.1320033407224495,110.65029083439251,-49.9,-39.45
78,46.925,-138.99,-102.07,4.09911143932409,107.87926816585289,-140.5462876468487,-101.31127479944551,4.11235369219162,106.3229805190042,-50.77,-39.98
79,47.429,-138.44,-101.94,4.096424557811641,106.3443162562062,-137.23371780588414,-100.95944301516204,4.113538505700491,107.55059845032204,-51.64,-40.5
80,47.937,-137.75,-101.78,4.093116750665036,104.67872372168091,-138.67932381510624,-101.36820316888402,4.100303961217289,103.74939990657467,-52.51,-41.02
