,Unnamed: 0,Time,X,Y,BAO,RAO,X_n,Y_n,BAO_n,RAO_n,X_o,Y_o
0,0,8.272,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.30947429619965,-100.46593737054084,4.175366760150291,206.47331838126462,0.0,0.0
1,1,8.373,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.9671798363214,-99.59248371700347,4.211880657696357,189.09857297081976,0.0,0.0
2,2,8.882,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.78892302862573,-99.99793442709404,4.4712415371479945,201.1752341847023,0.0,0.0
3,3,9.388,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.00089038585793,-101.75472430634542,4.251000433559262,192.6787190744026,0.0,0.0
4,4,9.794,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.9823419943365,-99.39950148408045,4.311766965468104,304.3045647366098,0.0,0.0
5,5,10.301,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.6254289739668,-100.17154826119572,4.19231232015582,199.16245088473775,0.0,0.0
6,6,10.811,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.49470062580326,-100.26135641519164,4.197536721301731,199.98880725101208,0.0,0.0
7,7,11.321,-180.0,-100.0,4.205290475992353,205.91260281974002,-180.24274907867252,-101.4532414124908,4.01593982226737,205.38508554300654,0.0,0.0
8,8,11.928,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.4454196881081,-99.87611909471296,4.474646648647136,203.5454043052747,0.0,0.0
9,9,12.435,-180.0,-100.0,4.205290475992353,205.91260281974002,-179.72554007624004,-101.52652453186984,4.2978112361948835,211.81071269770507,0.0,0.0
10,10,12.843,-180.0,-100.0,4.205290475992353,205.91260281974002,-178.34930030881353,-99.84566446454365,4.309145016737497,194.76131793336586,0.0,0.0
11,11,13.35,-179.98,-100.29,4.206130677065329,205.77086771455282,-180.3671399432864,-98.2609277792389,5.050032695101993,224.56960150785392,-0.02,-0.51
12,12,13.957,-179.9,-100.76,4.207058912721599,205.4136830885421,-179.94538602986066,-102.21067869914658,4.21433551741289,201.59264410042422,-0.16,-1.32
13,13,14.363,-179.75,-101.24,4.20772206197228,204.915698032142,-180.15522785542768,-103.52831510197171,4.183318873818701,205.39595114853296,-0.38,-2.16
14,14,14.872,-179.54,-101.72,4.208081148732475,204.30397769010764,-178.49060345065675,-102.13647431852002,4.264031221021486,201.70864356936525,-0.67,-3.0
15,15,15.377,-179.28,-102.19,4.208181496208958,203.5959655788886,-180.02255352520456,-101.1175298684245,4.578855224902872,167.2224829592193,-1.02,-3.83
16,16,15.888,-178.97,-102.64,4.208020537317751,202.79164578453424,-180.62107558940585,-102.10457064367392,4.219205155399691,204.57010378348465,-1.43,-4.64
17,17,16.392,-178.61,-103.07,4.207642824246523,201.90854984373496,-180.6744148031212,-103.7321593396668,4.106322270146588,206.88689869972856,-1.88,-5.43
18,18,16.901,-178.22,-103.48,4.2071126895382704,200.9506369733622,-179.42421984559974,-102.01802437278648,4.204458960276308,245.68190795256533,-2.38,-6.21
19,19,17.407,-177.78,-103.87,4.206378858051298,199.90046173033218,-176.01383912207066,-104.19941375191308,4.20886125478115,200.07575807681513,-2.93,-6.98
20,20,17.914,-177.31,-104.23,4.205534771683002,198.79308338068506,-176.46926675785647,-104.40998640125235,4.26934528502744,190.40720651999388,-3.51,-7.73
21,21,18.421,-176.81,-104.56,4.204577843845982,197.62855588198786,-176.24193811267202,-105.31283719642148,4.350375378199449,141.1780650372739,-4.12,-8.46
22,22,18.827,-176.29,-104.87,4.203485575540629,196.42054602306754,-177.99833920316703,-106.67309865847974,4.162881342185391,198.37279721944665,-4.76,-9.17
23,23,19.334,-175.74,-105.15,4.202344155484575,195.1593728212919,-175.3568781482425,-102.90240494719232,4.215670678403539,202.1487157107833,-5.42,-9.87
24,24,19.842,-175.17,-105.41,4.2008557154928035,194.04928291544906,-174.9005883694921,-105.93460461940084,4.237126322649044,230.27821397065117,-5.96,-10.42
25,25,20.35,-174.58,-105.64,4.1995443977170295,192.700468603478,-172.66798113766808,-105.4026981533628,4.371719971557657,191.67177425759004,-6.67,-11.09
26,26,20.857,-173.98,-105.85,4.198254201894515,191.32474016707823,-173.87856601478836,-105.59742226444467,3.8372244140325513,184.92043129354738,-7.39,-11.76
27,27,21.365,-173.5,-105.99,4.197459606377435,190.02042206036697,-173.63237719756685,-106.29947634058888,4.450540563466816,175.2382627551365,-8.12,-12.41
28,28,21.871,-172.87,-106.16,4.196024948355564,188.5881016925511,-174.30496346603556,-105.65837587681897,4.125388722322767,199.32203174299494,-8.87,-13.05
29,29,22.379,-172.24,-106.3,4.194634745935263,187.1375870850108,-172.3347754504399,-105.106914077656,4.29160173175849,181.87268858040323,-9.63,-13.68
30,30,22.885,-171.6,-106.43,4.1931693819173645,185.6700754025807,-171.96881846844784,-108.33636987853048,4.206470941942957,183.9770776950433,-10.4,-14.3
31,31,23.392,-170.95,-106.53,4.191720848550853,184.17566967436278,-171.04961063189486,-104.83046270325332,4.233842170687753,189.8876826686866,-11.18,-14.91
32,32,23.899,-170.3,-106.61,4.190316217469727,182.6630148661737,-170.68342312293152,-107.49985686102076,3.959010690581544,186.35909929507093,-11.97,-15.52
33,33,24.406,-169.64,-106.68,4.188832932593957,181.13340525700937,-170.83359192225817,-107.7300168110754,3.7537900961111923,175.68485555747856,-12.77,-16.12
34,34,24.912,-168.97,-106.74,4.186718517951759,179.65573327895774,-169.27019373680017,-107.9199820934582,4.088921540776324,183.25876684336578,-13.57,-16.59
35,35,25.419,-168.3,-106.77,4.185240139503049,178.08609210154512,-166.80236088440242,-107.05263523607536,4.260212604965269,200.5119812327442,-14.39,-17.18
36,36,25.926,-167.62,-106.8,4.184224792813948,176.46643108534838,-167.51135162850528,-105.36176047926624,4.787709200462385,160.47692556254623,-15.2,-17.87
37,37,26.434,-166.95,-106.81,4.182668192233315,174.88883126146163,-165.44668147958308,-107.02273296701756,4.1420289842503655,177.79905557268785,-16.03,-18.44
38,38,26.94,-166.27,-106.8,4.1811535214893105,173.29290868353502,-165.93802578451152,-106.06497341562265,4.149822215904059,180.89613341550415,-16.86,-19.01
39,39,27.65,-165.59,-106.79,4.179560528516557,171.70247057046092,-165.7828554603498,-108.56801285295852,4.180622829272115,174.1566000617476,-17.69,-19.57
40,40,27.956,-164.9,-106.77,4.1778810885737325,170.2924957242685,-164.2452942962969,-105.87564769517948,4.2552712054985955,175.2837412856879,-18.36,-20.02
41,41,28.361,-164.22,-106.73,4.176330848513983,168.6927576987228,-163.80449738570198,-107.65354465671322,4.165655762136941,172.11520198252293,-19.19,-20.57
42,42,28.868,-163.54,-106.69,4.174689626144265,167.07625474614878,-163.73602731230795,-107.28076981886312,4.205931684872852,156.79261312853976,-20.04,-21.12
43,43,29.375,-162.85,-106.64,4.173068198524344,165.45507486928287,-163.14971123732784,-105.34311480727332,4.264868687073369,169.12185800226078,-20.88,-21.67
44,44,29.983,-162.17,-106.57,4.171519336203133,163.82404005517625,-160.64042036660683,-105.90058180659034,4.205772040348855,168.92854065478934,-21.73,-22.22
45,45,30.389,-161.62,-106.52,4.170194484091308,162.32023656956642,-161.0712548802217,-105.84337101044412,4.2971055878918145,149.30321695896367,-22.58,-22.76
46,46,30.895,-160.93,-106.44,4.1685540470385725,160.6813915797346,-160.94224218660645,-106.51566346148708,4.11960369178048,156.36683968761227,-23.43,-23.3
47,47,31.402,-160.25,-106.36,4.16691242873488,159.05153661628046,-160.92364518737608,-106.41586745005009,4.089684476793618,123.6405670959131,-24.28,-23.84
48,48,31.908,-159.56,-106.27,4.165224973165701,157.39983640398106,-157.30005301337374,-105.40096067074616,4.254492650055107,158.85640109748877,-25.14,-24.38
49,49,32.415,-158.87,-106.18,4.163501731883074,155.74859389413442,-159.21211702342686,-106.65192665213353,4.175293631215258,141.52911592620256,-26.0,-24.92
50,50,32.923,-158.18,-106.07,4.161796868397862,154.092591645413,-159.04448999158575,-105.69562965026242,4.455688289678942,158.55977773625017,-26.86,-25.45
51,51,33.429,-157.49,-105.97,4.160054968371146,152.437047006297,-157.09845430649742,-107.41312165700094,4.176127493892671,156.97183330688375,-27.72,-25.99
52,52,33.937,-156.8,-105.86,4.1582748225981465,150.78197505007023,-156.3136648027583,-106.4294722705185,4.3259366552632645,141.32305923264818,-28.58,-26.52
53,53,34.443,-156.11,-105.74,4.156512129721915,149.12211438951636,-154.6832788433512,-105.58315601629582,4.20051667221099,155.51511407977014,-29.44,-27.05
54,54,34.951,-155.42,-105.62,4.154709760241388,147.46272749410272,-153.70226995033974,-106.078126792886,4.139289213029884,151.8077813832579,-30.3,-27.58
55,55,35.458,-154.73,-105.5,4.152866371397955,145.80383053953005,-155.01798386652078,-105.2001916477301,4.183648746483985,145.81368859084301,-31.16,-28.11
56,56,35.965,-154.04,-105.37,4.15100235418895,144.13165162447837,-152.9840517008355,-104.8041175113726,4.14998064912745,144.81897106502237,-32.03,-28.64
57,57,36.472,-153.35,-105.24,4.149132064590713,142.4684403648752,-154.58352394372756,-105.05709929838522,4.072892554382957,129.95135375380028,-32.89,-29.17
58,58,36.879,-152.8,-105.13,4.147578144934692,141.12872032297324,-152.77775526145945,-105.559068593556,3.844754535300033,134.7035240389342,-33.59,-29.59
59,59,37.488,-151.97,-104.97,4.145268937910119,139.3322392700268,-152.61810529289235,-103.22242276065136,4.245390265937231,127.44082480011426,-34.45,-30.12
60,60,37.995,-151.27,-104.83,4.143247121488155,137.64837412770268,-151.66038648136157,-105.6759226371278,4.1082366599671625,198.77821517503665,-35.32,-30.65
61,61,38.401,-150.58,-104.69,4.141192888270597,135.98731705567252,-149.94288716718756,-104.55937702273776,4.377938493728219,124.68033523128472,-36.18,-31.17
62,62,38.908,-150.03,-104.57,4.139549859258363,134.44150140488614,-150.1058138663059,-103.7886981889495,4.173949925149407,134.05867257577054,-37.05,-31.7
63,63,39.417,-149.34,-104.43,4.137422031675918,132.7676782955852,-148.8513745841073,-104.06780999904892,4.144220612127909,135.6137777126962,-37.92,-32.23
64,64,39.923,-148.65,-104.28,4.135281496527005,131.1028519903362,-147.6857995156086,-103.9963635761652,4.061126729558605,122.94856723437351,-38.78,-32.75
65,65,40.429,-147.96,-104.13,4.133043612602438,129.43027350662595,-148.5769219490905,-104.49228222841973,3.8818937713432824,131.43312746918164,-39.65,-33.27
66,66,40.937,-147.27,-103.98,4.13081254920595,127.75286650404367,-147.79097233530433,-103.7702779430234,4.098238045831282,55.615255047277344,-40.52,-33.8
67,67,41.443,-146.58,-103.83,4.128455955549988,126.08162514815551,-147.65798489425072,-105.66242596672858,3.463852753638844,73.40121369691633,-41.39,-34.32
68,68,41.95,-145.89,-103.67,4.126214446853538,124.40836788576561,-145.8018450754016,-105.0065205499557,4.092554734317094,100.61605634289111,-42.25,-34.85
69,69,42.46,-145.2,-103.52,4.123731068936167,122.73853877246542,-147.1519780985451,-103.14666921618333,4.3043284121059715,128.08978305603023,-43.12,-35.37
70,70,42.968,-144.51,-103.36,4.121247784622957,121.06391411151382,-145.2210531961235,-102.86387457776092,4.17020907526976,143.93758421917656,-43.99,-35.89
71,71,43.471,-143.82,-103.23,4.118556013169275,119.40124664340821,-144.35085375192463,-104.35196238820558,4.132828686522087,118.39034062154765,-44.86,-36.42
72,72,43.98,-143.13,-103.04,4.11618732865637,117.71965893596533,-144.373517513856,-103.55492722270372,4.911983833187712,114.87503492853212,-45.72,-36.94
73,73,44.486,-142.44,-102.88,4.1134878862962765,116.04739936767216,-142.7133828062458,-103.7034600840162,3.96074108692903,110.87110770886298,-46.59,-37.46
74,74,44.996,-141.75,-102.72,4.110781609107438,114.3703501787067,-142.0311079128134,-104.25610229621248,4.063291974974443,128.63277463513785,-47.46,-37.99
75,75,45.5,-141.06,-102.56,4.107921793718891,112.69984649501525,-141.04551105502372,-104.35364874180038,4.0656469105227595,107.0864950155905,-48.33,-38.51
76,76,46.007,-140.37,-102.4,4.10516133357242,111.23517159603792,-140.56385631695423,-101.70270589022044,4.068417409715199,112.29606156698682,-49.02,-38.93
77,77,46.516,-139.68,-102.24,4.102081760783431,109.55835203214768,-138.5880611977552,-100.5256197531309,4.264683082682809,106.2643850052747,-49.9,-39.45
78,78,46.925,-138.99,-102.07,4.09911143932409,107.87926816585289,-140.5462876468487,-101.31127479944551,3.999583950960811,110.92195335868723,-50.77,-39.98
79,79,47.429,-138.44,-101.94,4.096424557811641,106.3443162562062,-137.23371780588414,-100.95944301516204,3.786178458139946,103.60177117989726,-51.64,-40.5
80,80,47.937,-137.75,-101.78,4.093116750665036,104.67872372168091,-138.67932381510624,-101.36820316888402,4.049368774570351,105.99584896208317,-52.51,-41.02
81,81,48.444,-137.06,-101.61,4.089916347962291,103.01077467915674,-135.19994432777287,-103.1072736423566,4.059461044798238,107.35608356365934,-53.37,-41.55
82,82,48.951,-136.37,-101.45,4.086392892675864,101.34752735020228,-135.89366229974274,-100.33770951434092,4.119563783067792,96.4405009553428,-54.24,-42.07
83,83,49.458,-135.68,-101.28,4.082773916859649,99.67160929773333,-136.37659101565862,-100.69702969671404,4.2059503250516626,83.23277311656227,-55.12,-42.59
84,84,49.965,-135.0,-101.11,4.079234230010734,98.007245650513,-136.07089250799487,-101.92220858143172,4.005966809177305,116.15455032197383,-55.99,-43.12
85,85,50.476,-134.31,-100.95,4.075343680435028,96.34800776352358,-135.12708024682885,-100.75769230118108,4.102198868772338,89.96651417429163,-56.86,-43.64
86,86,50.983,-133.62,-100.78,4.071401490563455,94.68429912081518,-133.71098126603275,-99.82588479227792,4.008348677026824,99.81697549518552,-57.73,-44.16
87,87,51.488,-132.93,-100.61,4.067404256957914,93.0161023694285,-133.87027911423894,-100.7412756500925,4.049613391310556,76.33106765588528,-58.6,-44.69
88,88,51.995,-132.24,-100.44,4.063173898268111,91.35549135109505,-131.27892353638651,-99.87922282776503,4.511094686355307,121.89349809741174,-59.47,-45.21
