,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Xs_m,Ys_m
0,8.272,320.0,100.0,285.1240073083106,383.275357934736,285.0940835924685,383.8360734962606,-50.0,200.0,-59.66391678119629,202.39912932790986
1,8.373,320.0,100.0,285.1240073083106,383.275357934736,285.13059749001457,366.46132808581575,-50.0,200.0,-42.41565109913046,197.9949074820115
2,8.882,320.0,100.0,285.1240073083106,383.275357934736,285.3899583694662,378.53798929969827,-50.0,200.0,-53.89694167556007,202.91787887921828
3,9.388,320.0,100.0,285.1240073083106,383.275357934736,285.16971726587747,370.04147418939857,-50.0,200.0,-45.88862611205661,199.2021097828761
4,9.794,320.0,100.0,285.1240073083106,383.275357934736,285.23048379778635,481.6673198516058,-50.0,200.0,-156.1245163047921,229.63222528304613
5,10.301,320.0,100.0,285.1240073083106,383.275357934736,285.11102915247403,376.52520599973377,-50.0,200.0,-52.402791131288325,200.55889332452813
6,10.811,320.0,100.0,285.1240073083106,383.275357934736,285.11625355361997,377.35156236600807,-50.0,200.0,-53.210909135072484,200.81361990198718
7,11.321,320.0,100.0,285.1240073083106,383.275357934736,284.9346566545856,382.74784065800253,-50.0,200.0,-58.8701669922886,201.05498929959117
8,11.928,320.0,100.0,285.1240073083106,383.275357934736,285.3933634809654,380.9081594202707,-50.0,200.0,-56.231897020989095,203.5846466050235
9,12.435,320.0,100.0,285.1240073083106,383.275357934736,285.2165280685131,389.17346781270106,-50.0,200.0,-64.72054076668229,204.6454391553549
10,12.843,320.0,100.0,285.1240073083106,383.275357934736,285.2278618490557,372.1240730483618,-50.0,200.0,-47.846424919767344,200.13376806878568
11,13.35,320.02,99.71,285.0906969008629,383.25663725498606,285.93459891889955,402.05537104828716,-50.02,199.49,-76.0489699945997,212.79183805565623
12,13.957,320.1,99.24,285.03307668098927,383.38072617177824,285.04035328568057,379.5596871836604,-50.16,198.68,-55.428805174066326,200.14616680948055
13,14.363,320.25,98.76,284.96681955965585,383.6449443170078,284.94241637150225,384.1251974333988,-50.38,197.84,-59.96983068830485,200.23014098281124
14,14.872,320.46000000000004,98.28,284.89566636469146,384.035304757258,284.9516164369805,381.4399706365156,-50.67,197.0,-57.085720177919484,199.1014384239943
15,15.377,320.72,97.81,284.82046417619034,384.5325957574988,285.1911379048843,348.1591131378295,-51.02,196.17,-23.49692462091309,191.2744998548025
16,15.888,321.03,97.36,284.7412912196523,385.1369257809487,284.7524758377342,386.9153837798991,-51.43,195.36,-62.28837020351585,198.29701686497026
17,16.392,321.39,96.93,284.6589834966475,385.82905865162616,284.5576629425476,390.80740750761976,-51.88,194.57,-66.12862337566793,197.5653251775844
18,16.901,321.78,96.52,284.5725523334514,386.5968940640884,284.56989860418946,431.32816504329156,-52.38,193.79,-105.89465527444742,207.68100448702086
19,17.407,322.22,96.13,284.4813331528933,387.4599264440131,284.48381554962316,387.635222790496,-52.93,193.02,-62.28146847151004,195.45297431297797
20,17.914,322.69,95.77,284.3868908351435,388.3795694935561,284.45070134848794,379.99369263286496,-53.51,192.27,-54.28792396220763,192.91714194070727
21,18.421,323.19,95.44,284.2892892000143,389.35593754301476,284.43508673436776,332.9054466983008,-54.12,191.54,-7.096569674543616,180.45880580188532
22,18.827,323.71000000000004,95.13,284.19037692313066,390.3819039094922,284.14977268977543,392.33415510587133,-54.76,190.83,-66.03188313211132,193.3864020608235
23,19.334,324.26,94.85,284.0873623654525,391.4526546084469,284.1006888883715,398.4419974979383,-55.42,190.13,-71.6347079995333,194.2969376396998
24,19.842,324.83000000000004,94.59,284.0068546641535,392.4590732802594,284.04312527130975,428.6880043354615,-55.96,189.58,-101.2246295387198,201.15803083576583
25,20.35,325.42,94.36,283.89890981697164,393.61462193368783,284.07108539081224,392.5859275877999,-56.67,188.91,-64.70665151795123,192.1437671047789
26,20.857,326.02,94.15,283.788086390422,394.7862158181311,283.42705660256,388.38190694460025,-57.39,188.24,-60.99192251919345,186.54239673740642
27,21.365,326.5,94.01,283.6746521697271,395.84057497937226,283.92773312681646,381.0584156741418,-58.12,187.59,-52.40763416993332,187.97481946958231
28,21.871,327.13,93.84,283.5616797529078,397.0711171817965,283.49104352687505,407.8050472322404,-58.87,186.95,-79.12795353134305,191.30674128963673
29,22.379,327.76,93.7,283.4462731910651,398.3082681793086,283.5432401768883,393.043369674701,-59.63,186.32,-63.706536584039895,187.9953184552695
30,22.885,328.4,93.57,283.33092048281515,399.56648620723934,283.3442220428407,397.8734884997019,-60.4,185.7,-68.20644833808774,187.64706494562026
31,23.392,329.05,93.47,283.21285578223103,400.8412120778002,283.2549771043679,406.553225072124,-61.18,185.09,-76.35778521611826,188.9680316417822
32,23.899,329.7,93.39,283.0924417288897,402.1228381974841,282.8611362020015,405.8189226263813,-61.97,184.48,-75.62123685449092,185.9316491668299
