X,Y,Range,X_J,Y_J
0,0,211,-176,-104
-3.84,-8.34,199.1243,-176.83,-104.6
-10.82,-14.86,184.4882,-170.22,-106.7
-19.8,-21.18,168.9539,-162.9,-106.74
-28.16,-26.47,151.131,-156.16,-105.85
-37.5,-32.17,134.8031,-148.57,-104.37
-47.04,-37.94,116.5537,-141.82,-102.85
-56.43,-43.59,100.0451,-134.23,-101.04
-65.12,-48.81,81.9413,-126.79,-99.22
-74.5,-54.45,65.8094,-119.9,-97.52
-83.03,-59.57,48.6727,-112.45,-95.66
-92.59,-65.32,34.1616,-105.7,-93.98
-101.1,-70.43,22.5421,-98.8,-92.26
-109.79,-75.65,22.4967,-91.35,-90.41
-119.18,-81.3,34.0061,-83.91,-88.55
-127.7,-86.41,49.3003,-77.02,-86.87
-137.26,-92.16,65.7445,-69.57,-84.98
-145.78,-97.28,83.5559,-62.69,-83.26
-155.35,-103.03,100.0259,-55.25,-81.41
-164.74,-108.67,118.2441,-48.37,-79.69
-174.13,-114.31,134.92,-40.94,-77.84
-182.83,-119.54,153.1501,-34.19,-76.16
-191.34,-124.66,169.8683,-26.62,-74.27
-198.95,-130.44,187.4928,-20.55,-72.76
