,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.215,2.05,-217.24,355.7927279560852,228.17489169494525,356.0261046011003,235.13207548050644,-14.69,10.32
1,69.013,5.48,-177.84,346.92799315904233,196.44044237376374,340.14599915506653,183.8180999684937,-38.95,13.51
2,84.637,8.83,-139.45,334.7341162903676,171.4073676946239,336.6770064917303,173.93744344311978,-64.33,15.56
3,100.133,10.69,-100.28,319.91455977904116,153.60383621511542,309.61410489506386,147.58169462572948,-88.22,17.24
4,115.321,10.73,-62.74,303.3661304418241,148.63984021789045,302.60413308262895,183.14008511394496,-113.41,19.01
5,130.708,10.73,-23.81,286.7013612034925,155.54141056323232,284.77827154971294,191.009825539733,-138.25,20.89
6,146.209,10.73,13.12,273.275530620392,175.01592184712794,272.79255760907336,175.93342375126448,-164.0,23.12
7,161.608,10.73,49.37,260.26854535898156,195.6451732090521,260.1877380306924,194.00203970277443,-182.1,16.3
8,176.999,10.45,87.5,243.29218043704026,208.1919914405931,241.45880295494734,207.84077373411844,-175.53,-6.07
9,192.292,9.95,124.81,228.55125412542858,232.76689476813493,221.91050701671244,228.10640644884805,-164.52,-29.27
10,208.001,19.03,161.36,219.03169453483292,274.061051957406,216.39999379972744,274.2611092534111,-153.56,-51.53
11,223.397,31.05,197.17,212.73126083992275,321.2136150601341,214.37816763178967,326.1595127595845,-142.63,-73.04
12,238.687,44.04,234.92,207.9513557238897,373.9531886479911,186.6751480738438,363.95560604389493,-131.24,-95.41
13,254.603,57.12,272.9,204.3520998029892,428.98758082256876,197.04169460894573,426.6000561988077,-119.77,-117.92
14,269.909,69.25,309.64,201.52145274043198,484.1766627998503,168.34738569535568,473.0732930863265,-108.37,-140.78
15,285.5,81.93,348.11,199.3437029102918,541.7315166205489,197.6611358210401,533.6848674039795,-97.51,-163.04
16,300.779,99.4,383.6,198.1030278138663,598.2750250511884,199.08048717808325,598.1152536556501,-86.5,-185.06
17,315.87,120.12,412.35,197.6212939584476,627.5350579848109,228.96871433519942,634.69787795067,-69.85,-185.74
18,331.802,144.06,445.21,197.89545223695035,642.4736480977255,197.52986979314267,640.2989593485086,-53.36,-166.18
19,346.904,167.28,476.11,198.35093909702422,655.6420566132102,207.47847200040624,651.4117964393936,-39.14,-146.19
20,362.618,191.46,508.2,198.82238939139688,669.207011693691,175.07661737029974,666.7621555825652,-24.45,-125.22
21,377.947,215.12,540.43,199.24847073116732,683.5414577770684,206.33762183573563,695.4157883334964,-10.22,-104.9
22,393.255,238.54,570.82,199.67122897822455,695.3190283603635,195.2752988999833,699.9733300277411,4.48,-83.92
23,408.96,268.14,593.42,200.72921421200263,701.3102458969212,198.54027141686305,702.4917205740289,19.91,-62.49
24,424.171,300.04,615.8,201.8724560254849,712.8329565894102,200.24265915642582,706.0285899446839,34.48,-45.72
25,440.188,332.06,638.22,202.39660836528412,762.4096340550794,202.09068699910944,779.7896665715854,41.57,-66.68
26,455.393,364.57,660.99,203.36965234936915,818.9093489513965,201.09824889977946,821.622879114495,39.74,-90.74
27,471.316,396.93,684.38,204.1950464286973,878.0410284832936,200.70945456639797,879.8284712588975,37.07,-116.53
28,487.112,427.73,706.48,204.86449619304474,935.5401377279331,203.55011139550092,931.7306362191139,34.36,-142.34
29,503.44,460.88,722.91,205.7105141131593,989.5477757541572,237.7295300269867,1042.9055697197812,31.59,-168.67
30,518.643,496.66,734.3,206.7589573065739,1038.6505793576587,334.92537038485193,925.5833865291331,29.02,-193.12
31,534.165,535.01,746.04,209.08201425811856,1061.8418786712077,207.49463123569225,1050.905815217805,18.89,-181.93
32,549.647,571.5,757.19,211.02661039193217,1067.7559785362946,206.24840462148808,1030.2341427972017,21.14,-157.8
33,565.143,607.21,768.4,212.84381447351615,1072.8295382305616,198.37091353802066,1097.5845842360893,25.36,-132.94
34,580.746,643.6,780.22,214.63099187470587,1080.4187707088395,210.1015910799057,1084.0813439385288,29.61,-108.78
35,596.043,679.98,790.96,216.45423304444375,1087.0266054701697,218.50526475298693,1087.6795252970455,34.09,-83.37
36,611.446,717.63,792.17,218.57472358430786,1089.530272043875,206.6778453009535,1079.3683468833665,38.27,-59.62
37,626.858,757.2,791.94,220.84046529008018,1092.6285796188931,217.0485971606388,1099.7651873475143,42.67,-34.67
