,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.215,2.05,-217.24,355.7927279560852,228.17489169494525,355.6476319783541,235.60179242349383,-14.69,10.32
1,69.013,5.48,-177.84,346.92799315904233,196.44044237376374,347.88432247392865,193.6544941515929,-38.95,13.51
2,84.637,8.83,-139.45,334.7341162903676,171.4073676946239,334.2940771290221,179.39730379519912,-64.33,15.56
3,100.133,10.69,-100.28,319.91455977904116,153.60383621511542,326.3612026738627,154.53458463544703,-88.22,17.24
4,115.321,10.73,-62.74,303.3661304418241,148.63984021789045,291.4641875130102,211.91701839623562,-113.41,19.01
5,130.708,10.73,-23.81,286.7013612034925,155.54141056323232,288.62165470409604,157.96719073401604,-138.25,20.89
6,146.209,10.73,13.12,273.275530620392,175.01592184712794,268.9351989265162,371.6311260953684,-164.0,23.12
7,161.608,10.73,49.37,260.26854535898156,195.6451732090521,266.6096701984657,197.08646931631444,-182.1,16.3
8,176.999,10.45,87.5,243.29218043704026,208.1919914405931,248.71983506955428,202.22420518134288,-175.53,-6.07
9,192.292,9.95,124.81,228.55125412542858,232.76689476813493,240.57595961793334,235.85041612014146,-164.52,-29.27
10,208.001,19.03,161.36,219.03169453483292,274.061051957406,222.1385159174909,274.81503207586195,-153.56,-51.53
11,223.397,31.05,197.17,212.73126083992275,321.2136150601341,210.20962674822772,326.3410925280227,-142.63,-73.04
12,238.687,44.04,234.92,207.9513557238897,373.9531886479911,218.36869691790827,369.28731873020575,-131.24,-95.41
13,254.603,57.12,272.9,204.3520998029892,428.98758082256876,206.90406771437364,416.5770297284485,-119.77,-117.92
14,269.909,69.25,309.64,201.52145274043198,484.1766627998503,212.51411017735296,444.1301822790437,-108.37,-140.78
15,285.5,81.93,348.11,199.3437029102918,541.7315166205489,197.847022958126,542.2063925199636,-97.51,-163.04
16,300.779,99.4,383.6,198.1030278138663,598.2750250511884,207.56805846803755,597.1241860093967,-86.5,-185.06
17,315.87,120.12,412.35,197.6212939584476,627.5350579848109,196.11858907285307,881.2568193492692,-69.85,-185.74
18,331.802,144.06,445.21,197.89545223695035,642.4736480977255,200.5663622162288,641.0314058596506,-53.36,-166.18
19,346.904,167.28,476.11,198.35093909702422,655.6420566132102,219.5625850122015,654.1703149709512,-39.14,-146.19
20,362.618,191.46,508.2,198.82238939139688,669.207011693691,200.536959794049,676.2210396641657,-24.45,-125.22
21,377.947,215.12,540.43,199.24847073116732,683.5414577770684,198.82541246921633,672.8019723382347,-10.22,-104.9
22,393.255,238.54,570.82,199.67122897822455,695.3190283603635,199.04316289809722,704.1524677405109,4.48,-83.92
23,408.96,268.14,593.42,200.72921421200263,701.3102458969212,197.20438942786112,701.1539472620277,19.91,-62.49
24,424.171,300.04,615.8,201.8724560254849,712.8329565894102,205.23550387222426,741.6508131558861,34.48,-45.72
25,440.188,332.06,638.22,202.39660836528412,762.4096340550794,190.39650600952342,764.2715137427881,41.57,-66.68
26,455.393,364.57,660.99,203.36965234936915,818.9093489513965,198.29481108094456,813.5632343888398,39.74,-90.74
27,471.316,396.93,684.38,204.1950464286973,878.0410284832936,153.79589235491363,875.3026696748684,37.07,-116.53
28,487.112,427.73,706.48,204.86449619304474,935.5401377279331,217.4246213427321,935.4069911227346,34.36,-142.34
