,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.421,0.0,-250.0,0.0,250.0,0.06590880455024531,246.88662223172312,0.0,0.0
1,38.113,0.0,-250.0,0.0,250.0,-0.006046676058102873,239.66110962687623,0.0,0.0
2,53.167,0.0,-250.0,0.0,250.0,-0.2485934804518793,249.9994762787782,0.0,0.0
3,68.479,1.71,-222.06,355.21703575724734,226.54891237876203,355.6743865031963,228.46869073726455,-17.18,3.7
4,84.242,4.42,-190.73,346.65301230461074,190.12530657437478,346.8356900527072,189.3488432214798,-39.47,-5.74
5,99.678,7.11,-159.99,334.3889293399855,158.74705320099648,334.415880123954,159.20887956059053,-61.51,-16.84
6,114.81,9.79,-128.54,317.1276572324868,137.13183437845495,317.06130332905764,136.10299492519184,-83.51,-28.04
7,130.931,10.57,-97.85,296.5847066752823,130.3627707591397,296.55064089052297,132.68750139431646,-106.01,-39.51
8,146.476,10.59,-66.27,276.3501439561219,139.86815577535864,276.277686478986,136.9956122060417,-128.42,-50.8
9,161.898,10.59,-35.45,266.0656430171789,156.528889346344,265.40964682243776,161.49157161113217,-145.57,-46.19
10,177.407,10.59,-3.22,263.41287746950167,160.660589131249,263.4432956613653,163.80070869256915,-149.01,-21.65
11,192.924,10.59,28.39,261.3039640931912,162.50813671936555,261.1981943259416,171.36869518437626,-150.05,3.82
12,208.749,10.59,58.36,260.04037993500674,164.03198011363517,260.0726489430065,162.87924292509453,-150.97,29.99
13,224.669,10.45,89.94,257.9865097151377,165.9444114756505,258.1421835813711,139.9394540024303,-151.86,55.4
14,240.184,9.98,120.64,256.59163945207365,167.32082237426397,256.6238877552833,167.4494361501258,-152.78,81.84
15,255.474,15.91,151.61,251.63410993774596,165.28921108166742,251.3608969632146,173.6148846476194,-140.96,99.53
16,271.606,25.93,182.24,242.56075907134462,160.63098704795414,242.70317705149213,157.5141385851924,-116.63,108.22
17,287.414,35.93,211.35,233.27206172459933,159.82849057661778,233.12350934127014,165.18054534550973,-92.17,115.77
18,303.016,46.01,240.62,223.96181282127978,162.73905646770845,223.90718517918174,163.47681780869266,-66.96,123.48
19,318.512,56.03,269.73,215.57001636730067,170.94799238364868,215.58873314815696,172.05689426742472,-43.41,130.68
20,334.045,65.92,299.48,207.88618564821064,182.71743649690364,207.88297124990294,167.2433930583781,-19.54,137.98
21,349.447,75.26,328.19,201.07237601059487,195.8575860159621,201.04064965640828,105.4864643361592,4.84,145.43
22,364.749,85.3,357.9,195.59515810086845,213.25076529757166,195.5980251800721,211.2315286397409,27.97,152.5
23,380.066,99.89,384.29,191.87539268331818,229.1238331121405,191.7600520207126,238.25860209607765,52.74,160.07
24,395.268,117.04,408.1,189.67248831462388,244.26237061815317,189.7788211516234,269.90237871313275,76.0,167.31
25,410.978,136.09,434.32,188.04320019836325,262.0074054296939,188.09096608247086,292.0389071291695,99.43,174.89
26,426.159,154.44,459.05,186.43284471265412,277.9399498093068,186.58443403060627,277.51769543357403,123.3,182.86
27,441.761,173.42,484.26,192.56343759984077,301.4889206919551,192.63159571083878,301.6743547638032,107.84,189.99
28,456.838,191.91,508.8,198.2186435671885,342.59411626588104,198.2155580225326,341.6729033982433,84.8,183.38
29,472.852,210.6,534.25,202.64904923804497,389.6277428520716,202.66027670005604,363.61742262825607,60.56,174.67
30,488.55,228.81,559.12,206.03558560841327,437.49643529976333,206.05250434758122,437.99129520571375,36.78,166.02
31,503.924,250.67,580.76,209.25356769567765,485.00480678030397,209.22000847138239,488.1686268784394,13.66,157.61
32,519.131,275.75,598.76,212.39129549462828,532.4076718079859,212.38720842453958,602.7913887422569,-9.46,149.19
33,534.938,301.44,616.76,215.05853550682642,581.4805590043402,215.14402230932143,576.6230655859578,-32.57,140.78
34,549.919,327.3,634.87,216.89529350345757,631.7100620537875,216.83230658259416,622.592830495659,-51.95,129.67
35,565.315,352.65,652.61,216.71622030946529,683.0284568742359,216.80526016400904,685.0667772102476,-55.7,105.09
36,581.408,378.23,670.82,216.3672954103887,733.0182023660805,216.31921362990548,724.1090146204037,-56.42,80.57
37,597.845,402.5,688.44,215.89469223569273,783.5614957359761,215.6790014442553,764.5880759205176,-56.9,53.68
38,613.349,428.85,707.22,215.63089270747835,834.5731274130507,215.68272471485378,834.4879713338489,-57.34,28.89
39,628.753,454.9,721.03,215.5566400225905,881.6395776619831,215.5578113536048,893.5291710646312,-57.78,3.78
40,643.946,484.12,730.48,215.8403554408252,926.2055232506444,215.59326280040585,703.8743856630377,-58.2,-20.35
41,659.374,514.31,739.73,216.134877757312,971.7679612438352,216.03353888768078,983.5443002315081,-58.73,-45.1
42,675.598,544.33,748.9,216.39176935649792,1017.8774410507388,216.5833082368759,1019.609178523819,-59.58,-70.47
43,690.911,573.78,757.91,216.58912956162953,1064.0147751793675,216.128243555022,1049.4902224831353,-60.45,-96.42
44,706.008,601.73,766.65,216.77806147050643,1106.783421722606,216.7740879702392,1106.2614386524947,-60.92,-119.84
45,721.617,631.17,776.2,216.81779587878844,1126.0824655858912,216.7964631422208,1129.5938295687702,-43.66,-125.28
46,736.914,661.06,785.68,217.18124827336453,1128.8046664060173,217.17625834562782,1094.3304553572746,-21.12,-113.67
47,752.829,690.58,792.28,217.7038220577101,1129.1575983006094,217.6575146990146,1131.0012031941978,0.01,-101.09
48,768.231,722.09,792.46,218.49971172098682,1125.105160640551,218.2650139178183,1123.311616829705,21.7,-88.06
49,783.52,754.32,791.92,219.3645487546452,1121.809150479706,219.35802880328356,1121.1332272622556,42.81,-75.38
50,798.896,784.47,791.39,220.15292579072877,1117.4419187143465,220.09762265788993,1117.351649419799,63.91,-62.7
51,814.499,816.67,790.83,221.02381203431446,1114.4736515952272,221.03419141550438,1105.8500730195017,85.16,-49.97
52,829.785,848.89,790.41,221.92763959639163,1111.6423375348745,221.77295322831466,1110.439294360822,106.1,-36.64
53,845.107,879.69,790.38,224.07960710648635,1123.3982065145021,223.87055897984422,1121.7885834747588,98.19,-16.64
54,860.177,911.25,790.18,226.39493618515277,1144.1479319126524,226.39829581771866,1148.2973155933562,82.76,1.08
