,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,68.479,1.71,-222.06,355.21703575724734,226.54891237876203,353.7470291695631,211.81166941952992,-17.18,3.7
1,84.242,4.42,-190.73,346.65301230461074,190.12530657437478,339.0655874988896,190.00476219609274,-39.47,-5.74
2,99.678,7.11,-159.99,334.3889293399855,158.74705320099648,330.32081509898313,150.43846421835084,-61.51,-16.84
3,114.81,9.79,-128.54,317.1276572324868,137.13183437845495,296.20697801348064,123.85001952800062,-83.51,-28.04
4,130.931,10.57,-97.85,296.5847066752823,130.3627707591397,297.6196055749657,135.42470973676893,-106.01,-39.51
5,146.476,10.59,-66.27,276.3501439561219,139.86815577535864,280.50049598602357,138.27776825454788,-128.42,-50.8
6,161.898,10.59,-35.45,266.0656430171789,156.528889346344,265.49517478701785,155.16696127109049,-145.57,-46.19
7,177.407,10.59,-3.22,263.41287746950167,160.660589131249,264.58403863125295,146.6497979294814,-149.01,-21.65
8,192.924,10.59,28.39,261.3039640931912,162.50813671936555,261.75987605349974,163.63681088703115,-150.05,3.82
9,208.749,10.59,58.36,260.04037993500674,164.03198011363517,257.437673264126,163.48677561353438,-150.97,29.99
10,224.669,10.45,89.94,257.9865097151377,165.9444114756505,250.48047498421658,176.10203171493595,-151.86,55.4
11,240.184,9.98,120.64,256.59163945207365,167.32082237426397,258.5798806647359,228.79868888355716,-152.78,81.84
12,255.474,15.91,151.61,251.63410993774596,165.28921108166742,253.91747081597197,165.2666052648243,-140.96,99.53
13,271.606,25.93,182.24,242.56075907134462,160.63098704795414,242.89390086575924,155.31073315116123,-116.63,108.22
14,287.414,35.93,211.35,233.27206172459933,159.82849057661778,231.06109932173612,141.6690370335931,-92.17,115.77
15,303.016,46.01,240.62,223.96181282127978,162.73905646770845,209.98757543588522,170.4145816994247,-66.96,123.48
16,318.512,56.03,269.73,215.57001636730067,170.94799238364868,210.1635779287831,182.7499364643541,-43.41,130.68
17,334.045,65.92,299.48,207.88618564821064,182.71743649690364,238.0497467259147,184.94488418345213,-19.54,137.98
18,349.447,75.26,328.19,201.07237601059487,195.8575860159621,208.93169426592527,157.1982272140723,4.84,145.43
19,364.749,85.3,357.9,195.59515810086845,213.25076529757166,194.7408047578725,224.7002332598769,27.97,152.5
20,380.066,99.89,384.29,191.87539268331818,229.1238331121405,190.82302283210225,223.18418235786032,52.74,160.07
21,395.268,117.04,408.1,189.67248831462388,244.26237061815317,192.7570877076398,245.18606976348244,76.0,167.31
22,410.978,136.09,434.32,188.04320019836325,262.0074054296939,189.1874396156175,265.1616668579634,99.43,174.89
