,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,68.479,1.71,-222.06,355.21703575724734,226.54891237876203,351.79961420068344,318.59314447093436,-17.18,3.7
1,84.242,4.42,-190.73,346.65301230461074,190.12530657437478,355.85586186103615,177.07275513282124,-39.47,-5.74
2,99.678,7.11,-159.99,334.3889293399855,158.74705320099648,341.94294510515005,149.62298084461406,-61.51,-16.84
3,114.81,9.79,-128.54,317.1276572324868,137.13183437845495,314.3437969083725,102.40230913711494,-83.51,-28.04
4,130.931,10.57,-97.85,296.5847066752823,130.3627707591397,275.4273125805054,186.7369293373996,-106.01,-39.51
5,146.476,10.59,-66.27,276.3501439561219,139.86815577535864,302.5023890256789,47.39583702198536,-128.42,-50.8
6,161.898,10.59,-35.45,266.0656430171789,156.528889346344,277.85527218704874,254.23504226451854,-145.57,-46.19
7,177.407,10.59,-3.22,263.41287746950167,160.660589131249,237.6448906347987,140.58386478917916,-149.01,-21.65
8,192.924,10.59,28.39,261.3039640931912,162.50813671936555,263.73096351100884,193.20297423404918,-150.05,3.82
9,208.749,10.59,58.36,260.04037993500674,164.03198011363517,272.80210534874817,168.0115724661969,-150.97,29.99
10,224.669,10.45,89.94,257.9865097151377,165.9444114756505,262.9119370123119,250.3634845167643,-151.86,55.4
11,240.184,9.98,120.64,256.59163945207365,167.32082237426397,271.7037988708743,86.19420902787424,-152.78,81.84
12,255.474,15.91,151.61,251.63410993774596,165.28921108166742,247.17093836360553,165.83560249303255,-140.96,99.53
13,271.606,25.93,182.24,242.56075907134462,160.63098704795414,252.5678724594923,158.2804323785386,-116.63,108.22
14,287.414,35.93,211.35,233.27206172459933,159.82849057661778,240.39816719613634,228.81565436638334,-92.17,115.77
15,303.016,46.01,240.62,223.96181282127978,162.73905646770845,229.4552317855589,126.744166903949,-66.96,123.48
16,318.512,56.03,269.73,215.57001636730067,170.94799238364868,220.58505220476763,178.5438666287782,-43.41,130.68
17,334.045,65.92,299.48,207.88618564821064,182.71743649690364,218.20315604363776,157.15809085459918,-19.54,137.98
18,349.447,75.26,328.19,201.07237601059487,195.8575860159621,220.62466582306482,213.54163211159496,4.84,145.43
19,364.749,85.3,357.9,195.59515810086845,213.25076529757166,196.71564861834779,256.34308034221533,27.97,152.5
20,380.066,99.89,384.29,191.87539268331818,229.1238331121405,194.54416838076784,193.09473178313317,52.74,160.07
21,395.268,117.04,408.1,189.67248831462388,244.26237061815317,199.49560721057952,313.76438498061503,76.0,167.31
22,410.978,136.09,434.32,188.04320019836325,262.0074054296939,194.32931050544101,320.0821692975553,99.43,174.89
23,426.159,154.44,459.05,186.43284471265412,277.9399498093068,199.09143359619262,317.2571837376946,123.3,182.86
24,441.761,173.42,484.26,192.56343759984077,301.4889206919551,209.4139008703455,359.52915030738245,107.84,189.99
25,456.838,191.91,508.8,198.2186435671885,342.59411626588104,222.28762374310955,326.1589068846874,84.8,183.38
26,472.852,210.6,534.25,202.64904923804497,389.6277428520716,208.981852969822,399.55190225269513,60.56,174.67
27,488.55,228.81,559.12,206.03558560841327,437.49643529976333,185.14163085049267,409.2152718895871,36.78,166.02
28,503.924,250.67,580.76,209.25356769567765,485.00480678030397,216.17629849854302,488.1140670378812,13.66,157.61
29,519.131,275.75,598.76,212.39129549462828,532.4076718079859,224.65006287335206,573.0343787446807,-9.46,149.19
30,534.938,301.44,616.76,215.05853550682642,581.4805590043402,220.50290229851376,564.6725036732506,-32.57,140.78
31,549.919,327.3,634.87,216.89529350345757,631.7100620537875,222.7645178651922,628.7626462915566,-51.95,129.67
32,565.315,352.65,652.61,216.71622030946529,683.0284568742359,193.86661305011165,666.4313399686147,-55.7,105.09
33,581.408,378.23,670.82,216.3672954103887,733.0182023660805,230.56789805174247,708.9935372156407,-56.42,80.57
34,597.845,402.5,688.44,215.89469223569273,783.5614957359761,219.61188489004064,767.7129275866456,-56.9,53.68
35,613.349,428.85,707.22,215.63089270747835,834.5731274130507,204.3913274478098,849.6778912638623,-57.34,28.89
36,628.753,454.9,721.03,215.5566400225905,881.6395776619831,212.37672199609403,844.825991276125,-57.78,3.78
37,643.946,484.12,730.48,215.8403554408252,926.2055232506444,212.7434981783588,952.9230610480478,-58.2,-20.35
38,659.374,514.31,739.73,216.134877757312,971.7679612438352,231.60511619481747,1065.478663567999,-58.73,-45.1
39,675.598,544.33,748.9,216.39176935649792,1017.8774410507388,231.26840937269282,1068.4535165978734,-59.58,-70.47
40,690.911,573.78,757.91,216.58912956162953,1064.0147751793675,243.4749843809059,1070.6985042183715,-60.45,-96.42
41,706.008,601.73,766.65,216.77806147050643,1106.783421722606,232.7419141056492,1080.7648604106187,-60.92,-119.84
42,721.617,631.17,776.2,216.81779587878844,1126.0824655858912,207.58701362378577,1106.6660257796018,-43.66,-125.28
43,736.914,661.06,785.68,217.18124827336453,1128.8046664060173,207.22521138981492,1224.0500326543215,-21.12,-113.67
44,752.829,690.58,792.28,217.7038220577101,1129.1575983006094,239.75096152477715,1147.2455627750828,0.01,-101.09
45,768.231,722.09,792.46,218.49971172098682,1125.105160640551,246.03995785479825,1110.8663652517914,21.7,-88.06
46,783.52,754.32,791.92,219.3645487546452,1121.809150479706,224.16892271801362,1146.4821782590768,42.81,-75.38
47,798.896,784.47,791.39,220.15292579072877,1117.4419187143465,234.99384344186117,1231.853910128852,63.91,-62.7
48,814.499,816.67,790.83,221.02381203431446,1114.4736515952272,209.8621818586926,1135.821122361864,85.16,-49.97
49,829.785,848.89,790.41,221.92763959639163,1111.6423375348745,205.2342254414111,1156.3508836911233,106.1,-36.64
50,845.107,879.69,790.38,224.07960710648635,1123.3982065145021,217.08690878204652,1153.206211552426,98.19,-16.64
51,860.177,911.25,790.18,226.39493618515277,1144.1479319126524,229.69437336255476,1143.292189127457,82.76,1.08
52,875.781,940.48,787.2,228.75993996472002,1163.9139989707144,229.99059750857873,1125.9156436636738,65.27,19.93
53,891.178,971.17,777.66,231.25521769882573,1182.5630811927117,236.15578049933976,1181.8439732393065,48.84,37.55
54,907.015,1000.55,767.84,233.67283526496567,1202.2379366830844,235.28605341295687,1208.1199077144697,31.97,55.64
55,922.197,1031.0,757.36,236.03244872952652,1224.3985550465177,252.39164315589227,1267.669845032081,15.54,73.26
56,937.804,1060.12,747.34,238.36058562626744,1247.9705016145213,264.147677212992,1303.102722066623,-2.36,92.69
57,952.891,1088.65,737.62,240.5072569266064,1272.5838921265663,248.7633449573879,1332.0456899478336,-19.03,111.11
58,968.504,1117.91,728.07,242.3565180947757,1308.5372685942116,275.7344864365255,1337.6598728811618,-41.26,120.95
59,983.589,1147.86,718.14,243.99476461693374,1349.3570189167874,243.80126526714307,1406.6586536375116,-64.88,126.51
60,999.387,1175.56,706.12,245.5843380136748,1389.3923836339393,246.76803525004416,1369.6356804070965,-89.58,131.81
61,1014.774,1201.27,687.95,247.26325028686736,1425.7006589743867,259.9487070374285,1500.2854622703512,-113.64,136.92
62,1030.177,1225.5,670.37,248.82369764192705,1462.0794123781375,252.15323324059256,1501.8871139377839,-137.85,142.21
63,1045.42,1249.77,652.49,250.36516570943155,1499.861974516322,272.99602413221726,1501.5516112664945,-162.88,148.5
64,1060.793,1275.49,633.13,252.15057040232765,1528.987327514522,251.87261193083424,1567.6476804017843,-179.9,164.47
65,1076.298,1299.55,615.0,253.9385915044225,1555.5497632027077,278.4045357167914,1567.6978926907182,-195.28,184.63
66,1092.197,1324.83,596.29,255.11037569731712,1565.7435542897822,265.3569809026187,1634.6301354999991,-188.34,193.96
67,1107.397,1349.71,578.17,255.28170456974112,1569.6659598780882,295.4064096067725,1656.7973502499315,-168.45,179.37
68,1123.127,1373.96,557.74,255.44203026048686,1574.1602735426911,257.3941824493195,1692.5823176497497,-149.66,162.06
69,1139.568,1392.82,532.58,255.6873117018256,1571.8795552458846,260.9333684647116,1521.9442274779421,-130.27,143.99
70,1154.748,1410.18,507.91,255.92477921471115,1568.6965321565547,265.5599921125209,1516.523183301364,-111.42,126.41
71,1170.147,1428.18,482.2,256.21655244205476,1566.109005465456,236.5356000568222,1558.099109906973,-92.83,109.07
72,1186.181,1445.84,456.98,256.4767220580644,1563.1174360232822,271.86526266505,1586.3391782873302,-73.94,91.46
73,1201.771,1464.39,430.67,256.7687095153237,1560.4948169731294,270.6273705424648,1617.374756265592,-54.68,73.5
74,1216.958,1483.42,404.43,257.1314651367763,1559.6630436411579,266.30887652198476,1590.1978861615132,-37.07,57.07
75,1232.146,1500.9,380.15,257.3792414819708,1557.1852334260047,245.71985463649838,1477.8417762822767,-18.66,39.91
76,1247.559,1516.88,355.09,257.6400993091298,1553.03575828118,245.95343020552474,1554.3441696876466,-0.16,22.66
77,1263.285,1527.43,324.78,258.04635291426166,1542.4370006583738,273.2377462486323,1597.0518088609144,18.44,5.31
78,1278.481,1537.2,294.14,258.4791079484464,1531.3538038284948,281.0863594116691,1557.868256390621,36.7,-11.71
79,1294.724,1546.04,265.29,258.7941607133871,1518.825876293922,286.6844150743471,1570.340401768587,56.17,-29.87
80,1310.031,1555.21,235.29,259.19112402052485,1507.0375424653494,255.70856081875587,1512.2881197626625,74.91,-47.33
81,1325.323,1564.02,206.5,259.6058115268936,1495.9590228679394,254.41775637713292,1502.2233936282296,92.61,-63.4
82,1340.712,1573.7,176.43,260.0704963154966,1485.359703573515,264.44406743947127,1509.8280889499642,110.59,-79.7
83,1356.606,1582.94,147.76,260.7122244590903,1501.3018065665544,243.61802467147996,1536.2742339853426,101.32,-94.54
84,1371.905,1591.09,118.46,261.8701624786336,1529.8043079100016,262.2496296604824,1554.8243947559597,76.66,-97.88
85,1388.025,1592.06,87.95,263.0683255654694,1551.883061219498,281.6008749981624,1573.1764675724485,51.52,-99.34
86,1403.762,1592.08,57.15,264.4359818976716,1569.444459482399,292.8319734149262,1553.6233320268145,30.03,-95.02
87,1419.378,1591.69,25.58,266.31252098227,1553.1555027427228,277.62987969806676,1586.601000699806,41.75,-74.31
88,1434.496,1591.17,-4.36,268.05162028560676,1533.2764424590891,296.52259625740317,1554.7020421956868,58.78,-56.49
89,1449.895,1590.6,-36.74,269.9447324805135,1513.5807041581893,282.9217314993018,1582.3664478300495,77.02,-38.2
90,1465.102,1590.33,-67.5,271.79718190574073,1496.4160809413936,282.0083672364911,1568.4652212967644,94.65,-20.57
91,1480.43,1590.33,-99.09,273.7289464330661,1481.0154748685104,279.36878747084916,1505.4178264902557,112.45,-2.77
92,1495.74,1589.54,-129.56,275.65810875355874,1466.4446346180273,285.8135155302859,1464.506241963792,130.24,15.02
93,1511.118,1581.15,-159.69,277.6179089300731,1446.7487841709078,282.2067617948001,1432.4284550205593,147.17,32.1
94,1526.408,1571.67,-188.97,279.65625490575337,1426.9979600546037,285.68077942563735,1462.602194695617,164.89,50.39
95,1542.53,1561.43,-219.53,281.78552467131453,1408.8703653991734,281.24568755107464,1428.2053486115556,182.26,68.23
96,1557.938,1551.65,-247.94,283.32905986570927,1389.890782543722,294.3928618282885,1389.4296597918815,199.2,72.49
97,1573.65,1541.16,-278.4,283.70560769992335,1384.4406526825194,291.6876577291475,1402.189704953729,196.14,49.62
98,1589.154,1531.13,-308.31,284.18020541799785,1392.891342101027,273.3374969818348,1379.4513024354649,180.68,32.91
99,1604.66,1521.6,-337.6,285.2236113361559,1414.69392198454,289.99078501408087,1463.2014275859344,156.55,33.88
100,1620.08,1511.29,-367.21,286.33263638357806,1438.729549637457,283.3511768394074,1433.4145070925151,130.62,37.38
101,1635.158,1493.63,-393.84,287.3910620176911,1454.405277252527,269.38373623755734,1527.6571393783854,105.71,40.87
102,1650.781,1474.72,-419.93,288.4149849657341,1470.2568154577623,302.3119189474348,1504.92092262193,79.75,44.52
103,1665.869,1456.78,-443.92,289.33700483028395,1485.6071238386007,316.77647683726593,1529.2053144307429,54.98,48.0
104,1681.18,1438.17,-468.62,290.2737791751588,1501.0112366334904,327.9323795573766,1465.2503798836615,30.15,51.49
105,1696.992,1419.28,-493.7,291.18923297250194,1518.85729711517,318.6757190441133,1542.5182714689274,3.11,55.29
106,1712.177,1401.37,-517.94,292.0665531885877,1534.883109360449,288.89445362572616,1585.389262561974,-21.08,58.69
107,1728.049,1382.43,-543.99,292.9733597016723,1553.8949586764224,315.5814466097938,1524.7710303914496,-48.22,62.5
108,1743.536,1364.35,-567.92,293.77895680839356,1572.8310616528402,315.6896842532009,1576.01879187067,-74.96,66.26
109,1758.849,1340.22,-587.36,294.52896818528814,1581.8495668678488,277.2823160897159,1599.0824505624366,-98.87,69.35
110,1773.528,1315.71,-604.69,295.2094706502926,1589.2560524345977,313.86170594422487,1540.4195383830001,-122.18,72.22
111,1789.219,1289.79,-622.84,295.9167506971245,1597.200379194796,311.6191813430577,1627.7128706207836,-146.78,75.24
112,1805.036,1264.58,-640.49,296.58482170159164,1607.0934560566163,306.43620565545723,1662.5630064931129,-172.6,78.72
113,1820.544,1238.73,-658.62,297.28159361392625,1616.0298406279508,308.718164231454,1591.3325914088473,-197.54,82.11
114,1835.742,1214.49,-676.13,298.8136134796043,1602.3881689840323,307.3482865021798,1634.5638299812454,-189.51,96.16
115,1851.128,1189.0,-694.62,300.4722895515846,1572.1081909652403,328.834681244638,1526.130870637081,-165.96,102.63
116,1866.175,1164.68,-711.76,302.0997712188556,1542.3361081813525,304.8372319125738,1556.217419245848,-141.87,107.83
117,1882.283,1135.89,-724.3,303.76136159147393,1506.761044492457,309.0421252368858,1446.519743821402,-116.77,113.06
118,1897.684,1106.14,-733.55,305.41036885216,1469.602789361806,313.3034700468579,1538.0094216488822,-91.62,117.98
119,1912.659,1077.46,-742.32,307.0153766606055,1435.1626262204572,318.2887440074964,1470.0809515034882,-68.48,121.69
120,1928.876,1048.36,-751.21,307.5121916549781,1398.5838772486975,293.0952441624886,1413.126880322536,-61.03,100.43
121,1944.186,1017.71,-760.58,307.80078804196376,1366.088298061293,333.08925804228073,1345.3557019603425,-61.7,76.72
122,1959.72,987.72,-770.01,307.98212042239186,1333.4892373393945,318.6322373586156,1409.055766056857,-63.34,50.64
123,1974.798,958.02,-779.65,308.2120185282479,1302.0932154419665,323.1829884356401,1410.2469976569391,-65.07,25.79
124,1990.575,928.72,-788.83,308.4111708759156,1270.3996192143638,318.69735237193777,1198.7744715853664,-66.73,0.47
125,2005.685,898.82,-792.04,308.49420183300424,1235.1803188198878,313.9450418148273,1308.9800282511703,-67.92,-23.22
126,2020.719,898.82,-792.04,308.3383471872091,1212.8083008043768,311.66230411714736,1305.0078862023754,-52.46,-39.73
127,2036.445,867.45,-792.12,309.4507380341594,1164.1848522034634,318.46177622763736,1195.7714019424639,-31.5,-52.38
128,2051.856,835.28,-791.82,310.69699598040825,1114.9763838306174,320.41285547616945,1074.3107863108637,-10.06,-64.79
129,2067.219,804.53,-791.29,312.0027807098932,1066.8642500805809,334.3590788281619,1123.1414800051498,11.73,-77.38
130,2083.277,773.05,-790.74,313.4553222988286,1019.091997466372,325.6156499020155,1026.288743268699,33.28,-89.82
131,2098.385,740.99,-790.36,315.0750173440052,972.1170938729551,321.1930601099928,959.4328243666721,54.5,-102.07
132,2113.585,709.76,-790.34,316.82363931825626,927.458448988417,349.6543597161305,885.3457166120697,75.15,-113.99
133,2129.073,679.76,-790.06,318.7051215185819,883.0421649049381,310.3843519490315,924.6174272158203,97.01,-126.61
134,2144.273,649.54,-784.1,320.53370410459416,835.7139276690319,311.44706848821005,888.6758503672413,118.34,-138.93
135,2159.89,621.64,-775.15,322.3313689279578,787.8005486796768,334.5993547845794,774.1946043847266,140.22,-151.56
136,2174.979,592.46,-765.53,323.04803687159244,751.2327705844574,328.1721334744106,791.3998584269058,140.86,-165.19
137,2190.687,562.58,-755.27,322.8387540469716,736.6815242016049,308.2788445953387,698.5974788893172,117.58,-168.18
138,2206.399,534.82,-745.71,322.5030335390414,727.6915810973768,326.36893980568095,781.07904959533,91.86,-168.37
139,2222.122,505.69,-735.72,322.20269837686124,718.0480603692207,321.04843566628335,735.9367233951556,65.62,-168.33
140,2237.026,476.28,-726.09,322.03486956817,707.9533388578657,344.0870899335245,714.8845595782203,40.76,-167.95
141,2252.532,421.91,-704.28,322.8637547608245,673.3172751385487,322.83598245340346,684.2352191296789,15.42,-167.51
142,2267.938,396.92,-686.43,321.85875703454985,660.3765644690912,342.8965016102775,716.914213848367,-10.93,-167.05
143,2283.018,372.49,-668.69,320.8587433629582,647.3506030737904,334.45199278560654,698.3199501474458,-36.14,-166.61
144,2298.331,348.28,-651.08,319.836749935448,634.1713412004677,325.0369804436825,674.7562114450451,-60.74,-166.44
145,2314.25,324.14,-633.0,318.6800284522882,621.2368286732525,326.74679349249885,643.4087855431296,-86.04,-166.43
146,2329.459,300.02,-614.83,317.49123054946654,608.418155712007,330.6923306688535,627.7757487239041,-111.09,-166.32
147,2344.854,274.24,-595.53,316.2882016931927,594.4593511755029,295.00691642147615,639.2232234894335,-136.55,-165.84
148,2360.35,248.71,-576.95,318.35554984254156,575.6455326848286,330.2766117779156,602.2727769662292,-133.81,-146.78
149,2375.752,225.66,-557.4,321.4864674466339,549.9442686309222,324.5095603505434,597.724184753553,-116.79,-127.09
150,2391.357,206.84,-532.17,324.046772393603,522.6828928710025,354.5005564100932,523.8074045156537,-100.04,-109.06
151,2406.742,189.65,-507.7,326.86361475187437,498.2494335169886,325.9536258966711,399.51205860395305,-82.71,-90.48
152,2422.049,171.9,-482.35,329.87524302752325,473.8739556042303,352.071548419589,538.3987118916227,-65.93,-72.48
153,2437.459,154.7,-457.79,333.319942715968,452.2859088010591,309.4318924484552,570.7739522088492,-48.38,-53.66
154,2453.168,136.55,-431.98,337.22273928764474,431.22855019119504,355.28701447644676,467.6726790389184,-30.4,-34.38
155,2468.56,118.86,-407.55,341.4489659995462,413.6109554883671,352.7278606989795,424.6036595240426,-12.73,-15.43
156,2483.97,100.02,-381.45,346.1567841202419,396.67169120067035,350.8443763350817,405.9587882375568,5.11,3.7
157,2499.055,82.94,-355.34,350.86490831263234,382.2684037427105,357.1417030005045,392.3728569172944,22.25,22.08
158,2514.787,73.06,-327.25,354.80725584931974,369.47637975924795,359.3241924074781,385.9946219493482,39.62,40.71
159,2530.259,64.01,-297.87,358.8560977133189,357.15117709451835,371.98593815406815,320.1162968434146,56.88,59.21
