,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,68.409,3.87,-196.91,2.2329352059871184,232.27637094633624,2.3725354265542893,236.45910836357888,12.92,35.19
1,83.698,6.76,-163.88,4.487367941655407,223.03368579656302,5.03278639747089,223.19089496999896,24.21,58.47
2,99.133,9.67,-130.15,6.980296739766928,213.6133013180593,0.43387696058556635,207.26606172665157,35.63,81.88
3,114.641,10.63,-95.54,10.233340712384617,203.53779894653474,10.760470171415243,207.70996451504237,46.79,104.76
4,130.221,10.65,-60.8,14.080623833721958,194.13284858570432,14.413761693714829,190.19035429179522,57.88,127.5
5,146.27,10.65,-26.24,21.127903904712653,160.18815187147896,17.905557974471236,157.44086939148943,68.39,123.18
6,162.074,10.65,8.45,29.878230426643434,103.92278383492236,32.241684478945054,105.39607846065671,62.42,98.56
7,177.157,10.65,43.25,53.24365496702618,54.49410702085135,59.902576155100924,62.69494588129483,54.31,75.86
8,192.757,10.6,77.77,126.45910674357214,43.51711847078113,126.2612481837188,45.91761368857835,45.6,51.91
9,208.165,10.08,110.92,161.5671535430372,86.1815531305859,160.28782769412032,88.23856008546214,37.33,29.16
10,223.563,13.78,143.86,173.74056624526662,138.6767352514473,172.03163662395224,130.41838614317115,28.9,6.01
11,239.248,24.28,176.94,181.18582886404187,194.73170517406763,179.160462378488,188.84066040415505,20.25,-17.75
12,254.631,35.02,209.03,185.2623953995951,250.33513536856947,185.22433385555482,251.23733633621703,12.06,-40.25
13,270.342,45.8,240.37,187.71903706985898,307.112864269799,183.25234498518955,312.67989086935995,4.55,-63.96
14,285.742,57.03,272.98,185.959751054938,355.58189211488263,186.02234630176062,356.8819092158443,20.11,-80.68
15,300.938,68.07,305.91,183.70352976616323,400.96736388389513,181.87616310073366,417.4303775230258,42.17,-94.22
16,316.439,78.54,338.07,181.90971003820442,445.0171702305429,163.09603015089738,420.7976141664739,63.71,-106.7
17,331.522,90.0,368.85,180.72778136997005,484.9691232439443,181.57698288075377,490.1573012916372,83.84,-116.08
18,347.446,110.01,397.82,183.566921766468,493.61622714412454,189.4961722093432,470.51539056316045,79.3,-94.84
19,362.845,130.43,425.94,187.53979230069416,505.2786539128681,190.81558029344197,504.77185425707086,64.13,-74.97
20,378.041,150.32,453.33,191.4650676176404,517.8838152520311,170.38089265528413,512.4830866086104,47.38,-54.22
21,393.709,170.67,480.91,195.11227852491302,534.0387793035259,192.00859292621104,534.4487858565128,31.44,-34.66
22,409.109,191.47,508.54,198.57161757599303,552.8277909982456,199.70013671259954,548.7674810100572,15.4,-15.5
23,424.508,211.09,534.76,201.73944277928612,571.7544236820561,114.58001890658782,572.3783927035513,-0.68,3.67
24,439.826,231.48,562.72,204.60750641944148,594.644702070068,212.53756150952964,593.7983796979277,-16.13,22.08
25,455.259,256.82,585.29,207.99973720689715,615.6975551356364,207.31925094192115,608.1560788296318,-32.23,41.66
