,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,68.409,3.87,-196.91,2.2329352059871184,232.27637094633624,2.8748629435073876,185.00883414617817,12.92,35.19
1,83.698,6.76,-163.88,4.487367941655407,223.03368579656302,11.89787846809149,224.99617665282187,24.21,58.47
2,99.133,9.67,-130.15,6.980296739766928,213.6133013180593,8.259384318515906,205.4836336119119,35.63,81.88
3,114.641,10.63,-95.54,10.233340712384617,203.53779894653474,12.478333271533838,198.92811820135907,46.79,104.76
4,130.221,10.65,-60.8,14.080623833721958,194.13284858570432,1.7045016102459059,179.0928977027841,57.88,127.5
5,146.27,10.65,-26.24,21.127903904712653,160.18815187147896,27.802589977429083,160.16759558150508,68.39,123.18
6,162.074,10.65,8.45,29.878230426643434,103.92278383492236,28.975195242024867,100.38329784856428,62.42,98.56
7,177.157,10.65,43.25,53.24365496702618,54.49410702085135,53.78186317646345,87.29764387791926,54.31,75.86
8,192.757,10.6,77.77,126.45910674357214,43.51711847078113,124.8550629636021,38.432621076957474,45.6,51.91
9,208.165,10.08,110.92,161.5671535430372,86.1815531305859,159.62885925281023,-2.8938756643500056,37.33,29.16
10,223.563,13.78,143.86,173.74056624526662,138.6767352514473,176.09376202699315,113.99669278835991,28.9,6.01
11,239.248,24.28,176.94,181.18582886404187,194.73170517406763,176.42098389198438,298.0805767871866,20.25,-17.75
12,254.631,35.02,209.03,185.2623953995951,250.33513536856947,184.2466683132062,287.0664538083424,12.06,-40.25
13,270.342,45.8,240.37,187.71903706985898,307.112864269799,190.88834168143387,309.9516687145425,4.55,-63.96
14,285.742,57.03,272.98,185.959751054938,355.58189211488263,180.5773197498214,333.65575597657266,20.11,-80.68
15,300.938,68.07,305.91,183.70352976616323,400.96736388389513,183.6172693975029,400.01091231579477,42.17,-94.22
16,316.439,78.54,338.07,181.90971003820442,445.0171702305429,180.97028358915423,428.56231642816607,63.71,-106.7
17,331.522,90.0,368.85,180.72778136997005,484.9691232439443,207.43326411792282,482.7489124289509,83.84,-116.08
18,347.446,110.01,397.82,183.566921766468,493.61622714412454,188.67942122863792,492.87415593498116,79.3,-94.84
19,362.845,130.43,425.94,187.53979230069416,505.2786539128681,198.944415327921,460.26954571590164,64.13,-74.97
20,378.041,150.32,453.33,191.4650676176404,517.8838152520311,187.62329221275465,498.0819812914751,47.38,-54.22
21,393.709,170.67,480.91,195.11227852491302,534.0387793035259,181.64599734150687,527.7459251679535,31.44,-34.66
22,409.109,191.47,508.54,198.57161757599303,552.8277909982456,223.35583851176716,578.4294254477956,15.4,-15.5
23,424.508,211.09,534.76,201.73944277928612,571.7544236820561,203.00707108821246,579.4560957566254,-0.68,3.67
24,439.826,231.48,562.72,204.60750641944148,594.644702070068,205.49896095912996,599.6236661716102,-16.13,22.08
25,455.259,256.82,585.29,207.99973720689715,615.6975551356364,209.6533107442729,626.6312694949605,-32.23,41.66
26,470.883,283.57,604.21,211.479316720816,636.0128163016843,203.27010182360064,640.4778072992791,-48.55,61.8
27,486.411,312.48,624.45,214.71547106648552,663.4749877727118,212.8843234648466,653.9654325978076,-65.37,79.08
28,502.358,340.82,644.3,215.85807836044387,718.8540882543549,220.1102904493896,727.3851658986597,-80.27,61.69
29,518.096,369.09,664.21,216.22727542719304,776.9508680733936,220.78500924697923,777.7719171961635,-90.08,37.46
30,533.314,395.65,683.46,216.47043799793806,832.2062255234575,236.19341202799663,770.3558905981341,-99.02,14.23
31,548.517,423.73,703.64,216.73730847179178,888.4603789139953,265.8170350221324,903.1713420873256,-107.7,-8.36
32,564.648,452.49,719.98,217.1034529511244,943.9938428294964,220.2888129292169,954.9074416981492,-116.98,-32.9
33,579.971,485.28,730.81,217.80801802023723,996.5455762783757,211.98173956250903,999.7085133384178,-125.62,-56.53
34,595.704,516.64,740.44,218.43520587388056,1046.990697188853,208.96253395321747,1046.7971791980776,-134.2,-79.68
35,611.332,550.43,750.77,218.65676706374813,1088.6513756937986,238.7042275633217,1070.8283071903422,-129.6,-99.36
36,627.071,583.68,760.93,218.44833101575423,1111.5477721627622,205.33135645640306,1182.1911306890495,-107.49,-109.6
37,642.148,615.27,771.02,218.17819090954296,1131.3049142472598,216.12928225508549,1128.7156102301428,-84.0,-118.29
38,658.272,648.11,781.66,217.91882460795776,1151.9590368151119,217.9632992908033,1161.7589088533211,-59.82,-127.1
39,673.784,680.32,791.0,217.69612302249527,1171.3017819930096,263.96226339506273,1173.6904750984368,-35.9,-135.81
40,689.086,715.71,792.15,217.89920972928562,1186.489456927452,230.47839018940297,1184.920666769211,-13.12,-144.1
41,704.397,750.19,792.03,218.07040610774024,1202.4079314442333,225.94468364251915,1197.9490202387872,8.75,-154.57
42,719.495,785.83,791.43,219.5852579884318,1244.347140069844,219.36893491749075,1254.7449273653483,-7.1,-167.56
43,735.113,819.72,790.84,221.40906458993004,1286.0156307370453,228.85640855573118,1292.289094731496,-30.89,-173.68
44,750.525,854.2,790.38,223.18626564170742,1329.5247918335333,223.1586576178744,1306.5833753633115,-55.69,-179.02
45,766.533,888.24,790.36,224.81479882945027,1373.8025156477186,212.44287915459807,1375.2108161175115,-80.04,-184.2
46,782.248,921.14,790.03,226.34254821117446,1419.057886486665,228.58550831050533,1338.8234880018651,-105.52,-189.61
47,797.747,954.45,782.69,227.96046316528586,1460.1655377730294,226.49788194550132,1462.9745671256887,-129.99,-195.1
48,813.283,986.68,772.28,229.49041743822062,1471.7926082162528,232.45478564954237,1469.7677436915346,-132.32,-183.76
49,827.966,1019.68,761.43,230.39506908614288,1467.2693882856004,232.53680291189838,1450.3737514956724,-110.79,-173.94
50,843.364,1051.68,750.44,231.16972846039656,1462.451936988016,233.0012634637671,1435.1156695627196,-87.58,-166.54
51,858.974,1084.55,739.12,231.94815062052098,1456.9880022155294,232.715017995392,1565.9586618566316,-62.76,-158.93
52,874.24,1116.6,728.36,232.857018034226,1453.1485054529012,241.9097387447029,1453.0319225484106,-41.75,-149.06
53,889.633,1148.77,717.87,234.10989478427726,1447.8556935344075,226.50079870457313,1449.5912910641935,-24.2,-130.91
