,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,68.409,3.87,-196.91,2.2329352059871184,232.27637094633624,-4.210156332275653,228.38875211827911,12.92,35.19
1,83.698,6.76,-163.88,4.487367941655407,223.03368579656302,1.1210069647544882,236.08914491692553,24.21,58.47
2,99.133,9.67,-130.15,6.980296739766928,213.6133013180593,1.2240540890843166,128.912084821642,35.63,81.88
3,114.641,10.63,-95.54,10.233340712384617,203.53779894653474,27.769407834216832,296.3305269415692,46.79,104.76
4,130.221,10.65,-60.8,14.080623833721958,194.13284858570432,35.26584718621354,125.54137608154576,57.88,127.5
5,146.27,10.65,-26.24,21.127903904712653,160.18815187147896,20.32684653604793,136.32602568563738,68.39,123.18
6,162.074,10.65,8.45,29.878230426643434,103.92278383492236,45.01916469978575,143.25821044135037,62.42,98.56
7,177.157,10.65,43.25,53.24365496702618,54.49410702085135,69.12705920885429,11.665566950311465,54.31,75.86
8,192.757,10.6,77.77,126.45910674357214,43.51711847078113,124.93596518405397,9.493364184251192,45.6,51.91
9,208.165,10.08,110.92,161.5671535430372,86.1815531305859,169.4915920122036,59.158195229023974,37.33,29.16
10,223.563,13.78,143.86,173.74056624526662,138.6767352514473,191.78983053609863,180.29507534512925,28.9,6.01
11,239.248,24.28,176.94,181.18582886404187,194.73170517406763,176.20107905733755,318.16548177637065,20.25,-17.75
12,254.631,35.02,209.03,185.2623953995951,250.33513536856947,208.7655452266779,267.9874868394944,12.06,-40.25
13,270.342,45.8,240.37,187.71903706985898,307.112864269799,192.92129189589323,270.2703683494637,4.55,-63.96
14,285.742,57.03,272.98,185.959751054938,355.58189211488263,194.50778274733022,396.6176331821797,20.11,-80.68
15,300.938,68.07,305.91,183.70352976616323,400.96736388389513,188.42473098051167,388.6478579929912,42.17,-94.22
16,316.439,78.54,338.07,181.90971003820442,445.0171702305429,171.0393885452017,459.81803689404876,63.71,-106.7
17,331.522,90.0,368.85,180.72778136997005,484.9691232439443,192.7996536184733,555.8941805604579,83.84,-116.08
18,347.446,110.01,397.82,183.566921766468,493.61622714412454,191.2808953400195,474.166292527313,79.3,-94.84
19,362.845,130.43,425.94,187.53979230069416,505.2786539128681,190.17206935498857,521.4028407086143,64.13,-74.97
20,378.041,150.32,453.33,191.4650676176404,517.8838152520311,196.49379631965536,492.31274426973505,47.38,-54.22
21,393.709,170.67,480.91,195.11227852491302,534.0387793035259,208.17037473832409,542.3863732954486,31.44,-34.66
22,409.109,191.47,508.54,198.57161757599303,552.8277909982456,204.5141623153992,580.5866022423065,15.4,-15.5
23,424.508,211.09,534.76,201.73944277928612,571.7544236820561,202.85838409622446,540.9818083898839,-0.68,3.67
24,439.826,231.48,562.72,204.60750641944148,594.644702070068,213.42092944491858,594.4200696666958,-16.13,22.08
25,455.259,256.82,585.29,207.99973720689715,615.6975551356364,225.30216546344667,620.2969056855642,-32.23,41.66
26,470.883,283.57,604.21,211.479316720816,636.0128163016843,219.73197527975043,621.7430307149222,-48.55,61.8
27,486.411,312.48,624.45,214.71547106648552,663.4749877727118,212.48358549157848,623.3572103126035,-65.37,79.08
28,502.358,340.82,644.3,215.85807836044387,718.8540882543549,234.1271478933406,667.756878571061,-80.27,61.69
29,518.096,369.09,664.21,216.22727542719304,776.9508680733936,220.29252743003414,785.436593876577,-90.08,37.46
30,533.314,395.65,683.46,216.47043799793806,832.2062255234575,231.6459752416335,835.2605483933049,-99.02,14.23
31,548.517,423.73,703.64,216.73730847179178,888.4603789139953,222.6981568939467,1009.0346179916658,-107.7,-8.36
32,564.648,452.49,719.98,217.1034529511244,943.9938428294964,213.00529467728285,845.2597667330074,-116.98,-32.9
33,579.971,485.28,730.81,217.80801802023723,996.5455762783757,209.54159984131445,1017.5437220047583,-125.62,-56.53
34,595.704,516.64,740.44,218.43520587388056,1046.990697188853,214.88890191885355,1080.101590412025,-134.2,-79.68
35,611.332,550.43,750.77,218.65676706374813,1088.6513756937986,223.50659047471353,1168.2541672394107,-129.6,-99.36
36,627.071,583.68,760.93,218.44833101575423,1111.5477721627622,197.86449646567607,1150.835060881484,-107.49,-109.6
37,642.148,615.27,771.02,218.17819090954296,1131.3049142472598,230.80409901586813,1107.3268701672564,-84.0,-118.29
38,658.272,648.11,781.66,217.91882460795776,1151.9590368151119,239.57389329742008,1167.6594956042768,-59.82,-127.1
39,673.784,680.32,791.0,217.69612302249527,1171.3017819930096,222.44488162639882,1212.492352884014,-35.9,-135.81
40,689.086,715.71,792.15,217.89920972928562,1186.489456927452,211.71940891818753,1187.454571668762,-13.12,-144.1
41,704.397,750.19,792.03,218.07040610774024,1202.4079314442333,204.86649429644348,1254.3454831334957,8.75,-154.57
42,719.495,785.83,791.43,219.5852579884318,1244.347140069844,230.2242622962776,1172.2468793053472,-7.1,-167.56
