,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.728,0.0,-250.0,0.0,250.0,-0.4094792085228787,249.36100278925323,0.0,0.0
1,38.008,0.0,-250.0,0.0,250.0,-0.1699311593620562,231.9138612961764,0.0,0.0
2,53.933,0.59,-235.99,359.8767834598152,237.15054838646273,358.9106730858423,242.45003513648794,0.08,1.16
3,69.02,3.73,-198.38,359.26942038130403,203.12651279436665,359.68575610476023,188.7475135991288,1.14,4.73
4,84.511,7.13,-159.45,358.4842656557876,167.09846797622052,358.42496448976914,261.195624307445,2.71,7.59
5,99.819,10.26,-121.56,357.442723390706,131.56101930283148,357.46704301757734,124.06826568084706,4.39,9.87
6,115.076,10.65,-82.76,357.5120166247117,95.13968362360683,357.5179440153274,88.54373549183629,6.52,12.29
7,130.273,10.65,-47.51,358.66052854176667,62.457066853959766,358.63125114257394,61.85580411834168,9.19,14.93
8,145.465,10.65,-8.6,2.9063672979826123,26.033486128446185,2.800898898622966,23.358632164532676,11.97,17.4
9,160.891,10.65,28.76,156.2420753181978,9.9535018963177,156.58533488950943,3.3855086854493015,14.66,19.65
10,176.092,10.65,66.43,171.77146676116257,45.27611401169495,171.77161508130743,57.469658641365726,17.13,21.62
11,191.781,10.19,103.67,173.20211749971367,80.59660352645142,173.4092778216482,100.71346109429052,19.73,23.64
12,207.394,13.15,141.52,175.55408790329437,116.36013277751104,175.3870897856392,120.65065876592415,22.17,25.51
13,223.213,24.01,175.86,179.55123737243775,148.10454280676203,179.67952973733455,147.5570234768666,25.17,27.76
14,238.609,36.6,213.71,182.70810649393349,184.13564266594344,182.69592502000341,187.0652978677835,27.9,29.78
15,254.293,49.64,251.61,184.95253316767764,220.66383505232568,184.94773654905333,183.15179867625443,30.59,31.77
16,269.367,62.06,287.68,186.42714647664206,255.40522332168544,186.57780709471584,253.390229379216,33.47,33.88
17,284.685,74.32,325.02,187.5051873547245,291.6182821772325,187.61390048567222,297.1819794585817,36.23,35.9
18,299.845,86.0,360.13,188.3022957391405,325.6326285862644,188.2585134075222,371.13104059366924,38.98,37.91
19,315.771,106.66,394.0,190.41285277999316,360.13101518752865,190.45273909711253,359.93086100455014,41.57,39.8
20,331.153,129.02,424.82,192.47066740997195,392.2853107114769,192.46777042729,401.53932835483363,44.31,41.79
21,346.339,152.81,456.8,194.31553709501458,425.9048937262872,195.62335415652925,482.36878982144987,47.5,44.12
22,361.522,176.27,487.93,195.93015383604768,459.5480245850263,196.1560251102653,457.3378917777645,50.14,46.03
23,377.041,200.98,521.06,197.37120041533805,495.5099511614272,198.05723139503237,503.2613826046351,53.04,48.15
24,392.3,224.38,553.16,198.54215337649956,530.6880413199453,198.74981532398567,568.0605571492958,55.62,50.02
25,407.463,251.03,580.83,200.03752505630624,563.1056774709344,200.0974948212116,564.2753174426745,58.09,51.81
26,422.805,282.53,603.49,201.97941298901466,592.9355040811774,201.74421525440764,585.8174805569334,60.61,53.65
27,438.533,315.38,626.5,203.8058940822237,623.7497858115864,203.78589002947106,639.7393088534718,63.61,55.82
28,454.262,348.03,649.36,205.44506241701728,654.8189716249827,205.3245562565024,643.0662022896631,66.69,58.06
29,469.646,379.13,671.49,206.8552334320841,685.2205148709429,206.87996883183905,679.3432375779973,69.59,60.17
30,484.733,411.07,694.66,208.1486487037401,716.8888686539915,208.10106956166848,714.9699414278977,72.87,62.56
31,500.546,441.77,715.85,209.34028986517285,747.0475827549407,209.0708613270874,753.4128919339721,75.72,64.63
32,515.829,476.34,728.21,211.02129006364993,771.9704004688263,211.0746846694827,776.1227971180456,78.5,66.65
33,531.845,514.55,739.92,212.82788046145706,798.4620730504361,213.1341810403555,792.3841540171669,81.69,68.97
34,547.541,551.38,751.18,214.4559520916658,824.5717182271048,214.36106829507708,828.6211660588799,84.86,71.27
35,563.563,590.79,763.23,216.08927594675825,853.3471999719692,216.12152052602667,829.5590941361237,88.13,73.64
36,579.063,627.68,774.97,217.50290689090335,881.2557826760628,217.47519363439514,864.0182100804526,91.17,75.85
37,594.318,663.87,786.58,218.79293882691118,908.7197892089728,218.79323218353161,912.0003452424279,94.55,78.31
38,609.819,700.9,792.25,220.28371492183297,932.8413299698936,220.19686716063103,924.4278011911377,97.75,80.63
39,625.488,739.79,792.16,222.01495865544973,954.70866891424,222.24287954027085,957.4806725539396,100.78,82.84
40,641.096,776.09,791.54,223.57546384780062,975.0339042310272,223.5986416805242,969.4560799299305,103.99,85.16
41,656.598,815.46,790.85,225.20127620358235,998.3843668647862,225.26548074604156,994.5349318176986,107.02,87.37
42,671.902,851.76,790.41,226.62024329156895,1020.0911789149046,227.48527011243723,1008.815069055135,110.34,89.78
43,686.982,888.56,790.4,227.9814369818252,1043.2774137304036,227.9337007712627,1047.3974003031224,113.48,92.06
44,702.83,927.67,789.76,229.3905059799366,1068.6894722977297,229.81984978367637,1074.3912999816132,116.36,94.15
45,718.031,966.31,778.94,231.13193473545405,1087.4872546379565,230.91623624669177,1073.334779553128,119.6,96.51
46,733.125,1003.97,766.72,232.83973920725015,1106.2062050540126,232.77218850474586,1111.0409913922535,122.38,98.52
47,748.509,1039.9,754.47,234.43986203746442,1123.9136445919678,234.33328066178913,1160.4957117663887,125.59,100.85
48,763.907,1075.33,742.28,235.97213013146654,1142.663434656067,235.96616992498753,1141.010667080186,128.33,102.85
49,778.894,1111.24,730.14,237.46547742787112,1162.255619259378,237.3929274212335,1177.6611778646195,131.38,105.07
50,794.293,1146.09,718.76,238.85213041694416,1181.6176323159705,239.01628055298937,1176.6149248868142,134.82,107.57
51,809.704,1179.29,703.5,240.31262819706757,1198.6660771457578,240.28875094800733,1193.5890597136272,137.96,109.84
52,825.558,1212.36,679.73,242.0806974125606,1212.7437460980782,242.08532878219808,1202.3437151015958,140.77,111.89
53,840.861,1243.72,656.95,243.73181116056537,1226.5310537446658,243.7292079014454,1219.4252983902036,143.85,114.12
54,856.916,1272.98,635.16,245.2669948458589,1239.3928321964752,245.2513255808879,1244.261190657862,147.28,116.61
55,872.452,1302.54,612.89,246.7980470579805,1252.9785070782339,246.8228514972836,1252.9897724930302,150.9,119.25
56,888.283,1331.25,591.52,248.2328294104346,1267.8388616855061,248.4295267990782,1267.0560730997195,153.81,121.36
57,903.617,1362.59,568.62,249.7411228998104,1285.152489979302,249.68110019772237,1298.7818522173345,156.94,123.62
58,918.943,1386.35,541.66,251.26182329187756,1295.4325360280247,251.18462840672558,1288.2918563090252,159.58,125.51
59,934.39,1408.13,510.83,252.8934902532521,1303.5914041217056,252.92849910892264,1316.564257079272,162.21,127.38
60,950.127,1429.93,479.71,254.52270184793375,1312.2781077957522,254.48974162866483,1251.5010381475133,165.24,129.52
61,965.456,1451.01,449.6,256.07646470743646,1321.7149980234014,256.1582593489786,1334.0727291902954,168.13,131.56
62,980.704,1472.33,419.67,257.59898138133514,1332.50949790236,257.75469775064613,1332.9461588105314,170.91,133.51
63,996.944,1493.94,389.91,259.09435214662864,1344.3997682609145,259.1123085362602,1347.6089399877558,173.82,135.56
