,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.933,0.59,-235.99,359.8767834598152,237.15054838646273,354.6950301650915,236.0417423604169,0.08,1.16
1,69.02,3.73,-198.38,359.26942038130403,203.12651279436665,305.7973479707563,207.1366554337034,1.14,4.73
2,84.511,7.13,-159.45,358.4842656557876,167.09846797622052,332.4261068184789,167.53314512060817,2.71,7.59
3,99.819,10.26,-121.56,357.442723390706,131.56101930283148,370.72451617252773,158.14749008955624,4.39,9.87
4,115.076,10.65,-82.76,357.5120166247117,95.13968362360683,359.57670292885774,97.64747388129689,6.52,12.29
5,130.273,10.65,-47.51,358.66052854176667,62.457066853959766,368.24905521261445,48.74673747843127,9.19,14.93
6,145.465,10.65,-8.6,2.9063672979826123,26.033486128446185,-38.61937279867689,29.94598925460199,11.97,17.4
7,160.891,10.65,28.76,156.2420753181978,9.9535018963177,160.28948457831794,6.9360813689187175,14.66,19.65
8,176.092,10.65,66.43,171.77146676116257,45.27611401169495,172.20233769167635,137.19281674400762,17.13,21.62
9,191.781,10.19,103.67,173.20211749971367,80.59660352645142,171.93741596443977,56.175088066083944,19.73,23.64
10,207.394,13.15,141.52,175.55408790329437,116.36013277751104,167.69182434348374,109.18492059209339,22.17,25.51
11,223.213,24.01,175.86,179.55123737243775,148.10454280676203,180.1365284042442,162.06207318210826,25.17,27.76
12,238.609,36.6,213.71,182.70810649393349,184.13564266594344,179.46052548865828,173.2882076613486,27.9,29.78
13,254.293,49.64,251.61,184.95253316767764,220.66383505232568,178.92353952786058,217.26294972630686,30.59,31.77
14,269.367,62.06,287.68,186.42714647664206,255.40522332168544,184.2285355172554,256.75055524418985,33.47,33.88
15,284.685,74.32,325.02,187.5051873547245,291.6182821772325,186.20728404111574,293.9124280187543,36.23,35.9
16,299.845,86.0,360.13,188.3022957391405,325.6326285862644,169.14448907886648,340.59974844551937,38.98,37.91
17,315.771,106.66,394.0,190.41285277999316,360.13101518752865,254.42577558079753,368.3074443185366,41.57,39.8
18,331.153,129.02,424.82,192.47066740997195,392.2853107114769,183.15640679866218,398.760573889407,44.31,41.79
19,346.339,152.81,456.8,194.31553709501458,425.9048937262872,193.73082699763563,413.86473187288675,47.5,44.12
20,361.522,176.27,487.93,195.93015383604768,459.5480245850263,223.18851590680654,452.1030635060246,50.14,46.03
21,377.041,200.98,521.06,197.37120041533805,495.5099511614272,198.00461357516588,400.8485741133387,53.04,48.15
22,392.3,224.38,553.16,198.54215337649956,530.6880413199453,196.70431609948193,473.2304856038553,55.62,50.02
23,407.463,251.03,580.83,200.03752505630624,563.1056774709344,203.95754518649758,568.9000405728052,58.09,51.81
24,422.805,282.53,603.49,201.97941298901466,592.9355040811774,213.37529545537643,583.1733623787753,60.61,53.65
25,438.533,315.38,626.5,203.8058940822237,623.7497858115864,202.4178793095307,641.3921501767238,63.61,55.82
26,454.262,348.03,649.36,205.44506241701728,654.8189716249827,208.85579999470065,650.9543310741751,66.69,58.06
27,469.646,379.13,671.49,206.8552334320841,685.2205148709429,137.70592483623716,700.8095331217746,69.59,60.17
28,484.733,411.07,694.66,208.1486487037401,716.8888686539915,253.22113820310187,717.3924354416071,72.87,62.56
29,500.546,441.77,715.85,209.34028986517285,747.0475827549407,202.18390989083056,756.625083716379,75.72,64.63
30,515.829,476.34,728.21,211.02129006364993,771.9704004688263,229.83729036979412,746.6095893446692,78.5,66.65
31,531.845,514.55,739.92,212.82788046145706,798.4620730504361,206.02392085083684,792.9088009164617,81.69,68.97
32,547.541,551.38,751.18,214.4559520916658,824.5717182271048,213.33810953104816,835.9320248738412,84.86,71.27
33,563.563,590.79,763.23,216.08927594675825,853.3471999719692,215.2242120828834,819.8020773241938,88.13,73.64
34,579.063,627.68,774.97,217.50290689090335,881.2557826760628,215.91175578076832,877.9626210337573,91.17,75.85
35,594.318,663.87,786.58,218.79293882691118,908.7197892089728,219.92399678109868,895.398873993128,94.55,78.31
36,609.819,700.9,792.25,220.28371492183297,932.8413299698936,220.9740725822659,941.4750763885438,97.75,80.63
37,625.488,739.79,792.16,222.01495865544973,954.70866891424,229.3112111670404,1010.0288110359938,100.78,82.84
38,641.096,776.09,791.54,223.57546384780062,975.0339042310272,227.14908336528916,983.2998848521644,103.99,85.16
39,656.598,815.46,790.85,225.20127620358235,998.3843668647862,225.3876041394363,976.3433015148543,107.02,87.37
40,671.902,851.76,790.41,226.62024329156895,1020.0911789149046,210.3375964365454,1022.39482339288,110.34,89.78
41,686.982,888.56,790.4,227.9814369818252,1043.2774137304036,223.92615958238665,1056.9743656711112,113.48,92.06
42,702.83,927.67,789.76,229.3905059799366,1068.6894722977297,224.31259820176888,1067.847633535021,116.36,94.15
43,718.031,966.31,778.94,231.13193473545405,1087.4872546379565,232.4703399726625,1208.824104056659,119.6,96.51
44,733.125,1003.97,766.72,232.83973920725015,1106.2062050540126,235.8700248490412,1106.355115616186,122.38,98.52
45,748.509,1039.9,754.47,234.43986203746442,1123.9136445919678,223.1158108701281,1129.4907032882743,125.59,100.85
46,763.907,1075.33,742.28,235.97213013146654,1142.663434656067,242.85066422464024,968.9361745599061,128.33,102.85
47,778.894,1111.24,730.14,237.46547742787112,1162.255619259378,237.77097264865847,1157.0577204033245,131.38,105.07
48,794.293,1146.09,718.76,238.85213041694416,1181.6176323159705,234.74273082683374,1181.8322438707046,134.82,107.57
49,809.704,1179.29,703.5,240.31262819706757,1198.6660771457578,244.04181638040924,1183.3227978119799,137.96,109.84
50,825.558,1212.36,679.73,242.0806974125606,1212.7437460980782,248.6617944233245,1227.6126484117751,140.77,111.89
51,840.861,1243.72,656.95,243.73181116056537,1226.5310537446658,243.5312146315283,1255.250234997836,143.85,114.12
52,856.916,1272.98,635.16,245.2669948458589,1239.3928321964752,258.4414099619498,1248.1673269260082,147.28,116.61
53,872.452,1302.54,612.89,246.7980470579805,1252.9785070782339,248.78080730707674,1249.4148077523807,150.9,119.25
54,888.283,1331.25,591.52,248.2328294104346,1267.8388616855061,284.3616731834033,1220.2365530833642,153.81,121.36
55,903.617,1362.59,568.62,249.7411228998104,1285.152489979302,259.5035549762256,1324.6554079665711,156.94,123.62
56,918.943,1386.35,541.66,251.26182329187756,1295.4325360280247,250.3661789775134,1290.0576243323449,159.58,125.51
57,934.39,1408.13,510.83,252.8934902532521,1303.5914041217056,254.6541047392727,1295.7475426507044,162.21,127.38
58,950.127,1429.93,479.71,254.52270184793375,1312.2781077957522,235.0147906449467,1311.7618442442376,165.24,129.52
59,965.456,1451.01,449.6,256.07646470743646,1321.7149980234014,272.75404161730216,1312.7177660086884,168.13,131.56
60,980.704,1472.33,419.67,257.59898138133514,1332.50949790236,243.61940230311652,1324.940032683179,170.91,133.51
61,996.944,1493.94,389.91,259.09435214662864,1344.3997682609145,250.0782832244221,1347.9451272344002,173.82,135.56
62,1012.372,1515.42,358.7,260.61777985473464,1357.0130389940991,264.38794066632533,1358.9774391865046,176.56,137.48
63,1027.912,1528.72,321.41,262.3176861458718,1361.6817588922897,288.02704180668877,1337.9328345572173,179.26,139.38
