,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.933,0.59,-235.99,359.8767834598152,237.15054838646273,367.7765125146073,332.3052564650795,0.08,1.16
1,69.02,3.73,-198.38,359.26942038130403,203.12651279436665,353.8691098428788,196.9274563789475,1.14,4.73
2,84.511,7.13,-159.45,358.4842656557876,167.09846797622052,359.74318982915446,184.34101566911397,2.71,7.59
3,99.819,10.26,-121.56,357.442723390706,131.56101930283148,370.9037451576653,166.41428460366734,4.39,9.87
4,115.076,10.65,-82.76,357.5120166247117,95.13968362360683,365.731217122623,73.76030127819712,6.52,12.29
5,130.273,10.65,-47.51,358.66052854176667,62.457066853959766,379.2657476105938,78.25414878053932,9.19,14.93
6,145.465,10.65,-8.6,2.9063672979826123,26.033486128446185,14.551097224675324,41.69163799312341,11.97,17.4
7,160.891,10.65,28.76,156.2420753181978,9.9535018963177,158.95299266659245,-56.81854050191707,14.66,19.65
8,176.092,10.65,66.43,171.77146676116257,45.27611401169495,175.41721217804366,108.80604027787913,17.13,21.62
9,191.781,10.19,103.67,173.20211749971367,80.59660352645142,174.60920549234322,124.52003377467024,19.73,23.64
10,207.394,13.15,141.52,175.55408790329437,116.36013277751104,191.49836607746764,102.66497100107334,22.17,25.51
11,223.213,24.01,175.86,179.55123737243775,148.10454280676203,187.62171389571387,155.74177453056313,25.17,27.76
12,238.609,36.6,213.71,182.70810649393349,184.13564266594344,185.33050917305778,223.58471325319076,27.9,29.78
13,254.293,49.64,251.61,184.95253316767764,220.66383505232568,203.39856440834149,224.08008353831826,30.59,31.77
14,269.367,62.06,287.68,186.42714647664206,255.40522332168544,195.44035024154766,259.69601662407575,33.47,33.88
15,284.685,74.32,325.02,187.5051873547245,291.6182821772325,189.43944217118025,239.01593579016537,36.23,35.9
16,299.845,86.0,360.13,188.3022957391405,325.6326285862644,177.04608936281772,367.3979032451831,38.98,37.91
17,315.771,106.66,394.0,190.41285277999316,360.13101518752865,203.72499803074786,381.65341773601943,41.57,39.8
18,331.153,129.02,424.82,192.47066740997195,392.2853107114769,203.27839613559266,420.88492712819516,44.31,41.79
19,346.339,152.81,456.8,194.31553709501458,425.9048937262872,202.76231047042134,369.85824072840467,47.5,44.12
20,361.522,176.27,487.93,195.93015383604768,459.5480245850263,198.2609214063431,552.8309100707907,50.14,46.03
21,377.041,200.98,521.06,197.37120041533805,495.5099511614272,194.6692817215091,518.463721327876,53.04,48.15
22,392.3,224.38,553.16,198.54215337649956,530.6880413199453,203.48575934172118,528.1924639854851,55.62,50.02
23,407.463,251.03,580.83,200.03752505630624,563.1056774709344,210.75349364584082,674.1720718467067,58.09,51.81
24,422.805,282.53,603.49,201.97941298901466,592.9355040811774,208.16849197984027,606.5023606777271,60.61,53.65
25,438.533,315.38,626.5,203.8058940822237,623.7497858115864,209.78252822678715,571.2678869516974,63.61,55.82
26,454.262,348.03,649.36,205.44506241701728,654.8189716249827,207.34605017494263,651.4732624198815,66.69,58.06
27,469.646,379.13,671.49,206.8552334320841,685.2205148709429,218.92543577354664,593.369705078272,69.59,60.17
28,484.733,411.07,694.66,208.1486487037401,716.8888686539915,218.89233772734553,781.9105064731244,72.87,62.56
29,500.546,441.77,715.85,209.34028986517285,747.0475827549407,207.6599078349939,743.1732897844998,75.72,64.63
30,515.829,476.34,728.21,211.02129006364993,771.9704004688263,228.4006213021293,752.7703847842116,78.5,66.65
31,531.845,514.55,739.92,212.82788046145706,798.4620730504361,230.59897546316196,864.5681692344843,81.69,68.97
32,547.541,551.38,751.18,214.4559520916658,824.5717182271048,232.5072560064692,762.6711655250305,84.86,71.27
33,563.563,590.79,763.23,216.08927594675825,853.3471999719692,222.24313575047984,894.2123797192954,88.13,73.64
34,579.063,627.68,774.97,217.50290689090335,881.2557826760628,222.85647432792481,799.9282869293676,91.17,75.85
35,594.318,663.87,786.58,218.79293882691118,908.7197892089728,211.98738581642522,893.2983002446327,94.55,78.31
36,609.819,700.9,792.25,220.28371492183297,932.8413299698936,237.59243385521205,891.9429972267062,97.75,80.63
37,625.488,739.79,792.16,222.01495865544973,954.70866891424,202.90396796519892,1039.1215233932755,100.78,82.84
38,641.096,776.09,791.54,223.57546384780062,975.0339042310272,226.44937946841466,1073.743465493706,103.99,85.16
39,656.598,815.46,790.85,225.20127620358235,998.3843668647862,228.71928696578098,998.6019205248722,107.02,87.37
40,671.902,851.76,790.41,226.62024329156895,1020.0911789149046,245.20859901355524,1075.3056412956507,110.34,89.78
41,686.982,888.56,790.4,227.9814369818252,1043.2774137304036,235.7737109314242,1050.5180528715432,113.48,92.06
42,702.83,927.67,789.76,229.3905059799366,1068.6894722977297,225.03819456724594,1111.0883810021448,116.36,94.15
43,718.031,966.31,778.94,231.13193473545405,1087.4872546379565,220.95468987443047,1067.8039064061477,119.6,96.51
44,733.125,1003.97,766.72,232.83973920725015,1106.2062050540126,231.45265473105795,1041.614262505161,122.38,98.52
45,748.509,1039.9,754.47,234.43986203746442,1123.9136445919678,243.58313811647034,1054.86800764342,125.59,100.85
46,763.907,1075.33,742.28,235.97213013146654,1142.663434656067,244.46571898014088,1176.3701616886701,128.33,102.85
47,778.894,1111.24,730.14,237.46547742787112,1162.255619259378,242.77539133896698,1283.5925867413398,131.38,105.07
