,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,52.942,2.01,-218.36,359.7740386684238,220.60171554183347,339.48229866060984,210.9565566661536,1.14,2.24
1,68.269,4.73,-187.01,359.6992217271608,190.49262479161757,368.8072796351286,191.52126803022242,3.73,3.48
2,83.387,7.42,-156.32,359.75266615180544,159.8414892948636,350.02013766887706,145.16052759884695,6.73,3.52
3,98.682,10.1,-124.29,359.93223714484066,126.83008870138033,352.181267579265,123.91332006537196,9.95,2.54
4,114.286,10.59,-94.22,1.3427180726820467,95.16613105511856,-0.27715377003536323,138.86379872394954,12.82,0.92
5,129.476,10.61,-62.63,4.5527834225509025,61.604384584216085,7.317533058382014,69.29416729294222,15.5,-1.22
6,144.757,10.61,-32.61,13.578109126192942,30.02929569603656,20.75092229049445,35.45740386734342,17.66,-3.42
7,160.279,10.61,-1.83,113.89180438474074,9.87627966392204,129.9780450035163,10.472129094646405,19.64,-5.83
8,175.592,10.61,28.31,163.40477435116657,38.51425839867619,149.20039237561042,18.404193951816072,21.61,-8.6
9,190.772,10.61,59.13,169.7315803227454,71.7491749081479,213.27982394098063,60.03039113015227,23.4,-11.47
10,206.995,10.45,89.92,172.0654298581719,105.25769995587021,160.78669172638965,110.07227834409109,24.98,-14.33
11,222.513,9.95,121.43,173.2101529157635,139.73,180.3107180564098,166.42207031262427,26.47,-17.32
12,238.242,15.54,150.16,175.8842972974349,170.96088236786798,173.66654081818388,174.21973808852428,27.81,-20.36
13,253.645,24.99,179.44,178.86004824156026,203.07019106702984,171.540866945307,187.88430568992882,29.03,-23.59
14,268.959,35.23,209.32,181.22343698449754,235.1135980754835,179.83574071339305,235.28262311031853,30.21,-25.74
15,284.345,45.04,237.83,182.74203000023704,265.263713500358,181.77543291599912,263.1157599329439,32.35,-27.13
16,299.53,55.26,267.49,183.9082203557042,295.92817794187835,164.49311758402956,298.3232821655448,35.09,-27.75
17,314.833,65.03,296.68,184.66302564302583,325.3569130969865,185.66254543320034,311.01325975283595,38.58,-27.6
18,330.832,75.04,327.45,185.35246813347248,355.8014033137025,188.2658746494971,361.59051095537075,41.85,-26.8
