,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,52.942,2.01,-218.36,359.7740386684238,220.60171554183347,340.6001832769014,240.588337222965,1.14,2.24
1,68.269,4.73,-187.01,359.6992217271608,190.49262479161757,352.46983113622025,257.48291325540674,3.73,3.48
2,83.387,7.42,-156.32,359.75266615180544,159.8414892948636,376.64598708773053,84.03388477080394,6.73,3.52
3,98.682,10.1,-124.29,359.93223714484066,126.83008870138033,365.4809062675979,77.3716606862442,9.95,2.54
4,114.286,10.59,-94.22,1.3427180726820467,95.16613105511856,22.858246323000877,2.931027067616867,12.82,0.92
5,129.476,10.61,-62.63,4.5527834225509025,61.604384584216085,15.805513253151583,190.56659684126853,15.5,-1.22
6,144.757,10.61,-32.61,13.578109126192942,30.02929569603656,21.303983173352655,126.93759561929276,17.66,-3.42
7,160.279,10.61,-1.83,113.89180438474074,9.87627966392204,124.53269517209871,129.19042503806037,19.64,-5.83
8,175.592,10.61,28.31,163.40477435116657,38.51425839867619,162.02237695277668,91.57115744805104,21.61,-8.6
9,190.772,10.61,59.13,169.7315803227454,71.7491749081479,186.93005906655787,133.3409664389921,23.4,-11.47
10,206.995,10.45,89.92,172.0654298581719,105.25769995587021,195.62225381484748,65.3366240312185,24.98,-14.33
11,222.513,9.95,121.43,173.2101529157635,139.73,190.10036248686333,245.49908969516753,26.47,-17.32
12,238.242,15.54,150.16,175.8842972974349,170.96088236786798,197.4686207304499,133.86452274196446,27.81,-20.36
13,253.645,24.99,179.44,178.86004824156026,203.07019106702984,170.92286052653677,187.56052399657688,29.03,-23.59
14,268.959,35.23,209.32,181.22343698449754,235.1135980754835,195.86899564936502,233.03074526816124,30.21,-25.74
15,284.345,45.04,237.83,182.74203000023704,265.263713500358,194.17937530443908,243.7577957400302,32.35,-27.13
16,299.53,55.26,267.49,183.9082203557042,295.92817794187835,212.05795478244517,352.0269390733559,35.09,-27.75
17,314.833,65.03,296.68,184.66302564302583,325.3569130969865,182.4708088204148,330.209830309164,38.58,-27.6
18,330.832,75.04,327.45,185.35246813347248,355.8014033137025,205.44438050744424,368.4153349927773,41.85,-26.8
19,346.459,84.35,355.21,185.94401104633448,382.97906209086676,190.52594757807123,388.8731590584554,44.69,-25.71
20,362.354,98.66,382.61,187.1447742306325,410.0439727638976,201.29991026777242,489.04679555925793,47.66,-24.25
21,377.971,117.45,408.75,188.7728254410979,436.2133342757876,195.71973389499257,423.3865528000028,50.92,-22.36
22,393.998,135.55,433.68,190.20289837159515,461.45718457945804,195.9928584708053,468.96751853816033,53.81,-20.48
23,409.716,154.42,459.0,191.55622951886085,487.2471949637063,196.9936648335863,522.8776117521973,56.81,-18.37
24,424.804,172.45,482.93,192.73052093512564,511.7399520264174,198.6824545793492,450.07841709970063,59.68,-16.23
25,440.621,191.07,507.64,193.84693750267752,537.3357594651598,204.6700448948132,530.3093348167911,62.47,-14.08
26,456.323,209.64,532.95,194.85606852212464,563.7856916417799,186.5139356525385,604.6526993925207,65.09,-11.99
27,471.741,227.81,557.75,195.74613837084354,589.699335085262,195.4043858283812,660.2079379448267,67.78,-9.82
28,486.839,249.98,580.24,196.99042717049812,614.7935296504022,189.1851857948616,638.092635761421,70.33,-7.72
29,502.327,276.27,599.13,198.5696364783433,637.637104629271,211.88145260852974,621.7139100568141,73.21,-5.31
30,517.704,302.69,617.64,200.08071687851185,660.9704892807242,207.03330553107378,744.4691234698442,75.75,-3.15
31,533.203,328.41,635.65,201.4476806364963,683.9846740973076,209.53514815976828,689.2750853835119,78.31,-0.97
32,548.912,353.77,653.41,202.69470615589898,706.6752182580057,196.3550936067685,723.8446410012546,81.12,1.45
33,564.526,378.14,670.72,203.80556273941988,728.8283644315719,208.34858965635902,753.0790550689868,83.96,3.9
34,579.71,403.73,689.3,204.90794714082344,753.297511279574,216.66833088820405,766.0398609758817,86.47,6.07
35,595.105,429.93,708.02,205.96935302269014,778.140046842469,216.06852552389407,768.3863292230834,89.19,8.45
36,610.819,458.14,722.13,207.25771915350597,800.5350580705382,226.15077431317107,838.5374237111309,91.5,10.49
37,625.908,487.6,731.53,208.81161941473636,820.8430063051034,235.41667118777517,781.8072212152999,92.01,12.3
38,641.936,516.99,740.53,210.39056457769934,841.8995287443746,222.68608250787312,834.0567873875175,91.08,14.31
39,657.957,547.2,749.77,211.9839720465552,865.1417101261503,256.4752791558853,861.639345048098,88.95,15.96
40,673.253,577.39,759.0,213.48559877738705,889.8779092100219,220.5147082482625,861.6635364230573,86.42,16.82
41,688.442,608.06,768.71,214.93175872580613,916.78246852784,241.91115145835872,936.454445766613,83.11,17.1
42,704.248,638.66,778.64,216.2749916008746,945.016939795261,197.57288587025076,967.4704176416345,79.53,16.78
43,719.545,668.17,787.86,217.4716899965469,972.2876301280397,209.37395404466537,991.5384538708157,76.66,16.2
44,734.745,697.15,792.07,218.75127412475615,995.9088546649236,230.3611540152329,1004.2935351333471,73.77,15.39
45,750.141,727.87,792.21,220.1871544760593,1018.168007992787,219.67538309252768,1059.7579606391844,70.86,14.39
46,765.64,758.79,791.88,221.5803265147206,1040.819413347003,234.9593876034605,1136.5148212635281,68.03,13.32
47,781.348,791.0,791.32,222.97399269780288,1065.0665581549351,227.01909224943105,1128.05296217453,64.98,12.05
48,796.424,822.45,790.77,224.279820369995,1089.7022757157113,216.0630562153044,958.0610466375415,61.66,10.61
49,812.061,853.19,790.4,225.48970802174043,1114.4056360679444,248.77895089723862,1183.6637105817572,58.48,9.16
50,827.558,884.84,790.38,226.67395385257882,1141.0784857318097,233.19179242588658,1068.8979158775142,54.75,7.43
51,843.071,914.94,790.13,227.75383300647587,1166.5176783058198,236.50361406532937,1098.5993656070627,51.41,5.86
52,858.371,944.74,785.72,228.92034466331373,1188.8615603593212,227.3947389996719,1210.5664165320688,48.58,4.51
53,873.632,974.7,776.19,230.2429585259585,1209.3190077064035,241.51701125178545,1161.5211729956757,45.02,2.79
54,889.307,1004.37,766.55,231.50977386688473,1229.4395968895747,242.14391444356056,1318.176055239186,42.07,1.37
55,904.607,1032.74,756.94,232.70336258154725,1249.7406632177735,232.1479082324287,1298.19805353487,38.56,-0.33
56,919.804,1061.68,746.98,233.8828351638341,1270.429635398986,228.94347312734436,1247.9909612281785,35.41,-1.86
57,935.41,1091.19,736.82,235.04825844421885,1292.3681663132993,243.67848094268786,1230.835372655979,31.92,-3.56
58,951.151,1118.89,727.63,236.09772685353212,1314.2324537539014,231.72284638121818,1345.4734205610841,28.09,-5.42
59,966.597,1148.92,717.82,237.18695656266388,1337.7940566843613,233.4144188084162,1411.067001264229,24.58,-7.13
60,982.223,1176.06,706.04,238.24309943875002,1357.9855946584998,246.06161839485532,1378.2056583837807,21.38,-8.69
61,997.311,1202.28,687.48,239.49287211499114,1374.8569251016631,249.14262652362527,1478.7672498548536,17.75,-10.46
62,1013.013,1227.8,668.9,240.6965463040516,1390.9916031378477,258.82041021281185,1431.7792906051995,14.8,-11.9
63,1028.823,1252.37,650.46,241.85108277896728,1408.4559590203735,254.84320644146885,1461.6788809482225,10.5,-14.0
64,1044.726,1277.58,631.47,243.00805206607566,1426.150075693298,273.6823728299313,1427.4645742067423,6.78,-15.81
65,1060.131,1302.29,612.85,244.11422310898288,1444.0244888851435,243.12997575780497,1477.489261587845,3.15,-17.58
66,1075.737,1327.58,594.32,245.19907123054944,1463.310096527732,237.73946591060354,1468.365628335579,-0.77,-19.49
67,1091.336,1351.39,576.94,246.19206924953863,1481.8716439017248,235.4851507222998,1408.9416503965608,-4.38,-21.25
68,1106.741,1375.46,556.35,247.27679522891597,1499.9755166668554,236.1504460443922,1631.8835324762847,-8.09,-23.06
69,1122.036,1394.41,530.49,248.4499408223331,1511.595024403031,250.57101952163885,1520.392764805691,-11.52,-24.74
70,1137.416,1411.23,506.5,249.51112251731965,1522.5460248544211,248.36879552377755,1543.6815371462892,-15.0,-26.43
71,1153.123,1429.34,480.64,250.63406047773643,1535.583384254987,240.97072461406532,1613.8136235031543,-19.36,-28.56
72,1168.851,1447.47,454.75,251.74170889935561,1548.7012226378592,267.534224549356,1569.5521741184752,-23.26,-30.46
73,1184.585,1465.55,429.05,252.82494381479842,1562.0463180392571,266.39607055720296,1587.8738344212309,-26.84,-32.21
74,1200.067,1483.59,404.15,253.85871127374855,1576.5073954790062,244.7992848288109,1612.373689603275,-30.77,-34.13
75,1215.663,1502.07,378.51,254.906025163119,1591.3412411233487,243.89674758223913,1552.9317571758859,-34.37,-35.88
76,1231.265,1518.06,352.79,255.91749059828493,1603.9031634110584,275.65614959104994,1691.266576817685,-37.64,-37.47
77,1246.853,1528.26,323.04,256.9984801374744,1611.276528377423,252.88887138241554,1643.9217132571746,-41.71,-39.46
78,1262.56,1537.3,293.66,258.0534569701923,1617.5441351011107,260.4726432871911,1604.5321630443461,-45.21,-41.17
79,1277.974,1546.73,262.82,259.1523171444958,1624.5593028572396,250.99651410161667,1683.9808664270795,-48.8,-42.92
80,1293.355,1555.53,234.01,260.1686963688164,1631.7628333799003,269.1120845309639,1664.2189450962826,-52.27,-44.61
81,1308.951,1564.6,204.65,261.19150061517763,1640.0836777737898,249.81899655280213,1611.0321297948963,-56.14,-46.5
82,1324.241,1573.89,175.95,262.18422724181323,1649.0388415377001,277.4609207406095,1671.8794474916804,-59.83,-48.3
83,1340.253,1583.28,146.7,263.18051803290484,1658.8963759077901,283.54904870816284,1674.6262155484424,-63.88,-50.28
84,1355.486,1591.52,116.78,264.19158702146115,1667.4509271939608,252.8162595341322,1698.897018892987,-67.37,-51.97
85,1371.21,1592.44,86.03,265.19924213448985,1669.115671156436,285.4503146680856,1702.4312423897695,-70.82,-53.66
86,1386.816,1592.04,54.66,266.2252067866159,1669.782545872366,277.9162020987997,1719.0319052838472,-74.12,-55.27
87,1402.309,1591.5,23.71,267.2292374284804,1671.2838397471567,276.907508316476,1630.5456062144783,-77.83,-57.08
88,1417.699,1590.97,-6.88,268.2185276697271,1673.3387825840887,293.4193401608285,1689.1036971583994,-81.56,-58.9
89,1432.787,1590.5,-35.57,269.1488016652004,1675.4548889779157,270.99205972506627,1647.8462677117843,-84.77,-60.46
90,1448.592,1590.42,-67.79,270.18563351296547,1679.058812579238,262.0676506311193,1718.0815222856656,-88.63,-62.35
91,1463.868,1590.37,-97.74,271.1474784906268,1682.817470910021,283.38077632332454,1635.9291374745535,-92.11,-64.04
92,1479.587,1589.66,-128.45,272.1241010418087,1686.809020873436,267.44788719075217,1599.5522079328666,-95.99,-65.93
93,1495.186,1581.62,-157.82,273.0630393231148,1683.9257438497698,286.69433690920954,1679.1303568044343,-99.9,-67.84
94,1510.682,1572.41,-186.31,273.99497351507364,1679.370591650336,282.9120322588836,1814.6896908691026,-102.88,-69.31
95,1526.076,1562.76,-215.74,274.9675179557993,1674.770524818251,273.29472531328116,1744.524344853613,-105.72,-70.72
