,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,23.163,0.0,-250.0,0.0,250.0,-0.0059797974651031975,250.09837132480004,0.0,0.0
1,38.533,0.0,-250.0,0.0,250.0,-0.1277226798779152,257.823257598316,0.0,0.0
2,53.842,1.43,-225.18,359.7849552527773,226.47159512839576,359.81634261913024,218.80931582523377,0.58,1.29
3,69.993,4.35,-191.4,359.5888287140919,193.69498754485102,358.9252192883898,195.0957787015578,2.96,2.29
4,85.489,7.38,-156.78,359.45069435735127,158.54728632177844,359.2948140235283,160.0453288505162,5.86,1.76
5,101.412,10.17,-123.12,359.1594559365493,123.38327682469776,359.03736033796406,125.85047724437942,8.36,0.25
6,116.905,10.66,-89.4,359.94757336061065,87.43003660070148,359.82919358068267,81.58284072277313,10.58,-1.97
7,132.224,10.67,-55.57,2.0113265358153996,51.00142154881568,2.1076905525796685,48.12087008985774,12.46,-4.6
8,147.51,10.67,-20.82,14.452010853286382,13.703623608374539,14.463091836891559,12.85936015803041,14.09,-7.55
9,162.893,10.67,11.42,167.61025944375962,22.790781030934415,168.1371856815951,18.35558479697655,15.56,-10.84
10,177.993,10.67,46.88,174.38226562005866,60.781926590064586,174.3064925274051,62.57811457946585,16.62,-13.61
11,193.788,10.58,78.45,175.71907153957494,95.51648758198765,175.84007772094856,130.37811974254882,17.71,-16.8
12,209.17,10.03,113.15,176.27363423426027,133.40203634127928,176.37121534562462,68.14914181422103,18.7,-19.97
13,224.565,14.24,145.11,178.1531572110503,168.48752149640043,178.07971248801798,168.1120489349454,19.67,-23.29
14,239.643,24.79,178.17,181.20206813032883,204.49500385094987,181.2319065451214,189.08273543623397,20.5,-26.28
15,254.939,35.41,210.29,183.36870410360456,239.95462404379708,183.27135008943188,249.89273072078657,21.31,-29.25
16,270.246,46.7,243.13,185.07731726575622,276.83625575419126,184.94284418274128,237.13012606030543,22.2,-32.62
17,286.142,57.72,275.14,186.36789851341456,312.8602801571334,186.41308805102935,326.58625388657293,23.02,-35.79
18,301.332,68.72,307.83,187.39245708037424,349.4344609508341,187.52641366326176,340.2961220678508,23.76,-38.7
19,316.652,79.27,340.24,188.15340928146338,385.90072933333516,188.14001822729202,370.29931247301386,24.54,-41.76
20,332.169,91.47,372.07,189.0204078463662,422.0395494500486,189.15554859614113,416.8426839342858,25.3,-44.75
21,347.748,110.3,399.2,190.67281466608625,454.85870080718473,190.4988587237569,470.010192095853,26.06,-47.79
22,363.237,130.71,427.26,192.26492302520404,489.14432277191975,191.50409910868038,463.18727536779073,26.8,-50.72
23,378.657,150.52,453.66,193.62156537109587,522.1055621232167,193.7716025564961,515.1969775301324,27.56,-53.76
24,394.068,171.85,481.97,194.9196335897564,557.5149953140275,195.3505657236752,499.91287387194694,28.31,-56.75
25,409.96,191.74,508.48,195.97348878744776,591.1134011338264,195.94747481427328,567.6151432417768,29.07,-59.81
26,425.24,211.66,535.82,196.900312628307,625.5774398106121,196.67161686088392,501.02835821047006,29.8,-62.74
27,440.526,232.2,563.58,197.7648853640564,660.872680022408,197.63725884614286,659.041069778818,30.56,-65.78
28,456.244,256.6,585.11,198.9767429230845,692.2535294240109,199.26066875194786,700.6034692107428,31.49,-69.52
29,471.619,283.61,604.25,200.32839470716576,722.8834321659336,200.32097731815256,661.8956024039107,32.48,-73.61
30,487.206,311.91,624.07,201.65789825787368,754.720216504103,201.57588800081533,767.6349345400538,33.37,-77.37
31,503.224,339.08,643.1,202.7941753433516,786.3521005885341,202.8140114019463,817.7106811745456,34.43,-81.84
32,519.154,367.49,663.07,203.93719731166425,818.8595010745129,203.95952780196004,728.9812619459902,35.25,-85.36
33,534.165,394.87,682.9,204.90930211758328,851.5774412817663,204.9363804607929,853.6094281698911,36.2,-89.46
34,549.985,423.09,703.17,205.8603195013555,885.0042625886047,205.85071663674273,882.1951523205051,37.07,-93.21
35,565.294,451.69,720.07,206.85658324971595,915.8426891120549,206.84387351019262,949.6098119792996,37.95,-96.99
36,580.293,483.79,730.48,208.18356643663844,942.4135357686667,208.03461357221798,900.2060207946622,38.69,-100.2
37,596.397,516.12,740.37,209.40420524900742,970.2267673590541,209.31498821258594,989.5698751275495,39.77,-104.87
38,611.696,549.39,750.54,210.6509971759738,998.1417813617462,210.91296810951937,993.6816872904753,40.53,-108.15
39,627.182,580.88,760.17,211.74341753944896,1025.4198072009337,211.74564148441752,1018.5622336023447,41.39,-111.86
40,642.362,613.34,770.36,212.80390726169807,1054.1091435425462,212.7243347770667,1042.8160742657126,42.26,-115.65
41,657.64,646.14,781.01,213.78798638251214,1084.0799116301343,213.59471664876673,1076.4043291709797,43.26,-119.97
42,673.009,677.92,790.65,214.72563922349144,1112.5830417546367,214.8232377621942,1105.3742267530854,44.14,-123.77
43,688.102,708.18,792.15,215.79113724783565,1133.9149751634818,215.81562079932226,1127.699422080194,45.03,-127.63
44,703.394,743.84,792.13,217.09435906966576,1157.346881189905,217.0928513396382,1124.1847090101512,45.81,-131.02
45,718.787,777.0,791.6,218.2603036246987,1179.4872801348897,218.40852798503576,1181.5425288936183,46.62,-134.54
46,734.276,809.88,791.03,219.3516420695966,1202.2336123233288,219.1583812987764,1217.017633062349,47.57,-138.62
47,749.677,844.61,790.44,220.49860678899594,1226.1222024333465,220.4927117879081,1241.7870856088853,48.33,-141.93
48,764.663,879.36,790.36,221.60321557664872,1250.5870389940878,221.54373060785423,1299.9982848602763,49.01,-144.78
49,780.372,913.17,790.17,222.6286613185056,1274.9021989156658,222.594766702225,1274.5196718000284,49.75,-147.85
50,795.77,946.86,785.17,223.75579068735686,1296.078757252043,223.820838537318,1283.2725490294267,50.51,-150.98
51,811.883,979.73,774.64,224.9966062303178,1313.1609345773275,224.82898121984104,1300.7508031465761,51.24,-153.96
52,827.384,1012.68,763.78,226.20685614522648,1330.815618183075,226.29238690362348,1324.001720257949,52.04,-157.22
53,842.881,1045.51,752.5,227.405067491271,1348.5303641001192,227.35834044594668,1349.050275822609,52.78,-160.2
54,858.476,1076.86,741.71,228.51184433587196,1366.0792886212719,228.37827583134634,1366.4529903497973,53.54,-163.27
55,874.189,1108.88,730.92,229.6115007801463,1384.592058658434,229.70542602156462,1382.761750196955,54.28,-166.25
56,889.88,1141.89,720.17,230.7027281847183,1404.4341859268452,230.96552696987493,1426.9827054440593,55.04,-169.32
57,905.374,1173.01,708.02,231.75429601212306,1422.4880786143692,231.77208813216953,1424.2329381442876,55.84,-172.55
58,920.771,1201.39,688.25,232.95720033728048,1434.2025303282658,233.01669834248167,1432.744258594193,56.63,-175.73
59,936.171,1229.96,667.27,234.19159806800963,1445.896133786933,234.29362561946297,1450.4638585032142,57.37,-178.69
60,951.562,1256.86,647.02,235.31429358722067,1457.5949862701916,235.35396225880424,1464.9673061599728,58.3,-182.46
61,966.871,1284.61,626.1,236.4509789285157,1470.278927618838,236.36043108837808,1485.6139934849584,59.26,-186.45
62,982.364,1311.19,606.28,237.51328174700484,1483.1017284057086,237.50668180315085,1506.3264569133541,60.17,-190.3
63,997.96,1337.82,586.91,238.5684016216993,1496.4899472098032,238.55882641695766,1499.6444947808193,60.92,-193.48
64,1013.451,1365.67,566.23,239.68523821401723,1509.6977092451323,239.74942832811305,1466.4323610421409,62.4,-195.79
65,1028.851,1386.85,540.57,240.83730444594246,1514.166450064193,240.7578694418847,1514.3853450652136,64.62,-197.27
66,1044.446,1406.55,513.08,242.01590513218815,1516.0270982076804,242.78140381100332,1521.00546959113,67.78,-198.28
67,1059.637,1425.98,485.35,243.20918193185412,1517.434342599376,243.0916084813395,1519.6487987624437,71.43,-198.61
68,1075.237,1445.92,456.87,244.46027547711483,1520.0048681829937,244.33386189075816,1515.61723640602,74.44,-198.46
69,1090.425,1465.42,429.26,245.678707134922,1523.1161261046382,245.77967292076306,1516.70935405243,77.48,-198.04
70,1105.722,1485.82,401.13,246.9274334728625,1527.060742275827,248.1037594545096,1519.3363762801453,80.91,-197.32
71,1121.433,1504.95,374.38,248.1111158969222,1531.325392266451,247.86894096846484,1525.5656860845163,84.02,-196.51
72,1136.943,1521.15,344.43,249.36491174116648,1532.1999905038508,248.74760045586677,1534.6089318502325,87.25,-195.54
73,1152.168,1531.51,312.44,250.61902185617623,1527.8381876691,250.80888578774304,1530.2793461741637,90.25,-194.57
74,1167.287,1541.39,280.19,251.88541767909643,1523.6155185610314,251.7967734199486,1520.958907662459,93.29,-193.53
75,1182.604,1551.04,248.64,253.13367282028224,1519.4398207563208,252.95776592438872,1536.683295127104,96.96,-192.21
76,1198.644,1561.16,215.54,254.45024330988804,1516.4033731497698,254.54206109974805,1510.6107228864296,100.26,-190.97
77,1214.294,1570.96,184.95,255.67571277807224,1514.8554260060594,255.6273537606571,1504.536977650782,103.2,-189.84
78,1229.818,1581.84,151.27,257.02955289558946,1513.8442775926458,257.00378063123054,1506.2194818970006,106.62,-188.51
79,1244.798,1591.25,119.08,258.31639839942943,1512.8857684901395,258.41482589692515,1518.980493962312,109.71,-187.29
80,1259.997,1592.47,84.62,259.63365911924257,1504.2127391097313,259.64422026931925,1521.8375632338502,112.81,-186.05
81,1275.298,1592.0,51.71,260.8999562318386,1494.5103769796983,260.73364232310183,1485.1106515704353,116.3,-184.66
82,1290.68,1591.42,18.51,262.1902128137978,1485.6701203497362,262.14741400253746,1489.381169399867,119.53,-183.37
83,1305.983,1590.84,-14.62,263.4926363031984,1477.6198636997271,264.3652004715009,1567.4101602055543,122.74,-182.08
84,1321.069,1590.43,-49.96,264.89231156888854,1470.5493635033133,264.850625992937,1473.1025145727344,125.72,-180.88
85,1336.473,1590.42,-85.41,266.31226611740215,1464.582548885518,266.5402533934391,1466.0411787627938,128.87,-179.61
86,1351.756,1590.05,-120.13,267.7169397451718,1458.9681046890641,267.5757990830799,1470.4315553643098,132.24,-178.25
87,1367.282,1583.33,-152.5,269.0382270897146,1447.693955952017,269.01780895664615,1440.131621864009,135.84,-176.8
88,1382.971,1572.79,-185.18,270.38398529740294,1433.9522023066181,270.38020474890135,1431.9506826977458,138.87,-175.57
89,1398.291,1561.96,-218.06,271.76606270052633,1420.5647822257176,271.72740260840516,1419.4439640393869,142.07,-174.28
90,1414.026,1550.8,-250.55,273.1672278079841,1407.2295011475562,272.99103324765105,1416.1170709086916,145.72,-172.8
91,1430.08,1539.83,-282.41,274.56208235533194,1395.1602375712978,274.45693031631765,1391.660984821214,149.09,-171.44
92,1445.422,1528.85,-315.21,276.0212496407727,1383.925031567823,275.9579543204225,1382.873817648339,152.56,-170.04
93,1460.54,1518.07,-348.12,277.49966528775155,1374.1146939393377,277.4399618432883,1366.586607502866,155.71,-168.77
94,1475.971,1504.85,-377.46,278.86479113226267,1362.3334126417071,278.78061770422255,1374.4909489821962,158.79,-167.52
95,1491.618,1484.66,-405.73,280.2638465617166,1344.9218897765031,280.2624856923084,1344.5541889556744,161.26,-166.09
96,1507.938,1463.83,-434.42,281.75131119586354,1328.412446268101,282.04113660697146,1336.1887900173797,163.26,-163.87
97,1523.873,1444.2,-460.89,283.18629256684216,1314.0570785548093,283.13370251425596,1313.2183499819967,164.79,-161.13
98,1539.386,1423.82,-487.95,284.68254284056775,1300.4253587576643,284.7077289475206,1278.1956184239443,165.86,-158.34
99,1554.734,1403.47,-515.0,286.21803477737006,1288.0363488659782,286.2040153023361,1268.7121832312134,166.69,-155.26
100,1570.553,1383.52,-542.32,287.79846714176756,1277.325921485977,289.28840105663085,1280.4134767306016,167.33,-151.88
101,1586.866,1363.66,-568.59,289.3759250310301,1267.6149947440667,289.32495443763224,1266.5880341970353,167.84,-148.04
102,1602.355,1336.85,-589.79,290.8374742695453,1250.5119620779321,290.7379212947666,1296.5754773075191,168.13,-144.96
103,1617.963,1307.75,-610.3,292.35413029018105,1231.982481044272,292.3352251863719,1223.734303494945,168.35,-141.74
104,1633.983,1280.77,-629.2,293.8111305540321,1215.7096812150508,293.8070242112954,1214.3122686882211,168.54,-138.39
105,1649.485,1253.58,-648.23,295.3090694878292,1200.0908513941765,295.27316955456894,1201.2479194510734,168.68,-135.19
106,1664.768,1225.29,-668.29,296.90051260479004,1184.7025365888267,296.85660009579465,1212.9501641332292,168.78,-132.28
107,1680.373,1198.66,-687.62,298.4757192376551,1171.5101886027285,298.33519740665423,1180.594445692628,168.88,-129.06
108,1696.061,1171.69,-706.84,300.0849325313955,1158.845926342238,300.0838006449899,1161.9148874395387,168.96,-125.93
109,1711.455,1140.6,-722.72,301.6966835242536,1141.8812698787908,302.0677604678709,1151.9225727160149,169.04,-122.75
110,1726.729,1107.73,-733.05,303.1665534018448,1121.3094624143685,303.0634737800759,1125.2035361712476,169.1,-119.61
