,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.842,1.43,-225.18,359.7849552527773,226.47159512839576,361.7061136212785,225.21210708484722,0.58,1.29
1,69.993,4.35,-191.4,359.5888287140919,193.69498754485102,367.6425817599594,192.3918758703812,2.96,2.29
2,85.489,7.38,-156.78,359.45069435735127,158.54728632177844,360.6850346366928,285.65278792037543,5.86,1.76
3,101.412,10.17,-123.12,359.1594559365493,123.38327682469776,360.6918086873367,158.83062200106284,8.36,0.25
4,116.905,10.66,-89.4,359.94757336061065,87.43003660070148,365.2839427071542,89.00902217512764,10.58,-1.97
5,132.224,10.67,-55.57,2.0113265358153996,51.00142154881568,14.54527514754033,53.46512890551886,12.46,-4.6
6,147.51,10.67,-20.82,14.452010853286382,13.703623608374539,19.036912804474706,17.00862962682053,14.09,-7.55
7,162.893,10.67,11.42,167.61025944375962,22.790781030934415,168.36421691141192,12.627374116298196,15.56,-10.84
8,177.993,10.67,46.88,174.38226562005866,60.781926590064586,176.46602617393557,58.506915483359066,16.62,-13.61
9,193.788,10.58,78.45,175.71907153957494,95.51648758198765,163.81588304474175,85.68876134564414,17.71,-16.8
10,209.17,10.03,113.15,176.27363423426027,133.40203634127928,206.51536725819943,125.311703061551,18.7,-19.97
11,224.565,14.24,145.11,178.1531572110503,168.48752149640043,179.1331834504762,159.21489686666666,19.67,-23.29
12,239.643,24.79,178.17,181.20206813032883,204.49500385094987,181.23402991886496,200.71018476654328,20.5,-26.28
13,254.939,35.41,210.29,183.36870410360456,239.95462404379708,183.22130237236442,242.30709389707488,21.31,-29.25
14,270.246,46.7,243.13,185.07731726575622,276.83625575419126,187.2507114332752,278.498465433565,22.2,-32.62
15,286.142,57.72,275.14,186.36789851341456,312.8602801571334,180.17346790096846,305.49922669264384,23.02,-35.79
16,301.332,68.72,307.83,187.39245708037424,349.4344609508341,185.7128924118192,327.89779513443466,23.76,-38.7
