,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.842,1.43,-225.18,359.7849552527773,226.47159512839576,380.22856808675704,242.2236971998697,0.58,1.29
1,69.993,4.35,-191.4,359.5888287140919,193.69498754485102,373.3458641288831,195.78641629009167,2.96,2.29
2,85.489,7.38,-156.78,359.45069435735127,158.54728632177844,360.0617363892326,121.79217007775097,5.86,1.76
3,101.412,10.17,-123.12,359.1594559365493,123.38327682469776,375.8072918575878,138.47778725764542,8.36,0.25
4,116.905,10.66,-89.4,359.94757336061065,87.43003660070148,360.21161482200534,85.34704778292934,10.58,-1.97
5,132.224,10.67,-55.57,2.0113265358153996,51.00142154881568,-2.1648519501666312,44.08805949360119,12.46,-4.6
6,147.51,10.67,-20.82,14.452010853286382,13.703623608374539,7.154644106581043,-41.91094179502204,14.09,-7.55
7,162.893,10.67,11.42,167.61025944375962,22.790781030934415,173.82697835628034,15.41979791351233,15.56,-10.84
8,177.993,10.67,46.88,174.38226562005866,60.781926590064586,176.2234047211251,65.16993940043896,16.62,-13.61
9,193.788,10.58,78.45,175.71907153957494,95.51648758198765,169.5776914139665,80.76295695157228,17.71,-16.8
10,209.17,10.03,113.15,176.27363423426027,133.40203634127928,197.97623903267203,178.98891711288036,18.7,-19.97
11,224.565,14.24,145.11,178.1531572110503,168.48752149640043,203.7460255601707,265.97303484480375,19.67,-23.29
12,239.643,24.79,178.17,181.20206813032883,204.49500385094987,205.03374783797824,234.13906808338584,20.5,-26.28
13,254.939,35.41,210.29,183.36870410360456,239.95462404379708,183.92269263907548,288.9072961508358,21.31,-29.25
14,270.246,46.7,243.13,185.07731726575622,276.83625575419126,174.11014462905112,378.2085966207484,22.2,-32.62
15,286.142,57.72,275.14,186.36789851341456,312.8602801571334,218.54293114056725,348.80642454358133,23.02,-35.79
16,301.332,68.72,307.83,187.39245708037424,349.4344609508341,207.73624071199697,437.64275334877414,23.76,-38.7
17,316.652,79.27,340.24,188.15340928146338,385.90072933333516,209.06480419928818,359.2668342767508,24.54,-41.76
18,332.169,91.47,372.07,189.0204078463662,422.0395494500486,189.38819815424483,431.29467396228233,25.3,-44.75
19,347.748,110.3,399.2,190.67281466608625,454.85870080718473,203.2813068988155,531.5449143749471,26.06,-47.79
20,363.237,130.71,427.26,192.26492302520404,489.14432277191975,163.77512822992955,536.5820676412325,26.8,-50.72
21,378.657,150.52,453.66,193.62156537109587,522.1055621232167,203.54514645194044,539.3075936206516,27.56,-53.76
22,394.068,171.85,481.97,194.9196335897564,557.5149953140275,203.71104213552968,616.3678524400091,28.31,-56.75
23,409.96,191.74,508.48,195.97348878744776,591.1134011338264,186.5622403247234,624.6973460565177,29.07,-59.81
24,425.24,211.66,535.82,196.900312628307,625.5774398106121,201.8393242725906,665.5467117107937,29.8,-62.74
25,440.526,232.2,563.58,197.7648853640564,660.872680022408,226.84293137468126,659.876425480141,30.56,-65.78
26,456.244,256.6,585.11,198.9767429230845,692.2535294240109,195.42332050662026,717.7660484816903,31.49,-69.52
27,471.619,283.61,604.25,200.32839470716576,722.8834321659336,234.30348193763461,754.0187527364506,32.48,-73.61
28,487.206,311.91,624.07,201.65789825787368,754.720216504103,217.13487412612585,747.0036524795668,33.37,-77.37
29,503.224,339.08,643.1,202.7941753433516,786.3521005885341,199.71681978822238,703.7385922321321,34.43,-81.84
30,519.154,367.49,663.07,203.93719731166425,818.8595010745129,211.88211954786811,830.6778772653009,35.25,-85.36
31,534.165,394.87,682.9,204.90930211758328,851.5774412817663,232.15615445140966,982.6710259398667,36.2,-89.46
32,549.985,423.09,703.17,205.8603195013555,885.0042625886047,223.1398623273477,775.1150923925235,37.07,-93.21
