,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.26,1.39,-225.26,358.32304085649946,228.9480563359296,366.7501312813787,257.9034711049918,-5.31,3.59
1,68.608,4.78,-185.96,353.0429261492482,185.34465975581818,353.75173356447993,187.64804155065605,-17.67,-1.98
2,83.686,8.14,-147.58,344.9245138269969,139.8739003531395,337.8013741350081,157.34297331118015,-28.24,-12.52
3,98.6,10.52,-110.64,330.902189384492,99.17705631848527,328.96132699649706,99.38787572328367,-37.71,-23.98
4,113.822,10.61,-73.02,303.28958337175357,68.2492058561856,304.917565033318,67.66955607599436,-46.44,-35.56
5,129.058,10.61,-34.92,256.1494178098212,54.63871246652871,252.7676341090056,60.99703861456631,-42.44,-48.0
6,144.154,10.61,1.54,215.2370363308455,72.2233272565035,214.13687259305232,67.2421883820661,-31.06,-57.45
7,159.618,10.61,40.49,195.180005572096,109.71829838272194,172.89468700277735,112.99769183275224,-18.12,-65.4
8,175.12,10.6,77.69,185.96572580961254,151.058093460761,164.74444235432668,153.39571028949246,-5.1,-72.55
9,190.412,10.02,115.69,180.8284788605261,185.34937631403022,186.84004856537035,178.28663739760935,7.34,-69.64
10,206.14,15.98,151.42,179.6907398992488,209.35304965536088,177.36386785341938,205.82029304785164,17.11,-57.93
11,221.746,27.66,187.38,180.5837760038931,232.612073848285,177.00248987353376,243.90891999222737,25.29,-45.22
12,237.455,40.8,225.64,181.63314605770057,257.5446159406172,185.67743435791294,262.3124676798411,33.46,-31.8
13,252.559,53.83,263.51,182.50216437662476,282.1990561642615,182.82200341883166,288.18039537563993,41.51,-18.42
14,268.063,65.82,299.09,183.0536341441578,304.4823326565927,182.01611632049824,296.7610415889437,49.6,-4.96
15,283.727,78.15,336.94,183.62673052717554,329.77042271859375,189.13170798697342,545.9982307633312,57.29,7.83
16,298.973,91.95,373.16,184.33248562045156,353.03882194455616,185.73040611915056,335.70919259833244,65.28,21.13
17,314.389,114.31,405.11,186.32526620009418,373.05095952161815,186.82814165840398,376.2596504423341,73.21,34.33
18,329.907,139.02,438.22,188.42574655164015,394.9427797795524,179.17261402964704,420.19869919328517,81.15,47.54
19,345.945,162.7,469.65,190.1701770175307,414.78728343573886,189.42630155209807,397.0558075844089,89.46,61.38
20,361.565,186.4,501.22,191.7666787763468,435.45049087123556,191.38067021981104,435.17178230528276,97.6,74.92
21,376.773,208.86,532.06,193.08824926892015,455.9032585976985,169.97834591601924,466.3630295286818,105.62,88.0
22,392.381,232.83,564.37,194.40306445566043,478.08632065768205,192.61644152058616,493.77130544951603,113.91,101.31
23,408.002,261.02,588.43,196.75239244366114,495.63508713568694,208.64865360907285,506.95890903810897,118.16,113.83
24,423.413,293.82,611.48,200.70988104193742,519.1776737302944,201.97389426562395,529.2137663548799,110.22,125.85
25,438.846,325.15,633.42,204.49180553678647,546.0206238778898,198.0763600351677,540.8293144118005,98.79,136.53
26,454.058,357.25,655.9,207.904864124474,576.6607031001853,201.53866509096503,577.3443803503917,87.37,146.29
27,469.538,388.54,678.28,210.9658553199711,608.636474178142,224.7306784042513,674.3589619604903,75.38,156.39
28,484.941,420.0,701.0,213.6574281108465,642.6618841194801,213.1818664829949,645.7480608155739,63.82,166.07
29,500.366,453.56,720.99,216.3784722958036,677.1689077327753,212.14462628142385,675.8587100731819,51.92,175.79
30,515.967,490.23,732.62,219.4853474578824,708.5761227983908,211.8456573580066,718.9736690302442,39.66,185.75
31,531.169,529.68,744.68,222.12465975706453,749.2106935301978,220.4591117009718,1075.7489901837293,27.15,189.0
32,546.583,566.53,755.95,224.0373586633762,796.3146257604466,228.7221778017942,794.7009683324711,12.99,183.49
33,561.876,603.2,767.16,225.60161667821797,844.4876138819325,226.21310954185518,835.9203732947726,-0.18,176.32
34,577.398,640.08,778.96,226.9644104697383,894.2307181594692,224.15863748408853,887.776263837155,-13.54,168.69
35,592.382,677.05,790.55,228.19222857389855,944.3568709444539,222.54823613887945,954.7569799128011,-26.86,161.01
36,608.091,715.75,792.37,229.79015350774512,989.8713578036289,224.91591364055333,942.8867086929037,-40.2,153.32
37,623.8,754.54,791.9,231.35022018871553,1035.035375820556,230.4846974968355,1037.5412180954322,-53.8,145.46
38,639.83,791.94,791.25,232.74529927922424,1080.1023593160048,233.76256911430704,1078.5049167937848,-67.77,137.4
39,655.248,830.86,790.57,234.07091254533978,1126.3438413291033,236.99154795532985,1129.4205155078935,-81.19,129.65
40,670.657,868.31,790.39,235.23122260435258,1172.4002314909358,235.45596780309828,1160.5375664548171,-94.77,121.81
41,685.973,906.54,790.27,236.3193186423904,1218.9758855695218,259.5857402657556,1229.6893968812349,-107.82,114.27
42,701.776,944.39,785.92,237.47334230584536,1263.678951514189,237.20123715816362,1260.5580166886425,-121.07,106.45
43,716.969,980.96,774.24,238.78914693282732,1303.9450235726965,249.56585248021312,1101.4585805339939,-134.26,98.55
44,732.662,1016.94,762.34,239.87746163725953,1340.7763873964964,281.98928799157846,1344.4793252329134,-142.77,89.47
45,748.466,1051.75,750.37,240.5748895708082,1358.1307955421673,249.20504116940674,1355.3871298063273,-131.18,83.14
46,763.869,1088.29,737.79,241.45375642345533,1371.4668833041503,239.91477506196085,1381.5245132721884,-116.45,82.41
47,779.263,1125.22,725.59,242.33886960037407,1384.2586172388453,233.37403670856483,1383.8254024768712,-100.83,82.96
48,794.463,1160.11,714.0,243.16462539015745,1396.2342736446487,246.40541271339129,1393.2069450289064,-85.76,83.7
49,809.761,1192.79,694.2,244.22821081614714,1402.2474016021567,242.15156574335867,1388.9137419221552,-69.98,84.52
50,825.468,1224.66,671.09,245.39744358311825,1406.9900231344925,260.70224043303705,1419.9283431755296,-54.6,85.33
51,841.474,1255.57,648.14,246.53094744932923,1411.1357553757894,257.60880649592673,1412.9893380615017,-38.83,86.15
52,856.887,1284.58,626.28,247.5831502531231,1414.1627234515836,245.8832646980652,1415.273377040853,-22.72,87.0
53,872.495,1315.07,603.43,248.69864276843782,1419.3996624629722,250.34122763408695,1415.3951821484743,-7.36,87.8
54,887.99,1345.12,581.55,249.76304827320843,1425.0799962458248,246.59771630076665,1427.4115804119908,8.01,88.61
55,903.71,1373.36,558.94,250.8209919741893,1429.1948947921692,251.4174757862781,1440.4330791156851,23.49,89.42
56,919.006,1396.63,527.6,252.1448800404491,1426.4974407618124,254.60282505933964,1427.6050232430055,38.84,90.22
57,934.403,1419.03,495.62,253.491994972032,1423.934517349727,257.21691741639114,1426.229203225411,53.79,91.01
58,949.8,1440.01,465.66,254.74700384762923,1420.5094807849753,261.5794759081284,1440.638065854482,69.54,91.95
59,964.887,1461.92,434.38,256.07872476674856,1419.0205902663993,255.74169125546592,1412.1588853618189,84.58,92.98
60,980.163,1483.15,404.67,257.3407376448924,1417.2320475137446,258.202816693673,1390.0877199744587,100.37,94.08
61,995.445,1505.06,374.24,258.6430557612372,1417.3729701458258,261.14529448794906,1524.591891627245,115.44,95.13
62,1010.941,1522.85,341.73,259.9922314515552,1414.0153757650587,256.5579729819485,1394.8050779893151,130.35,96.0
63,1026.445,1534.02,306.09,261.4267663465083,1403.6036848056506,230.67576792338403,1402.5540159723387,146.1,96.85
64,1042.131,1544.75,271.02,262.55440205480744,1406.5697057024938,245.47646383618002,1399.6180374519074,150.04,88.75
65,1058.054,1556.08,233.96,263.74774621877765,1425.3579505864482,257.93475766747264,1429.4360669413413,139.2,78.73
66,1073.344,1566.69,199.24,264.9214092436102,1446.4183313274207,276.07819621374705,1449.5154510564578,125.95,71.2
67,1088.848,1577.87,162.91,266.13723606163387,1469.2677786230797,266.05310452294333,1480.87905607357,111.94,63.93
68,1104.336,1589.42,127.05,267.30811976248646,1492.8172630968602,264.53431264887456,1474.8549685410737,98.25,56.94
69,1120.137,1592.38,89.49,268.4940827509484,1508.741094721026,246.44549021263435,1499.7444682278096,84.16,49.84
70,1135.516,1591.99,52.99,269.6257322889175,1521.7024651685363,264.5825655801845,1522.4765262493095,70.32,43.05
71,1151.205,1591.3,13.06,270.86058307320684,1535.3431839494388,271.1254990946027,1525.5749234644516,56.13,36.12
72,1166.916,1590.61,-26.61,272.07102804844135,1549.3220246933818,266.24125876234973,1549.0197634560895,42.3,29.38
