,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.26,1.39,-225.26,358.32304085649946,228.9480563359296,362.5486596656394,232.36130156756792,-5.31,3.59
1,68.608,4.78,-185.96,353.0429261492482,185.34465975581818,343.18148556257097,183.4378098860835,-17.67,-1.98
2,83.686,8.14,-147.58,344.9245138269969,139.8739003531395,347.32140649133686,136.12358931373916,-28.24,-12.52
3,98.6,10.52,-110.64,330.902189384492,99.17705631848527,329.21120337170373,111.60878526970872,-37.71,-23.98
4,113.822,10.61,-73.02,303.28958337175357,68.2492058561856,303.49831372913167,77.17353660728908,-46.44,-35.56
5,129.058,10.61,-34.92,256.1494178098212,54.63871246652871,250.26276530522497,59.65267918755342,-42.44,-48.0
6,144.154,10.61,1.54,215.2370363308455,72.2233272565035,199.6222410332402,67.54714822292678,-31.06,-57.45
7,159.618,10.61,40.49,195.180005572096,109.71829838272194,193.69402554232988,109.8120775817802,-18.12,-65.4
8,175.12,10.6,77.69,185.96572580961254,151.058093460761,185.4207014459647,149.3450943922061,-5.1,-72.55
9,190.412,10.02,115.69,180.8284788605261,185.34937631403022,179.36242527923517,186.54232894444502,7.34,-69.64
10,206.14,15.98,151.42,179.6907398992488,209.35304965536088,174.59944767796253,222.99911227852465,17.11,-57.93
11,221.746,27.66,187.38,180.5837760038931,232.612073848285,175.07627787272415,202.56504362192138,25.29,-45.22
12,237.455,40.8,225.64,181.63314605770057,257.5446159406172,188.94511172918908,253.57104411163988,33.46,-31.8
13,252.559,53.83,263.51,182.50216437662476,282.1990561642615,187.74363167253728,127.29738575997393,41.51,-18.42
14,268.063,65.82,299.09,183.0536341441578,304.4823326565927,186.1109985405756,303.20211100075363,49.6,-4.96
15,283.727,78.15,336.94,183.62673052717554,329.77042271859375,177.1068563857531,336.9227886971808,57.29,7.83
16,298.973,91.95,373.16,184.33248562045156,353.03882194455616,185.0197476351,349.8328833711898,65.28,21.13
17,314.389,114.31,405.11,186.32526620009418,373.05095952161815,185.13211030942415,370.73266340685876,73.21,34.33
18,329.907,139.02,438.22,188.42574655164015,394.9427797795524,184.47991132154544,402.1373746136665,81.15,47.54
19,345.945,162.7,469.65,190.1701770175307,414.78728343573886,191.36119197867131,426.0213077514791,89.46,61.38
20,361.565,186.4,501.22,191.7666787763468,435.45049087123556,199.4026753612619,424.231087209515,97.6,74.92
21,376.773,208.86,532.06,193.08824926892015,455.9032585976985,196.6323626947713,456.6546879163342,105.62,88.0
22,392.381,232.83,564.37,194.40306445566043,478.08632065768205,197.00724882635478,468.7245887845476,113.91,101.31
23,408.002,261.02,588.43,196.75239244366114,495.63508713568694,203.83822736079898,470.7908226040683,118.16,113.83
24,423.413,293.82,611.48,200.70988104193742,519.1776737302944,194.46752526982422,522.4759193289968,110.22,125.85
25,438.846,325.15,633.42,204.49180553678647,546.0206238778898,209.76004844055433,424.19239535806634,98.79,136.53
26,454.058,357.25,655.9,207.904864124474,576.6607031001853,207.9476180325624,585.0199232208704,87.37,146.29
27,469.538,388.54,678.28,210.9658553199711,608.636474178142,198.88918724873923,671.2730122615652,75.38,156.39
28,484.941,420.0,701.0,213.6574281108465,642.6618841194801,213.93357338811887,638.3806525725389,63.82,166.07
29,500.366,453.56,720.99,216.3784722958036,677.1689077327753,217.12233248277332,684.7368720282942,51.92,175.79
30,515.967,490.23,732.62,219.4853474578824,708.5761227983908,211.7788503568523,830.8443473053601,39.66,185.75
31,531.169,529.68,744.68,222.12465975706453,749.2106935301978,231.36351991994195,747.0953095768019,27.15,189.0
32,546.583,566.53,755.95,224.0373586633762,796.3146257604466,222.32623655291866,711.7795774878404,12.99,183.49
33,561.876,603.2,767.16,225.60161667821797,844.4876138819325,217.0004374331163,844.8492601971545,-0.18,176.32
34,577.398,640.08,778.96,226.9644104697383,894.2307181594692,224.55496542832677,894.4031032164798,-13.54,168.69
35,592.382,677.05,790.55,228.19222857389855,944.3568709444539,226.7183261361975,942.3655962093687,-26.86,161.01
36,608.091,715.75,792.37,229.79015350774512,989.8713578036289,235.40241008190108,989.9741104055347,-40.2,153.32
37,623.8,754.54,791.9,231.35022018871553,1035.035375820556,224.10751344860975,1040.9965454487467,-53.8,145.46
38,639.83,791.94,791.25,232.74529927922424,1080.1023593160048,272.9668927702989,1068.2462518108493,-67.77,137.4
