,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.26,1.39,-225.26,358.32304085649946,228.9480563359296,379.9285456057678,229.99422368201633,-5.31,3.59
1,68.608,4.78,-185.96,353.0429261492482,185.34465975581818,363.09839541598274,235.30784416560587,-17.67,-1.98
2,83.686,8.14,-147.58,344.9245138269969,139.8739003531395,354.0414578159955,165.8114773927116,-28.24,-12.52
3,98.6,10.52,-110.64,330.902189384492,99.17705631848527,350.86355129169476,72.61974188076974,-37.71,-23.98
4,113.822,10.61,-73.02,303.28958337175357,68.2492058561856,304.08234347976787,-32.92948477032405,-46.44,-35.56
5,129.058,10.61,-34.92,256.1494178098212,54.63871246652871,245.98145337892242,113.26153396461544,-42.44,-48.0
6,144.154,10.61,1.54,215.2370363308455,72.2233272565035,231.27591119532417,140.8953223771796,-31.06,-57.45
7,159.618,10.61,40.49,195.180005572096,109.71829838272194,193.79493164561057,54.255916637101805,-18.12,-65.4
8,175.12,10.6,77.69,185.96572580961254,151.058093460761,198.72544113971122,243.80477435883247,-5.1,-72.55
9,190.412,10.02,115.69,180.8284788605261,185.34937631403022,177.9466071338493,180.84437697273188,7.34,-69.64
10,206.14,15.98,151.42,179.6907398992488,209.35304965536088,185.07022294442618,348.72323584676036,17.11,-57.93
11,221.746,27.66,187.38,180.5837760038931,232.612073848285,182.5369143633243,276.59771959621054,25.29,-45.22
12,237.455,40.8,225.64,181.63314605770057,257.5446159406172,179.0443172710774,257.45818003833165,33.46,-31.8
13,252.559,53.83,263.51,182.50216437662476,282.1990561642615,182.2345029698374,356.0727347958669,41.51,-18.42
14,268.063,65.82,299.09,183.0536341441578,304.4823326565927,196.00193394720006,325.405356494665,49.6,-4.96
15,283.727,78.15,336.94,183.62673052717554,329.77042271859375,189.73458414527963,351.540531370059,57.29,7.83
16,298.973,91.95,373.16,184.33248562045156,353.03882194455616,198.69830581991772,372.31681971867704,65.28,21.13
17,314.389,114.31,405.11,186.32526620009418,373.05095952161815,182.94995375981853,381.4599360693634,73.21,34.33
18,329.907,139.02,438.22,188.42574655164015,394.9427797795524,186.4621139234392,440.45137090844486,81.15,47.54
19,345.945,162.7,469.65,190.1701770175307,414.78728343573886,182.29011756879905,468.5880685967641,89.46,61.38
20,361.565,186.4,501.22,191.7666787763468,435.45049087123556,187.21182054799277,467.82649549293524,97.6,74.92
21,376.773,208.86,532.06,193.08824926892015,455.9032585976985,198.7863533510066,556.7950033467697,105.62,88.0
22,392.381,232.83,564.37,194.40306445566043,478.08632065768205,199.56340202554972,430.03195785658266,113.91,101.31
23,408.002,261.02,588.43,196.75239244366114,495.63508713568694,208.85014474141175,489.54438473879424,118.16,113.83
24,423.413,293.82,611.48,200.70988104193742,519.1776737302944,220.01436158951316,573.6364044285654,110.22,125.85
25,438.846,325.15,633.42,204.49180553678647,546.0206238778898,218.0766234157799,506.42834429828565,98.79,136.53
26,454.058,357.25,655.9,207.904864124474,576.6607031001853,212.1753224579282,665.8917171005758,87.37,146.29
27,469.538,388.54,678.28,210.9658553199711,608.636474178142,207.07272515641546,657.8336136213004,75.38,156.39
28,484.941,420.0,701.0,213.6574281108465,642.6618841194801,239.19145239791735,649.8545740199538,63.82,166.07
29,500.366,453.56,720.99,216.3784722958036,677.1689077327753,229.9053068495427,717.9762854353638,51.92,175.79
30,515.967,490.23,732.62,219.4853474578824,708.5761227983908,192.13386294305033,696.7053136869324,39.66,185.75
31,531.169,529.68,744.68,222.12465975706453,749.2106935301978,231.14689039216498,695.2635898971367,27.15,189.0
32,546.583,566.53,755.95,224.0373586633762,796.3146257604466,242.63990305553256,852.3052638270003,12.99,183.49
33,561.876,603.2,767.16,225.60161667821797,844.4876138819325,226.9287063567639,904.513266288473,-0.18,176.32
34,577.398,640.08,778.96,226.9644104697383,894.2307181594692,238.9787811226561,915.3094655701105,-13.54,168.69
35,592.382,677.05,790.55,228.19222857389855,944.3568709444539,233.43242280633257,959.0249068155563,-26.86,161.01
36,608.091,715.75,792.37,229.79015350774512,989.8713578036289,240.9902456481148,905.5955641177547,-40.2,153.32
37,623.8,754.54,791.9,231.35022018871553,1035.035375820556,236.95731746696515,1011.5182248149238,-53.8,145.46
38,639.83,791.94,791.25,232.74529927922424,1080.1023593160048,245.72017166317522,1073.9234687484027,-67.77,137.4
39,655.248,830.86,790.57,234.07091254533978,1126.3438413291033,241.31153039837986,1153.0282390951024,-81.19,129.65
40,670.657,868.31,790.39,235.23122260435258,1172.4002314909358,248.45945165930016,1253.1968871111328,-94.77,121.81
41,685.973,906.54,790.27,236.3193186423904,1218.9758855695218,237.12683665568898,1210.2534124958377,-107.82,114.27
42,701.776,944.39,785.92,237.47334230584536,1263.678951514189,250.23997060192963,1242.711800998913,-121.07,106.45
43,716.969,980.96,774.24,238.78914693282732,1303.9450235726965,240.38060254109448,1364.55867432871,-134.26,98.55
44,732.662,1016.94,762.34,239.87746163725953,1340.7763873964964,224.33640685305593,1350.519777629413,-142.77,89.47
45,748.466,1051.75,750.37,240.5748895708082,1358.1307955421673,248.99938539362486,1309.505992845964,-131.18,83.14
46,763.869,1088.29,737.79,241.45375642345533,1371.4668833041503,249.8076331142794,1444.4354736631444,-116.45,82.41
47,779.263,1125.22,725.59,242.33886960037407,1384.2586172388453,237.8878520488589,1359.6560496396855,-100.83,82.96
48,794.463,1160.11,714.0,243.16462539015745,1396.2342736446487,265.92482695445085,1385.5451424514906,-85.76,83.7
49,809.761,1192.79,694.2,244.22821081614714,1402.2474016021567,245.65686931080702,1369.3719663305465,-69.98,84.52
50,825.468,1224.66,671.09,245.39744358311825,1406.9900231344925,260.4126451895417,1439.552258054596,-54.6,85.33
51,841.474,1255.57,648.14,246.53094744932923,1411.1357553757894,249.09454324808019,1477.2987784498914,-38.83,86.15
52,856.887,1284.58,626.28,247.5831502531231,1414.1627234515836,256.33371287080786,1412.2140014032036,-22.72,87.0
53,872.495,1315.07,603.43,248.69864276843782,1419.3996624629722,260.4788005242364,1453.7289383968061,-7.36,87.8
54,887.99,1345.12,581.55,249.76304827320843,1425.0799962458248,268.62303256022693,1418.6220212337391,8.01,88.61
55,903.71,1373.36,558.94,250.8209919741893,1429.1948947921692,249.6882350528384,1554.715461964406,23.49,89.42
56,919.006,1396.63,527.6,252.1448800404491,1426.4974407618124,243.96101596773468,1512.8283607252831,38.84,90.22
57,934.403,1419.03,495.62,253.491994972032,1423.934517349727,279.84146428609296,1411.647910557691,53.79,91.01
58,949.8,1440.01,465.66,254.74700384762923,1420.5094807849753,262.26094211211904,1461.0415104406018,69.54,91.95
59,964.887,1461.92,434.38,256.07872476674856,1419.0205902663993,290.59195116639086,1478.8923557527564,84.58,92.98
60,980.163,1483.15,404.67,257.3407376448924,1417.2320475137446,263.0366738342141,1452.9674606899275,100.37,94.08
61,995.445,1505.06,374.24,258.6430557612372,1417.3729701458258,247.45157381805393,1397.4395897288653,115.44,95.13
62,1010.941,1522.85,341.73,259.9922314515552,1414.0153757650587,271.2421243717611,1422.0841278695418,130.35,96.0
63,1026.445,1534.02,306.09,261.4267663465083,1403.6036848056506,277.45970787594547,1453.4637529675524,146.1,96.85
64,1042.131,1544.75,271.02,262.55440205480744,1406.5697057024938,273.64808321486703,1443.141605241246,150.04,88.75
65,1058.054,1556.08,233.96,263.74774621877765,1425.3579505864482,265.85051924399403,1400.7872865449676,139.2,78.73
66,1073.344,1566.69,199.24,264.9214092436102,1446.4183313274207,277.01189403610675,1483.1239672784307,125.95,71.2
67,1088.848,1577.87,162.91,266.13723606163387,1469.2677786230797,257.95218222936467,1437.2793232426213,111.94,63.93
68,1104.336,1589.42,127.05,267.30811976248646,1492.8172630968602,257.26999935874676,1408.2980634469795,98.25,56.94
69,1120.137,1592.38,89.49,268.4940827509484,1508.741094721026,274.19187448326915,1532.612658916098,84.16,49.84
70,1135.516,1591.99,52.99,269.6257322889175,1521.7024651685363,285.3836681081938,1582.108924159855,70.32,43.05
71,1151.205,1591.3,13.06,270.86058307320684,1535.3431839494388,250.04798792507813,1571.8123611446033,56.13,36.12
72,1166.916,1590.61,-26.61,272.07102804844135,1549.3220246933818,282.61844357136556,1634.065842179442,42.3,29.38
73,1182.12,1590.42,-62.49,273.12703249849204,1563.8885605119058,275.6920505839355,1661.8158290056351,28.86,22.82
74,1197.729,1590.34,-99.6,274.19199101114356,1579.9167434393496,270.1807012907854,1612.2326826573121,14.65,15.89
75,1213.443,1587.74,-136.89,275.2511859968672,1593.9296697157,284.0802723653341,1579.3928169653548,0.5,8.99
76,1228.546,1576.16,-174.04,276.3345726582347,1598.9623686628777,282.2911711595622,1612.4422271285257,-13.04,2.38
77,1243.806,1564.08,-211.24,277.40306667317145,1604.5954788980307,285.5558401388154,1552.190608933459,-27.14,-4.49
78,1259.303,1552.56,-245.81,278.36938438681227,1610.8754201675558,293.90869606007317,1624.8745011752114,-41.16,-11.34
79,1275.004,1539.98,-282.4,279.41424336092143,1616.2990766872322,292.36324175215157,1627.7292683527226,-54.55,-18.02
80,1290.402,1527.67,-318.56,280.4096313717374,1623.216336197982,300.791648636131,1647.2019821749288,-68.83,-25.27
81,1306.033,1516.25,-353.56,281.3585736865731,1630.933746109878,301.0439398099049,1698.0809055908528,-82.74,-32.35
82,1321.726,1498.9,-386.13,282.2566041464605,1632.8583218393444,281.8653835643487,1548.6140161269693,-96.74,-39.49
83,1337.11,1476.34,-417.3,283.1557774410457,1629.4860893238701,289.71574193643886,1680.5041844457928,-110.38,-46.43
84,1352.09,1453.44,-448.53,284.08274387478104,1625.6998525250597,265.9535757809541,1615.9913214659978,-123.4,-52.96
85,1367.989,1431.36,-477.86,284.9040784367521,1624.0568895515944,285.305193911909,1677.0383402732161,-138.06,-60.15
86,1383.295,1408.76,-507.86,285.7871623689784,1621.452862003703,274.4020110943483,1645.3145693535662,-151.53,-66.72
87,1399.318,1386.43,-538.37,286.6592433445437,1620.278495475392,285.2797004327962,1587.3130840350575,-165.84,-73.87
88,1414.73,1364.48,-567.98,287.617722954554,1603.8869627252416,292.0637728368752,1660.6775770589545,-164.18,-82.54
89,1429.916,1336.27,-590.66,288.81958533008446,1570.511018554152,300.5103041373354,1551.4511309298853,-150.28,-84.03
90,1445.74,1303.39,-613.73,290.304326480785,1532.9108912458025,291.1425927125057,1573.1893228497527,-134.27,-81.8
91,1461.149,1271.12,-636.33,291.83450162596955,1498.2515177699638,326.99148369672906,1486.1333231565409,-119.65,-79.09
92,1476.542,1238.56,-659.13,293.4702561914278,1463.8704648977655,300.8614205552952,1457.1285709155416,-104.2,-76.11
93,1492.239,1208.43,-680.34,295.0815590823023,1432.3864780149247,283.079178454684,1453.375372807566,-88.89,-73.14
94,1507.53,1178.03,-702.38,296.7822380521708,1402.771546688911,326.2147320720114,1507.9944358550483,-74.26,-70.29
95,1522.926,1144.39,-721.45,298.53122925150547,1369.55272092753,302.5105619508903,1417.8779187956657,-58.84,-67.3
96,1538.344,1108.36,-732.89,300.1320126564313,1331.8285567219227,302.92403123359173,1346.608233827211,-43.5,-64.32
97,1553.752,1070.36,-744.51,301.84651045645126,1294.391707328195,317.857555969722,1388.2453213862038,-29.18,-61.53
98,1569.097,1032.7,-756.03,303.69512280546246,1257.377768691653,303.0708100079472,1274.516364846702,-13.44,-58.47
99,1584.726,996.53,-767.17,305.588600969994,1222.933779932503,330.20951282851195,1224.6513172567347,2.02,-55.47
100,1600.808,961.56,-778.5,307.57173105259795,1190.7913352892688,338.02753739126246,1160.9888663824074,17.75,-52.41
101,1616.958,925.63,-789.79,309.6919278076613,1159.3659853557892,333.4860026822343,1182.9181216966451,33.51,-49.35
102,1631.992,888.16,-792.49,311.61155669845607,1123.3787109430193,321.4410246076564,1144.5590033215144,48.25,-46.48
103,1647.634,849.65,-791.94,313.59597461012265,1085.3741456751216,315.2946561492416,1069.0080514251363,63.6,-43.5
104,1662.952,810.12,-791.25,315.72776803743204,1048.2784424474253,332.16448884626726,974.0194483733526,78.35,-40.65
105,1678.501,772.91,-790.6,317.96729396942715,1013.8230600060348,337.5127311402826,1022.9476512123853,94.1,-37.57
106,1693.613,735.01,-790.43,320.33866838834956,981.5927289869256,334.38771623445854,1002.6941845694863,108.51,-34.77
107,1709.124,696.4,-790.28,322.94273543102355,950.4110818482706,334.4116935454639,947.5458637023002,123.67,-31.82
108,1724.317,658.47,-786.45,325.57256374119737,918.5264610233068,351.1081083437664,889.420596591902,139.17,-28.81
109,1740.226,622.23,-774.98,328.0085753053794,883.2517397095802,336.7267359729161,848.5288539985675,154.29,-25.87
110,1755.849,584.82,-762.83,330.70860909900125,848.4390441275083,324.837567495983,841.3701006724845,169.72,-22.87
111,1771.267,548.08,-750.45,333.556787072973,815.9922434067619,324.8741873177638,895.7503226062934,184.71,-19.83
112,1786.864,510.72,-737.59,335.5375629599204,797.9056375913133,348.05704758428624,820.7819627873108,180.31,-11.31
113,1802.483,474.14,-725.32,336.6801394681481,779.8135816334568,364.2325026871601,718.7804135268769,165.44,-9.21
114,1817.984,439.28,-713.83,337.64402386385666,761.0949955163284,346.8697362390201,807.0301634742921,149.79,-9.94
115,1833.777,407.79,-695.2,338.2501638088634,736.490293011388,343.4654648233375,731.1392257558367,134.88,-11.14
116,1849.686,375.78,-671.44,338.6963900775361,707.2473887544585,339.3737392863965,832.8819974735286,118.83,-12.52
117,1864.79,344.81,-648.11,339.1363759400574,678.7126656398863,361.2298564965097,679.6864909952805,103.09,-13.9
