,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,23.103,0.0,-250.0,0.0,250.0,0.05161228013418002,172.7777630927739,0.0,0.0
1,38.441,0.0,-250.0,0.0,250.0,-0.10479032070278989,243.78963840448822,0.0,0.0
2,53.684,0.47,-237.59,0.6002307942559781,242.46330464629077,0.639992668767971,153.7999447601575,3.01,4.86
3,69.285,2.9,-207.61,3.64149717717477,216.64741332404594,3.8755654281476546,228.3053418513445,16.66,8.6
4,84.337,5.5,-177.82,7.9487340330116325,188.08710349197258,7.882977833583718,198.96409408042138,31.51,8.46
5,100.591,8.24,-146.45,14.30562173175369,158.88684401170536,14.232951248802408,160.46146244179923,47.5,7.51
6,115.929,10.47,-114.37,23.58781595523051,131.8241958063845,23.319649058805208,230.0398673275271,63.22,6.44
7,131.487,10.64,-83.12,37.487460103993904,111.52047794015233,37.50911166535981,111.48315061514245,78.51,5.37
8,146.725,10.64,-52.44,55.68640473020184,100.67017929853905,55.63469706498771,102.58783413298463,93.79,4.31
9,161.884,10.64,-20.98,76.17624648538109,101.36603622515777,76.3003858445382,105.49839487293004,109.07,3.24
10,177.737,10.64,10.49,94.22511257083738,114.42096398824823,94.32530440069515,129.9070056003778,124.75,2.06
11,193.576,10.64,40.45,107.05232186416748,135.3817376901331,107.17367651302177,133.9683922187778,140.07,0.75
12,208.647,10.64,70.54,116.11328858842882,161.65037890459766,116.70532768916611,186.2192350177693,155.79,-0.61
13,224.109,10.24,101.25,122.71482217891395,190.65311353345373,122.68757796985335,63.824706321295565,170.65,-1.79
14,239.786,11.05,132.97,129.82046910698796,221.58575337778376,129.78968314213208,220.4534715332027,181.24,-8.93
15,255.067,20.39,164.3,139.13308576923527,248.70693456355417,139.36933888856203,256.14566687052707,183.12,-23.78
16,270.173,29.39,192.06,146.4944454221581,276.4584643305392,146.4325289033192,276.5124270828657,182.0,-38.46
17,285.856,39.12,221.18,152.9192625939947,309.0639454870141,152.9187367115113,312.50324953913145,179.82,-54.0
18,301.254,49.34,250.9,158.37327514790587,333.1631255106123,158.05880016193174,333.4363860124603,172.13,-58.81
19,316.663,59.43,280.2,162.13457506967922,343.27271155744376,161.83408879787493,406.20409678069853,164.74,-46.52
20,332.074,69.22,309.34,164.92266566454225,353.60255273399815,164.87718173812556,349.4493011491595,161.2,-32.09
21,347.379,78.54,337.98,167.32806586488078,363.8629307857562,167.3741663674353,419.43256872062045,158.36,-17.02
22,363.504,89.24,368.07,169.8216777632815,375.4689282750305,170.43093141355286,359.46037144338,155.59,-1.49
23,379.198,106.17,393.48,172.98439006144667,382.59451877934686,173.02218701848932,407.7091288815886,152.9,13.75
24,394.599,123.76,417.74,176.1113493635146,389.42656432246633,176.0998361927217,390.63436445426413,150.17,29.21
25,409.948,142.58,443.11,179.29574999150157,398.6601145085874,179.41652939164283,399.1366417959912,147.48,44.48
26,425.129,161.11,467.7,182.28746987190755,408.38542285444026,182.26005978972006,415.9169690425101,144.81,59.64
27,440.744,180.14,492.96,185.1938111994449,419.88396694801287,185.21032500140808,418.71840588931997,142.13,74.8
28,456.464,198.46,517.65,187.8710546019082,431.3437878305424,187.99358051629153,443.9434114812431,139.39,90.37
29,471.672,217.41,543.71,190.43378122179286,445.5573500684284,190.44056486736312,449.29937816061306,136.72,105.52
30,487.273,236.3,568.73,192.87593988098268,459.20682105125576,194.1290437109843,465.0019722497543,133.97,121.07
31,502.883,259.49,587.39,195.84076517978784,469.3645768483173,195.81687020657947,421.8705457007909,131.37,135.85
32,518.005,284.11,604.72,198.90717685066343,479.60731958551264,198.86486447203558,485.2749220525365,128.7,150.99
33,534.159,309.86,622.76,201.95753310381508,492.03133640043706,201.5314135199548,492.74036604287306,125.88,166.42
34,549.902,335.05,640.4,204.79236924066856,524.9311544383702,204.89332096339368,526.0185957853502,114.93,163.85
35,565.443,359.79,657.72,206.51298881274036,565.9937601246148,206.51216587858968,572.1591351994758,107.13,151.25
36,581.255,386.03,676.43,207.8601250344725,610.2312503469483,208.24679746426955,604.5083931840458,100.86,136.93
37,596.351,410.28,694.04,208.8930003030845,652.226878624302,208.92975688612722,643.5998548089801,95.14,123.0
38,611.868,436.04,712.28,209.86835789100127,696.4132397506527,209.88162368622895,700.0571077284579,89.22,108.37
39,627.068,462.98,723.93,211.07780483984268,734.9260578452773,211.05116533274742,725.8948800814669,83.61,94.49
40,642.457,493.08,733.29,212.45392292548482,773.5624568190988,212.53675318019697,769.98247418371,77.97,80.54
41,658.161,521.94,742.12,213.62983607080267,812.6029544617717,213.46477632560072,820.802259646163,71.9,65.52
42,673.291,551.37,751.12,214.74078934755963,851.2196407508463,214.81900017490338,836.5761052134959,66.29,51.64
43,689.117,581.42,760.31,215.76083190161506,891.8330741792433,215.82534167654583,890.5775053006754,60.23,36.62
44,704.914,611.57,769.81,216.70474620745628,931.8518711147174,216.54320874391144,935.1456779477314,54.61,22.72
45,720.027,641.6,779.56,217.54320857197638,973.0051840560768,217.9524665296843,978.296127600521,48.69,8.07
46,735.419,670.94,788.72,218.3123452457209,1012.6008781844898,218.3781727190447,1023.0103337262462,43.18,-5.81
47,751.114,702.28,792.2,219.27612648317694,1050.2980774999066,219.26734812355699,1052.2224864695131,37.38,-20.84
48,766.824,733.05,792.24,220.2771787946949,1084.6794059997635,220.29034820861713,1091.0591546443284,31.82,-35.29
49,782.223,764.63,791.75,221.26140519738792,1119.6892815866372,221.67821194482897,1111.4591746730407,26.2,-49.93
50,797.522,794.56,791.23,222.13717374788686,1153.287998116689,222.5733072053421,1122.1239406873606,20.81,-63.98
51,813.44,825.53,790.69,222.99219730806536,1188.5488759407415,222.8447987925773,1185.4181889739993,15.06,-78.67
52,828.655,856.13,790.4,223.79579139936448,1223.381076606958,223.69899546992536,1232.006387850122,9.44,-92.65
53,844.181,886.26,790.39,224.52551830239983,1258.6083747536402,224.247797888597,1257.248309277298,3.69,-106.92
54,859.776,918.44,790.06,225.29651338055365,1295.3096893793393,225.47840463955802,1300.5111833576134,-2.21,-121.11
55,874.859,948.28,784.72,226.4779279805083,1326.6554553839517,226.33399775753858,1327.939842776722,-13.69,-128.86
56,890.172,978.16,775.16,227.9118089193005,1355.9237471554218,227.99179345491612,1394.229910668874,-28.09,-133.68
57,905.992,1007.42,765.58,229.3079360742926,1385.7502495399378,229.16451328624456,1389.8371153433297,-43.29,-137.92
58,921.387,1035.99,755.79,230.63868943106624,1415.6541503135572,230.67970392977938,1435.7745545640441,-58.54,-142.03
59,937.082,1065.68,745.57,231.94846843943048,1446.517608949162,232.19899778295007,1442.6553110992172,-73.39,-146.02
60,952.301,1094.8,735.56,233.17935117281783,1477.510545816848,233.37501497798954,1443.8288047518288,-87.97,-149.93
61,967.898,1124.08,725.96,234.35845122983153,1510.0930206116443,234.43782523051374,1513.7836905144716,-103.14,-153.99
62,983.252,1153.29,716.33,235.4848213551768,1542.9088128920646,235.47935314752664,1540.161747589482,-118.03,-157.92
63,998.943,1181.51,702.16,236.69214310853832,1573.2673811212128,236.64299081359565,1566.4762677648569,-133.32,-161.78
64,1014.361,1207.16,683.74,237.930256732042,1599.4879901393444,237.8686381988908,1621.4815229281505,-148.25,-165.51
65,1029.724,1231.48,666.08,239.08006638047755,1625.6235591612224,239.06303380642328,1601.3720017286894,-163.12,-169.23
66,1045.418,1255.39,648.27,240.19100486425833,1652.691932968755,240.2839668756224,1645.297547024649,-178.63,-173.3
67,1060.779,1281.43,628.65,241.12692370043374,1675.395904525256,241.1239541835601,1674.8529004889838,-185.7,-180.35
68,1076.025,1304.26,611.45,241.6877585618255,1679.168818820788,241.71865076243625,1686.605730851644,-174.04,-184.94
69,1091.191,1330.54,592.12,242.51538639627918,1679.485461354161,242.52962192085684,1681.3308528068778,-159.39,-182.98
70,1106.972,1356.38,573.22,243.40320508197672,1678.9697871313826,243.32268614356315,1666.4122683952562,-144.92,-178.47
71,1122.048,1379.16,551.59,244.5926597122789,1678.0061998097624,244.5798799822118,1647.057014082123,-136.55,-168.36
72,1137.624,1397.39,526.31,246.08627718708618,1677.2722599804722,246.0684604660478,1682.8001601668434,-135.9,-153.59
73,1152.937,1415.45,500.53,247.63328608889515,1678.8548484309179,247.10683311917273,1671.2454962600514,-137.1,-138.33
74,1168.287,1433.41,474.89,249.18609463154965,1681.8269224269186,249.21326718497292,1681.4168399751275,-138.66,-122.72
75,1183.798,1451.84,448.58,250.7455966476283,1686.422255101017,250.67248665307207,1692.4754408904062,-140.25,-107.54
76,1199.589,1469.12,424.07,252.22856753306678,1691.6948118676723,252.25240951109288,1690.83139769456,-141.85,-92.27
77,1214.979,1487.57,398.62,253.75390593421932,1698.8988515211845,253.7517859849821,1690.97709509156,-143.49,-76.67
78,1230.298,1505.78,373.25,255.24863029837616,1707.1375045086436,255.10900015983395,1710.27824799294,-145.09,-61.43
79,1245.843,1521.12,345.77,256.7750483720937,1713.2566517892174,256.7325745464858,1727.923985343034,-146.7,-46.18
80,1261.38,1530.26,317.37,258.30033843322315,1714.357476490828,258.36223843346824,1714.6589475891092,-148.48,-30.27
81,1276.533,1539.42,287.44,259.84062876052826,1716.6250808490477,259.8418863384306,1715.9043192903403,-150.29,-15.35
82,1292.165,1548.62,257.37,261.40043896475083,1720.148726186198,261.38225859573873,1730.4504766941272,-152.19,0.16
