,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.684,0.47,-237.59,0.6002307942559781,242.46330464629077,1.278011047967966,251.03346401559443,3.01,4.86
1,69.285,2.9,-207.61,3.64149717717477,216.64741332404594,8.404568052951502,215.26616777395185,16.66,8.6
2,84.337,5.5,-177.82,7.9487340330116325,188.08710349197258,9.811699718978172,210.8551982091273,31.51,8.46
3,100.591,8.24,-146.45,14.30562173175369,158.88684401170536,10.711786158755231,160.80335049736263,47.5,7.51
4,115.929,10.47,-114.37,23.58781595523051,131.8241958063845,25.570430350096736,130.99211220607543,63.22,6.44
5,131.487,10.64,-83.12,37.487460103993904,111.52047794015233,34.63284608452909,111.57974555001746,78.51,5.37
6,146.725,10.64,-52.44,55.68640473020184,100.67017929853905,57.18123207636207,114.57368536833569,93.79,4.31
7,161.884,10.64,-20.98,76.17624648538109,101.36603622515777,80.99872127858652,98.24818591012381,109.07,3.24
8,177.737,10.64,10.49,94.22511257083738,114.42096398824823,105.61848164498808,136.6594650358234,124.75,2.06
9,193.576,10.64,40.45,107.05232186416748,135.3817376901331,103.35289786929171,130.19510513805838,140.07,0.75
10,208.647,10.64,70.54,116.11328858842882,161.65037890459766,125.21314815080402,156.99829526628605,155.79,-0.61
11,224.109,10.24,101.25,122.71482217891395,190.65311353345373,130.32699309369832,187.8768527471506,170.65,-1.79
12,239.786,11.05,132.97,129.82046910698796,221.58575337778376,125.76659104662156,222.57656141947444,181.24,-8.93
13,255.067,20.39,164.3,139.13308576923527,248.70693456355417,126.13633255446388,247.84515137466724,183.12,-23.78
14,270.173,29.39,192.06,146.4944454221581,276.4584643305392,147.4161418795678,317.36109117713903,182.0,-38.46
15,285.856,39.12,221.18,152.9192625939947,309.0639454870141,155.29772780935883,308.88592188173806,179.82,-54.0
16,301.254,49.34,250.9,158.37327514790587,333.1631255106123,158.97813357565815,312.29002272644175,172.13,-58.81
17,316.663,59.43,280.2,162.13457506967922,343.27271155744376,162.07511572389635,350.84561949568194,164.74,-46.52
18,332.074,69.22,309.34,164.92266566454225,353.60255273399815,167.41175980964994,358.07851106461084,161.2,-32.09
19,347.379,78.54,337.98,167.32806586488078,363.8629307857562,177.42334339905565,454.19852608112586,158.36,-17.02
20,363.504,89.24,368.07,169.8216777632815,375.4689282750305,174.7712645326195,367.33868742228896,155.59,-1.49
21,379.198,106.17,393.48,172.98439006144667,382.59451877934686,176.22590531493157,391.9248340796174,152.9,13.75
22,394.599,123.76,417.74,176.1113493635146,389.42656432246633,182.5556399680243,378.5829252229076,150.17,29.21
23,409.948,142.58,443.11,179.29574999150157,398.6601145085874,175.948959020619,395.2109987496245,147.48,44.48
24,425.129,161.11,467.7,182.28746987190755,408.38542285444026,187.28777962272898,407.25962492064355,144.81,59.64
25,440.744,180.14,492.96,185.1938111994449,419.88396694801287,170.1494324189587,404.63935497476535,142.13,74.8
26,456.464,198.46,517.65,187.8710546019082,431.3437878305424,186.14201315737705,515.4132876630702,139.39,90.37
27,471.672,217.41,543.71,190.43378122179286,445.5573500684284,187.7970184894323,446.10589991938525,136.72,105.52
28,487.273,236.3,568.73,192.87593988098268,459.20682105125576,163.5299938227502,456.9595207297077,133.97,121.07
29,502.883,259.49,587.39,195.84076517978784,469.3645768483173,190.50729195962796,470.1417204924678,131.37,135.85
30,518.005,284.11,604.72,198.90717685066343,479.60731958551264,194.58149754263573,498.1377399243119,128.7,150.99
31,534.159,309.86,622.76,201.95753310381508,492.03133640043706,205.8071287438617,544.7785585091603,125.88,166.42
32,549.902,335.05,640.4,204.79236924066856,524.9311544383702,204.02815319314783,521.2105525052041,114.93,163.85
33,565.443,359.79,657.72,206.51298881274036,565.9937601246148,215.41839078226081,571.7995666561263,107.13,151.25
34,581.255,386.03,676.43,207.8601250344725,610.2312503469483,207.42299228138725,615.0681737931748,100.86,136.93
35,596.351,410.28,694.04,208.8930003030845,652.226878624302,203.28209189906602,1301.1456184686713,95.14,123.0
36,611.868,436.04,712.28,209.86835789100127,696.4132397506527,256.8206438177698,697.7589392750443,89.22,108.37
37,627.068,462.98,723.93,211.07780483984268,734.9260578452773,210.3452864433894,751.0696967056726,83.61,94.49
38,642.457,493.08,733.29,212.45392292548482,773.5624568190988,211.79771757676025,760.2496590717311,77.97,80.54
39,658.161,521.94,742.12,213.62983607080267,812.6029544617717,218.1826489666107,819.3192397641835,71.9,65.52
40,673.291,551.37,751.12,214.74078934755963,851.2196407508463,198.8942521397415,848.2320219871887,66.29,51.64
41,689.117,581.42,760.31,215.76083190161506,891.8330741792433,215.76334630789395,957.1666617769783,60.23,36.62
42,704.914,611.57,769.81,216.70474620745628,931.8518711147174,218.0601341545649,943.0662449550113,54.61,22.72
43,720.027,641.6,779.56,217.54320857197638,973.0051840560768,213.6859967317619,975.5179803054237,48.69,8.07
44,735.419,670.94,788.72,218.3123452457209,1012.6008781844898,225.59938183839213,1007.1923671312384,43.18,-5.81
45,751.114,702.28,792.2,219.27612648317694,1050.2980774999066,218.58532629438054,1041.7052288645898,37.38,-20.84
46,766.824,733.05,792.24,220.2771787946949,1084.6794059997635,219.40298570972183,1133.4665698848387,31.82,-35.29
47,782.223,764.63,791.75,221.26140519738792,1119.6892815866372,223.25358656312497,1126.7104762817544,26.2,-49.93
48,797.522,794.56,791.23,222.13717374788686,1153.287998116689,212.88004149441235,1153.1636979242653,20.81,-63.98
49,813.44,825.53,790.69,222.99219730806536,1188.5488759407415,220.41908911895936,1188.2842136314575,15.06,-78.67
50,828.655,856.13,790.4,223.79579139936448,1223.381076606958,224.1295316984227,1222.1399413833508,9.44,-92.65
51,844.181,886.26,790.39,224.52551830239983,1258.6083747536402,222.0047267532822,1259.7957302823388,3.69,-106.92
52,859.776,918.44,790.06,225.29651338055365,1295.3096893793393,218.06119433778716,1275.2700697470734,-2.21,-121.11
53,874.859,948.28,784.72,226.4779279805083,1326.6554553839517,212.442662791001,1314.1999441650328,-13.69,-128.86
54,890.172,978.16,775.16,227.9118089193005,1355.9237471554218,125.93598554071899,1366.1848886086868,-28.09,-133.68
55,905.992,1007.42,765.58,229.3079360742926,1385.7502495399378,227.05813595226513,1384.9697379446673,-43.29,-137.92
56,921.387,1035.99,755.79,230.63868943106624,1415.6541503135572,228.93900544265463,1421.1518699527019,-58.54,-142.03
57,937.082,1065.68,745.57,231.94846843943048,1446.517608949162,232.50256542054697,1504.302922277901,-73.39,-146.02
58,952.301,1094.8,735.56,233.17935117281783,1477.510545816848,227.92019097450176,1476.9858446168507,-87.97,-149.93
59,967.898,1124.08,725.96,234.35845122983153,1510.0930206116443,231.44587147420503,1517.4246718092836,-103.14,-153.99
60,983.252,1153.29,716.33,235.4848213551768,1542.9088128920646,238.87248471894375,1536.2488140347173,-118.03,-157.92
61,998.943,1181.51,702.16,236.69214310853832,1573.2673811212128,236.0754240751263,1578.849655564127,-133.32,-161.78
62,1014.361,1207.16,683.74,237.930256732042,1599.4879901393444,250.38262005005504,1594.0960164025817,-148.25,-165.51
63,1029.724,1231.48,666.08,239.08006638047755,1625.6235591612224,239.8513286074879,1644.3136751222223,-163.12,-169.23
64,1045.418,1255.39,648.27,240.19100486425833,1652.691932968755,259.44787588135756,1655.7544866571852,-178.63,-173.3
65,1060.779,1281.43,628.65,241.12692370043374,1675.395904525256,238.67869896991576,1675.5104062611804,-185.7,-180.35
66,1076.025,1304.26,611.45,241.6877585618255,1679.168818820788,234.27624420685032,1682.273414806784,-174.04,-184.94
67,1091.191,1330.54,592.12,242.51538639627918,1679.485461354161,240.18212229147585,1688.5463908661811,-159.39,-182.98
68,1106.972,1356.38,573.22,243.40320508197672,1678.9697871313826,250.83225959855753,1514.2111973571227,-144.92,-178.47
69,1122.048,1379.16,551.59,244.5926597122789,1678.0061998097624,240.12440945643255,1650.3975530472057,-136.55,-168.36
70,1137.624,1397.39,526.31,246.08627718708618,1677.2722599804722,227.4278752426403,1677.751791733323,-135.9,-153.59
71,1152.937,1415.45,500.53,247.63328608889515,1678.8548484309179,254.91964804853595,1687.265506223091,-137.1,-138.33
72,1168.287,1433.41,474.89,249.18609463154965,1681.8269224269186,249.69616933983073,1679.8484991556052,-138.66,-122.72
73,1183.798,1451.84,448.58,250.7455966476283,1686.422255101017,225.24041403978057,1641.1994891163542,-140.25,-107.54
