,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,53.684,0.47,-237.59,0.6002307942559781,242.46330464629077,17.046882892652903,260.53970488200895,3.01,4.86
1,69.285,2.9,-207.61,3.64149717717477,216.64741332404594,5.213224079283519,255.8451259862239,16.66,8.6
2,84.337,5.5,-177.82,7.9487340330116325,188.08710349197258,8.067189241700515,156.97938372994992,31.51,8.46
3,100.591,8.24,-146.45,14.30562173175369,158.88684401170536,34.661197816785844,207.185973901397,47.5,7.51
4,115.929,10.47,-114.37,23.58781595523051,131.8241958063845,24.482682484505364,127.86402436511972,63.22,6.44
5,131.487,10.64,-83.12,37.487460103993904,111.52047794015233,47.527151970826665,52.745347889882495,78.51,5.37
6,146.725,10.64,-52.44,55.68640473020184,100.67017929853905,48.19193865475913,85.92796124381208,93.79,4.31
7,161.884,10.64,-20.98,76.17624648538109,101.36603622515777,83.63506717194366,145.1990694016245,109.07,3.24
8,177.737,10.64,10.49,94.22511257083738,114.42096398824823,98.01903571004392,145.73671552091656,124.75,2.06
9,193.576,10.64,40.45,107.05232186416748,135.3817376901331,119.57692892527956,97.15033594169554,140.07,0.75
10,208.647,10.64,70.54,116.11328858842882,161.65037890459766,151.55136435616004,206.42785428886108,155.79,-0.61
11,224.109,10.24,101.25,122.71482217891395,190.65311353345373,106.56172725457635,202.2177279014608,170.65,-1.79
12,239.786,11.05,132.97,129.82046910698796,221.58575337778376,125.4540537616576,257.26415601267377,181.24,-8.93
13,255.067,20.39,164.3,139.13308576923527,248.70693456355417,142.80205058704104,280.02283239605396,183.12,-23.78
14,270.173,29.39,192.06,146.4944454221581,276.4584643305392,155.9913728389194,237.78810006733949,182.0,-38.46
15,285.856,39.12,221.18,152.9192625939947,309.0639454870141,142.54218036646375,341.2608116818931,179.82,-54.0
16,301.254,49.34,250.9,158.37327514790587,333.1631255106123,165.5504778447621,320.3394232050344,172.13,-58.81
17,316.663,59.43,280.2,162.13457506967922,343.27271155744376,159.55490418968336,431.68074002118294,164.74,-46.52
18,332.074,69.22,309.34,164.92266566454225,353.60255273399815,173.53954642327628,403.2996083451475,161.2,-32.09
19,347.379,78.54,337.98,167.32806586488078,363.8629307857562,163.37802565079653,381.73130244557393,158.36,-17.02
20,363.504,89.24,368.07,169.8216777632815,375.4689282750305,212.33219366463717,344.9683205643595,155.59,-1.49
21,379.198,106.17,393.48,172.98439006144667,382.59451877934686,183.3958799978197,400.8528575060093,152.9,13.75
22,394.599,123.76,417.74,176.1113493635146,389.42656432246633,192.70858906008243,412.64153227087985,150.17,29.21
23,409.948,142.58,443.11,179.29574999150157,398.6601145085874,158.05388487885423,357.5395510295281,147.48,44.48
24,425.129,161.11,467.7,182.28746987190755,408.38542285444026,179.95090370538813,528.5833530492652,144.81,59.64
25,440.744,180.14,492.96,185.1938111994449,419.88396694801287,190.88390731059835,454.11584203958927,142.13,74.8
26,456.464,198.46,517.65,187.8710546019082,431.3437878305424,216.85139068380425,526.5846004467356,139.39,90.37
27,471.672,217.41,543.71,190.43378122179286,445.5573500684284,187.79431591914042,408.95517883730105,136.72,105.52
28,487.273,236.3,568.73,192.87593988098268,459.20682105125576,205.33019058926115,551.7869555159276,133.97,121.07
29,502.883,259.49,587.39,195.84076517978784,469.3645768483173,192.37484693794423,421.0991940320021,131.37,135.85
30,518.005,284.11,604.72,198.90717685066343,479.60731958551264,205.0652638578164,464.69970541901205,128.7,150.99
31,534.159,309.86,622.76,201.95753310381508,492.03133640043706,185.9577343534218,533.2265478953935,125.88,166.42
32,549.902,335.05,640.4,204.79236924066856,524.9311544383702,188.72423341926188,542.8874480563326,114.93,163.85
33,565.443,359.79,657.72,206.51298881274036,565.9937601246148,204.68490717076344,470.8642993730716,107.13,151.25
34,581.255,386.03,676.43,207.8601250344725,610.2312503469483,226.05285531490208,573.9688002874365,100.86,136.93
