,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,37.61,0.0,-250.0,0.0,250.0,0.06429667965383573,250.60907738282512,0.0,0.0
1,52.911,0.1,-244.86,359.92774223085877,245.81019547610308,359.96751338658476,263.242297135774,-0.21,0.95
2,68.946,2.64,-210.71,356.0099582918705,213.55762969278342,355.82624204084243,218.6271265940973,-12.22,2.33
3,84.763,5.56,-177.17,349.8833410743857,173.46703952048065,349.85465988713645,187.29934430033074,-24.91,-6.4
4,99.572,8.59,-142.53,340.714407916886,133.554542041819,340.6994660914495,226.3102242229665,-35.52,-16.47
5,115.103,10.53,-109.53,325.3654945783761,99.78193273333603,325.336586711487,106.96023516559987,-46.18,-27.43
6,130.387,10.62,-74.99,298.64041792746923,76.31786684649933,298.51434891253626,70.0025142928413,-56.36,-38.41
7,146.305,10.62,-43.45,264.5877429513496,61.91603346468506,264.59766099020607,61.34294192117562,-51.02,-49.29
8,161.916,10.62,-8.94,225.1025183888286,67.18232282379049,225.04106208419572,69.7361274509523,-36.97,-56.36
9,176.998,10.62,24.22,201.39707054235913,92.09789628433431,201.4229350804688,98.38636408286419,-22.98,-61.53
10,192.7,10.62,59.86,188.5755139101342,127.88978262550921,188.49181538444424,139.60539603648715,-8.45,-66.6
11,207.979,10.39,92.75,181.4845200147551,164.43519088078438,181.47049994947602,183.84378048399037,6.13,-71.63
12,223.487,9.95,125.84,176.9560025713306,202.62589469265768,177.13649695303232,206.72724275413591,20.71,-76.5
13,238.577,17.96,158.1,175.93565745769035,239.85321031831114,176.32536983722377,239.33136778097622,34.96,-81.15
14,254.283,28.73,190.41,175.60240407308976,277.2662801351798,175.64024899429637,280.0639054706077,49.99,-86.04
15,269.925,39.95,223.01,175.43594435279743,314.92864032983726,175.47942452521818,278.4804737403727,65.01,-90.92
16,285.118,51.28,255.92,175.38216971855525,352.75508798598497,175.28319333760484,350.83227894403154,79.68,-95.69
17,300.813,62.43,288.77,175.28081517737905,390.6543593766745,175.12241036555915,395.9775895363601,94.57,-100.56
18,316.2,73.18,321.8,175.18077368866113,428.86616024116427,175.1863393152622,473.1911063974432,109.21,-105.55
