,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,52.911,0.1,-244.86,359.92774223085877,245.81019547610308,352.46694714374803,234.9924147079711,-0.21,0.95
1,68.946,2.64,-210.71,356.0099582918705,213.55762969278342,352.70539880109413,213.16674144285886,-12.22,2.33
2,84.763,5.56,-177.17,349.8833410743857,173.46703952048065,351.87275763442705,163.73754816255342,-24.91,-6.4
3,99.572,8.59,-142.53,340.714407916886,133.554542041819,516.4834586616173,140.10072123205907,-35.52,-16.47
4,115.103,10.53,-109.53,325.3654945783761,99.78193273333603,319.95166618139467,99.23146659412302,-46.18,-27.43
5,130.387,10.62,-74.99,298.64041792746923,76.31786684649933,299.24906126617105,79.86783953664155,-56.36,-38.41
6,146.305,10.62,-43.45,264.5877429513496,61.91603346468506,287.72017654891306,67.15305550794217,-51.02,-49.29
7,161.916,10.62,-8.94,225.1025183888286,67.18232282379049,203.0044388788581,69.96480159017575,-36.97,-56.36
8,176.998,10.62,24.22,201.39707054235913,92.09789628433431,208.66569557701536,89.19392659359417,-22.98,-61.53
9,192.7,10.62,59.86,188.5755139101342,127.88978262550921,198.39448909569813,124.6958589124097,-8.45,-66.6
10,207.979,10.39,92.75,181.4845200147551,164.43519088078438,189.05480271686994,187.42944406326797,6.13,-71.63
11,223.487,9.95,125.84,176.9560025713306,202.62589469265768,173.90006701425466,198.2383122636968,20.71,-76.5
12,238.577,17.96,158.1,175.93565745769035,239.85321031831114,180.67743964451455,242.45468198792298,34.96,-81.15
13,254.283,28.73,190.41,175.60240407308976,277.2662801351798,171.46219312892637,274.12216702812003,49.99,-86.04
14,269.925,39.95,223.01,175.43594435279743,314.92864032983726,185.4655642293143,310.5049021337842,65.01,-90.92
15,285.118,51.28,255.92,175.38216971855525,352.75508798598497,174.5194494281051,315.06044695651565,79.68,-95.69
16,300.813,62.43,288.77,175.28081517737905,390.6543593766745,175.57973623204356,386.07788592312136,94.57,-100.56
17,316.2,73.18,321.8,175.18077368866113,428.86616024116427,173.4753517838993,426.7253633270592,109.21,-105.55
18,331.593,83.89,353.85,175.1750695916616,465.81066754637556,178.28148839272097,427.2789137886592,123.07,-110.31
19,346.879,99.42,383.93,175.62411535318432,500.6594451321177,170.9468603379368,496.09011792225465,137.62,-115.27
20,361.985,118.26,410.08,176.3356619088009,531.2060023192508,171.30190175152936,524.9945116756884,152.21,-120.04
21,377.386,139.21,438.66,178.4514476557846,549.1405550494336,182.14554746894186,538.4507241350477,154.05,-110.28
22,392.991,160.12,466.45,181.64149291027366,565.8822197242108,179.6291767912847,545.4351383531405,143.91,-99.2
23,408.615,180.94,494.07,184.81421738278505,586.1177856028598,189.33264686433034,577.4571674330818,131.75,-89.98
24,423.914,201.61,521.97,187.75397618169342,608.8066008183552,191.1942019718646,617.9320461317843,119.47,-81.27
25,439.208,221.13,548.79,190.39480477097834,631.7686919276706,204.4658748464046,570.8424225536082,107.14,-72.61
26,454.294,242.45,574.42,193.0494191765619,655.117978993097,196.39561983335906,648.3137350534082,94.53,-63.78
27,470.33,270.27,594.95,196.25295303457065,676.3292054170071,196.59915503572628,684.9669587618439,80.98,-54.35
28,486.038,297.98,614.37,199.18779440536136,698.9173715111108,194.25723785910998,699.1432660328518,68.27,-45.72
29,501.688,326.36,634.24,201.97601457658442,723.9087829968636,211.84279908821247,710.2677213817677,55.46,-37.07
30,516.883,354.84,654.18,204.57143575272232,750.623846810105,170.4673072841299,774.7273754700191,42.71,-28.47
31,532.087,383.71,674.79,207.01276806881617,779.4992066705391,191.44298482744898,784.5200055342676,29.67,-19.67
32,547.773,411.65,695.07,209.18179378352798,809.0122128249982,207.5242255521532,807.2770837772651,17.19,-11.26
33,563.092,439.4,714.59,211.2124722976082,838.7474578799032,211.59551369143472,833.3899974543168,4.75,-2.75
34,578.582,472.06,726.98,213.69905846671818,866.0478800274267,212.07131788456346,866.9711711231613,-8.45,6.46
35,594.296,502.9,736.45,215.98016456894274,891.4134767884093,219.13045181365914,890.1965362292349,-20.81,15.1
36,609.694,536.1,746.6,218.28213851567997,920.2395253410929,199.87567819063563,919.5482396937747,-34.02,24.24
37,625.095,569.09,756.69,220.31203967355236,950.9235258946958,218.77149506833197,949.0766058062895,-46.11,31.58
38,640.724,601.64,766.64,221.1932107345229,991.3448292092919,220.75917181900056,981.8327840109263,-51.26,20.66
39,656.03,634.5,777.16,221.51376425258096,1029.6922896186024,218.29576517735117,1022.0672316113706,-47.98,6.13
40,671.542,666.05,787.26,221.71970451823114,1065.2197614577003,227.1720212145929,1074.7509240234333,-42.84,-7.83
41,686.526,699.79,792.43,222.13702379407772,1098.4401276810675,220.19979121543972,1058.7019816071572,-37.16,-22.11
42,702.247,733.57,792.2,222.71415708401716,1127.7215030760033,216.43427933860661,1190.2217731098233,-31.41,-36.39
43,717.65,768.27,791.6,223.28871880463686,1157.6329124986037,208.4791007976457,1137.978404479707,-25.49,-51.05
44,732.927,803.69,790.99,223.89618217486375,1187.8062593706097,224.47433077969197,1188.719515680585,-19.88,-64.94
45,748.954,837.52,790.48,224.3684049401536,1217.5138600443117,225.2181520216908,1232.5196488038964,-13.85,-79.87
46,764.677,870.68,790.44,224.7924016188962,1247.0546339675739,242.09848173717782,1240.1649101455114,-7.92,-94.55
47,780.792,905.21,790.28,225.38350864549838,1278.265563175352,222.6738236624185,1291.678848530247,-4.69,-107.52
48,797.219,938.39,787.6,226.91715268717715,1309.1914980628312,226.07003060546765,1307.132801773002,-17.8,-106.65
49,812.591,970.84,777.56,228.8348316032787,1329.5161869266578,252.08588674325875,1300.2014353052948,-30.04,-97.57
50,828.089,1002.99,767.06,230.72072352686595,1349.0265907312576,234.38410333755579,1351.2332713594046,-41.25,-87.01
51,843.687,1034.12,756.39,232.54445098069507,1368.7015003279569,242.6881332124418,1366.7694554339103,-52.39,-75.98
52,859.789,1065.44,745.61,234.3441839807022,1389.7399879473858,230.25327986167974,1385.5241670802598,-63.77,-64.49
53,874.882,1098.29,734.39,236.07336888340242,1411.3357388304173,234.354360520466,1423.701839018466,-72.77,-53.32
54,891.004,1129.6,724.18,237.2164094024519,1419.3281572631467,237.1615023396721,1418.5837489793662,-63.66,-44.34
55,906.301,1163.33,712.87,238.1430996326237,1427.0947779667613,132.06165795256493,1426.7478653770108,-48.8,-40.35
56,921.995,1192.2,694.9,239.12457830129662,1428.2899341520265,240.6412790911435,1462.250131245357,-33.68,-38.06
57,937.414,1219.74,674.9,240.12691760642252,1427.4201058202873,243.97989835568268,1418.8007778797821,-18.02,-36.07
58,953.129,1246.09,655.13,241.10304939847268,1426.4465015204742,251.8387295494797,1472.9542094229932,-2.75,-34.18
59,968.724,1273.85,634.22,242.14092772307544,1426.2193054716374,240.35368074319956,1461.7188974559092,12.93,-32.25
60,984.011,1301.03,613.76,243.16179999838894,1426.8198855496792,244.5334594884336,1426.1416772501132,27.9,-30.41
61,999.513,1328.86,593.43,244.1638305952185,1429.419258020543,245.29758814302065,1442.5194914734418,42.32,-29.51
62,1015.448,1355.61,573.79,244.79098499006614,1445.289281078359,242.7616446045116,1459.1228448029158,47.97,-41.79
63,1031.248,1379.02,551.54,245.42045451030052,1464.2648535357255,242.33251777074238,1467.1836339066913,47.44,-57.53
64,1046.463,1398.39,524.74,246.18330700398843,1478.7579884822264,243.96932289223102,1662.8983298196222,45.56,-72.4
65,1062.36,1418.73,495.71,246.99567882298768,1494.4451816309622,251.02680723504866,1487.095947923752,43.13,-88.32
66,1077.854,1438.69,467.21,247.79096500432198,1509.9734318854753,233.9260286614801,1511.4953191091129,40.74,-103.54
67,1093.577,1457.69,440.07,248.51072318528227,1525.385422311358,272.963130236958,1541.2630117179285,38.34,-118.72
68,1109.594,1477.43,412.65,249.2225213636776,1541.7793308382363,251.43682187965055,1522.9875009392172,35.92,-134.28
69,1125.314,1497.31,385.23,249.93347487908292,1548.012280700641,250.25266615994937,1558.6488844064,43.27,-145.91
70,1141.033,1515.78,358.02,250.69638001005777,1545.8262471895089,269.72629652757024,1555.7246403903746,56.86,-152.99
71,1157.044,1527.18,326.46,251.58206158465416,1533.805925663348,254.9926425417917,1551.1102430996004,71.94,-158.14
72,1172.735,1537.14,294.14,252.9826924144453,1525.2823614334495,246.5312195264141,1414.7550693487544,78.64,-152.25
73,1188.443,1547.03,261.8,254.7290962783024,1531.2670557744002,260.9219483280364,1528.3547468093175,69.83,-141.51
74,1203.919,1557.19,228.56,256.46177707481,1543.0553848776785,251.2459564433747,1289.0661125298432,57.01,-132.66
75,1219.639,1567.56,195.43,258.1369866180828,1556.8718338064955,255.53642698265236,1559.8810939666757,43.94,-124.62
76,1235.035,1578.02,163.2,259.75693625915534,1572.6749275358845,239.08675295450433,1820.779797938536,30.41,-116.46
77,1250.963,1588.14,130.95,261.3321846495887,1589.0591236640632,264.3969799986376,1582.0475268459656,17.23,-108.53
78,1266.352,1592.19,98.03,262.8775585747061,1600.7724406673174,254.75135354617257,1587.7990032525536,3.77,-100.45
79,1281.776,1592.21,63.26,264.4467730371082,1609.272752301486,260.8615917404606,1597.1855442200608,-9.51,-92.47
80,1296.872,1591.69,30.35,265.9206397077446,1618.1195482720059,272.9812739680449,1597.077504875312,-22.33,-84.76
81,1312.475,1591.08,-4.46,267.45213323344365,1628.1995861994315,268.70625503129116,1622.7159786319428,-35.51,-76.84
82,1328.219,1590.48,-39.02,268.968674160257,1640.0856876395208,263.5535631040018,1625.719631150461,-49.34,-68.54
83,1343.73,1590.39,-72.17,270.40070203808693,1652.9604229986876,269.6575584121826,1654.7247801043054,-62.53,-60.61
84,1359.348,1590.27,-105.07,271.8080089337405,1667.1699840148272,271.04246584305133,1675.4564709092872,-76.07,-52.47
85,1375.154,1587.21,-139.79,273.24686191492316,1678.9050217924776,272.7212205937508,1606.390032450702,-89.0,-44.7
86,1390.538,1577.09,-172.23,274.6205361454422,1685.4074575010043,281.72918807706264,1687.682341765517,-102.84,-36.46
87,1406.168,1566.61,-204.37,275.9584696187053,1691.8805526691294,355.7029589013725,1691.6704605045177,-116.13,-28.74
88,1421.769,1555.65,-236.35,277.2855879776922,1699.0878016747693,272.4510270643807,1701.136911939236,-129.72,-20.88
89,1437.055,1544.86,-267.7,278.575222100983,1706.6183617024633,302.350845407939,1659.327739905212,-142.68,-13.23
90,1452.765,1533.66,-300.54,280.0977043654733,1700.1347377193374,280.58907128692977,1674.714366701127,-140.14,-2.46
91,1468.778,1523.15,-332.75,281.57276724435746,1683.9944080964165,270.7073829563777,1690.0957978856036,-126.61,5.08
92,1484.316,1512.13,-365.4,283.02840903173865,1667.3605153055532,287.34502055010586,1668.1106202690921,-112.31,10.48
93,1499.758,1493.48,-394.18,284.44699342755797,1642.8693993437216,308.8616154413101,1607.0286906270705,-97.44,15.69
94,1515.612,1473.65,-421.42,285.8631367793972,1617.8728505355418,286.01610508792635,1658.33715880018,-82.61,20.81
95,1530.907,1453.04,-448.85,287.32890755378827,1593.5187936450577,304.83641021377576,1578.001285429789,-68.15,25.79
96,1546.622,1432.25,-476.44,288.85425391055094,1569.8630766089125,287.7797162807454,1580.6118451981692,-53.38,30.88
97,1561.732,1411.5,-504.06,290.41121403763884,1547.8752872889986,290.2552700828627,1546.128266503419,-39.19,35.77
98,1577.064,1392.18,-530.57,291.9685091650991,1527.4917810908182,296.7843091150525,1524.366017901774,-24.4,40.86
99,1592.334,1372.63,-557.17,293.5574147572728,1508.552728710535,291.1979345829059,1521.1216621720869,-10.2,45.75
100,1607.72,1350.01,-580.17,295.12870152355185,1485.9897319295312,287.59730283421504,1495.6035666533728,4.66,50.86
101,1622.892,1321.81,-600.46,296.7327902157504,1458.8393609304621,294.82482104900834,1479.1367062883448,18.9,55.77
102,1638.656,1293.56,-620.25,298.38858753423716,1432.3723869161956,296.6446563937406,1444.6334991356398,33.44,60.77
103,1654.438,1265.73,-639.74,300.098573161552,1407.109088486035,301.52412044697866,1396.6815963149788,48.35,65.91
104,1669.469,1238.75,-658.63,301.8165289243344,1383.7987095311223,309.4092325131469,1385.2022654326236,62.88,70.91
105,1685.037,1210.7,-678.84,303.66240830955394,1361.6310508357246,296.9070798240262,1702.5007433923945,77.39,75.91
106,1700.387,1184.06,-698.13,305.5112612115035,1341.3490966933252,289.08712032027336,1313.869378220863,92.2,81.01
107,1715.884,1155.31,-716.94,307.4484970054179,1320.6193371293637,300.62630326649736,1541.0587035019996,106.87,86.06
108,1731.587,1123.48,-728.03,309.2749522029443,1294.06790300973,321.19482540379084,1292.4510767242098,121.72,91.17
109,1747.005,1090.34,-738.3,311.1746564470478,1267.5197968079237,371.20833984489974,1256.5249271195028,136.27,96.18
110,1762.162,1057.3,-748.4,313.144167881204,1242.3877366587292,313.45936236637044,1237.5086861443533,150.81,101.19
111,1777.547,1026.62,-757.78,314.4101585336193,1218.522690227802,289.8893500175859,1220.7564287996345,156.17,94.93
112,1792.721,992.77,-768.43,315.2250745811491,1200.6270806957502,327.3775180471783,1195.6678218446814,147.14,83.87
113,1808.163,960.76,-778.82,315.9365746898869,1187.9142475785027,317.77408272819196,1158.151167028385,134.62,74.78
114,1823.149,929.35,-788.6,316.65155299098683,1175.9333131177125,315.225481325514,1167.0472617455946,122.15,66.53
115,1838.501,895.71,-792.51,317.2827538375285,1158.3611180024993,298.2228528232933,1157.2468244296865,109.9,58.55
116,1854.025,863.46,-792.22,317.6683470069613,1139.005136643378,326.3173580661126,1148.71965432272,96.43,49.8
117,1869.944,829.19,-791.62,318.1545237838886,1118.0530964583033,300.236498982731,1118.291123541643,83.31,41.27
118,1885.372,795.44,-791.04,318.63502656653714,1097.5660328654492,346.2166775783259,1094.089004103499,70.11,32.7
119,1900.801,760.85,-790.46,319.1917810192306,1076.6925396788072,322.33119911663266,1077.6094199595489,57.2,24.49
120,1917.153,726.43,-790.39,319.74189364763356,1056.6329819289194,313.764528926747,1057.7377318305494,43.6,15.97
121,1932.487,692.53,-790.23,320.3097504459299,1036.8959687451772,326.9377727778948,1034.61497488617,30.33,7.67
122,1948.217,658.89,-786.99,320.77362092790366,1015.060387612481,333.3908112347244,1021.308380897095,16.98,-0.67
123,1963.531,627.46,-777.17,320.96714935812355,989.462963884955,364.9973262383128,995.213570089862,4.33,-8.57
124,1979.266,594.69,-766.22,321.1424910085523,962.2469361343792,317.02710071941806,963.0637678846235,-9.01,-16.91
125,1994.501,562.85,-755.26,321.28271322112346,935.6202991598676,321.6126785999956,899.1731193374038,-22.36,-25.25
126,2009.75,530.97,-744.28,321.48462390882867,908.8607802078379,322.5693152105217,919.5865420075066,-35.0,-33.15
127,2024.848,499.07,-733.58,321.7054103744618,882.2747395794578,315.51160096136465,885.8328508391863,-47.68,-41.14
128,2040.179,467.65,-723.36,321.8842261818079,856.2784288419276,313.1266541719636,873.9382924987053,-60.89,-49.67
129,2055.908,435.19,-712.31,322.1014350211731,828.9575965632982,322.5592632500882,701.8180105265205,-74.01,-58.18
130,2071.349,407.03,-694.29,321.80711831229416,798.7569262923483,329.5857961390266,792.5443832411836,-86.85,-66.52
131,2086.353,378.47,-673.57,321.3808311020183,766.2370824359782,319.23034356129705,762.9769762217107,-99.77,-74.9
132,2101.987,350.95,-652.93,320.8908179980424,734.5749498859867,316.8014322129254,725.8193684490487,-112.42,-82.94
133,2117.423,324.57,-633.06,320.2426395237153,704.5244616051311,318.24422828367375,711.5290842837994,-126.0,-91.45
134,2132.767,297.08,-612.36,319.6591074432995,673.0065798341053,321.54383180555146,686.778744895865,-138.58,-99.39
135,2148.167,269.15,-591.95,319.8416554332938,647.772620137653,320.08809854561224,551.7895707065201,-148.6,-96.88
136,2163.533,241.83,-571.85,321.2297588744866,627.9633690749804,318.1795408591246,654.6341782081465,-151.4,-82.25
137,2178.92,218.2,-547.32,322.4249463231393,605.5098575580748,324.32883151020275,602.41334239507,-151.04,-67.42
138,2194.32,198.18,-519.83,323.38135497562075,583.7856130464335,331.5777480416,576.2536536709341,-150.04,-51.27
139,2210.33,178.35,-491.61,324.33596423825617,561.376324848136,323.5318180735661,564.1611779955085,-148.95,-35.52
140,2226.367,158.81,-463.7,325.36300779812893,539.5556818345999,323.20765907757277,540.9515090603703,-147.86,-19.77
141,2241.632,138.83,-435.19,326.42622644401735,516.5184721769397,324.2850857400619,499.760591991227,-146.81,-4.84
142,2257.643,119.53,-408.47,327.7100791666144,496.477329190367,326.2210016625879,493.5839998242436,-145.69,11.23
143,2273.354,99.17,-380.28,329.1339047528824,474.9008519680713,329.311396918571,482.6948159640104,-144.47,27.36
144,2288.443,81.59,-351.97,330.30945627771933,453.83213482520165,318.94479623094713,454.9359167758894,-143.2,42.28
145,2303.425,71.08,-320.92,330.5843154713666,433.7032905109206,323.1215709883529,437.91565940902683,-141.93,56.87
146,2319.226,60.89,-287.7,330.7626127039415,412.54702774350466,321.1171623002102,386.8872837682074,-140.61,72.29
147,2334.824,51.2,-256.0,331.03390863337074,393.5849267947135,338.3629426079741,384.55551467963016,-139.41,88.35
148,2350.961,41.31,-223.68,330.8908133524528,374.1812492629742,348.081176077073,288.9434609923764,-140.72,103.24
149,2366.374,31.38,-192.09,330.00031700360387,357.563426541362,340.55547005839196,358.75740907566967,-147.4,117.57
150,2381.457,20.65,-159.04,328.78142181024776,338.5655652897973,328.24861872557153,312.1952784855004,-154.83,130.5
151,2397.698,7.91,-95.28,324.48180332502943,294.02981957617834,325.272785654012,295.1092742317899,-162.91,144.04
152,2413.075,7.85,-60.55,320.63374679576674,281.7073419348527,321.9417448809454,283.9619028462602,-170.83,157.24
153,2428.155,7.85,-60.55,321.03460025926404,296.62035971928833,326.20804303293374,338.65031291187535,-178.68,170.08
154,2443.454,8.37,-24.94,317.3284041634406,279.34689491741267,318.51838449720935,265.2670374011996,-180.97,180.45
155,2459.054,8.99,10.51,312.91196392899826,242.20346859613716,315.1735756097456,248.91154034853585,-168.4,175.42
156,2474.245,9.56,44.29,305.3841410821444,206.49142209786828,283.3744373217331,202.41574671291863,-158.79,163.86
157,2490.059,9.63,79.02,294.36250921034343,175.2448963593519,282.6593273730549,169.98838001830376,-150.01,151.31
158,2505.863,9.82,112.83,279.55092766436724,153.08194406918145,290.08794601787315,180.66250667360555,-141.14,138.23
159,2521.462,14.91,146.54,261.61506749299673,148.8106797242725,264.2047339551174,154.9391450708263,-132.31,124.84
160,2536.57,25.22,178.7,246.003697920227,163.44639274086165,223.26752532609706,150.82089771566834,-124.1,112.23
161,2551.865,35.95,211.74,233.5459417252009,188.76497159165945,236.50937822011963,189.105522528721,-115.88,99.58
162,2567.953,47.05,244.56,224.20834820787022,221.0909677033415,224.76293156699379,219.4837816258827,-107.11,86.08
163,2583.77,58.05,276.52,217.6330821006365,256.76277767620445,218.61322888077825,415.05255171240293,-98.73,73.18
164,2599.362,69.99,311.54,212.41166300493242,298.22836115969926,202.90705483064124,260.4893070976494,-89.86,59.77
165,2615.174,80.25,343.04,208.55503296321103,337.4249079424932,210.7823029111573,320.2513749949058,-81.04,46.66
166,2630.896,92.6,374.01,205.88726687734527,378.0561043019938,205.21961935569496,386.8365875336585,-72.46,33.89
167,2646.084,111.54,401.07,204.82732607189294,418.6860877793768,204.41164592070456,403.5527789509482,-64.26,21.08
168,2661.13,132.03,428.99,204.38444398880142,462.1453087503973,204.0589302831982,463.82873924003064,-58.77,8.07
169,2676.765,153.07,456.94,203.9883634815993,508.12800946218266,204.42070165072312,528.7187505718911,-53.51,-7.3
170,2692.221,173.01,483.4,203.69543399635702,551.7887597622844,188.22406823126954,551.6773024648819,-48.74,-21.87
171,2707.311,192.84,510.0,203.44967945341398,595.3609010507829,201.10257486081653,590.205760868445,-44.08,-36.19
172,2722.831,213.67,538.63,203.20527259262423,641.7588819019181,205.54190195480027,637.8185111333607,-39.2,-51.21
173,2738.444,234.84,567.01,203.04960471445904,687.7670375933991,202.6579185643881,689.7891796400196,-34.44,-65.85
174,2754.47,260.77,588.07,203.44601365617888,729.4573671572589,204.1950391941856,730.2804936894487,-29.47,-81.16
175,2769.861,289.13,608.09,204.01078054993226,770.9840927671595,203.79738782967962,779.0585953174578,-24.59,-96.18
176,2784.854,316.27,627.1,204.50917373105514,810.6760801331195,203.2032423471832,811.5273212693864,-20.03,-110.53
177,2800.783,344.59,646.93,205.00129303990855,852.0042940032638,211.22639462316275,857.6326067611202,-15.5,-125.24
178,2816.287,371.63,666.07,205.37698539119907,892.5216300460175,276.6420634593094,905.4327460283517,-10.88,-140.33
179,2831.691,399.07,685.98,205.73866502951333,933.6420741376215,196.81218977580482,937.3533418956492,-6.38,-155.03
180,2847.288,427.31,706.12,206.10211070143868,975.2660499063832,207.97036158335055,974.817667492416,-1.78,-169.68
181,2863.192,455.7,721.54,206.52686444927085,1013.2162912725001,211.35033620780027,1021.8796143383663,3.18,-185.01
182,2878.892,489.38,732.26,207.33572408577618,1045.3534834207996,206.3815388897294,1041.68714457157,9.35,-196.36
183,2894.283,522.63,742.43,208.28982935002023,1058.3587910533931,200.15153876161145,1043.5843533697873,21.04,-189.52
184,2910.419,554.97,752.32,209.48927507479928,1067.645803860063,211.31505125404405,1065.6782500791273,29.41,-177.01
185,2926.027,588.21,762.48,210.7701639396517,1077.0618524485956,218.11726181090805,1069.576933100075,37.19,-162.96
186,2942.067,620.46,772.65,211.99621548095408,1086.4501410097014,211.91520485010716,1090.0830369690352,44.79,-148.75
187,2957.779,653.51,783.35,213.22094487838152,1097.5249940206375,211.02627474717428,1094.8542671219477,52.21,-134.8
188,2973.257,687.38,791.68,214.5252426260217,1108.3699119427592,211.17930316791242,1103.650155425947,59.19,-121.48
189,2988.65,721.12,792.14,216.05134652905414,1112.2835074746006,224.08859943517953,1112.8513877278456,66.53,-107.13
190,3003.947,755.84,791.95,217.61607948072415,1118.1788242047871,216.74695110125683,1115.2376115697618,73.34,-93.78
191,3019.355,789.69,791.37,219.14274517211172,1123.952211662044,217.42824293191745,1122.541902315202,80.19,-80.34
192,3034.428,824.28,790.77,220.68151923398545,1130.9897435432383,217.89189026899973,1132.0652451075912,87.04,-66.91
