,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,52.911,0.1,-244.86,359.92774223085877,245.81019547610308,357.0840298670437,282.24788735970003,-0.21,0.95
1,68.946,2.64,-210.71,356.0099582918705,213.55762969278342,366.1234227481109,213.7067325537613,-12.22,2.33
2,84.763,5.56,-177.17,349.8833410743857,173.46703952048065,373.7448587146221,303.4132853098463,-24.91,-6.4
3,99.572,8.59,-142.53,340.714407916886,133.554542041819,360.50756608160543,137.4062119504744,-35.52,-16.47
4,115.103,10.53,-109.53,325.3654945783761,99.78193273333603,353.21582787676016,120.63359528751062,-46.18,-27.43
5,130.387,10.62,-74.99,298.64041792746923,76.31786684649933,297.2376097113493,166.3944793483928,-56.36,-38.41
6,146.305,10.62,-43.45,264.5877429513496,61.91603346468506,264.5589494124419,34.88211043644169,-51.02,-49.29
7,161.916,10.62,-8.94,225.1025183888286,67.18232282379049,241.0427730687714,55.07539990106693,-36.97,-56.36
8,176.998,10.62,24.22,201.39707054235913,92.09789628433431,192.5311798258868,116.61524789867498,-22.98,-61.53
9,192.7,10.62,59.86,188.5755139101342,127.88978262550921,202.6929140891221,128.08589460987932,-8.45,-66.6
10,207.979,10.39,92.75,181.4845200147551,164.43519088078438,201.77422333533752,124.07525409695948,6.13,-71.63
11,223.487,9.95,125.84,176.9560025713306,202.62589469265768,189.7751313878538,208.69669869504108,20.71,-76.5
12,238.577,17.96,158.1,175.93565745769035,239.85321031831114,167.34167541146005,238.6882498092527,34.96,-81.15
13,254.283,28.73,190.41,175.60240407308976,277.2662801351798,176.75995573320927,321.32944545782607,49.99,-86.04
14,269.925,39.95,223.01,175.43594435279743,314.92864032983726,179.85406348462564,252.38357944466765,65.01,-90.92
15,285.118,51.28,255.92,175.38216971855525,352.75508798598497,189.07327266640692,335.54667321455725,79.68,-95.69
16,300.813,62.43,288.77,175.28081517737905,390.6543593766745,186.7852154012355,460.4697368225715,94.57,-100.56
17,316.2,73.18,321.8,175.18077368866113,428.86616024116427,178.0613845701473,531.8607175810359,109.21,-105.55
18,331.593,83.89,353.85,175.1750695916616,465.81066754637556,162.23532510873753,410.4852283350224,123.07,-110.31
19,346.879,99.42,383.93,175.62411535318432,500.6594451321177,160.82400419369242,546.6672781440783,137.62,-115.27
20,361.985,118.26,410.08,176.3356619088009,531.2060023192508,171.79599504711453,500.8174317139756,152.21,-120.04
21,377.386,139.21,438.66,178.4514476557846,549.1405550494336,173.51778442553646,524.5684567777773,154.05,-110.28
22,392.991,160.12,466.45,181.64149291027366,565.8822197242108,181.74182565334402,540.6038981111951,143.91,-99.2
23,408.615,180.94,494.07,184.81421738278505,586.1177856028598,179.26078921703424,581.9599129322273,131.75,-89.98
24,423.914,201.61,521.97,187.75397618169342,608.8066008183552,193.83630247283966,671.3392726832832,119.47,-81.27
25,439.208,221.13,548.79,190.39480477097834,631.7686919276706,190.66587907263033,680.9524916588693,107.14,-72.61
26,454.294,242.45,574.42,193.0494191765619,655.117978993097,203.45111579464577,673.5977584243919,94.53,-63.78
27,470.33,270.27,594.95,196.25295303457065,676.3292054170071,204.09577091088616,674.9535941283569,80.98,-54.35
28,486.038,297.98,614.37,199.18779440536136,698.9173715111108,214.5502571804468,714.7719471290139,68.27,-45.72
29,501.688,326.36,634.24,201.97601457658442,723.9087829968636,197.67035491350768,734.6300522201647,55.46,-37.07
30,516.883,354.84,654.18,204.57143575272232,750.623846810105,201.2006586980245,803.5973528248176,42.71,-28.47
31,532.087,383.71,674.79,207.01276806881617,779.4992066705391,200.8097737804185,765.515340070305,29.67,-19.67
32,547.773,411.65,695.07,209.18179378352798,809.0122128249982,218.1646422938283,824.4210521261675,17.19,-11.26
33,563.092,439.4,714.59,211.2124722976082,838.7474578799032,228.26068854106137,849.6972801248687,4.75,-2.75
34,578.582,472.06,726.98,213.69905846671818,866.0478800274267,236.10516718299527,879.2893969373894,-8.45,6.46
35,594.296,502.9,736.45,215.98016456894274,891.4134767884093,225.9329821237884,918.8267067409599,-20.81,15.1
36,609.694,536.1,746.6,218.28213851567997,920.2395253410929,224.37417701094694,945.2295496200903,-34.02,24.24
37,625.095,569.09,756.69,220.31203967355236,950.9235258946958,237.49613485472818,1029.3614088840502,-46.11,31.58
38,640.724,601.64,766.64,221.1932107345229,991.3448292092919,228.4113872744848,1002.961675714243,-51.26,20.66
39,656.03,634.5,777.16,221.51376425258096,1029.6922896186024,216.7316272540118,1118.7843074107002,-47.98,6.13
40,671.542,666.05,787.26,221.71970451823114,1065.2197614577003,238.933985855694,1066.5446694628686,-42.84,-7.83
41,686.526,699.79,792.43,222.13702379407772,1098.4401276810675,224.66953174875405,1091.6867510689915,-37.16,-22.11
42,702.247,733.57,792.2,222.71415708401716,1127.7215030760033,211.88665113581203,1148.1561979473872,-31.41,-36.39
43,717.65,768.27,791.6,223.28871880463686,1157.6329124986037,228.76843731741343,1190.0385206990231,-25.49,-51.05
44,732.927,803.69,790.99,223.89618217486375,1187.8062593706097,221.27256791547313,1216.1780424736046,-19.88,-64.94
45,748.954,837.52,790.48,224.3684049401536,1217.5138600443117,231.6841150267266,1293.936139063546,-13.85,-79.87
46,764.677,870.68,790.44,224.7924016188962,1247.0546339675739,223.52619088628418,1316.3037539723623,-7.92,-94.55
47,780.792,905.21,790.28,225.38350864549838,1278.265563175352,229.09329633165518,1317.2042618870432,-4.69,-107.52
