,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,82.106,6.62,2.25,294.655898744082,1.34238593556399,313.779666755374,-26.2110773344902,5.4,2.81,,
1,97.137,35.34,-21.93,324.834830673163,16.8074388292803,313.556685418411,-5.15035786281383,25.66,-8.19,1.35066666666667,-0.733333333333333
2,112.304,59.09,-46.48,329.365099172545,27.7883734680531,316.887217380946,76.9784787965105,44.93,-22.57,1.28466666666667,-0.958666666666667
3,127.364,84.33,-72.62,330.544885583297,40.7124415873084,297.324561937257,19.2758316063069,64.31,-37.17,1.292,-0.973333333333333
4,142.445,109.48,-98.66,331.10503996119,53.6831779983264,315.720703441494,31.781691846926,83.54,-51.66,1.282,-0.966
5,157.462,134.86,-124.95,331.243704564748,66.786521095203,319.106365521967,-58.1893617978274,102.73,-66.4,1.27933333333333,-0.982666666666667
6,172.569,161.78,-152.83,330.804129714845,81.939866975728,346.022917630115,59.196392483186,121.81,-81.3,1.272,-0.993333333333333
7,187.556,186.83,-178.77,330.928889925431,94.4031620233136,319.109809485236,127.712449221547,140.96,-96.26,1.27666666666667,-0.997333333333334
8,202.673,212.1,-204.93,331.074686807377,106.74653062278,343.228075862927,128.30982708253,160.47,-111.5,1.30066666666667,-1.016
9,217.711,237.2,-230.92,331.094450484298,119.474393072323,310.189416279344,138.434444330264,179.45,-126.33,1.26533333333333,-0.988666666666667
10,232.821,262.55,-257.18,331.169624586694,132.035668665706,344.039950399812,113.116947798376,198.88,-141.51,1.29533333333333,-1.012
11,247.874,287.97,-283.5,331.192845855949,144.833670808966,318.808462431909,116.026815194473,218.18,-156.59,1.28666666666667,-1.00533333333333
12,262.919,313.05,-309.47,331.327602747275,157.252737337065,310.197274026085,132.554054197143,237.6,-171.5,1.29466666666667,-0.994
13,277.972,338.33,-335.64,331.217558202744,171.760244527073,349.815318150151,190.028698449999,255.63,-185.1,1.202,-0.906666666666666
14,293.043,361.73,-359.88,331.552118839156,182.257441274698,377.182840210327,221.333969989237,274.91,-199.63,1.28533333333334,-0.968666666666667
15,308.138,376.34,-385.4,334.369872081444,189.939011527385,292.017361560545,171.842801472655,294.18,-214.15,1.28466666666667,-0.968000000000001
16,323.234,339.85,-386.52,350.475782953514,159.792620918489,372.802689016771,178.92641157846,313.41,-228.93,1.282,-0.985333333333333
17,338.27,299.87,-385.13,13.3319368450044,144.627643968918,25.9078691649164,198.371775604353,333.22,-244.4,1.32066666666667,-1.03133333333333
18,353.296,265.08,-383.91,35.0342482567671,152.282147673324,193.800169667995,171.779144597323,352.5,-259.22,1.28533333333333,-0.988000000000001
19,368.337,227.02,-382.59,42.9045878664403,185.654820028999,31.5934038415976,158.338772277817,353.41,-246.6,0.0606666666666683,0.841333333333336
20,383.524,189.28,-381.27,44.0868121713569,209.415057720308,12.7370280207446,170.778831481415,334.98,-230.85,-1.22866666666667,1.05
21,398.608,151.65,-379.95,45.0892920516275,231.400975149199,76.8855156313404,300.268055525038,315.53,-216.58,-1.29666666666667,0.951333333333332
22,414.632,111.64,-378.56,45.9020082491743,254.681924957387,103.620661638423,237.191892285698,294.54,-201.33,-1.39933333333333,1.01666666666667
23,429.679,78.69,-377.41,46.2538899025302,273.694649016016,58.9754099305958,252.180669889053,276.41,-188.16,-1.20866666666667,0.878000000000001
24,444.746,37.76,-375.98,47.0172368478876,297.706743289432,98.0399179131845,274.533263199678,255.55,-173.01,-1.39066666666667,1.01
25,459.844,-0.17,-374.65,47.5538006317333,319.930012346451,73.8929886653108,338.576928527778,235.91,-158.73,-1.30933333333333,0.952
26,474.891,-37.52,-373.35,47.9801418308643,341.789746042798,63.601743843051,318.146000114016,216.4,-144.56,-1.30066666666667,0.944666666666666
27,489.948,-75.17,-372.03,48.3899974688893,363.884562052308,69.5270696614867,491.355913835125,196.9,-130.39,-1.3,0.944666666666668
28,505.002,-113.2,-370.7,48.7684419634646,386.236593035927,33.153843843792,364.591811311428,177.27,-116.13,-1.30866666666667,0.950666666666666
29,520.15,-150.2,-369.7,48.9826208726302,408.052612294052,-113.401302564047,428.167506117568,157.68,-101.9,-1.306,0.948666666666666
30,535.125,-186.61,-369.06,49.1012017281868,429.69188146857,33.7419374216717,476.910703613261,138.18,-87.73,-1.3,0.944666666666667
31,550.267,-222.97,-368.43,49.391687826716,451.647047261465,29.1530930217541,660.938585029669,119.91,-74.46,-1.218,0.884666666666667
32,565.31,-260.09,-367.46,49.5709880451673,473.627494345504,74.9256473539017,498.163278683112,100.44,-60.31,-1.298,0.943333333333333
33,580.443,-300.31,-366.11,49.7911103864226,497.292197807285,32.2461790097786,330.132795767723,79.47,-45.07,-1.398,1.016
34,595.486,-310.79,-349.49,49.3271300051659,488.830390421872,66.0688618350986,467.318235109359,59.96,-30.9,-1.30066666666667,0.944666666666667
35,610.493,-287.64,-322.71,47.1854290636313,448.922138126424,122.704506504093,419.658737965433,41.67,-17.61,-1.21933333333333,0.886
36,625.603,-263.04,-294.41,44.4182814219541,407.434713420445,25.0077793537887,384.341659674014,22.12,-3.4,-1.30333333333333,0.947333333333333
37,640.626,-238.25,-265.9,40.7958420256066,366.716545031718,54.5594072307429,273.720806569333,1.35,11.72,-1.38466666666667,1.008
38,655.748,-213.74,-237.7,36.6303107475894,328.584872749797,24.7194784246355,353.354263849704,-17.69,25.99,-1.26933333333333,0.951333333333333
39,670.8,-189.07,-209.32,31.0473636733053,292.643782267794,15.5524297364366,274.563904453586,-38.14,41.4,-1.36333333333333,1.02733333333333
40,685.84,-163.94,-180.41,23.9784041571482,259.527566551224,77.9190008587114,281.767681842823,-58.47,56.72,-1.35533333333333,1.02133333333333
41,700.905,-139.31,-152.07,15.1066204419831,232.142250355251,-6.6037438794059,316.527331435272,-78.81,72.05,-1.356,1.022
42,715.934,-114.71,-123.78,4.34009310616344,211.426281242423,-16.2969036313064,179.375338038098,-98.71,87.04,-1.32666666666667,0.999333333333334
43,731.017,-91.75,-97.37,352.488944679453,200.661746478994,338.888886199655,-20.1027835815151,-117.98,101.57,-1.28466666666667,0.968666666666666
44,746.115,-66.9,-68.77,338.96186858377,198.919641312767,351.639070224796,219.415386062113,-138.31,116.89,-1.35533333333333,1.02133333333333
45,761.193,-42.12,-40.27,326.033729029277,207.1219128919,308.459302339604,180.171521732647,-157.84,131.51,-1.302,0.974666666666666
46,776.245,-16.63,-11.37,314.350865547608,224.690528950377,303.076415938289,281.834190542395,-177.3,145.7,-1.29733333333333,0.946
47,792.263,7.7,15.66,305.191957520509,250.261310034132,321.170207887424,350.276458309593,-196.82,159.89,-1.30133333333333,0.946
48,808.367,35.52,46.56,296.906120309448,283.981192511053,313.010927132042,455.485387920957,-217.72,175.07,-1.39333333333333,1.012
49,824.444,59.96,73.7,291.32603592555,320.506329422681,306.862163371228,364.569886266629,-238.6,190.26,-1.392,1.01266666666667
50,840.462,88.02,104.86,286.275234202356,362.923612486154,301.308048088257,345.526478036308,-260.36,206.57,-1.45066666666667,1.08733333333333
51,856.597,111.7,131.42,283.032190581394,403.461751966652,302.135651301325,379.182468405779,-281.37,222.4,-1.40066666666667,1.05533333333333
52,872.615,137.91,161.56,279.804687891848,446.532061222932,262.511448436162,373.291598805247,-302.1,237.6,-1.382,1.01333333333333
53,888.692,160.7,187.77,278.09236793191,461.677188628591,294.830690873728,493.893064059487,-296.38,252.76,0.381333333333335,1.01066666666667
54,903.761,186.79,217.32,275.471821876427,460.58880414096,259.964300989004,439.204677708745,-271.7,261.24,1.64533333333333,0.565333333333335
55,918.89,214.46,248.18,272.438194540222,464.720714946085,303.449229022584,390.628433860822,-249.84,267.95,1.45733333333333,0.447333333333332
56,934.98,228.18,244.69,273.900522351835,454.101854873992,251.575237849359,226.088818062559,-224.87,275.58,1.66466666666667,0.508666666666666
57,951.042,207.95,211.81,279.905783008799,414.408007885948,298.028519119371,388.234468153731,-200.28,283.1,1.63933333333333,0.501333333333336
58,967.06,186.74,179.14,287.127411238999,378.882597647345,298.891480238018,411.457138231483,-175.34,290.72,1.66266666666667,0.508
59,983.125,165.77,146.85,295.579507252008,350.747844612052,251.882522693135,317.8591880403,-150.6,298.29,1.64933333333333,0.504666666666666
60,999.237,147.31,118.42,304.450807005306,331.307253769066,323.026464349501,383.702288029814,-125.89,305.84,1.64733333333333,0.50333333333333
61,1014.297,126.26,86.01,314.748627157908,322.344799554762,329.048809291069,281.882756021603,-102.67,312.94,1.548,0.473333333333335
62,1029.339,105.24,53.64,324.987305635229,324.666546628999,306.826722403421,295.65170040905,-81.04,319.55,1.442,0.440666666666668
63,1045.42,84.2,21.25,335.372759985416,336.586554247195,316.629564776125,492.36705527982,-56.06,327.22,1.66533333333333,0.511333333333334
64,1061.487,63.16,-11.16,344.693650377696,359.004548439153,326.716935688187,336.172561035708,-31.61,335.11,1.63,0.525999999999999
65,1077.568,42.07,-43.64,352.747733233972,389.818565617391,365.510217838981,407.286793310092,-7.14,343.06,1.63133333333333,0.529999999999999
66,1093.656,20.8,-76.15,359.535913798828,427.174012786359,375.897232723477,445.736080011979,17.34,351.01,1.632,0.529999999999999
67,1109.741,-1.29,-108.91,5.26918731262182,469.755077141269,29.2195903403825,520.797614209818,41.85,358.86,1.634,0.523333333333335
68,1125.76,-23.29,-141.53,10.092863328333,516.137215282913,60.3006495564965,489.056660093605,67.16,366.62,1.68733333333333,0.517333333333333
69,1141.912,-45.21,-174.04,14.045339674983,565.248684120538,26.8997665882135,471.194458063745,91.97,374.31,1.654,0.512666666666667
70,1157.95,-66.33,-206.44,17.3006609604707,603.357479857505,30.9406470502611,659.470639794904,113.1,369.62,1.40866666666667,-0.312666666666667
71,1174.06,-84.84,-234.88,19.9188999075765,619.830889356121,36.6732951162699,736.412757650646,126.33,347.87,0.882,-1.45
72,1190.086,-105.16,-265.05,22.5222053163805,637.685541705314,54.7409198329672,406.033593502339,139.1,324,0.851333333333333,-1.59133333333333
73,1205.179,-127.19,-238.95,27.3420428373701,607.139337961229,-20.0306144223184,678.946709035326,151.67,300.36,0.838,-1.576
74,1220.329,-144.98,-202.52,32.4757991101447,572.332285477589,16.1937275264345,548.237790371647,162.33,280.31,0.710666666666668,-1.33666666666667
75,1235.379,-160.89,-169.9,38.1993105900037,542.918136738864,16.4167269465295,522.008522034875,174.85,256.76,0.834666666666665,-1.57
76,1250.415,-177.05,-136.54,44.2079644386251,520.232809134526,81.2757632834704,538.430817119073,185.69,236.37,0.722666666666667,-1.35933333333333
77,1265.552,-194.35,-99.5,51.2353046086303,500.779815288116,95.4656363378045,433.892260243734,196.12,214.05,0.695333333333334,-1.488
78,1281.68,-211.23,-63.29,55.4106913005238,469.375776643832,25.3742004270233,238.070244533312,175.18,203.17,-1.396,-0.725333333333335
79,1296.746,-228.57,-26.11,59.5787144288529,441.074685399196,29.5717686255438,467.280964109939,151.78,197.23,-1.56,-0.396
80,1311.788,-245.59,10.38,64.2055210925674,416.666339653205,35.3771082328751,390.638444288959,129.56,191.69,-1.48133333333333,-0.369333333333333
81,1327.826,-262.36,45.08,69.0646808517792,392.875944796828,32.0157422886807,413.554595133258,104.58,185.46,-1.66533333333333,-0.415333333333333
82,1342.91,-279.36,79.94,74.5131467337963,375.36899245942,119.227771326595,415.192327393489,82.38,180.17,-1.48,-0.352666666666668
83,1357.966,-295.4,113.26,80.1717790763003,357.831556461976,66.5413798354981,-152.584703523342,57.18,174.34,-1.68,-0.388666666666666
84,1373.015,-311.48,147.67,86.485828721457,345.539729264234,105.899633575548,312.054033711139,33.41,168.85,-1.58466666666667,-0.366000000000001
