,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,82.106,6.62,2.25,294.6558987440816,1.3423859355639867,298.6257076788196,32.48644970243122,5.4,2.81
1,97.137,35.34,-21.93,324.83483067316325,16.80743882928033,313.4814889110366,-4.913892954723767,25.66,-8.19
2,112.304,59.09,-46.48,329.3650991725448,27.788373468053145,316.77488583758617,109.4351934043519,44.93,-22.57
3,127.364,84.33,-72.62,330.54488558329666,40.71244158730842,359.37777560383745,-16.333817854990627,64.31,-37.17
4,142.445,109.48,-98.66,331.1050399611903,53.68317799832644,329.93865547017685,124.21950190768668,83.54,-51.66
5,157.462,134.86,-124.95,331.243704564748,66.78652109520304,355.66414436894877,136.42948545526536,102.73,-66.4
6,172.569,161.78,-152.83,330.8041297148451,81.93986697572801,332.0213179020398,103.75500533441559,121.81,-81.3
7,187.556,186.83,-178.77,330.92888992543067,94.40316202331361,331.4481206772028,130.38001290833563,140.96,-96.26
8,202.673,212.1,-204.93,331.0746868073768,106.7465306227795,347.1396950299456,81.63550176210644,160.47,-111.5
9,217.711,237.2,-230.92,331.0944504842978,119.47439307232324,350.79696407502223,136.4508834863015,179.45,-126.33
10,232.821,262.55,-257.18,331.16962458669354,132.03566866570566,344.128530386053,76.3549251170748,198.88,-141.51
11,247.874,287.97,-283.5,331.1928458559493,144.83367080896625,316.53325468372503,122.20228368007372,218.18,-156.59
12,262.919,313.05,-309.47,331.3276027472747,157.25273733706518,355.9840896134263,162.44177698653544,237.6,-171.5
13,277.972,338.33,-335.64,331.2175582027438,171.76024452707324,325.8529502977471,63.798727193016504,255.63,-185.1
14,293.043,361.73,-359.88,331.5521188391559,182.257441274698,346.2690926610753,200.160188093601,274.91,-199.63
15,308.138,376.34,-385.4,334.3698720814439,189.9390115273847,364.489987208967,187.9236908230983,294.18,-214.15
16,323.234,339.85,-386.52,350.47578295351406,159.7926209184892,356.4813324475428,167.83913206527097,313.41,-228.93
17,338.27,299.87,-385.13,13.331936845004421,144.62764396891762,10.826401896962114,125.31650435240968,333.22,-244.4
18,353.296,265.08,-383.91,35.03424825676709,152.2821476733238,32.34979613330883,218.23923783528176,352.5,-259.22
19,368.337,227.02,-382.59,42.90458786644033,185.65482002899898,56.66668946024914,166.82325473461682,353.41,-246.6
20,383.524,189.28,-381.27,44.08681217135685,209.41505772030817,35.64481909236588,156.13620678226658,334.98,-230.85
21,398.608,151.65,-379.95,45.089292051627474,231.4009751491985,55.61540728380141,331.41939230725615,315.53,-216.58
22,414.632,111.64,-378.56,45.902008249174344,254.68192495738683,53.17904024191554,192.29586494222355,294.54,-201.33
23,429.679,78.69,-377.41,46.25388990253015,273.6946490160157,26.763507247011404,286.6226778457433,276.41,-188.16
24,444.746,37.76,-375.98,47.017236847887574,297.70674328943244,50.6446013835193,324.8278194896807,255.55,-173.01
25,459.844,-0.17,-374.65,47.55380063173334,319.9300123464505,50.99846614366457,409.7984710220311,235.91,-158.73
26,474.891,-37.52,-373.35,47.98014183086429,341.7897460427975,61.324653151025856,431.10493341551074,216.4,-144.56
27,489.948,-75.17,-372.03,48.38999746888933,363.884562052308,73.40103458556791,321.13933964877293,196.9,-130.39
28,505.002,-113.2,-370.7,48.76844196346461,386.23659303592666,73.93427272499659,427.2031171361782,177.27,-116.13
29,520.15,-150.2,-369.7,48.982620872630214,408.05261229405204,45.066764937617776,384.095072320206,157.68,-101.9
30,535.125,-186.61,-369.06,49.10120172818677,429.69188146857044,66.00372687014101,450.31334017885285,138.18,-87.73
31,550.267,-222.97,-368.43,49.39168782671596,451.647047261465,74.44192943117099,444.70204863408577,119.91,-74.46
32,565.31,-260.09,-367.46,49.570988045167255,473.6274943455035,61.70892930281944,458.8452746231834,100.44,-60.31
33,580.443,-300.31,-366.11,49.79111038642262,497.2921978072851,53.56531623092411,476.9742802075409,79.47,-45.07
34,595.486,-310.79,-349.49,49.32713000516587,488.8303904218722,55.7297101754552,578.0967455599097,59.96,-30.9
35,610.493,-287.64,-322.71,47.185429063631325,448.9221381264239,50.69022605653309,429.91634437694796,41.67,-17.61
36,625.603,-263.04,-294.41,44.418281421954106,407.4347134204449,66.95054443780991,433.1012114428571,22.12,-3.4
37,640.626,-238.25,-265.9,40.79584202560658,366.71654503171794,54.92011347265836,389.7977370935093,1.35,11.72
38,655.748,-213.74,-237.7,36.6303107475894,328.5848727497966,43.75174908392817,312.087521258578,-17.69,25.99
39,670.8,-189.07,-209.32,31.04736367330534,292.64378226779394,21.092866682913066,334.8068727992058,-38.14,41.4
40,685.84,-163.94,-180.41,23.978404157148177,259.52756655122397,18.922035615001327,254.84171039106812,-58.47,56.72
41,700.905,-139.31,-152.07,15.106620441983097,232.14225035525092,18.249357828641326,282.71428058608586,-78.81,72.05
42,715.934,-114.71,-123.78,4.340093106163437,211.42628124242265,19.369240970485194,225.5949933228632,-98.71,87.04
43,731.017,-91.75,-97.37,352.4889446794531,200.66174647899385,368.1610736867053,262.4945862158204,-117.98,101.57
44,746.115,-66.9,-68.77,338.96186858376984,198.91964131276728,351.93546595885795,257.43701333210754,-138.31,116.89
45,761.193,-42.12,-40.27,326.033729029277,207.12191289190045,341.84569434938544,221.91523762518602,-157.84,131.51
46,776.245,-16.63,-11.37,314.35086554760824,224.69052895037657,312.0052517228485,272.6842186736891,-177.3,145.7
47,792.263,7.7,15.66,305.1919575205091,250.2613100341321,286.43295812801347,320.488796058114,-196.82,159.89
48,808.367,35.52,46.56,296.9061203094481,283.98119251105345,300.0340225539074,352.9277713466797,-217.72,175.07
49,824.444,59.96,73.7,291.3260359255502,320.50632942268084,282.2338776963686,320.5999116205286,-238.6,190.26
50,840.462,88.02,104.86,286.2752342023557,362.9236124861539,295.1000022946906,346.8455096776233,-260.36,206.57
51,856.597,111.7,131.42,283.03219058139376,403.4617519666517,289.1581632677551,412.2100884173724,-281.37,222.4
52,872.615,137.91,161.56,279.8046878918478,446.53206122293165,280.74765953990254,411.570643392688,-302.1,237.6
53,888.692,160.7,187.77,278.0923679319101,461.6771886285914,280.27628256482586,498.0039660529278,-296.38,252.76
54,903.761,186.79,217.32,275.4718218764268,460.58880414096046,284.5165765609945,462.0381729045675,-271.7,261.24
55,918.89,214.46,248.18,272.43819454022196,464.7207149460846,262.70118938895394,500.25580638976027,-249.84,267.95
56,934.98,228.18,244.69,273.90052235183487,454.1018548739919,271.91872138321924,474.9916341573355,-224.87,275.58
