,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,82.106,6.62,2.25,294.655898744082,1.34238593556399,294.655898744082,1.34238593556399,5.4,2.81,,
1,97.137,35.34,-21.93,324.834830673163,16.8074388292803,324.834830673163,16.8074388292803,25.66,-8.19,1.35066666666667,-0.733333333333333
2,112.304,59.09,-46.48,329.365099172545,27.7883734680531,329.365099172545,27.7883734680531,44.93,-22.57,1.28466666666667,-0.958666666666667
3,127.364,84.33,-72.62,330.544885583297,40.7124415873084,330.544885583297,40.7124415873084,64.31,-37.17,1.292,-0.973333333333333
4,142.445,109.48,-98.66,331.10503996119,53.6831779983264,331.10503996119,53.6831779983264,83.54,-51.66,1.282,-0.966
5,157.462,134.86,-124.95,331.243704564748,66.786521095203,331.243704564748,66.786521095203,102.73,-66.4,1.27933333333333,-0.982666666666667
6,172.569,161.78,-152.83,330.804129714845,81.939866975728,330.804129714845,81.939866975728,121.81,-81.3,1.272,-0.993333333333333
7,187.556,186.83,-178.77,330.928889925431,94.4031620233136,330.928889925431,94.4031620233136,140.96,-96.26,1.27666666666667,-0.997333333333334
8,202.673,212.1,-204.93,331.074686807377,106.74653062278,331.074686807377,106.74653062278,160.47,-111.5,1.30066666666667,-1.016
9,217.711,237.2,-230.92,331.094450484298,119.474393072323,331.094450484298,119.474393072323,179.45,-126.33,1.26533333333333,-0.988666666666667
10,232.821,262.55,-257.18,331.169624586694,132.035668665706,331.169624586694,132.035668665706,198.88,-141.51,1.29533333333333,-1.012
11,247.874,287.97,-283.5,331.192845855949,144.833670808966,331.192845855949,144.833670808966,218.18,-156.59,1.28666666666667,-1.00533333333333
12,262.919,313.05,-309.47,331.327602747275,157.252737337065,331.327602747275,157.252737337065,237.6,-171.5,1.29466666666667,-0.994
13,277.972,338.33,-335.64,331.217558202744,171.760244527073,331.217558202744,171.760244527073,255.63,-185.1,1.202,-0.906666666666666
14,293.043,361.73,-359.88,331.552118839156,182.257441274698,331.552118839156,182.257441274698,274.91,-199.63,1.28533333333334,-0.968666666666667
15,308.138,376.34,-385.4,334.369872081444,189.939011527385,334.369872081444,189.939011527385,294.18,-214.15,1.28466666666667,-0.968000000000001
16,323.234,339.85,-386.52,350.475782953514,159.792620918489,350.475782953514,159.792620918489,313.41,-228.93,1.282,-0.985333333333333
17,338.27,299.87,-385.13,13.3319368450044,144.627643968918,13.3319368450044,144.627643968918,333.22,-244.4,1.32066666666667,-1.03133333333333
18,353.296,265.08,-383.91,35.0342482567671,152.282147673324,35.0342482567671,152.282147673324,352.5,-259.22,1.28533333333333,-0.988000000000001
19,368.337,227.02,-382.59,42.9045878664403,185.654820028999,42.9045878664403,185.654820028999,353.41,-246.6,0.0606666666666683,0.841333333333336
20,383.524,189.28,-381.27,44.0868121713569,209.415057720308,44.0868121713569,209.415057720308,334.98,-230.85,-1.22866666666667,1.05
21,398.608,151.65,-379.95,45.0892920516275,231.400975149199,45.0892920516275,231.400975149199,315.53,-216.58,-1.29666666666667,0.951333333333332
22,414.632,111.64,-378.56,45.9020082491743,254.681924957387,45.9020082491743,254.681924957387,294.54,-201.33,-1.39933333333333,1.01666666666667
23,429.679,78.69,-377.41,46.2538899025302,273.694649016016,46.2538899025302,273.694649016016,276.41,-188.16,-1.20866666666667,0.878000000000001
24,444.746,37.76,-375.98,47.0172368478876,297.706743289432,47.0172368478876,297.706743289432,255.55,-173.01,-1.39066666666667,1.01
25,459.844,-0.17,-374.65,47.5538006317333,319.930012346451,47.5538006317333,319.930012346451,235.91,-158.73,-1.30933333333333,0.952
26,474.891,-37.52,-373.35,47.9801418308643,341.789746042798,47.9801418308643,341.789746042798,216.4,-144.56,-1.30066666666667,0.944666666666666
27,489.948,-75.17,-372.03,48.3899974688893,363.884562052308,48.3899974688893,363.884562052308,196.9,-130.39,-1.3,0.944666666666668
28,505.002,-113.2,-370.7,48.7684419634646,386.236593035927,48.7684419634646,386.236593035927,177.27,-116.13,-1.30866666666667,0.950666666666666
29,520.15,-150.2,-369.7,48.9826208726302,408.052612294052,48.9826208726302,408.052612294052,157.68,-101.9,-1.306,0.948666666666666
30,535.125,-186.61,-369.06,49.1012017281868,429.69188146857,49.1012017281868,429.69188146857,138.18,-87.73,-1.3,0.944666666666667
31,550.267,-222.97,-368.43,49.391687826716,451.647047261465,49.391687826716,451.647047261465,119.91,-74.46,-1.218,0.884666666666667
32,565.31,-260.09,-367.46,49.5709880451673,473.627494345504,49.5709880451673,473.627494345504,100.44,-60.31,-1.298,0.943333333333333
33,580.443,-300.31,-366.11,49.7911103864226,497.292197807285,49.7911103864226,497.292197807285,79.47,-45.07,-1.398,1.016
34,595.486,-310.79,-349.49,49.3271300051659,488.830390421872,49.3271300051659,488.830390421872,59.96,-30.9,-1.30066666666667,0.944666666666667
35,610.493,-287.64,-322.71,47.1854290636313,448.922138126424,47.1854290636313,448.922138126424,41.67,-17.61,-1.21933333333333,0.886
36,625.603,-263.04,-294.41,44.4182814219541,407.434713420445,44.4182814219541,407.434713420445,22.12,-3.4,-1.30333333333333,0.947333333333333
37,640.626,-238.25,-265.9,40.7958420256066,366.716545031718,40.7958420256066,366.716545031718,1.35,11.72,-1.38466666666667,1.008
38,655.748,-213.74,-237.7,36.6303107475894,328.584872749797,36.6303107475894,328.584872749797,-17.69,25.99,-1.26933333333333,0.951333333333333
39,670.8,-189.07,-209.32,31.0473636733053,292.643782267794,31.0473636733053,292.643782267794,-38.14,41.4,-1.36333333333333,1.02733333333333
40,685.84,-163.94,-180.41,23.9784041571482,259.527566551224,23.9784041571482,259.527566551224,-58.47,56.72,-1.35533333333333,1.02133333333333
41,700.905,-139.31,-152.07,15.1066204419831,232.142250355251,15.1066204419831,232.142250355251,-78.81,72.05,-1.356,1.022
42,715.934,-114.71,-123.78,4.34009310616344,211.426281242423,4.34009310616344,211.426281242423,-98.71,87.04,-1.32666666666667,0.999333333333334
43,731.017,-91.75,-97.37,352.488944679453,200.661746478994,352.488944679453,200.661746478994,-117.98,101.57,-1.28466666666667,0.968666666666666
44,746.115,-66.9,-68.77,338.96186858377,198.919641312767,338.96186858377,198.919641312767,-138.31,116.89,-1.35533333333333,1.02133333333333
45,761.193,-42.12,-40.27,326.033729029277,207.1219128919,326.033729029277,207.1219128919,-157.84,131.51,-1.302,0.974666666666666
46,776.245,-16.63,-11.37,314.350865547608,224.690528950377,314.350865547608,224.690528950377,-177.3,145.7,-1.29733333333333,0.946
47,792.263,7.7,15.66,305.191957520509,250.261310034132,305.191957520509,250.261310034132,-196.82,159.89,-1.30133333333333,0.946
48,808.367,35.52,46.56,296.906120309448,283.981192511053,296.906120309448,283.981192511053,-217.72,175.07,-1.39333333333333,1.012
49,824.444,59.96,73.7,291.32603592555,320.506329422681,291.32603592555,320.506329422681,-238.6,190.26,-1.392,1.01266666666667
50,840.462,88.02,104.86,286.275234202356,362.923612486154,286.275234202356,362.923612486154,-260.36,206.57,-1.45066666666667,1.08733333333333
51,856.597,111.7,131.42,283.032190581394,403.461751966652,283.032190581394,403.461751966652,-281.37,222.4,-1.40066666666667,1.05533333333333
