,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,67.676,-4.35,15.83,108.148862423964,6.96658452902138,123.853004229181,8.11532266793093,2.27,13.66,,
1,82.52,-17.22,43.21,103.512369444006,26.7916050284413,106.801789744373,29.7704005707136,8.83,36.95,0.437333333333333,1.55266666666667
2,97.646,-30.47,70.4,101.915363566056,47.5137474842808,95.1762586233477,54.7940911021292,16.02,60.59,0.479333333333333,1.576
3,112.668,-43.63,97.39,102.579071160221,68.0023014316428,80.6879273938261,69.008798229901,22.74,82.58,0.448,1.466
4,127.713,-56.92,124.62,102.959752978251,88.6891030510513,103.254351359418,82.7775272008723,29.51,104.73,0.451333333333334,1.47666666666667
5,142.762,-71.05,153.6,101.654314796263,110.937056928693,114.16776545822,149.305265857794,37.6,131.19,0.539333333333333,1.764
6,157.905,-84.25,180.66,101.932864620619,131.501679456956,100.903683929885,135.423882653685,44.41,153.47,0.454,1.48533333333333
7,173.075,-98.46,209.8,102.402096601685,153.512298530118,101.332333691465,152.500138888053,51.47,176.83,0.470666666666667,1.55733333333333
8,188.077,-111.62,236.78,101.649966618208,173.820791621716,102.83159080735,-269.446416472977,58.62,201.68,0.476666666666667,1.65666666666667
9,203.178,-124.86,263.92,101.597068923997,194.102498695921,111.043906108089,210.154117127592,65.28,224.9,0.444,1.548
10,218.256,-138.18,291.23,102.007419146645,214.431620103006,109.318619160476,228.027611083313,71.56,246.62,0.418666666666667,1.448
11,233.323,-151.37,318.27,101.480984111224,235.175672636436,98.8399340020919,234.941569571457,79.1,271.46,0.502666666666666,1.656
12,248.513,-164.68,345.58,101.713721539459,257.41078085426,103.875607827849,238.257345191053,87.37,293.32,0.551333333333334,1.45733333333333
13,263.555,-177.53,372.72,104.882570309143,297.696448920709,109.991781030407,298.083778658658,110.18,296.26,1.52066666666667,0.196
14,278.58,-190.29,400.09,107.988854382656,339.958314650488,103.257861656988,347.657662832142,133.05,295.1,1.52466666666667,-0.0773333333333312
15,293.629,-203.11,427.56,110.413227632196,384.559780788371,111.495729355892,387.905908322291,157.3,293.43,1.61666666666667,-0.111333333333334
16,308.665,-216.18,454.83,112.305066285098,429.680331525659,124.385340403491,427.786053908776,181.35,291.75,1.60333333333333,-0.112
17,323.764,-228.49,480.1,113.625919177233,474.294653142959,118.357233679362,489.895149625284,206.05,290.02,1.64666666666667,-0.115333333333335
18,338.838,-244.37,504.33,114.447951695618,522.004139447189,113.214943740123,471.079303812103,230.83,288.29,1.652,-0.115333333333331
19,353.916,-270.27,519.47,113.887436818203,575.145359365787,106.047682274188,587.545909700577,255.61,286.57,1.652,-0.114666666666668
20,368.995,-296.62,534.09,113.355717219037,627.71407575424,108.91513891811,670.142002900261,279.66,285.24,1.60333333333333,-0.0886666666666656
21,384.087,-323.27,548.65,112.884778333766,680.622659702129,96.2627382572084,685.497778751915,303.78,283.97,1.608,-0.0846666666666655
22,399.159,-349.89,562.82,112.441044321265,734.231268266341,113.500710494571,724.907162212556,328.74,282.54,1.664,-0.0953333333333338
23,414.314,-376.39,577.01,112.09699464995,787.212010198015,125.818328670335,797.965204392648,353,280.88,1.61733333333333,-0.110666666666668
24,429.367,-402.66,591.87,113.532203378681,817.027423346365,109.196734670833,817.630408902038,346.42,265.66,-0.438666666666666,-1.01466666666666
25,444.437,-380,594.36,115.715278363194,782.80827410037,112.529720632847,783.318688479816,325.28,254.7,-1.40933333333334,-0.730666666666669
26,459.502,-351.85,583.38,117.359867785856,737.633523099378,120.229707115277,743.334429197553,303.27,244.38,-1.46733333333333,-0.688
27,474.555,-323.76,572.04,119.187912234809,692.981314755311,125.655876004942,663.909318853677,281.23,234.09,-1.46933333333333,-0.686
28,489.6,-295.85,560.76,121.255812272368,649.346668891125,126.258882812692,630.997567441485,259.25,223.84,-1.46533333333333,-0.683333333333333
29,504.749,-267.76,549.41,123.62194345189,606.49020874207,119.403617436025,620.687019128521,237.27,213.59,-1.46533333333333,-0.683333333333333
30,519.779,-239.65,538.06,126.336127940713,564.840510675359,126.317976712457,562.788653271779,215.36,203.38,-1.46066666666667,-0.680666666666667
31,534.932,-211.53,526.69,129.466509538719,524.678713595282,124.627579351397,571.860435257546,193.52,193.19,-1.456,-0.679333333333333
32,549.921,-183.55,515.39,133.117264193262,486.412638816057,132.908009561219,525.39659892295,171.51,182.93,-1.46733333333333,-0.683999999999999
33,564.995,-155.58,504.09,137.352361385823,450.502601213356,128.467633357741,444.874488591577,149.63,172.73,-1.45866666666667,-0.680000000000001
34,580.07,-127.4,492.7,142.298549255754,417.285947163333,136.724981069781,395.387853925627,127.79,162.54,-1.456,-0.679333333333333
35,595.15,-99.49,481.43,147.818100674216,388.108405603383,150.671980021763,387.237386099073,107.22,152.95,-1.37133333333333,-0.639333333333334
36,610.213,-71.4,470.08,154.402943693656,362.929850108805,154.150186719265,369.543964911979,85.4,142.77,-1.45466666666667,-0.678666666666665
37,625.304,-43.42,458.77,161.872746700579,343.298650885785,140.684672581497,342.112303267275,63.39,132.51,-1.46733333333333,-0.684000000000001
38,640.411,-17.3,448.22,169.76200484431,331.162787311618,171.39345644585,331.002234159276,41.56,122.33,-1.45533333333333,-0.678666666666666
39,655.424,10.7,436.91,178.430500323948,324.941906192476,174.89344296511,328.573796542695,19.6,112.09,-1.464,-0.682666666666666
40,670.57,38.78,425.56,187.216732391259,326.2142506084,185.644705225121,345.701455994224,-2.2,101.93,-1.45333333333333,-0.677333333333333
41,685.629,66.7,414.28,195.721805583109,335.096394489705,196.805336490531,309.846134875233,-24.1,91.72,-1.46,-0.680666666666667
42,700.703,94.89,402.89,203.677707367413,350.953660331389,213.054473248924,345.912211597792,-46.05,81.48,-1.46333333333333,-0.682666666666666
43,715.728,122.9,391.58,210.791420690064,372.89449043932,238.292816878387,373.714383889773,-67.99,71.25,-1.46266666666667,-0.682
44,730.816,150.88,380.27,217.022943588288,399.82742639794,222.690018522665,372.768511149285,-89.87,61.05,-1.45866666666667,-0.68
45,745.857,178.79,369,222.450522303595,431.11132019468,224.730850637243,433.883466630573,-112.19,50.9,-1.488,-0.676666666666667
46,760.948,206.99,357.77,227.132951379985,465.471482692549,227.706270683562,446.948531988543,-134.17,41.11,-1.46533333333333,-0.652666666666667
47,776.09,235.21,346.92,231.121882837197,502.92689259971,228.298219141766,501.717687924952,-156.31,31.25,-1.476,-0.657333333333333
48,791.109,263.48,336.07,234.518420990611,542.587276389707,239.389382232929,543.91102385605,-178.35,21.13,-1.46933333333333,-0.674666666666667
49,806.258,291.59,325.28,237.328336920971,583.30115249329,231.67395501163,583.812975155065,-199.42,10.4,-1.40466666666667,-0.715333333333333
50,821.354,319.78,314.46,237.81622896798,594.439092254202,238.754680393606,611.056395486784,-183.32,-2.16,1.07333333333333,-0.837333333333333
