,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,67.676,-4.35,15.83,108.148862423964,6.96658452902138,120.31831775561,48.5664501753268,2.27,13.66,,
1,82.52,-17.22,43.21,103.512369444006,26.7916050284413,136.969809867558,81.211746971357,8.83,36.95,0.437333333333333,1.55266666666667
2,97.646,-30.47,70.4,101.915363566056,47.5137474842808,88.6441913195735,67.6897953647795,16.02,60.59,0.479333333333333,1.576
3,112.668,-43.63,97.39,102.579071160221,68.0023014316428,76.1199197137798,145.07286081777,22.74,82.58,0.448,1.466
4,127.713,-56.92,124.62,102.959752978251,88.6891030510513,117.610210635705,-24.2240572640279,29.51,104.73,0.451333333333334,1.47666666666667
5,142.762,-71.05,153.6,101.654314796263,110.937056928693,152.32417407882,335.328819763493,37.6,131.19,0.539333333333333,1.764
6,157.905,-84.25,180.66,101.932864620619,131.501679456956,89.6469916892077,156.525935035454,44.41,153.47,0.454,1.48533333333333
7,173.075,-98.46,209.8,102.402096601685,153.512298530118,90.528034324494,123.95251390926,51.47,176.83,0.470666666666667,1.55733333333333
8,188.077,-111.62,236.78,101.649966618208,173.820791621716,133.333612529205,144.337191842826,58.62,201.68,0.476666666666667,1.65666666666667
9,203.178,-124.86,263.92,101.597068923997,194.102498695921,130.087442056853,216.609192760967,65.28,224.9,0.444,1.548
10,218.256,-138.18,291.23,102.007419146645,214.431620103006,127.841247721567,253.112704869593,71.56,246.62,0.418666666666667,1.448
11,233.323,-151.37,318.27,101.480984111224,235.175672636436,86.6541049559621,213.574524253595,79.1,271.46,0.502666666666666,1.656
12,248.513,-164.68,345.58,101.713721539459,257.41078085426,119.868930879748,238.561971988052,87.37,293.32,0.551333333333334,1.45733333333333
13,263.555,-177.53,372.72,104.882570309143,297.696448920709,148.754572937952,360.148994739722,110.18,296.26,1.52066666666667,0.196
14,278.58,-190.29,400.09,107.988854382656,339.958314650488,89.5126401046736,395.649667831035,133.05,295.1,1.52466666666667,-0.0773333333333312
15,293.629,-203.11,427.56,110.413227632196,384.559780788371,125.209258945737,404.349184731514,157.3,293.43,1.61666666666667,-0.111333333333334
16,308.665,-216.18,454.83,112.305066285098,429.680331525659,130.293540976352,401.342760230341,181.35,291.75,1.60333333333333,-0.112
