,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,82.108,5.84,3.35,250.190684086615,6.19668459742789,245.903152244539,15.8991300993102,0.01,1.25,,
1,97.253,33.18,-7.06,288.952979729545,34.9762204933581,288.220863812848,29.6787089873173,0.1,4.3,0.006,0.203333333333333
2,112.299,60.41,-20.31,294.79748658001,66.259388768687,297.46747332291,58.3577573446037,0.26,7.48,0.0106666666666667,0.212
3,127.366,87.59,-33.56,296.798674492981,97.6141229535973,303.202601958778,102.269976085232,0.46,10.45,0.0133333333333333,0.198
4,142.468,114.73,-46.8,297.850617001925,128.968614011317,296.482423419618,133.346738813428,0.7,13.45,0.016,0.2
5,157.461,141.9,-60.05,298.656025165192,160.56715106148,300.264692979541,105.39912952571,1,16.95,0.02,0.233333333333333
6,172.532,169.07,-73.3,299.133993187916,192.070021086061,293.587604428238,320.915059432108,1.3,20.21,0.02,0.217333333333333
7,187.635,196.22,-86.54,299.413769049391,223.431219394247,293.588645580182,201.011101899891,1.59,23.19,0.0193333333333333,0.198666666666667
8,202.743,223.39,-99.79,299.628309287391,254.828649292029,288.204756378038,261.842161361208,1.88,26.19,0.0193333333333333,0.2
9,217.752,250.35,-112.95,299.803772587834,285.998201742598,312.43944756724,284.589158383454,2.18,29.2,0.02,0.200666666666667
10,232.904,277.6,-126.23,299.938289326826,317.472432976471,292.318718135366,319.410366728545,2.49,32.21,0.0206666666666667,0.200666666666667
11,247.947,304.69,-139.45,300.051746902039,348.774551393877,310.60755172859,349.178725582686,2.8,35.21,0.0206666666666666,0.2
12,263.08,331.99,-152.77,300.143655038064,380.309630169945,303.156129936052,388.925950729513,3.11,38.21,0.0206666666666667,0.2
13,278.2,358.98,-165.93,300.225167265609,411.50217022514,285.183635357692,400.075429904875,3.42,41.22,0.0206666666666667,0.200666666666667
14,294.356,388.05,-180.11,300.325640077953,445.184772089073,298.460302138288,448.062775397942,3.78,44.67,0.024,0.23
15,309.394,415.09,-193.29,300.383776875123,476.423468145724,300.575508754316,533.078326078183,4.1,47.68,0.0213333333333333,0.200666666666667
16,324.422,442.29,-206.56,300.43379802048,507.854759650828,305.665703542822,514.980779871725,4.41,50.69,0.0206666666666667,0.200666666666667
17,339.571,469.45,-219.9,300.485261143237,539.26866662175,313.249611991894,803.042516970629,4.73,53.68,0.0213333333333334,0.199333333333333
18,355.642,498.11,-234.45,300.600756366448,572.789330207887,312.450831844549,578.703016012866,5.09,57.13,0.024,0.23
19,370.663,526.73,-249.04,300.689004994097,606.197873717815,298.847291268579,606.636345978227,5.43,60.35,0.0226666666666667,0.214666666666667
20,385.709,553.83,-262.65,300.766101196505,637.825898266917,283.559038179523,638.742732112781,5.77,63.62,0.0226666666666667,0.218
21,400.777,579.14,-275.01,300.805432072439,667.181778003566,314.767096558576,668.625196390246,6.09,66.67,0.0213333333333334,0.203333333333334
22,415.915,599.43,-278.9,300.500413027009,688.176010116598,311.167117376099,693.334048908294,6.48,70.38,0.026,0.247333333333333
23,431.014,576.59,-264.17,300.645954358146,662.289704132565,300.479483776731,656.548793153706,6.8,73.42,0.0213333333333333,0.202666666666667
24,447.02,546.2,-248.66,301.107653516778,629.597301455462,305.650247316784,635.257833633308,7.14,76.62,0.0226666666666667,0.213333333333334
25,462.158,519.16,-234.88,301.614999028046,600.829224655392,276.106281491264,599.1630243382,7.5,80.08,0.024,0.230666666666666
26,478.214,492.38,-221.24,302.186794040963,572.481224582955,304.710804702093,579.872090216203,7.88,83.71,0.0253333333333333,0.242
27,494.27,463.58,-206.56,302.872148057405,542.074982636166,315.322225437746,531.364788172656,8.3,87.66,0.0280000000000001,0.263333333333334
28,509.42,436.75,-192.89,303.559839524161,513.723046202913,288.865770532818,514.12860378433,8.66,91.1,0.024,0.229333333333333
29,523.495,408,-178.24,304.372570135793,483.375083035938,308.326059527777,485.075056401032,9.03,94.66,0.0246666666666666,0.237333333333333
30,539.575,379.27,-163.6,305.280428723579,453.098338553564,310.378821135954,452.043940436734,9.39,98.1,0.0240000000000001,0.229333333333333
31,555.66,350.53,-148.96,306.298346405493,422.845038400594,297.961043796096,509.79444390993,9.74,101.36,0.0233333333333333,0.217333333333334
32,571.69,325.48,-136.2,307.331794293247,396.698890595878,314.413898161002,385.663788403675,10.05,104.37,0.0206666666666667,0.200666666666667
33,586.768,298.44,-122.42,308.648161685648,368.785605467459,309.117460681068,369.297293350031,10.42,107.9,0.0246666666666666,0.235333333333333
34,601.81,271.6,-108.74,310.16646464398,341.296756064279,310.453297206415,347.310766027437,10.79,111.4,0.0246666666666666,0.233333333333333
35,616.867,244.58,-94.98,311.884952791185,313.598529652165,312.849110788717,312.668644601328,11.11,114.39,0.0213333333333334,0.199333333333333
36,632.952,217.74,-81.3,313.953747183388,286.567444068582,304.970145602389,287.244450997948,11.44,117.6,0.022,0.214
37,648.011,190.92,-67.64,316.458417658519,260.044976109903,310.428756775215,252.319763376693,11.78,120.86,0.0226666666666667,0.217333333333334
38,663.046,163.94,-53.89,319.494938588946,233.774352956008,315.676571555063,199.091063045926,12.1,123.86,0.0213333333333334,0.2
39,678.197,136.94,-40.13,323.326353896894,208.453222810299,324.359264265958,175.784789399873,12.44,127.06,0.0226666666666667,0.213333333333334
40,692.276,110.18,-26.49,328.079642906995,184.287194346216,322.915318345479,183.61709550552,12.74,129.93,0.0200000000000001,0.191333333333334
41,709.281,79.51,-10.87,335.271995487197,158.757450533825,346.352520944634,161.500092158607,13.1,133.33,0.024,0.226666666666667
42,723.432,52.68,2.8,343.654982846523,139.43535276249,338.593507499979,141.372944676682,13.44,136.6,0.0226666666666667,0.217999999999999
43,738.472,25.66,16.57,354.470673848141,123.605133388545,353.758092184384,125.564812487134,13.75,139.6,0.0206666666666667,0.2
44,754.552,-3.02,31.18,8.71151827126387,113.16553892418,11.3029904662712,111.942638258436,14.12,143.04,0.0246666666666666,0.229333333333333
45,770.614,-31.64,45.76,24.6053436802974,110.768039162928,14.7878450861968,111.122149520429,14.48,146.47,0.0240000000000001,0.228666666666667
46,785.7,-56.86,58.62,38.2408931313381,115.773142394944,43.1428692793748,97.7522663812939,14.8,149.55,0.0213333333333334,0.205333333333334
47,801.752,-85.46,73.19,51.5071917597878,128.595583516698,59.6254401712143,132.917634633148,15.19,153.23,0.0259999999999999,0.245333333333332
48,817.864,-116.06,88.78,62.6413621663088,148.207385106141,68.6967736110546,135.061894358603,15.57,156.89,0.0253333333333334,0.244
49,832.926,-141.2,101.59,69.6260373646625,167.573338273127,68.5281251497638,152.116869971842,15.89,159.93,0.0213333333333334,0.202666666666668
50,847.041,-168.19,115.34,75.3159254242376,190.698548762176,80.9287139671481,190.307746549872,16.28,163.68,0.026,0.25
51,862.311,-194.98,129.07,79.9100105049503,214.903743336406,74.2661981463515,210.506184408585,16.6,166.72,0.0213333333333334,0.202666666666666
52,877.384,-219.93,142.3,83.2219828559172,238.597591144588,89.9816000722508,236.367622723148,17,170.46,0.0266666666666666,0.249333333333334
53,892.407,-246.68,156.52,86.2748040003617,264.579017497609,85.8357119475581,286.697111628742,17.34,173.71,0.0226666666666667,0.216666666666667
54,907.565,-273.26,170.66,88.8066746272055,290.983109475447,86.6742438138623,293.502518149244,17.66,176.72,0.0213333333333334,0.200666666666666
55,922.606,-300,184.87,90.8359020023888,318.053847642188,100.107952481901,307.862591639651,18.02,180.23,0.024,0.233999999999999
56,937.643,-326.77,199.03,92.6229705702692,345.471949946736,93.9133427542507,343.010650702064,18.34,183.22,0.0213333333333334,0.199333333333334
57,952.786,-353.54,212.7,93.927544618687,373.166394119299,96.7190377715918,356.388204269982,18.75,187.14,0.0273333333333333,0.261333333333333
58,967.796,-380.48,226.43,95.1897742252732,401.194674191969,98.284276286207,401.327519297204,19.07,190.14,0.0213333333333334,0.2
59,982.939,-407.36,240.38,96.2793280176712,429.345868152938,116.752373211252,427.915853135217,19.41,193.42,0.0226666666666667,0.218666666666667
60,997.953,-434.04,254.53,97.3227688092429,457.481276775345,94.9611646003754,465.733897312886,19.71,196.22,0.0200000000000001,0.186666666666667
61,1013.005,-440.12,242.17,95.3313688465855,462.13922490955,97.013644853017,472.996422776405,20.02,199.23,0.0206666666666666,0.200666666666666
62,1028.124,-421.35,218.67,92.0653018118318,442.027140003869,90.8511629932121,439.626334459958,20.39,202.74,0.0246666666666667,0.234000000000001
63,1043.146,-401.92,195.49,88.5755245072867,422.780655423117,87.3647913929159,421.864607833323,20.73,206,0.0226666666666667,0.217333333333333
64,1058.275,-382.6,172.46,84.8288647636843,405.299597088376,82.8455778910877,398.005694594484,21.05,208.99,0.0213333333333334,0.199333333333334
65,1073.291,-363.17,149.31,80.7390685281342,389.60827878781,70.8343998989534,385.443927930739,21.36,212.01,0.0206666666666666,0.201333333333332
66,1088.399,-343.72,126.13,76.3303333619785,376.051907188356,76.8929759393434,374.32349823799,21.68,215,0.0213333333333334,0.199333333333334
67,1103.446,-324.33,103.02,71.562073793378,365.122903691346,-15.3475195387443,367.052174913509,22.05,218.5,0.0246666666666667,0.233333333333333
68,1118.596,-304.93,79.9,66.5837371087986,356.685994398434,48.1017759478822,375.690212144719,22.38,221.65,0.0219999999999999,0.21
