,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,82.108,5.84,3.35,250.19068408661465,6.196684597427885,236.2365411754198,28.186964781939576,0.01,1.25
1,97.253,33.18,-7.06,288.9529797295453,34.976220493358056,271.8997400651789,-9.22230554036583,0.1,4.3
2,112.299,60.41,-20.31,294.79748658001046,66.25938876868696,306.47858500581987,30.707780559001897,0.26,7.48
3,127.366,87.59,-33.56,296.79867449298126,97.61412295359725,321.34857958265735,119.19009273239305,0.46,10.45
4,142.468,114.73,-46.8,297.85061700192534,128.96861401131673,276.19827484842926,165.5928139925242,0.7,13.45
5,157.461,141.9,-60.05,298.65602516519215,160.56715106147956,318.9106453265428,-22.80627016669527,1.0,16.95
6,172.532,169.07,-73.3,299.1339931879163,192.0700210860612,287.942253359389,222.95368222959198,1.3,20.21
7,187.635,196.22,-86.54,299.4137690493914,223.43121939424668,278.86894695975127,204.8468245600718,1.59,23.19
8,202.743,223.39,-99.79,299.62830928739095,254.82864929202918,279.6155218472009,298.2958880354182,1.88,26.19
9,217.752,250.35,-112.95,299.80377258783443,285.9982017425984,316.0905287252625,264.82610763188745,2.18,29.2
10,232.904,277.6,-126.23,299.9382893268256,317.4724329764712,288.7438716467861,348.2608742058091,2.49,32.21
11,247.947,304.69,-139.45,300.05174690203904,348.7745513938768,312.9704553604412,365.83239644220714,2.8,35.21
12,263.08,331.99,-152.77,300.14365503806374,380.30963016994457,312.09445955373553,452.4919729085749,3.11,38.21
13,278.2,358.98,-165.93,300.22516726560923,411.5021702251399,286.4398474138409,390.427885867835,3.42,41.22
14,294.356,388.05,-180.11,300.3256400779531,445.1847720890732,276.41907056262943,509.8185037493516,3.78,44.67
15,309.394,415.09,-193.29,300.383776875123,476.4234681457243,320.38965507744547,494.0091814127322,4.1,47.68
16,324.422,442.29,-206.56,300.4337980204801,507.8547596508277,315.0215235312403,528.2177270430022,4.41,50.69
17,339.571,469.45,-219.9,300.4852611432368,539.2686666217498,316.95324020131477,590.1003018276755,4.73,53.68
18,355.642,498.11,-234.45,300.6007563664482,572.7893302078872,319.0356472335553,608.6619517498817,5.09,57.13
19,370.663,526.73,-249.04,300.68900499409676,606.197873717815,222.37680399470665,1195.5536871894597,5.43,60.35
20,385.709,553.83,-262.65,300.76610119650456,637.8258982669174,288.4340736246648,660.5262942229092,5.77,63.62
21,400.777,579.14,-275.01,300.8054320724385,667.1817780035663,311.84964666726967,687.0660402650751,6.09,66.67
