,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys,Vx,Vy
0,38.601,-6.82,-0.97,95.4127421384624,508.959444553296,92.8652390853131,495.277414217275,499.87,-48.98,,
1,54.094,-7.13,-29.2,91.9778987223338,506.171569529542,94.6426794435667,506.093008583639,498.74,-46.67,-0.075333333333333,0.154
2,69.991,5.47,-53.73,88.9504023862096,491.322437509219,69.0340494603134,498.111708643611,496.71,-44.73,-0.135333333333335,0.129333333333334
3,85.424,23.83,-37.22,90.7488342517264,470.570189663561,90.4635986564633,458.560188809476,494.36,-43.37,-0.156666666666664,0.0906666666666666
4,101.122,23.43,-6.84,94.3202797730942,468.992627340772,97.0780390841248,472.817269038676,491.09,-42.17,-0.218000000000003,0.0799999999999997
5,117.229,21.28,24.68,98.0619304244749,470.681719424071,97.3923015271113,471.769833446173,487.31,-41.33,-0.251999999999998,0.0560000000000002
6,132.632,28.88,48.1,101.059378965721,464.170145636274,101.490821646609,463.245076060961,484.43,-40.94,-0.192,0.026
7,147.918,53.04,40.69,100.75712794389,436.011957290164,111.520415630313,423.172332843969,481.39,-40.69,-0.202666666666668,0.0166666666666667
8,163.298,34.19,21.08,97.9018896743834,448.437949888276,99.7506239298589,447.67705559028,478.37,-40.57,-0.201333333333332,0.00799999999999983
9,178.909,5.28,8.9,96.0101496568495,471.994381746224,101.135624258829,471.633860877468,474.68,-40.52,-0.246,0.00333333333333314
10,194.622,-22.49,-2.85,94.3723198264469,494.639549672284,111.904294185491,486.00122432868,470.71,-40.56,-0.264666666666669,-0.00266666666666661
11,209.913,-48.32,-16.92,92.6357878993379,516.015923979096,74.8401540660777,421.46535207908,467.15,-40.65,-0.237333333333333,-0.00599999999999975
12,225.449,-44.15,-42.69,89.7832794089261,507.603631192686,84.3540055846031,507.588948758159,463.45,-40.77,-0.246666666666666,-0.0080000000000003
13,241.154,-18.18,-41.32,89.9508746233841,478.190175766922,96.2773528765567,474.143423642398,460.01,-40.91,-0.229333333333333,-0.0093333333333329
14,256.954,8.97,-25.42,92.0079589872094,447.224609564366,92.2820747902281,429.370103759649,455.92,-41.09,-0.272666666666665,-0.0120000000000005
15,272.665,36.28,-8.41,94.5218117362525,416.927732107136,96.3141386287693,410.745372142069,451.91,-41.28,-0.267333333333333,-0.0126666666666665
16,287.761,56.85,-7,95.0283997898682,393.042673764567,102.501039792999,382.66751311364,448.38,-41.45,-0.235333333333335,-0.0113333333333334
17,303.595,38.13,-11.36,94.2847930933704,406.215372555003,93.2603629163712,407.769678033468,443.21,-41.71,-0.344666666666668,-0.0173333333333332
