,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,38.601,-6.82,-0.97,95.41274213846242,508.9594445532964,92.68533498843725,587.2440102473838,499.87,-48.98
1,54.094,-7.13,-29.2,91.9778987223338,506.171569529542,102.42957789991408,555.489681326267,498.74,-46.67
2,69.991,5.47,-53.73,88.95040238620959,491.32243750921856,109.52660873365568,434.38862377998896,496.71,-44.73
3,85.424,23.83,-37.22,90.74883425172635,470.5701896635613,86.3243416822257,485.87614871692074,494.36,-43.37
4,101.122,23.43,-6.84,94.32027977309423,468.9926273407717,117.45676741830721,513.8954181136243,491.09,-42.17
5,117.229,21.28,24.68,98.0619304244749,470.6817194240711,108.16328739444492,452.53769807028294,487.31,-41.33
6,132.632,28.88,48.1,101.05937896572146,464.1701456362742,92.85965210900514,492.3491901638038,484.43,-40.94
7,147.918,53.04,40.69,100.75712794388966,436.0119572901642,112.63184105838263,456.8137379987678,481.39,-40.69
8,163.298,34.19,21.08,97.90188967438343,448.4379498882761,116.86265288020513,464.33964714217564,478.37,-40.57
9,178.909,5.28,8.9,96.01014965684948,471.9943817462238,107.14152277139645,479.48817184835553,474.68,-40.52
10,194.622,-22.49,-2.85,94.37231982644687,494.6395496722841,131.39332402855314,530.6917806001032,470.71,-40.56
11,209.913,-48.32,-16.92,92.63578789933791,516.0159239790959,104.32500058150411,588.2586805482698,467.15,-40.65
12,225.449,-44.15,-42.69,89.78327940892613,507.60363119268555,108.82958620602138,477.94554467839765,463.45,-40.77
13,241.154,-18.18,-41.32,89.95087462338411,478.19017576692227,97.88976060275917,542.2190574321094,460.01,-40.91
14,256.954,8.97,-25.42,92.0079589872094,447.2246095643664,112.15689300003439,473.6702256802254,455.92,-41.09
15,272.665,36.28,-8.41,94.52181173625246,416.92773210713625,72.1376043675158,453.5491999101626,451.91,-41.28
16,287.761,56.85,-7.0,95.02839978986822,393.04267376456716,92.02361610036816,355.3223698085081,448.38,-41.45
17,303.595,38.13,-11.36,94.28479309337041,406.2153725550031,97.49488920662446,428.26680584208896,443.21,-41.71
18,318.847,18.59,-13.19,93.93195209429206,419.9985953547941,108.0814310495425,505.47183444111346,437.6,-41.99
19,334.252,-2.93,9.49,96.7869336914664,438.06978085688587,106.95990699519542,403.0189512249779,432.07,-42.28
20,349.957,-23.32,32.49,99.46872284066757,456.205548629124,120.94258396873437,378.9523194382024,426.67,-42.56
21,365.358,-43.62,23.94,98.17478824636214,469.64208212211986,110.47222049063325,403.4035842148712,421.25,-42.84
22,380.435,-26.23,0.1,95.58265400928997,444.277252737522,105.9950065584055,472.48255044554793,415.94,-43.12
23,396.082,-0.01,-17.26,93.64270138760043,411.4312331362314,99.61488821730445,539.224697679653,410.59,-43.4
24,411.268,25.11,-33.58,91.52429043249987,380.06449058021724,101.3894840162481,448.57797949046017,405.04,-43.69
25,426.201,50.93,-49.83,89.03618450769271,348.96937301144357,107.28804181109795,443.28261703691146,399.85,-43.96
26,441.402,43.1,-28.78,92.52432067654559,351.47106182444094,109.84110014674299,371.8310749686974,394.23,-44.26
27,457.005,17.29,-10.87,95.16956595318436,373.45908222990107,114.05108565421091,454.8649119532991,389.23,-44.52
28,472.285,-7.04,-3.2,96.08261014970896,392.7812995803135,100.85916078446475,395.73264414592177,383.53,-44.82
29,487.481,-6.23,-31.88,91.96708400187288,384.8467857472633,91.00937026974044,429.36738243566634,378.39,-45.09
30,503.096,8.51,-53.33,88.75053188709674,364.1265785410343,90.61089084175427,367.2626706733766,372.55,-45.39
31,518.503,24.52,-34.42,91.8633920974512,344.13197846175245,104.06679484666,334.01445479879493,368.47,-45.61
32,533.895,23.51,-2.47,97.21820729058476,344.69174301105625,125.32256919490095,366.62903291177395,365.47,-45.78
33,549.72,20.81,29.82,102.51317574201488,349.8502702585779,113.3288504990485,343.17159555699305,362.35,-45.98
34,565.538,34.16,49.46,106.39984924449345,338.7418061001624,120.31088235914918,415.9400409007459,359.12,-46.18
35,580.599,52.89,36.18,105.23864249374691,314.1455314022468,92.1402231909234,339.0111555262021,355.99,-46.39
36,595.758,30.08,20.11,101.66561186223299,329.82270419120636,143.23248174277236,364.3325736390667,353.09,-46.58
37,611.755,0.43,7.77,98.8751075683158,353.70491345187725,92.77072871442435,353.5361936088573,349.9,-46.8
38,627.26,-27.22,-4.46,96.49029167772,376.4325476097942,127.19435254752068,451.1867440062865,346.8,-47.01
39,643.067,-50.89,-22.52,93.58139604720816,395.41221478350917,94.37519954252774,376.7096481894524,343.75,-47.22
40,658.694,-39.67,-46.61,90.12660697757906,380.14092807799585,109.9937685976439,426.8718109856326,340.47,-47.45
41,674.221,-11.54,-38.04,91.5791541070655,349.08257891221103,109.65093469306359,348.2916000145371,337.41,-47.66
