,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.318,0.0,1000.0,173.65980825409008,905.5385138137417,173.65682882646462,905.8747458424361,100.0,100.0
1,37.439,0.0,1000.0,173.65980825409008,905.5385138137417,173.5333774248422,919.9616874991591,100.0,100.0
2,52.966,0.0,1000.0,173.65980825409008,905.5385138137417,173.65262999942513,908.7157839397136,100.0,100.0
3,68.485,32.0,1004.73,176.36985928711283,917.3105293737775,176.4156998663558,927.9583864887553,90.08,89.26
4,84.29,70.69,997.39,178.73774132845318,932.416263103556,178.6815007837697,1113.258110554271,91.23,65.2
5,99.585,107.36,990.26,180.77603703602153,950.2371595554449,180.75626402525282,954.9861488971429,94.49,40.11
6,114.978,145.81,982.79,182.8307127987065,968.7120142230093,182.75200744946994,972.8002963402892,97.97,15.26
7,130.787,183.04,975.55,185.11523106430053,985.0932330495424,185.19746695331182,984.7772155152617,95.21,-5.62
8,146.191,219.83,968.4,188.71143755195038,980.9971043790088,188.75011949968487,982.490550064738,71.25,-1.28
9,160.951,257.33,961.11,192.2757194233268,976.3126428045475,192.11926621667658,980.3807303674072,49.75,7.12
10,176.272,293.35,954.11,195.91245555641513,974.8027544585623,195.8952726846855,966.1845356389044,26.09,16.66
11,191.964,329.21,940.49,199.6386606060586,970.9386355480968,199.61749631901404,987.606330498808,2.89,26.03
12,207.252,361.79,917.14,203.40504072564445,960.9579233764608,203.36026448588674,958.4534274473417,-19.93,35.25
13,222.939,392.4,894.9,207.16502015980475,955.394534315536,207.11611911447724,955.1072295574309,-43.79,44.89
14,238.028,423.17,872.55,210.9393361958088,953.6299742038314,210.9164109488641,951.9825128858379,-67.12,54.61
15,253.534,454.44,849.83,214.24323932366536,960.0726952163571,214.5969722904222,919.123794496757,-85.8,56.18
16,268.813,483.69,828.57,215.26617353840277,971.4645245195525,215.48644413440493,970.3604535579669,-77.21,35.39
17,283.899,514.96,805.86,216.09255670965155,978.4220466138322,216.08153189294785,981.7807343394408,-61.42,15.23
18,299.242,544.3,784.54,216.85138930263886,984.4240513620134,216.89873028300244,929.3318981968403,-46.1,-3.19
19,315.05,574.2,762.77,217.59644986457835,990.6636487224107,217.62286010358278,990.5597211500068,-30.2,-22.16
20,330.534,602.41,741.6,218.20475875556855,996.5824521834609,218.14191600864734,1002.7014344592429,-13.95,-41.52
21,345.625,633.88,717.88,219.10112119701677,1002.6621698757763,219.13364934777834,1080.2035440099476,1.51,-60.22
22,361.214,664.22,695.02,219.79735964411782,1009.5234349929675,219.87142448825955,1010.7412292292549,18.05,-80.61
23,376.515,693.82,672.71,220.61123468103824,1012.8385609266662,220.97476542237357,1007.8943657328105,34.54,-96.18
24,391.892,724.41,650.35,223.20417389194907,996.8737839867191,223.25381038512256,956.1553255991106,41.95,-76.29
25,407.309,753.76,629.02,226.35268048016326,985.1823661129954,226.23494582373186,985.8076320794389,40.88,-50.97
26,422.703,784.15,606.43,229.69520979207547,976.9290277701855,229.79451334311858,972.4591464494534,39.13,-25.5
27,437.997,812.74,583.63,233.06820479706295,970.0865660857282,232.90346546708312,982.3232999389049,37.3,0.74
28,453.808,826.16,549.65,236.48219414811655,948.3225150232382,236.47603030572304,940.0959506202721,35.53,25.99
29,469.51,838.89,510.58,240.30617447127733,927.0334936775478,240.14548702146328,930.6103172904467,33.59,51.36
30,485.212,850.96,473.44,244.1208134094174,910.842578934472,244.5617454015206,911.8911041733154,31.46,75.88
31,500.634,862.06,439.26,247.79659348135533,901.9945962698446,247.6948113865659,898.0722015876905,26.95,98.4
32,516.016,873.77,403.22,249.8285005636854,921.1170182446962,249.86268500977656,923.5318823504048,9.15,85.59
33,531.328,884.91,368.61,251.15327468653757,939.426274116282,251.2796279308959,943.1442744874734,-4.15,65.14
34,546.657,895.99,332.49,252.44611759224017,957.7173157565859,252.30233966065703,955.3688671023888,-17.13,43.64
35,562.16,907.19,295.84,253.71297033909076,976.539707026806,253.83308140649424,955.4989614961407,-30.16,21.97
36,577.86,918.26,259.64,254.95028942470393,994.9664457156332,254.93468543100448,1008.4886485865446,-42.58,1.29
37,593.505,928.6,225.82,255.9360976547928,1014.880739791627,256.55193038133183,1016.7436383637007,-55.86,-20.8
38,608.566,939.2,191.16,257.01489413553406,1034.011209078509,257.49845648489253,1039.4644689038491,-68.37,-41.18
39,624.281,950.94,154.27,258.15376409727855,1054.5293145759392,258.21127222748,1056.081242402148,-81.13,-62.21
40,640.395,962.34,119.18,259.73015953710046,1040.8656882614587,259.82885349149916,1037.497239154073,-61.85,-66.39
41,656.101,974.05,83.15,262.08633884057764,1021.2759541867222,262.08243617460084,1019.055592650449,-37.5,-57.46
42,671.814,985.12,47.44,264.55023027970634,1004.3900012445365,265.42912081572297,996.5802767320686,-14.73,-47.95
43,687.218,996.06,12.2,267.0822482625139,988.952043579465,266.8703657039864,991.3459632179112,8.39,-38.14
44,702.619,997.0,-22.9,269.6666473615711,965.9563489102394,269.779443223153,962.5019503839746,31.06,-28.52
45,718.429,984.84,-61.11,272.5933780527172,931.9845330261655,272.42322468039583,942.4152447951386,53.81,-18.94
46,733.72,973.11,-97.21,275.5905346525859,900.3424724514556,275.56993442678566,897.4790084864552,77.05,-9.5
47,749.418,962.02,-131.34,278.7024625917355,871.2301374493425,278.73968458155696,831.8064188330371,100.82,0.48
48,765.439,950.29,-167.44,281.97117847475806,881.1123765445585,281.999462858588,880.2162267779756,88.34,15.32
49,780.518,938.58,-203.49,284.50207509284684,902.10226670816,284.601510671828,913.7537681007137,65.22,22.41
50,796.005,926.73,-239.28,286.84693253486466,926.0017518881916,286.8375519264152,923.0256696351192,40.47,29.09
51,811.607,913.84,-276.76,289.17339355685795,951.2889651940676,289.47930833312756,948.2627654686977,15.32,35.67
52,827.301,901.17,-313.54,291.32278806189663,977.224244736079,291.2575863880133,970.1624725746495,-9.16,41.8
53,842.719,888.9,-349.19,293.29445402767305,1003.7511088412306,293.23290448007515,999.2902916124747,-33.03,47.75
54,858.021,876.78,-384.38,295.1464067884702,1031.6220622883168,295.1571916078457,1034.5079714787082,-57.07,53.99
55,873.208,864.57,-420.26,296.9155476216888,1061.5081633223554,297.0470978515514,1061.5023476201525,-81.95,60.26
56,888.702,853.15,-455.33,298.0052418746668,1058.54014080714,298.21552965833746,1058.9538151169786,-81.44,41.71
57,904.293,841.44,-491.39,299.45810800033405,1042.809045655052,299.3477409548764,1032.8738099950367,-66.55,21.45
58,919.904,829.45,-527.48,301.0491502423761,1027.5640689027618,301.0768329125264,1032.0507015594155,-50.89,2.51
59,935.512,817.36,-562.64,302.6431277973724,1011.8560969327605,302.4571384766268,1021.1813253717932,-34.67,-16.84
60,951.113,803.33,-595.68,304.2587779190816,994.7568091247227,304.24332109915736,1082.0824239870917,-18.84,-35.7
61,966.507,774.29,-618.44,305.94008105434693,959.3503243341297,305.7205669527577,950.584695732372,-2.43,-55.36
62,981.896,741.8,-642.07,307.9144317440345,923.5554690975523,307.8196198121387,923.3271025086516,13.18,-74.56
63,997.287,712.75,-663.17,309.7886791867686,890.2929599856443,309.82313040564196,892.1117190256732,28.64,-93.42
64,1012.585,682.07,-685.46,313.2574916570144,880.168055373518,313.1806921327968,886.0881067384851,41.06,-82.3
65,1028.083,652.02,-707.29,316.71312356174985,891.2397567433804,316.60299738644267,889.9886577905287,40.94,-58.53
66,1043.263,621.35,-729.52,320.08890002388944,907.1876459696748,320.0589126995677,795.0682044754031,39.3,-33.67
67,1058.759,590.67,-751.07,323.36605142847765,927.1318614415104,323.60513512986,997.1268013017487,37.45,-7.08
68,1074.47,558.77,-773.41,326.54157108613504,948.7752898342156,326.4847201878891,925.9981681458474,35.68,18.14
69,1090.282,527.41,-795.36,329.55774537980653,974.1454549501321,329.8579944362361,977.7885212472012,33.84,44.49
70,1106.203,495.11,-817.98,332.4859170689186,1002.5399653380407,332.25860299967604,980.935503713104,31.97,71.17
71,1122.009,464.65,-839.31,335.07290112918594,1032.3045606796475,335.08309468440126,1031.6904199842222,29.57,96.83
72,1137.634,434.75,-860.89,336.0232486189286,1040.121659134161,336.1395541470901,1041.9394042022782,12.08,89.48
73,1152.692,406.29,-881.57,336.79093996233445,1034.7708659408613,336.7532790845986,1038.2799584379986,-1.5,69.46
74,1168.712,376.0,-903.53,337.68425374275915,1028.5206423305272,337.8502149895443,1040.2164988727588,-14.54,47.96
75,1184.239,343.88,-926.11,338.72356084816886,1022.6857241596756,338.6393368929231,1018.840127698612,-27.22,26.87
76,1199.964,312.73,-948.35,339.68745109455705,1016.7912738118872,339.6232423625452,1017.4367035301907,-40.24,5.21
77,1215.672,279.07,-954.98,340.47857060348497,995.3034493057884,340.17308471230376,997.4333373180901,-53.52,-16.89
78,1230.846,239.59,-955.08,341.5702971168384,967.068784420219,341.5760028248464,965.1142763393974,-66.14,-37.61
79,1246.654,204.04,-955.08,342.434650759569,939.7157921414326,342.5228193330707,937.968024873104,-79.56,-59.18
80,1262.144,166.89,-955.08,345.4200367159421,918.5601522491601,345.3796323590677,917.7529721049732,-64.34,-66.1
81,1277.328,129.22,-955.08,349.23862960226467,912.97618112413,349.23516591467416,910.0900841660178,-41.25,-58.16
82,1293.236,92.31,-955.08,353.16768998631017,913.3863397270621,353.0020411768311,910.081539319453,-16.35,-48.18
83,1308.511,54.42,-955.08,357.09993964404276,917.8955452555591,357.18932941025025,903.8846621145137,7.98,-38.36
84,1323.797,16.88,-954.66,0.8300912389839112,925.6371425672156,1.133442370881704,941.5564063957469,30.29,-29.12
85,1338.972,-23.28,-953.96,4.629617313703463,937.258002099742,4.7297381505803635,941.709601502557,52.37,-19.76
86,1354.456,-62.86,-953.27,8.365483982007376,953.5556832193912,8.323605682227027,950.0798385583939,75.87,-9.86
87,1370.365,-102.4,-952.58,11.968804663313534,973.482879561834,11.178447751648605,987.7638696510912,99.48,-0.26
88,1385.86,-140.37,-951.97,13.413595681869921,993.8411318716891,13.42560777720488,961.8010959266569,90.18,14.76
89,1401.429,-176.47,-951.92,14.02378696123533,1004.0247506909378,14.029012591150948,1012.4746983924159,66.83,22.18
90,1416.621,-214.38,-951.92,14.67368537340576,1013.7234039421206,14.82776638575921,1030.0522642100264,42.41,28.74
91,1432.0,-251.75,-951.67,15.361438235133349,1022.8110360178952,15.31385538966506,1085.584368058788,19.2,34.6
92,1447.615,-289.77,-951.06,15.967898725499168,1031.7386266879805,15.92194111289639,1031.9111082082054,-5.94,40.87
93,1462.78,-324.84,-945.01,16.600920715824344,1034.8130966024733,16.87662846005716,1006.147180369846,-29.19,46.67
94,1478.072,-357.05,-922.49,17.275441583325573,1021.7007880000876,17.23513604958789,1020.144865621768,-53.64,53.12
95,1493.567,-388.28,-899.81,17.938812187270557,1008.3078982632239,18.2334886796883,1004.6142119132343,-77.72,59.48
96,1508.245,-417.32,-878.71,19.85210705607234,982.76334750539,19.967585969031127,966.8076677021432,-83.58,45.65
97,1523.867,-445.8,-858.01,23.028690080524797,960.4490650211494,23.069276952294675,970.7730108807081,-70.08,25.9
98,1539.066,-477.12,-834.98,26.626787898866844,942.1499007058272,26.620845867226322,942.8521213926654,-54.87,7.25
99,1554.985,-508.22,-811.56,30.45241454613675,927.0107797647232,30.48052166954128,919.1541006874929,-38.39,-12.43
100,1570.677,-540.59,-787.16,34.46124090848015,916.1814538616245,33.89207037761801,916.4842812070939,-22.17,-31.76
101,1586.152,-572.28,-763.28,38.4591183382667,910.0160373312109,38.40531759175721,912.2764371845775,-6.29,-50.69
102,1601.542,-602.69,-740.37,42.45325349046957,907.7044171975809,42.43609091901751,890.0295317011803,10.0,-70.64
103,1617.239,-633.96,-716.8,46.47153949110145,910.0283525802919,46.435790328923765,906.9866377958895,25.84,-90.05
104,1632.349,-663.85,-694.9,49.26619275861537,929.0538103899041,48.95309716649263,935.155108991877,40.14,-88.65
105,1647.959,-693.76,-673.16,50.36601842838661,954.676706429983,50.3482597089412,943.7745933803069,41.47,-64.19
106,1663.352,-724.41,-650.89,51.32045055960141,979.064303557228,51.13961950551479,960.3679246916408,39.9,-39.01
107,1679.15,-754.67,-628.37,52.163214831236715,1003.7589209068083,52.17741069861023,990.8341110479774,38.06,-12.65
108,1694.747,-786.42,-604.55,53.07308876627199,1029.0685094783535,52.554698223256075,1029.0392271764244,36.22,13.71
109,1710.024,-814.59,-581.26,53.84335428855087,1051.551477104188,53.92436598548249,1048.6011269967732,34.44,39.15
110,1725.624,-827.66,-545.97,54.69464475240963,1054.1689910540908,54.690383245277516,1050.657924614617,32.63,63.27
111,1741.317,-839.76,-508.78,55.53948212549672,1055.4430524665934,55.15261534834055,1055.203896448769,30.47,88.43
112,1756.809,-851.81,-471.69,56.902332680127714,1037.5999892058596,56.85692746031447,1032.7943373310015,17.43,94.91
113,1771.991,-863.47,-435.81,59.43086989699089,1005.9625314095948,59.27741790068201,1012.2691160599808,2.68,75.8
114,1787.16,-874.95,-400.42,62.230646633564156,977.3060309340161,62.15127125621119,996.961334357231,-10.2,54.92
115,1802.756,-886.07,-364.33,65.26070593552906,950.0106616770152,65.2701601303426,884.1382520611613,-23.25,33.24
116,1818.269,-897.56,-326.76,68.52815562622476,925.8997008315749,68.53908974786852,926.4979235556751,-35.92,12.16
117,1834.294,-908.96,-289.48,71.96851616192677,904.4401594356589,71.98439085768939,903.2214871034023,-48.94,-9.52
118,1849.864,-920.49,-251.75,75.55053229610189,886.8012183685812,75.533229449384,894.6722489382637,-61.74,-30.47
119,1864.974,-931.57,-215.5,79.15441059677018,872.3826353728048,79.15965207637142,871.7611333918454,-74.77,-51.35
120,1880.48,-943.09,-178.9,82.70363933417627,875.9731827516183,82.70829221247892,874.7978058438575,-74.21,-67.65
121,1896.177,-954.47,-143.83,84.83059407544516,907.9830836529942,85.28071425961485,913.4864589457496,-50.18,-62.02
122,1912.186,-966.21,-107.7,86.63714718743195,941.8818557016585,86.64646121538878,941.0510534566175,-25.95,-52.45
123,1927.584,-977.52,-72.02,88.28630384300088,975.4162646275691,88.21068405197965,960.7968086503496,-2.54,-42.85
124,1942.65,-989.18,-33.93,89.97557603749435,1008.7300916498922,89.98791666840297,1033.1167797608314,19.55,-33.5
125,1958.043,-1000.21,0.74,91.34891470698665,1042.8690037104373,91.32488301456127,1042.7271736848236,42.37,-23.81
126,1973.746,-992.32,37.33,92.77049453697504,1059.678593725475,92.5991274322227,1055.0400139492097,66.12,-13.89
127,1989.116,-980.01,75.4,94.3119101116148,1070.8109023072188,93.90186370182201,1086.7853603678964,87.77,-5.11
128,2004.609,-968.16,111.88,95.52764290997794,1074.1650384368318,95.59444655158616,914.5203240068943,101.01,8.41
129,2020.218,-955.99,149.32,97.15766087255861,1042.776307460042,97.15711752880284,1044.3143655945703,78.66,19.39
130,2035.617,-943.97,186.31,99.13733075535572,1012.3967578968238,101.42054974471586,1011.568448583197,55.58,25.54
