,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,346.289,200.02,-45.82,280.39080799386903,183.02147551585307,280.55343623612447,182.51051048041424,20.0,-12.81
1,346.698,200.02,-47.87,280.9471351421696,183.35657283010065,281.4871324740359,167.20162166744606,20.0,-13.05
2,347.514,200.02,-52.38,282.2298853076607,184.20032790415982,282.24713762352746,179.80983894724642,20.0,-13.36
3,347.52,200.02,-52.38,282.13561416950785,184.13490842314502,282.13026976932184,196.732452333612,20.0,-13.67
4,348.334,200.02,-54.42,282.6608424746015,184.50635219417245,282.66804284805715,289.9771794917889,20.0,-13.98
5,348.641,200.02,-56.47,283.18995073826125,184.8978001491635,283.2534780819726,191.19824251096315,20.0,-14.28
6,349.258,200.02,-58.52,283.7317966560894,185.31681116401717,283.9358389611851,190.83024311457905,20.0,-14.53
7,349.666,200.02,-60.15,284.09164726478866,185.60532454646878,284.11863919395165,185.1246835372247,20.0,-14.96
8,350.077,200.02,-62.19,284.6084352287394,186.0341011750265,284.53555140542886,183.86024966298538,20.0,-15.27
9,350.896,200.02,-66.29,285.75268555309805,187.04493791599924,285.6703148025695,192.53397000823693,20.0,-15.51
10,351.309,200.02,-66.29,285.6612514412795,186.9610154550943,285.90639425419573,176.4080266296391,20.0,-15.82
11,351.719,200.02,-68.34,286.2086154277588,187.47167599400186,286.1898421290432,205.6200678651826,20.0,-16.01
12,352.127,200.02,-69.97,286.5601536762405,187.8101735796014,286.56167020974704,184.28104443002087,20.0,-16.44
13,352.644,200.02,-72.02,287.0705174604881,188.316432634011,287.1506363351217,188.75391685081374,20.0,-16.74
14,353.153,200.02,-74.06,287.5896735961895,188.84963674839304,287.6374732426555,186.46407624697392,20.0,-16.99
15,353.666,200.02,-76.12,288.09436210676637,189.38583051537938,288.1314745161219,225.72708166659964,20.0,-17.3
16,354.283,200.02,-78.15,288.5904438884729,189.9302579896105,288.779476494651,191.55948278284808,20.0,-17.6
17,354.894,200.02,-79.8,288.9727204786026,190.36168863508226,289.11234323663086,194.9795756290669,20.0,-17.91
18,355.407,200.02,-82.66,289.6953474056699,191.20594656024693,289.7044104087211,145.9353261084677,20.0,-18.22
19,355.714,200.02,-84.71,290.20435519209184,191.8235201949959,290.29563454948106,191.98298550920086,20.0,-18.46
20,356.531,200.02,-88.39,291.1432211029147,193.01332803721095,290.93507283209317,185.1439303087139,20.0,-18.77
21,356.738,200.02,-88.39,291.05734312103675,192.90172757132063,291.41372322779387,250.93307408144588,20.0,-19.08
22,357.356,200.02,-90.44,291.5243070228014,193.5153750997579,291.5242881490424,191.72564108641623,20.0,-19.44
23,357.767,200.02,-92.49,292.0019696505849,194.1605212189131,292.21820040362445,200.6894846203252,20.0,-19.75
24,358.28,200.02,-94.53,292.47371814459876,194.81524914646698,292.4691769149032,231.00345965477436,20.0,-20.06
25,358.79,200.02,-96.58,292.9449739570496,195.486993173459,292.8059578260699,194.54763454343285,20.0,-20.37
26,359.401,200.02,-98.22,293.3056752601375,196.0132722547124,293.1990597635611,190.0426792451419,20.0,-20.67
27,359.808,200.02,-100.26,293.7844696909707,196.72833044582066,294.2843904241673,210.85797146198988,20.0,-20.92
28,360.22,200.02,-102.3,294.24653463649315,197.43648801576674,294.36503798106816,187.29086940223587,20.0,-21.22
29,360.733,200.02,-104.36,294.70789392837463,198.16157372205137,294.7004153485744,193.27282613731205,20.0,-21.53
30,361.249,200.02,-106.0,295.0562586067017,198.72117652630786,295.19013005126646,200.27155484816018,20.0,-21.84
31,361.762,200.02,-108.05,295.509039208824,199.4643085867745,295.54040351719294,194.1519421870509,20.0,-22.15
32,362.273,200.02,-110.1,295.9764385278289,200.25045443144444,296.21554764142707,203.66254247664048,20.0,-22.39
33,362.784,200.02,-112.14,296.4197342584352,201.01421342780716,296.4230119863832,195.95160948281708,20.0,-22.7
34,363.398,200.02,-114.6,296.9659362129685,201.98002005148925,296.92356854523086,198.6550233973387,20.0,-23.01
35,363.809,200.02,-116.64,297.40413796604946,202.77497207495801,297.54062915907565,224.60233904960177,20.0,-23.31
36,364.521,200.02,-118.7,297.84138072070755,203.58636201867748,297.82368102163565,218.91750374586653,20.0,-23.62
37,364.932,200.02,-120.75,298.2726584343689,204.40477685220569,298.3966500137594,201.7264014430229,20.0,-23.93
38,365.138,200.02,-122.79,298.6833283703604,205.20107334027279,298.82934706200393,212.3179722473514,20.0,-24.3
39,366.055,200.02,-126.47,299.5047215763203,206.84462115317382,299.33970754048994,204.59014135364265,20.0,-24.6
40,366.365,200.02,-126.47,299.42993269321266,206.69212370092868,299.72278358662226,202.06205684372682,20.0,-24.91
41,366.776,200.02,-128.52,299.86265111012625,207.5824896276177,299.80377390958256,204.4263531055783,20.0,-25.16
42,367.391,200.02,-130.57,300.2797827376412,208.45937853692263,300.29582864206077,198.7523579160578,20.0,-25.46
43,367.902,200.02,-132.62,300.69104448102837,209.3421192689135,300.72321745287235,212.72677648770716,20.0,-25.77
44,368.211,200.02,-134.25,301.000718225622,210.01892605191563,300.9464954071748,205.281855704553,20.0,-26.08
45,368.72,200.02,-136.3,301.40818986091244,210.92559541222116,301.4024149148724,223.3093470933413,20.0,-26.38
46,369.536,200.02,-140.4,302.29228607286257,212.95730393672815,302.44385805083857,216.94967866241132,20.0,-26.63
47,369.744,200.02,-140.4,302.22172622099566,212.79185134774312,302.21502049344343,177.46869360597518,20.0,-26.94
48,370.564,200.02,-144.9,303.16839166982237,215.0606333107015,303.16227238396107,216.39315973444647,20.0,-27.24
