,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,2183.012,200.0,-39.26,274.58973519321194,180.57907547664541,274.2883225968507,181.14108491499607,20.0,-24.81
1,2184.04,200.0,-40.09,274.7952516987442,180.6322507195213,274.812895409982,163.88756947006112,20.0,-24.99
2,2184.045,200.0,-40.4,274.81421630045344,180.6372763302193,274.80476013552016,175.89875166824064,20.0,-25.24
3,2184.349,200.0,-40.81,274.80789488382703,180.6355989277861,275.08989668617363,167.44145782393704,20.0,-25.67
4,2184.97,200.0,-41.53,274.9564168312346,180.6755990719278,275.0118709875755,83.97509506736147,20.0,-25.92
5,2185.695,200.0,-42.25,275.04486639013726,180.70000581073595,275.21672780038347,187.4459743121515,20.0,-26.36
6,2185.7,200.0,-42.25,274.9880087002086,180.6842663321851,274.94696515743783,186.60644044736156,20.0,-26.54
7,2187.048,200.0,-42.97,275.1364494494139,180.72573806738208,275.1421563312527,180.19699391094073,20.0,-26.79
8,2187.352,200.0,-44.11,275.3605580554172,180.7906858773427,275.34863431234567,178.42026040808406,20.0,-27.22
9,2187.368,200.0,-44.11,275.28166498190285,180.76750150400375,275.2194292718916,186.66406149044198,20.0,-27.47
10,2187.874,200.0,-44.42,275.3226919057756,180.77951460273368,275.16669835415075,169.65380610377122,20.0,-27.65
11,2188.601,200.0,-44.84,275.3163804265572,180.77766040083603,274.97160183930464,162.06728520859093,20.0,-28.09
12,2189.011,200.0,-45.56,275.4646656572339,180.82181394953432,275.499861261112,184.64538386827442,20.0,-28.34
13,2189.73,200.0,-45.87,275.4268124985728,180.81042558436724,275.48031194051964,181.29180813813954,20.0,-28.77
14,2190.152,200.0,-46.28,275.49936018392646,180.8323226085425,275.35982504711586,183.43090086311236,20.0,-28.95
15,2190.56,200.0,-47.0,275.6475545673664,180.8779699134198,275.5181123390267,144.82521979009618,20.0,-29.2
16,2191.28,200.0,-47.73,275.74210723118824,180.9077389168302,275.56281040367736,179.12632631082397,20.0,-29.63
17,2191.285,200.0,-47.73,275.66331550196094,180.88289720147674,275.82161704432554,175.90386752048732,20.0,-29.88
18,2191.909,200.0,-48.45,275.83032809125314,180.93596767917649,275.7540264170565,225.20402545057897,20.0,-30.07
19,2193.041,200.0,-49.58,276.0507580276173,181.00841527398663,275.8874083050376,181.1841535634342,20.0,-30.5
20,2193.054,200.0,-49.58,275.9720533448609,180.98223365844504,275.9136214588732,189.35743585032708,20.0,-30.75
21,2193.459,200.0,-49.9,275.93741609948154,180.97082195757415,275.75893543021056,236.73153417063298,20.0,-31.18
22,2193.984,200.0,-50.31,275.98779610070085,180.98744265832366,275.92672670083743,179.03212173333458,20.0,-31.43
23,2194.605,200.0,-51.04,276.1609060249103,181.04564314006564,276.17151076906936,174.06131737559423,20.0,-31.61
24,2195.328,200.0,-51.45,276.151466547409,181.04242596695394,276.3526302379416,216.95293069570258,20.0,-32.05
25,2195.943,200.0,-52.48,276.3967825668126,181.12766878641153,276.38108426090776,180.09686125153956,20.0,-32.3
26,2195.953,200.0,-52.48,276.3401917459099,181.10770276274835,276.25991954657314,174.70644437918605,20.0,-32.48
27,2196.366,200.0,-52.9,276.3339031080784,181.10549522308816,276.48376711056363,195.8358851320182,20.0,-32.92
28,2197.395,200.0,-53.62,276.4816452712075,181.1579490389533,276.58755148518526,191.8688480959646,20.0,-33.17
29,2197.403,200.0,-53.62,276.42507328514444,181.1377180490027,276.3403069571685,175.87276356659333,20.0,-33.35
30,2197.931,200.0,-54.34,276.4942151041761,181.1624687952778,275.78248564107724,182.85835365357315,20.0,-33.85
31,2198.736,200.0,-55.07,276.66698614507675,181.22549930956185,276.69561562002224,186.93646606622846,20.0,-34.03
32,2199.266,200.0,-55.48,276.6575653810619,181.2220188056628,276.58764156759884,177.52327041493606,20.0,-34.47
33,2199.274,200.0,-55.48,276.58218629176235,181.19435118126614,276.7375313776011,186.6425227210714,20.0,-34.71
34,2200.399,200.0,-56.51,276.8459113049213,181.29255941709246,276.06896200311826,177.68677152391146,20.0,-34.9
35,2201.134,200.0,-56.93,276.8239451933759,181.28422876797637,276.84900785680156,203.58270887041778,20.0,-35.39
36,2201.148,200.0,-57.65,276.9902094533163,181.34796635198313,276.9932852976681,197.2754942137149,20.0,-35.58
37,2201.852,200.0,-58.06,277.0403793261831,181.3675078397451,277.2399970482251,178.45409459469917,20.0,-35.83
38,2202.371,200.0,-58.37,277.0027529345574,181.3528386874603,277.1139484025201,188.94872304459906,20.0,-36.26
39,2203.093,200.0,-59.51,277.30045979617705,181.47110954639584,277.3588088721988,179.01374082848324,20.0,-36.45
40,2203.404,200.0,-59.51,277.16262279516525,181.41572258214006,277.51047489533266,186.4076222347866,20.0,-36.89
41,2203.824,200.0,-59.92,277.21275506954976,181.43574179306566,277.94322931027915,184.86109441046227,20.0,-37.14
42,2203.837,200.0,-60.64,277.3818691191507,181.50433162875203,277.42682797418365,171.2410894811703,20.0,-37.32
43,2205.058,200.0,-61.37,277.4538600940888,181.5340257362239,277.4000803275661,185.20350209084182,20.0,-37.82
44,2205.483,200.0,-61.37,277.3975213329723,181.5107624908231,277.3128669372566,176.40584820773057,20.0,-38.0
45,2205.492,200.0,-62.1,277.5477257738431,181.57318772329796,277.59490951353376,168.59432540673225,20.0,-38.25
46,2206.719,200.0,-63.13,277.735334457538,181.65297272546903,277.7931938103084,177.33654420127073,20.0,-38.68
47,2207.039,200.0,-63.13,277.6759429007519,181.62749681697426,277.70087562649667,146.52201168389266,20.0,-38.87
48,2207.056,200.0,-63.54,277.6665637660142,181.6234921479047,277.4415819022486,183.08271964392205,20.0,-39.31
49,2207.755,200.0,-63.95,277.7165810297022,181.644906617279,277.6584704093488,167.47268575474672,20.0,-39.56
50,2208.276,200.0,-64.68,277.88842470133295,181.71957406949863,278.21705611868805,186.1883934625696,20.0,-39.74
51,2208.687,200.0,-64.99,277.8290765100596,181.69359509900178,277.6174715149507,177.15728935659678,20.0,-40.24
