,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,46.868,1309.94,50.57,256.93589346853327,1396.0735039746296,256.8525136369025,1395.4996093484076,-50.0,-265.0
1,46.879,1309.94,50.57,256.9478875820548,1396.0057222303926,256.969262177383,1412.9660917603067,-50.0,-264.7
2,47.898,1309.64,51.55,256.91591688768085,1395.878551164105,256.91409308255675,1391.052405401637,-50.0,-264.45
3,48.206,1309.35,52.12,256.897627125995,1395.684439477635,256.90726606278247,1409.0675157933588,-50.0,-264.27
4,48.831,1309.1,52.53,256.8956069861455,1395.4289421177991,257.00909757209274,1299.0992079911312,-49.99,-263.85
5,49.34,1307.9,53.94,256.83800965486205,1394.5238985761414,256.8250367062104,1387.6606811103406,-49.99,-263.6
6,50.063,1306.95,54.72,256.80740677209064,1393.7122770859128,256.77254891407597,1387.684537650686,-49.98,-263.36
7,50.068,1306.95,54.72,256.8245251212599,1393.6044664466315,256.72740223360375,1393.0645281742097,-49.97,-262.93
8,50.891,1306.36,55.13,256.80978346746355,1393.0824682336647,256.841073911302,1395.5001395250595,-49.97,-262.75
9,51.608,1304.75,56.02,256.7757233583153,1391.6126999276776,256.8420693222778,1385.6109482584286,-49.96,-262.33
10,51.918,1304.07,56.33,256.76681542237327,1390.9547399178737,256.82093284127404,1379.6595826511193,-49.95,-262.08
11,52.329,1304.07,56.33,256.7740332595758,1390.9135463068867,256.59287187869626,1409.8511147240156,-49.95,-261.9
12,52.951,1303.55,56.55,256.7793722888489,1390.3283897338788,256.83178970296035,1394.2247198400823,-49.93,-261.42
13,52.954,1302.11,57.05,256.7532444856501,1388.9878614660388,256.7205145840506,1388.496271372205,-49.92,-261.23
14,53.778,1301.56,57.22,256.75076089531126,1388.4267229493964,255.87526887816767,1391.076715708487,-49.91,-260.99
15,54.185,1300.24,57.57,256.74138660666824,1387.113808056138,256.7231702695075,1350.8134367731907,-49.9,-260.56
16,54.907,1299.48,57.74,256.7344904457533,1386.3620491415654,256.84776842280314,1388.1796515771389,-49.89,-260.38
17,55.324,1298.9,57.86,256.74127353433903,1385.7069347448617,256.84869143597024,1380.636523638039,-49.87,-259.95
18,55.941,1296.77,58.22,256.7161130528913,1383.6516331071198,256.6730985897696,1339.1666269622428,-49.86,-259.71
19,55.944,1296.77,58.22,256.7232723753175,1383.6005517850879,256.56316031740704,1383.7800548975356,-49.85,-259.53
20,56.871,1296.18,58.3,256.7339060193302,1382.9029884991933,256.89993643373117,1391.4167267894272,-49.82,-259.04
21,57.282,1293.99,58.55,256.7101302796269,1380.7778779007144,256.64299149076714,1324.8767875118217,-49.81,-258.86
22,58.004,1292.6,58.66,256.70242188044915,1379.383200165929,256.66366885522876,1381.3780200041435,-49.8,-258.61
23,58.313,1291.79,58.72,256.7093578452983,1378.480628663312,256.7207648872935,1385.585465797474,-49.77,-258.18
24,58.933,1291.19,58.76,256.70919221555727,1377.854781934584,256.98053584217786,1341.6963243865487,-49.76,-258.0
25,58.939,1291.19,58.76,256.726404402622,1377.7365255374484,255.90382094185242,1378.7887958390945,-49.74,-257.57
26,59.964,1288.97,58.86,256.7106573223613,1375.5242753946584,256.67830287308556,1382.0379717109615,-49.72,-257.33
27,60.275,1288.97,58.86,256.7206966527368,1375.4570971135379,256.6824049720931,1360.525206403758,-49.71,-257.08
28,60.895,1288.16,58.89,256.7284758264839,1374.549987486814,256.61319683375103,1385.426052363945,-49.68,-256.66
29,61.304,1286.12,58.94,256.714518455939,1372.522638137528,256.53229219047967,1377.8833677196785,-49.67,-256.47
30,61.822,1286.12,58.94,256.7240777514181,1372.4480397450388,256.96463824560163,1370.7176064426142,-49.65,-256.23
31,62.232,1284.69,58.96,256.72674280180024,1370.9329063451646,256.9016074152104,1365.1194742121827,-49.62,-255.8
32,62.956,1283.26,58.97,256.7198330114954,1369.4923530272083,256.84885567553505,1365.7229418661873,-49.61,-255.62
33,63.262,1283.26,58.97,256.73705523585414,1369.3644406073936,256.6302206161903,1374.9111594179228,-49.58,-255.19
34,63.985,1281.62,58.97,256.730887056709,1367.6936640929503,256.73224218727006,1371.3685415204873,-49.56,-254.95
35,64.288,1280.19,58.96,256.7275424405665,1366.2227009166552,256.657404516101,1343.6815014189615,-49.54,-254.7
36,64.906,1278.76,58.95,256.73144938949974,1364.7006856083865,256.5897139573452,1348.5629226236792,-49.51,-254.27
37,64.91,1278.76,58.95,256.73870870742496,1364.6496507162562,256.7743426532866,1367.6201293352105,-49.5,-254.09
38,65.839,1278.14,58.94,256.7431721666187,1363.9670790748582,256.7155115714687,1356.2425482587676,-49.48,-253.84
39,66.247,1276.71,58.92,256.74751238113413,1362.442796780841,256.8016863056178,1364.949007276162,-49.45,-253.41
40,66.971,1275.89,58.9,256.74801077052774,1361.5770256581154,256.83154751344637,1356.4935450288692,-49.43,-253.22
41,67.383,1273.62,58.86,256.74466011789207,1359.2328262663464,256.74569320787583,1355.7414652511447,-49.4,-252.8
42,68.103,1273.0,58.84,256.7495548781644,1358.547973573256,256.9142749098769,1368.9716127588297,-49.38,-252.55
43,68.417,1273.0,58.84,256.7592144321203,1358.4735154208931,256.9010024493246,1354.733870653362,-49.36,-252.31
44,68.935,1272.18,58.82,256.7693885427648,1357.5333292409434,256.7446726855212,1352.3350889178616,-49.32,-251.88
45,69.655,1270.13,58.77,256.7589234005917,1355.4753905918026,256.7868130703101,1342.3094805084543,-49.31,-251.7
46,69.969,1270.13,58.77,256.7690168673087,1355.398681126701,256.78743442950645,1351.0013764814732,-49.29,-251.45
47,70.374,1267.87,58.71,256.7669239417688,1353.0475850094851,256.8209150075539,1317.6924061366865,-49.25,-251.02
48,70.888,1267.87,58.71,256.7742471192119,1352.9966572759888,257.30907558371354,1354.4858428121013,-49.24,-250.84
49,71.611,1267.04,58.69,256.7867544624122,1352.0233483560853,256.7366699493225,1366.3926849558588,-49.19,-250.35
50,71.615,1265.61,58.64,256.7827028861266,1350.5666159431012,257.16762790345496,1346.0144636662465,-49.18,-250.16
