,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,872.284,-200.0,127.35,99.42825107483105,182.46482428128442,99.30487403302146,181.87819197155113,-20.0,97.46
1,873.515,-200.0,129.41,100.00652710552845,182.78046285092944,100.3068397263289,165.4894399303391,-20.0,97.65
2,873.52,-200.0,129.41,99.87373237650951,182.70623662042848,100.07543270382986,177.77715582620175,-20.0,98.08
3,874.247,-200.0,130.24,100.05282538281165,182.8065865881205,99.861603773237,196.45687100481493,-20.0,98.33
4,874.656,-200.0,131.68,100.36421915142455,182.98559068954037,100.38818645364138,280.6639647032951,-20.0,98.76
5,875.684,-200.0,133.95,100.98513689499799,183.35976548850624,100.98182839290436,190.36687788313114,-20.0,99.01
6,875.697,-200.0,133.95,100.92684257225608,183.32365504756882,100.94957118242174,189.47864801969894,-20.0,99.2
7,876.096,-200.0,134.58,100.98820438060818,183.36167129473924,100.89513488206558,183.91359771663346,-20.0,99.63
8,876.621,-200.0,135.41,101.16600892409747,183.47310674864588,101.15290397196698,181.00273387991223,-20.0,99.88
9,877.034,-200.0,136.86,101.55457564787946,183.72327016466912,101.56490342430072,177.59478603633266,-20.0,100.06
10,877.751,-200.0,137.49,101.61567012446619,183.76343488300387,103.42048213502302,172.23939488824928,-20.0,100.49
11,878.369,-200.0,139.75,102.22816301114148,184.17866353082272,102.18303071376116,164.8764702598172,-20.0,100.74
12,878.781,-200.0,140.58,102.34971893081678,184.26380029729117,102.35610736646098,180.2836826106543,-20.0,101.17
13,879.298,-200.0,142.02,102.71067707797476,184.5219770108699,102.63335492533785,185.02448715737103,-20.0,101.42
14,880.02,-200.0,142.64,102.84085700505727,184.61706557087294,102.70121622175323,181.9094329569175,-20.0,101.61
15,880.031,-200.0,142.64,102.71067707797471,184.5219770108699,102.77616054435669,147.5854271418846,-20.0,102.04
16,880.438,-200.0,143.46,102.8832121546269,184.64823015669552,102.86935549301735,186.50568115494562,-20.0,102.29
17,881.256,-200.0,144.91,103.26677503870843,184.93553903995846,103.34492340093722,190.11386673522978,-20.0,102.47
18,881.988,-200.0,145.53,103.3029552339429,184.96311416063475,103.30992249967095,230.19899069298066,-20.0,102.97
19,881.999,-200.0,146.35,103.49272350489827,185.10909242930236,103.64883875151327,184.92558910715795,-20.0,103.16
20,882.709,-200.0,147.79,103.79632535376538,185.34734958989836,104.22788309515012,194.0372543296272,-20.0,103.59
21,883.122,-200.0,148.62,103.9703156668345,185.48651810845982,103.96616650896513,242.287354991043,-20.0,103.84
22,883.743,-200.0,150.06,104.34738661943618,185.79472974226152,104.25422756307728,183.75625058462677,-20.0,104.02
23,884.771,-200.0,151.51,104.64872961042295,186.04758127962856,104.41965779079678,178.79407578693443,-20.0,104.46
24,884.777,-200.0,151.51,104.57719770402673,185.98703207481967,104.69334313624685,149.19445051427078,-20.0,104.7
25,885.192,-200.0,152.95,104.94924633474187,186.30556513427075,104.96518322756418,187.3810787606985,-20.0,104.89
26,886.013,-200.0,154.39,105.22818133808761,186.5502613238588,105.23505033442778,193.20091654733946,-20.0,105.39
27,886.02,-200.0,154.39,105.1748250172248,186.50306270943648,105.23970936272508,201.7299589153775,-20.0,105.57
28,886.745,-200.0,155.84,105.47386235729755,186.76998929164182,105.47865937000213,197.86711962854,-20.0,106.01
29,887.778,-200.0,158.11,106.07227896435978,187.32180759324314,106.30741856725865,181.8472661822517,-20.0,106.25
30,887.788,-200.0,158.11,106.0164198698377,187.26929513403954,105.9379049780453,185.50089234659964,-20.0,106.44
31,888.409,-200.0,158.73,106.06933979321082,187.319039341974,106.03039994890165,193.25542163523394,-20.0,106.88
32,888.711,-200.0,159.56,106.24260186818486,187.4832088481526,106.06222432119993,191.33377068676273,-20.0,107.12
33,889.131,-200.0,161.0,106.60867287828182,187.8366740016443,106.63281411736138,182.17238101541682,-20.0,107.31
34,889.959,-200.0,161.83,106.70800465462673,187.9341397937054,106.6301079072109,191.68820011826082,-20.0,107.8
35,889.971,-200.0,162.45,106.83348218259175,188.05821332768213,106.75746893566723,211.02414159492673,-20.0,107.99
36,890.777,-200.0,163.89,107.12464675516856,188.3502365275924,107.13539959122112,204.80429690052546,-20.0,108.43
37,891.086,-200.0,164.72,107.296008203454,188.52480606010445,107.0936621444316,191.5597030486594,-20.0,108.67
38,891.503,-200.0,166.16,107.65800697141276,188.90021175213118,107.79820148942895,196.78557540814305,-20.0,108.86
39,892.844,-200.0,167.6,107.94656273162553,189.2059459953624,107.96867659123505,186.64514945919603,-20.0,109.3
40,892.857,-200.0,167.6,107.8745113672503,189.12906307598521,107.8151734148172,194.32072627793096,-20.0,109.55
41,893.156,-200.0,169.05,108.23992289554343,189.52272264823551,108.20215674892458,185.95600789651243,-20.0,109.73
42,893.779,-200.0,169.88,108.35182982672723,189.6451531149689,108.77703995407217,200.28137004012652,-20.0,110.17
43,894.087,-200.0,170.5,108.46072805507828,189.7651393169989,108.33398173027885,185.94496313468645,-20.0,110.41
44,895.014,-200.0,172.76,108.9803707292719,190.34927922112024,109.43330339092176,185.04052320286434,-20.0,110.85
45,895.736,-200.0,173.38,109.08562007918965,190.46994093557126,109.26324284090829,177.04076234605895,-20.0,111.1
46,895.743,-200.0,173.38,109.03443435483524,190.41116038719997,109.2295285687951,194.90260589459805,-20.0,111.28
47,896.149,-200.0,174.83,109.3212332245057,190.74294770711708,109.2833290349124,154.76531936551658,-20.0,111.72
48,897.081,-200.0,177.1,109.89462719551284,191.42418760438818,109.6464538140637,189.90224928023733,-20.0,111.96
49,897.09,-200.0,177.1,109.84113361115857,191.359615645517,109.79928361045492,206.01392111703177,-20.0,112.15
50,897.808,-200.0,177.93,109.93683345867754,191.47528326131288,109.71156671603522,196.12475901497706,-20.0,112.64
51,898.422,-200.0,179.99,110.46110383885554,192.1209660604485,110.3155597319759,187.40151715186016,-20.0,112.83
52,898.939,-200.0,180.81,110.56999725522843,192.25764614183748,110.49314890518885,202.04880333480617,-20.0,113.26
53,898.953,-200.0,180.81,110.50021160109094,192.16995082478425,110.51871862163232,185.53095591954093,-20.0,113.51
54,899.764,-200.0,183.09,111.08165112483886,192.91182467645677,110.97918484595824,188.38879459186504,-20.0,113.7
55,900.489,-200.0,183.71,111.13428642317558,192.9802487302781,111.24467147778557,192.96992658143887,-20.0,114.13
56,900.899,-200.0,185.15,111.46309799673645,193.412494167259,111.32882098076593,192.69353905377528,-20.0,114.38
