,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.142,-8300.0,7250.0,127.812952878315,12151.645979043333,127.7150499486737,12152.227566040003,1300.0,-200.0
1,22.76,-8300.0,7250.0,127.812952878315,12151.645979043333,127.86712933135166,12134.503667031364,1300.0,-200.0
2,22.763,-8300.0,7250.0,127.812952878315,12151.645979043333,128.10502443637856,12156.532667430416,1300.0,-200.0
3,23.907,-8300.0,7250.0,127.812952878315,12151.645979043333,127.78928396241123,12165.17886461047,1300.0,-200.0
4,24.227,-8300.0,7250.0,127.812952878315,12151.645979043333,128.1301181296573,12248.484273218033,1300.0,-200.0
5,24.62,-8300.0,7250.0,127.812952878315,12151.645979043333,127.82119410044434,12144.699131102454,1300.0,-200.0
6,25.446,-8300.0,7250.0,127.812952878315,12151.645979043333,127.80840159312022,12157.748036188494,1300.0,-200.0
7,25.453,-8300.0,7250.0,127.812952878315,12151.645979043333,128.82822314865552,12151.098799447585,1300.0,-200.0
8,25.853,-8300.0,7250.0,127.812952878315,12151.645979043333,127.86489381526546,12154.095105546503,1300.0,-200.0
9,26.883,-8300.0,7250.0,127.812952878315,12151.645979043333,127.89347767406618,12145.570202753473,1300.0,-200.0
10,27.19,-8300.0,7250.0,127.812952878315,12151.645979043333,127.82642333334913,12140.22105119865,1300.0,-200.0
11,28.013,-8300.0,7250.0,127.812952878315,12151.645979043333,128.23035371786435,12170.782164397231,1300.0,-200.0
12,28.015,-8300.0,7250.0,127.812952878315,12151.645979043333,127.88257173383205,12155.591865850725,1300.0,-200.0
13,28.735,-8300.0,7250.0,127.812952878315,12151.645979043333,128.00059794978964,12151.147790719828,1300.0,-200.0
14,29.556,-8300.0,7250.0,127.812952878315,12151.645979043333,127.69878845140992,12148.961633340052,1300.0,-200.0
15,29.56,-8300.0,7250.0,127.812952878315,12151.645979043333,127.83448052668612,12188.2648572559,1300.0,-200.0
16,30.272,-8300.0,7250.0,127.812952878315,12151.645979043333,127.924885940554,12149.804502995028,1300.0,-200.0
17,30.992,-8300.0,7250.0,127.812952878315,12151.645979043333,127.78509367620204,12156.779770691186,1300.0,-200.0
18,30.993,-8300.0,7250.0,127.812952878315,12151.645979043333,127.93202574288021,12196.492805816604,1300.0,-200.0
19,31.817,-8300.0,7250.0,127.812952878315,12151.645979043333,127.891558562461,12151.464053935842,1300.0,-200.0
20,32.533,-8300.0,7250.0,127.812952878315,12151.645979043333,127.80647385879321,12143.030811560944,1300.0,-200.0
21,32.538,-8300.0,7250.0,127.812952878315,12151.645979043333,127.85262586936298,12095.33365600415,1300.0,-200.0
22,32.841,-8300.0,7250.0,127.812952878315,12151.645979043333,127.82789261386694,12149.625031762738,1300.0,-200.0
23,33.973,-8300.0,7250.0,127.812952878315,12151.645979043333,127.77621587675073,12158.837100986051,1300.0,-200.0
24,34.384,-8300.0,7250.0,127.812952878315,12151.645979043333,128.00850635591036,12115.16983094421,1300.0,-200.0
25,34.896,-8300.0,7250.0,127.812952878315,12151.645979043333,127.81359515475809,12150.579715338634,1300.0,-200.0
26,35.308,-8299.97,7250.29,127.81411982910993,12151.800075914678,127.83806028325232,12158.393532383305,1300.0,-200.0
27,35.926,-8298.88,7251.94,127.82270906399782,12151.83423672739,127.58274877471348,12136.73829897201,1300.0,-199.81
28,36.233,-8298.12,7252.48,127.82531627398765,12151.301370388277,127.83938157807495,12162.30306019843,1300.0,-199.38
29,36.749,-8296.95,7253.05,127.82992881892085,12150.579619861763,127.86343677014428,12156.007077648423,1300.0,-199.14
30,37.159,-8294.66,7253.51,127.83666444241277,12148.78938182731,127.88016724077279,12147.036188133428,1300.0,-198.71
31,37.88,-8292.18,7253.39,127.84268540240868,12146.640679648839,127.71644938340708,12152.526006269522,1300.0,-198.52
32,38.287,-8292.18,7253.39,127.84179138888265,12146.493442195571,128.52351293798841,12142.675996995134,1300.0,-198.28
33,38.906,-8289.64,7252.82,127.8453801638181,12143.867990273939,127.9159913815211,12138.252412864606,1300.0,-197.84
34,38.908,-8289.64,7252.82,127.84470952711882,12143.757555221531,127.93475189556754,12147.479328866204,1300.0,-197.66
35,40.034,-8284.6,7250.77,127.85073206829071,12138.36654877418,127.36567794909406,12161.13495928463,1300.0,-197.41
36,40.345,-8284.6,7250.77,127.8491293616915,12138.102702749718,127.70726809619481,12154.415250484573,1300.0,-196.98
37,40.756,-8283.19,7250.04,127.84956047013543,12136.388013284677,127.89124341187068,12133.379217833944,1300.0,-196.73
38,41.165,-8280.77,7248.68,127.84989791855594,12133.378795426277,128.04630971692137,12125.561249596862,1300.0,-196.3
39,41.889,-8279.74,7248.06,127.849899363921,12132.074609892572,127.80720874208245,12129.535837407928,1300.0,-196.12
40,41.892,-8279.74,7248.06,127.84896707245326,12131.921212755216,127.86403150239933,12126.774200292302,1300.0,-195.87
41,43.219,-8274.66,7244.74,127.84970364077299,12125.608955759706,127.88236116539025,12129.14499509136,1300.0,-195.44
42,43.227,-8274.66,7244.74,127.84880816179958,12125.461695094335,127.8003208055774,12136.006435564312,1300.0,-195.2
43,43.835,-8272.32,7243.12,127.84794336310165,12122.356117294195,127.77422171154613,12118.568796419158,1300.0,-194.77
44,44.553,-8269.99,7241.47,127.84783307936993,12119.38728659993,127.88299745774846,12124.650384826004,1300.0,-194.58
