,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,63.768,2.22,1003.39,173.82253936429345,908.6662866531365,173.75688808446534,909.2245700907417,100.0,100.0
1,63.77,2.22,1003.39,173.8223519999924,908.5459073706733,173.8120885788393,925.2727788725853,99.99,100.12
2,64.178,4.36,1004.6,173.96474520304923,909.4507312108777,174.0121641749702,904.7351941205651,99.98,100.19
3,65.198,6.79,1005.41,174.12280083672562,909.8927195004915,174.37446573977286,896.7254783032269,99.96,100.3
4,65.2,6.79,1005.41,174.12602559244726,909.7064993172247,174.08083624410762,1007.4177184671094,99.89,100.48
5,65.608,6.79,1005.41,174.12738962117783,909.6238494014984,174.20187005340995,902.9055711335551,99.86,100.56
6,66.534,12.09,1006.08,174.46689835884672,909.6584086897676,174.93941628794667,915.5545021176001,99.8,100.66
7,67.148,14.85,1006.09,174.64650815933203,909.2159762124728,174.60268387556553,908.6907458011478,99.68,100.84
8,67.152,14.85,1006.09,174.65099883157342,909.1189075693015,174.61999300329174,906.7622700825635,99.6,100.93
9,68.373,19.25,1005.84,174.9349276027677,908.2867959515871,174.98815212193364,902.4162596137128,99.44,101.1
10,68.374,19.25,1005.84,174.9396205790958,908.2199703265725,174.9878714269765,897.1237978187773,99.36,101.16
11,68.784,22.04,1005.55,175.11986708410387,907.5901465419289,174.58030684855916,888.8902881376854,99.25,101.25
12,69.501,24.84,1005.19,175.30671926585944,906.850680156331,175.3079629869777,903.0470399367425,99.04,101.38
13,69.503,24.84,1005.19,175.31275809380827,906.7926706805697,175.29765429474858,907.2708434650854,98.94,101.43
14,70.622,27.66,1004.77,175.496147628299,906.0678867502148,175.6783210267264,908.651603476739,98.81,101.5
15,71.133,30.5,1004.32,175.68842592749576,905.2920062057325,175.6886684667863,941.4543594711431,98.56,101.59
16,71.136,30.5,1004.32,175.69765525173057,905.2308824272403,175.75482370620392,903.4602892743793,98.41,101.64
17,72.463,34.93,1003.55,175.9901055445847,904.0631564774664,175.85702864957145,909.0184930924274,98.15,101.7
18,72.466,34.93,1003.55,175.99760362947933,904.0348217297826,175.99231930108968,948.4973258281793,98.03,101.72
19,72.47,36.14,1003.34,176.08323280120595,903.7107683877625,176.1199478755256,903.885309287528,97.87,101.74
20,73.587,40.56,1002.53,176.37792987528496,902.5729185500749,176.4090481355482,910.9184773597211,97.58,101.76
21,73.895,40.56,1002.53,176.38870013145362,902.5621947544668,176.31538505428588,958.6595257454815,97.41,101.76
22,74.509,42.17,1002.23,176.5086419275837,902.1644216549442,176.61301907826407,904.1080166653561,97.11,101.74
23,74.513,44.98,1001.7,176.6931435358204,901.4710205547376,176.52563170130244,894.5147709252329,96.98,101.73
24,75.847,47.8,1001.16,176.8817726066618,900.7937009104803,176.8724737967548,936.8124784066403,96.8,101.7
