,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,24.91,200.0,1239.49,189.64209020065312,1074.671605701016,189.79067936928735,1075.195794469256,20.0,180.0
1,25.321,200.01,1235.5,189.67666968739252,1070.9271572800833,189.6701173361953,1054.3541173192234,20.0,179.81
2,25.829,200.01,1235.5,189.67451186989706,1071.1637433184528,189.6685326361836,1075.6678577659695,20.0,179.57
3,26.341,200.01,1233.87,189.68531049968698,1069.9808283329191,189.2725056348734,1082.9043956365142,20.0,179.14
4,26.846,200.01,1231.82,189.7010109912594,1068.2656692976705,189.9121501470737,960.0652657242358,20.0,178.83
5,27.049,200.01,1229.78,189.7173060197751,1066.491451536298,189.74779085232984,1060.0279542479507,20.0,178.59
6,27.557,200.01,1227.74,189.73301852858913,1064.7863126937723,189.688619602963,1059.1301935809288,20.0,178.28
7,28.068,200.01,1226.11,189.74513234444294,1063.4754802062903,189.97397677005753,1062.9824002475316,20.0,177.98
8,28.472,200.01,1226.11,189.74230615516393,1063.7810083377121,189.63072826409015,1066.0111189468557,20.0,177.67
9,29.184,200.02,1221.62,189.78172716189619,1059.594241443393,189.81386630754406,1053.9631536551865,20.0,177.43
10,29.998,200.02,1217.55,189.81639073809862,1055.889097064649,189.88143324740435,1066.7151963669535,20.0,177.12
11,30.0,200.02,1217.55,189.8136160992367,1056.184706052876,189.55252198528947,1037.5666353030415,20.0,176.82
12,30.912,200.02,1215.51,189.82963789722834,1054.4800616417554,189.82970685707366,1058.1005243614595,20.0,176.51
13,31.217,200.02,1213.47,189.84524629100014,1052.8247635765413,190.94420884311896,1052.3759573044383,20.0,176.15
14,31.522,200.02,1211.84,189.85754450227148,1051.524227205441,189.9520324741452,1049.0769285958072,20.0,175.84
15,32.334,200.02,1209.8,189.87380233581075,1049.8099580400253,189.89444700702649,1087.0917177614117,20.0,175.54
16,32.841,200.02,1207.76,189.89058284674297,1048.0465167634497,189.6844267698073,1049.7179057594108,20.0,175.29
17,33.349,200.02,1203.27,189.92998938008145,1043.9288886222087,189.937985381198,1048.6662861491639,20.0,174.98
18,33.856,200.02,1203.27,189.92715080821876,1044.2243956640737,189.98412570065395,1090.6666160240252,20.0,174.68
19,34.364,200.02,1201.23,189.94354202245023,1042.5203403291468,190.04017438688558,1042.3567480658164,20.0,174.37
20,34.872,200.02,1197.57,189.97610363869092,1039.1518820653696,190.00564811479612,1047.2249391553703,20.0,174.13
21,35.583,200.02,1195.54,189.99255956443682,1037.4579310988952,190.29593877449517,977.9247381469966,20.0,173.82
22,35.888,200.02,1193.5,190.00868475389257,1035.803457225356,190.15165839986287,1033.9674050439671,20.0,173.46
23,36.398,200.02,1191.47,190.0252473299094,1034.1096763883413,190.00717482064536,1027.4117439548015,20.0,173.15
24,36.907,200.02,1191.47,190.02235460329797,1034.4050970485403,190.00543104689532,997.2803386492311,20.0,172.85
25,37.211,200.02,1189.84,190.03509497496168,1033.1052658853307,190.02865943310692,1034.0689350389082,20.0,172.54
26,37.516,200.02,1187.81,190.05184120484273,1031.4017768551691,189.95569960876202,1037.5268883173683,20.0,172.24
27,38.433,200.02,1185.77,190.06922655496578,1029.6393003377445,190.0478999764227,1015.1439853822335,20.0,171.99
28,38.941,200.02,1183.33,190.09008954576132,1027.5323303916036,190.0021413786177,1017.1241440085714,20.0,171.69
29,39.348,200.02,1181.29,190.10701806515755,1025.8291322145224,189.88425065805976,1020.8138642471552,20.0,171.38
30,39.856,200.02,1179.26,190.1240028898581,1024.1260238857326,189.83032003978465,1025.7165258701586,20.0,171.08
31,40.566,200.02,1175.6,190.1576476002133,1020.7692948458039,190.14508455347507,1026.2191448480048,20.0,170.83
32,40.567,200.02,1175.6,190.15339282513503,1021.1925579438972,190.11060393712887,1024.6929505451283,20.0,170.4
33,41.08,200.02,1173.56,190.17063159831713,1019.4798536508703,190.11218576164103,1024.6734773666935,20.0,170.1
34,41.59,200.02,1171.52,190.1884262835834,1017.7180303502537,190.13656104363528,1014.3069830580558,20.0,169.85
35,42.007,200.02,1171.52,190.18543963776392,1018.0133011410019,190.12670112463582,1040.4055585653,20.0,169.55
36,43.019,200.02,1165.8,190.23956629036462,1012.6890114936568,190.30701116839535,996.9611010882279,20.0,169.24
37,43.021,200.02,1165.8,190.2364493960211,1012.9940756490137,190.41167224717032,1010.2463841060528,20.0,168.93
38,43.533,200.02,1163.75,190.25467460216794,1011.212937021674,190.2162730957665,1003.9118533602714,20.0,168.69
39,44.447,200.02,1161.7,190.27225559388455,1009.5007789992042,190.2275616835014,1011.8136045492407,20.0,168.38
40,44.859,200.02,1159.24,190.29416341165916,1007.3754741902345,190.34731329771876,1002.6255815862106,20.0,168.08
41,45.574,200.02,1155.16,190.3326229458978,1003.6663850602949,190.31586992898843,1006.9042021341469,20.0,167.77
42,45.68,200.02,1155.16,190.3294497682882,1003.9713593524468,190.44499395263924,994.013121841808,20.0,167.46
43,46.592,200.02,1153.1,190.3481070056264,1002.1809092174924,190.4031728824385,998.7086573501792,20.0,167.22
44,46.998,200.02,1151.47,190.36168038987603,1000.8824076783446,190.72767197181574,996.0227423426962,20.0,166.91
45,46.999,200.02,1151.47,190.35725489102373,1001.3053982177465,190.58182405866106,988.6011560686885,20.0,166.48
46,47.608,200.02,1147.38,190.39701217373175,997.5183707581531,190.36988503636286,1001.6140678111055,20.0,166.24
47,48.425,200.02,1145.33,190.41507961170402,995.8069895316058,190.44392350350378,1032.0443076704175,20.0,165.93
48,48.939,200.02,1143.7,190.42882742226544,994.5087665777512,190.23634587328775,995.8757786749885,20.0,165.62
49,49.556,200.02,1141.65,190.4470044691854,992.7975604321358,190.53972663329216,978.8746381448028,20.0,165.31
50,50.072,200.02,1139.61,190.46587436560566,991.0274526974517,190.46484954094572,986.7844521247961,20.0,165.07
51,50.58,200.02,1137.56,190.48417944974193,989.3164510913583,190.36881314399707,985.0081631662545,20.0,164.76
52,50.991,200.02,1135.52,190.5025479581916,987.6055508146964,190.44850888711318,978.4688244486869,20.0,164.46
53,51.6,200.02,1131.01,190.5471490347805,983.4762122186789,190.35252424176696,977.3621543777004,20.0,164.15
54,52.111,200.02,1128.97,190.5656295235737,981.7754923097235,190.39631311625632,977.6503705927072,20.0,163.84
55,52.526,200.02,1128.97,190.56295497601985,982.0212547597939,190.18079373517634,982.0304476471644,20.0,163.59
56,53.039,200.02,1127.33,190.57730621384047,980.703993058048,190.7214092316724,981.346900472996,20.0,163.29
