,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,58.259,200.0,2085.0,192.16502987028696,854.1808941904519,192.13782445463002,853.6240428231814,20.0,1250.0
1,58.889,200.0,2084.87,192.16502987028696,854.1808941904519,192.25595845888142,837.5437642946767,20.0,1249.87
2,59.2,200.0,2084.58,192.1630512890336,854.3177509568673,192.15355566412921,849.6185399818218,20.0,1249.44
3,60.222,200.0,2083.45,192.17549862669028,853.4575253637404,192.24699339923146,866.5605609085378,20.0,1249.19
4,60.228,200.0,2083.45,192.172101410459,853.6921283460447,192.40326177717247,950.3200818640123,20.0,1248.95
5,60.958,200.0,2083.03,192.1718183933869,853.7116787300033,192.1328170352868,860.4041718934332,20.0,1248.51
6,61.37,200.0,2082.3,192.17946440691998,853.1838256788512,192.25289090316505,847.3094738436229,20.0,1248.32
7,61.99,200.0,2082.0,192.17762283542964,853.3109000241353,192.29825493591417,853.8347873070265,20.0,1247.89
8,62.005,200.0,2081.27,192.18442521171448,852.8417068248948,192.17770091044625,850.4920815502817,20.0,1247.64
9,62.807,200.0,2080.86,192.18768733681412,852.6168893471441,192.22006179058096,858.4658062828393,20.0,1247.46
10,63.331,200.0,2080.55,192.1849924142694,852.8026079345678,192.22953761395837,841.7571112375349,20.0,1246.96
11,63.643,200.0,2079.73,192.19393271978691,852.186811444533,191.83462450816458,833.5919772700304,20.0,1246.77
12,64.672,200.0,2079.0,192.20089522844302,851.7078729822803,192.067751238685,855.4990363658458,20.0,1246.53
13,64.679,200.0,2079.0,192.1946428212891,852.1379395966361,192.09005477308153,852.6148949886906,20.0,1246.09
14,65.406,200.0,2078.28,192.20231711076906,851.6101319852884,192.17646917907766,854.1860336673449,20.0,1245.91
15,65.815,200.0,2077.97,192.20046872738084,851.7371953836463,191.9515131665858,887.6314005017417,20.0,1245.47
16,66.547,200.0,2077.25,192.20715395297015,851.2778165205527,192.18313077755764,853.043370691795,20.0,1245.22
17,66.962,200.0,2076.83,192.20971616327176,851.1018872614487,192.38347742530615,846.1639382284077,20.0,1244.98
18,67.367,200.0,2076.42,192.20928905466457,851.1312086864165,192.17904859164176,807.028317658142,20.0,1244.54
19,68.097,200.0,2075.7,192.21698151478859,850.6034302775882,192.69025320461554,850.4293209047678,20.0,1244.36
20,68.508,200.0,2074.97,192.2238272753301,850.13430680099,192.22880252421245,858.4454618258045,20.0,1244.11
21,68.816,200.0,2074.97,192.21755170640836,850.5643361909783,192.2066914985139,906.1621566971886,20.0,1243.67
22,69.342,200.0,2074.25,192.22525442651647,850.0365742719545,191.9165579730874,851.974562829805,20.0,1243.49
23,70.074,200.0,2073.94,192.2261108747614,849.9779350077272,192.2093944302412,856.9071892473925,20.0,1243.24
24,70.79,200.0,2072.81,192.23611150941633,849.2938243034621,192.3292180630942,885.0459668579382,20.0,1242.81
25,70.806,200.0,2072.81,192.23253800522582,849.538146583189,192.27573134634636,850.5596048473499,20.0,1242.56
26,71.312,200.0,2072.4,192.23210932284405,849.5674654787578,192.32268642639454,843.2173429748873,20.0,1242.12
27,72.037,200.0,2071.67,192.23997320397598,849.0299599542999,192.1383303041222,834.3981249684736,20.0,1241.94
28,72.345,200.0,2071.36,192.24083168431065,848.9713239562336,192.17605753382423,838.3383260225495,20.0,1241.69
29,72.971,200.0,2070.95,192.2405455110233,848.9908692677441,192.1707153939289,843.7690704822136,20.0,1241.26
30,73.379,200.0,2070.22,192.24827681755255,848.4631532954155,192.40231839624983,850.1439092367034,20.0,1241.07
31,74.008,200.0,2069.92,192.24899316576182,848.4142914873606,192.26772174728538,842.7496627817774,20.0,1240.82
32,74.013,200.0,2069.19,192.25329298835283,848.1211234251862,192.11795464772618,851.788430902611,20.0,1240.39
33,74.933,200.0,2068.78,192.25558744275634,847.9647690794708,192.25273064057933,842.5610684799017,20.0,1240.14
34,75.662,200.0,2068.36,192.25530058968377,847.9843132983063,192.06849624398865,851.5593831468761,20.0,1239.7
35,76.384,200.0,2067.33,192.2675035172865,847.1537027600127,192.31878929530617,824.9834968037399,20.0,1239.52
36,76.39,200.0,2067.33,192.26391193765062,847.3979959853575,192.13643462152672,831.5744717912729,20.0,1239.27
37,77.322,200.0,2066.2,192.27397358322418,846.7139833497495,192.2888413255368,849.602164518815,20.0,1238.84
38,77.34,200.0,2066.2,192.27037827274108,846.9582705777185,192.8331158748087,839.4214744389169,20.0,1238.59
