,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
47,37.429,200.52,0.1,275.67771502869914,201.14680111798944,275.6741160832857,237.30809031522386,0.36,20.0
48,37.837,201.05,0.36,275.59734037536145,201.36009932456827,275.5080500382429,202.86321336181925,0.65,20.0
49,38.446,201.56,0.77,275.4726777778383,201.52860963148635,275.21237798236115,216.12706270041056,0.95,19.99
50,38.756,202.0,1.3,275.3161249779106,201.61722371860992,275.33955628378897,197.0140037422887,1.25,19.98
51,39.773,202.59,2.5,274.96900287329026,201.80845596753375,274.98562561508214,197.13571997723685,1.54,19.98
52,40.078,202.59,2.5,274.97208004998606,201.56849208147588,274.7805341707272,211.29551191053045,1.78,19.97
53,40.489,202.78,3.25,274.75915296261167,201.40438972375952,274.6422357644098,207.98655450240594,2.07,19.96
54,40.897,202.87,4.05,274.5313266510385,201.12867050721536,275.19014285920423,196.65105374586244,2.37,19.94
55,41.611,202.87,5.05,274.2505199635798,200.76219390114267,274.2341482294591,200.75201282083142,2.66,19.93
56,41.816,202.77,5.9,274.0120224322259,200.2407116447602,274.027204831055,199.53113618976084,3.02,19.91
57,42.432,202.59,6.75,273.7724723584256,199.7127387023672,273.76718161246873,212.57064013297244,3.31,19.89
58,42.842,202.34,7.59,273.5357693460936,199.11902470632987,273.49724716516084,205.7342497901812,3.6,19.87
59,43.657,201.73,9.11,273.10654180226936,198.18122943407127,273.10200697495463,210.39903207082583,3.84,19.85
60,43.964,201.73,9.11,273.1024188472361,197.89003031987235,273.20549763801824,135.73324483553645,4.13,19.82
61,44.376,201.31,9.93,272.86690452230556,197.13673351255468,272.85852202381443,185.51704240040698,4.42,19.79
62,44.987,200.85,10.74,272.6329039262436,196.3572837966547,272.6946416911544,195.96199270908252,4.7,19.76
63,45.503,200.34,11.53,272.4035102919421,195.5320168156612,272.4788234224572,192.59701644397552,4.98,19.73
64,46.008,199.91,12.15,272.22068056113017,194.84633047609594,272.22911333754814,186.4567395847551,5.21,19.7
65,46.422,199.33,12.91,271.9942755603347,193.96748438849232,271.86157961192373,196.03376545683605,5.48,19.66
66,47.133,198.73,13.66,271.76599608162314,193.07170403764502,270.7334242132497,119.82918391712073,5.75,19.61
67,47.546,198.09,14.4,271.5388927296152,192.1392997280879,271.5882005673363,138.50676527880643,6.02,19.56
68,47.854,197.43,15.12,271.3127797709425,191.18018019658837,271.2370454789481,215.54027313916544,6.3,19.5
69,48.365,196.62,15.96,271.0463406095587,190.02168560456462,271.09319540107293,195.53372032308806,6.63,19.43
70,48.98,195.91,16.66,270.82144290693725,189.02942680969014,270.0822866084818,165.60440657037415,6.9,19.37
