,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,21.959,0.0,-250.0,0.0,250.0,0.022659298041335034,249.37467623239752,0.0,0.0
1,37.548,0.0,-249.38,0.0,249.39,-0.21874655007575003,267.32828735980974,0.0,0.01
2,52.942,2.01,-218.36,359.7740386684238,220.60171554183347,359.5137124228408,215.3931390421481,1.14,2.24
3,68.269,4.73,-187.01,359.6992217271608,190.49262479161757,359.5523990297477,204.7209020598108,3.73,3.48
4,83.387,7.42,-156.32,359.75266615180544,159.8414892948636,359.73145806636944,255.73612334472563,6.73,3.52
5,98.682,10.1,-124.29,359.93223714484066,126.83008870138033,359.9086893714876,134.2076045314684,9.95,2.54
6,114.286,10.59,-94.22,1.3427180726820467,95.16613105511856,1.3367300683871277,88.67631692932478,12.82,0.92
7,129.476,10.61,-62.63,4.5527834225509025,61.604384584216085,4.548050493040424,62.19275877578109,15.5,-1.22
8,144.757,10.61,-32.61,13.578109126192942,30.02929569603656,13.422104632013818,27.40648115083616,17.66,-3.42
9,160.279,10.61,-1.83,113.89180438474074,9.87627966392204,113.82318433138053,3.414118275808951,19.64,-5.83
10,175.592,10.61,28.31,163.40477435116657,38.51425839867619,163.5743454498989,26.466313871684306,21.61,-8.6
11,190.772,10.61,59.13,169.7315803227454,71.7491749081479,169.7000628588115,91.72543659338442,23.4,-11.47
12,206.995,10.45,89.92,172.0654298581719,105.25769995587021,172.02454337808126,109.47093535462497,24.98,-14.33
13,222.513,9.95,121.43,173.2101529157635,139.73,173.52686136061965,140.2657535125005,26.47,-17.32
14,238.242,15.54,150.16,175.8842972974349,170.96088236786798,173.87408045439196,168.08754172232517,27.81,-20.36
15,253.645,24.99,179.44,178.86004824156026,203.07019106702984,178.8697937579954,240.63940505853498,29.03,-23.59
16,268.959,35.23,209.32,181.22343698449754,235.1135980754835,181.04182809120638,237.08815456254024,30.21,-25.74
17,284.345,45.04,237.83,182.74203000023704,265.263713500358,182.65735643326067,259.7942326171896,32.35,-27.13
18,299.53,55.26,267.49,183.9082203557042,295.92817794187835,183.9078143594866,250.21490455876307,35.09,-27.75
19,314.833,65.03,296.68,184.66302564302583,325.3569130969865,184.56012520985496,325.5526962842167,38.58,-27.6
20,330.832,75.04,327.45,185.35246813347248,355.8014033137025,185.38359002355008,346.67729377143166,41.85,-26.8
21,346.459,84.35,355.21,185.94401104633448,382.97906209086676,185.98574774463194,326.0287184308864,44.69,-25.71
22,362.354,98.66,382.61,187.1447742306325,410.0439727638976,186.4990736245046,412.21015631972455,47.66,-24.25
23,377.971,117.45,408.75,188.7728254410979,436.2133342757876,188.61475051895482,443.8471111812463,50.92,-22.36
24,393.998,135.55,433.68,190.20289837159515,461.45718457945804,190.20794015721563,498.88445627243493,53.81,-20.48
25,409.716,154.42,459.0,191.55622951886085,487.2471949637063,191.42892277045348,488.39241659505643,56.81,-18.37
26,424.804,172.45,482.93,192.73052093512564,511.7399520264174,192.72935418935532,504.7335004382188,59.68,-16.23
27,440.621,191.07,507.64,193.84693750267752,537.3357594651598,194.1476104515027,521.4974266212992,62.47,-14.08
28,456.323,209.64,532.95,194.85606852212464,563.7856916417799,194.7595772876038,575.3945501667081,65.09,-11.99
29,471.741,227.81,557.75,195.74613837084354,589.699335085262,195.85393255564927,583.9200613434872,67.78,-9.82
30,486.839,249.98,580.24,196.99042717049812,614.7935296504022,196.9919075045607,612.9132857582258,70.33,-7.72
31,502.327,276.27,599.13,198.5696364783433,637.637104629271,198.57755307991127,643.8988067611867,73.21,-5.31
32,517.704,302.69,617.64,200.08071687851185,660.9704892807242,200.15756434571557,665.0475853457488,75.75,-3.15
33,533.203,328.41,635.65,201.4476806364963,683.9846740973076,201.40073840861356,689.9622433561742,78.31,-0.97
34,548.912,353.77,653.41,202.69470615589898,706.6752182580057,202.4811723547218,710.6508687238137,81.12,1.45
35,564.526,378.14,670.72,203.80556273941988,728.8283644315719,203.83725295878324,705.1583933579095,83.96,3.9
36,579.71,403.73,689.3,204.90794714082344,753.297511279574,204.95805091928744,770.3853587095169,86.47,6.07
37,595.105,429.93,708.02,205.96935302269014,778.140046842469,205.98100760573197,774.9215102267867,89.19,8.45
38,610.819,458.14,722.13,207.25771915350597,800.5350580705382,207.18648942996444,808.8251623830638,91.5,10.49
39,625.908,487.6,731.53,208.81161941473636,820.8430063051034,208.28462488925587,818.1246853746834,92.01,12.3
40,641.936,516.99,740.53,210.39056457769934,841.8995287443746,210.36138099471074,847.3829628534912,91.08,14.31
41,657.957,547.2,749.77,211.9839720465552,865.1417101261503,212.17418350361964,861.3631026168306,88.95,15.96
42,673.253,577.39,759.0,213.48559877738705,889.8779092100219,213.50208656172322,901.0121920959778,86.42,16.82
43,688.442,608.06,768.71,214.93175872580613,916.78246852784,214.6316045412389,912.7373111524508,83.11,17.1
44,704.248,638.66,778.64,216.2749916008746,945.016939795261,216.2014514618719,939.411014912048,79.53,16.78
45,719.545,668.17,787.86,217.4716899965469,972.2876301280397,217.4839640256671,986.2896693627771,76.66,16.2
46,734.745,697.15,792.07,218.75127412475615,995.9088546649236,218.93537574087932,1000.6588055801006,73.77,15.39
47,750.141,727.87,792.21,220.1871544760593,1018.168007992787,219.88397217802816,981.5446778356155,70.86,14.39
48,765.64,758.79,791.88,221.5803265147206,1040.819413347003,221.5659582693979,1042.4384454968301,68.03,13.32
49,781.348,791.0,791.32,222.97399269780288,1065.0665581549351,222.96261170541652,1080.320783337827,64.98,12.05
50,796.424,822.45,790.77,224.279820369995,1089.7022757157113,224.25258795303802,1084.7866374447483,61.66,10.61
51,812.061,853.19,790.4,225.48970802174043,1114.4056360679444,225.5638054958248,1109.4166623049894,58.48,9.16
52,827.558,884.84,790.38,226.67395385257882,1141.0784857318097,227.17154578366768,1130.8157399058525,54.75,7.43
53,843.071,914.94,790.13,227.75383300647587,1166.5176783058198,228.01481597559635,1173.5119850677859,51.41,5.86
54,858.371,944.74,785.72,228.92034466331373,1188.8615603593212,228.95800603571578,1193.6446332962519,48.58,4.51
55,873.632,974.7,776.19,230.2429585259585,1209.3190077064035,230.24636151919526,1209.3300249446424,45.02,2.79
56,889.307,1004.37,766.55,231.50977386688473,1229.4395968895747,231.41358580099666,1228.673447156609,42.07,1.37
57,904.607,1032.74,756.94,232.70336258154725,1249.7406632177735,232.79326964841542,1263.2204631126779,38.56,-0.33
58,919.804,1061.68,746.98,233.8828351638341,1270.429635398986,233.90877230522966,1277.4585159552046,35.41,-1.86
59,935.41,1091.19,736.82,235.04825844421885,1292.3681663132993,234.9495986110085,1305.1929801890167,31.92,-3.56
60,951.151,1118.89,727.63,236.09772685353212,1314.2324537539014,236.93260901955733,1252.8465587542266,28.09,-5.42
61,966.597,1148.92,717.82,237.18695656266388,1337.7940566843613,237.1726627508807,1350.0056161278328,24.58,-7.13
62,982.223,1176.06,706.04,238.24309943875002,1357.9855946584998,238.20692560161226,1357.5583656694953,21.38,-8.69
63,997.311,1202.28,687.48,239.49287211499114,1374.8569251016631,239.73775550285043,1371.7086292312815,17.75,-10.46
64,1013.013,1227.8,668.9,240.6965463040516,1390.9916031378477,240.68060105915538,1382.113965910807,14.8,-11.9
65,1028.823,1252.37,650.46,241.85108277896728,1408.4559590203735,241.83849087439958,1410.6778959060146,10.5,-14.0
66,1044.726,1277.58,631.47,243.00805206607566,1426.150075693298,243.02546486846447,1497.8701838581717,6.78,-15.81
67,1060.131,1302.29,612.85,244.11422310898288,1444.0244888851435,243.9392564638345,1390.6681406682571,3.15,-17.58
68,1075.737,1327.58,594.32,245.19907123054944,1463.310096527732,245.1866232501014,1438.2581700620397,-0.77,-19.49
69,1091.336,1351.39,576.94,246.19206924953863,1481.8716439017248,246.18341177758955,1475.9991148197396,-4.38,-21.25
70,1106.741,1375.46,556.35,247.27679522891597,1499.9755166668554,247.38323887372755,1475.8521243782957,-8.09,-23.06
71,1122.036,1394.41,530.49,248.4499408223331,1511.595024403031,248.62298788447046,1512.7205165686403,-11.52,-24.74
72,1137.416,1411.23,506.5,249.51112251731965,1522.5460248544211,249.3448257302766,1525.6927042662614,-15.0,-26.43
73,1153.123,1429.34,480.64,250.63406047773643,1535.583384254987,250.690422948276,1529.8998530626172,-19.36,-28.56
