,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.077,0.0,-250.0,0.0,250.0,-0.09457744933427364,250.51370395729873,0.0,0.0
1,37.514,0.0,-250.0,0.0,250.0,0.026596501377400137,234.08600674270028,0.0,0.0
2,52.975,1.18,-228.38,2.0761153171262237,232.42256624519055,1.9781300453055304,228.03705263095668,9.6,3.89
3,68.311,4.0,-195.33,8.163303970020223,190.3588343103624,8.58269269758868,177.90461848333473,31.03,-6.9
4,83.926,7.02,-160.86,17.48078810247553,146.41162146496433,17.22863582615971,46.81889554729153,51.0,-21.21
5,99.14,9.96,-126.25,33.82488087604397,107.2654473723948,33.83563742363918,100.98930410560868,69.67,-37.14
6,114.431,10.63,-92.48,41.142540972531265,62.11863890975075,41.16682362436597,56.62045388501023,51.5,-45.7
7,129.886,10.64,-58.18,47.02960675284979,21.962372367301306,46.97141385219014,22.44561724947181,26.71,-43.21
8,145.584,10.64,-24.51,212.79142023028393,17.153439888255647,212.91362727110257,14.974389661092122,1.35,-38.93
9,161.608,10.64,10.01,215.96279825110915,35.87849634530411,215.9097061972659,41.35253836135278,-10.43,-19.03
10,177.611,10.64,44.75,213.83947833521017,46.7974411693631,213.87008894127072,57.25399360678275,-15.42,5.88
11,193.944,10.58,78.57,214.27274586344436,54.81830807312461,214.22726403806539,72.66305424105602,-20.29,33.27
12,209.441,10.05,111.73,213.25201579589822,63.48451937283609,213.27590499868006,67.01430125982223,-24.76,58.64
13,224.856,14.65,146.13,214.65600708891287,76.83134841976937,214.38798180996125,76.39145842263567,-29.04,82.93
14,240.745,24.44,176.82,216.85962475243107,89.23800143436651,217.0034472352796,91.62841705717467,-29.09,105.42
15,256.149,34.65,208.1,201.0516850793872,116.08809413544525,201.10953400612968,151.35056182084895,-7.05,99.76
16,271.663,45.9,240.93,191.90326561461012,157.56815160431375,191.75794616984135,155.93350254509625,13.4,86.75
17,287.067,56.69,272.28,186.38586883650856,200.85623639807648,186.3033387935102,205.4673290983197,34.35,72.67
18,302.569,68.11,305.87,182.99588103587155,247.58838038163262,183.08011879275358,203.8796989154882,55.17,58.62
19,317.898,78.59,338.04,180.65310448858378,293.01903624167494,180.60358105982942,292.85860921457737,75.25,45.04
20,333.191,90.02,369.52,181.04671670404298,343.77736516530575,180.9720254373006,351.6001966825955,83.74,25.8
21,349.231,109.03,397.25,185.02007796600697,395.4067426081655,185.8418285759584,339.71535450265253,74.43,3.36
22,364.227,129.47,425.41,188.53379150581202,449.4156981014349,188.33950983194714,451.2108902001147,62.78,-19.03
23,379.636,149.13,451.95,191.22194260407923,501.8755097631284,190.99169640295702,495.3737464934689,51.46,-40.33
24,394.728,169.9,479.53,194.30409806655,549.9288602173921,194.29037827537562,514.811657759573,34.03,-53.35
25,410.452,190.43,506.76,197.87715280176724,592.487121210242,197.95575846918828,591.5434748326467,8.55,-57.12
26,425.747,210.83,534.57,200.90587262440278,636.234660640239,200.85643197095354,630.2843935036864,-16.2,-59.78
27,441.252,230.84,561.82,203.53560892400466,680.8592679842142,203.54517383835307,694.8058986130461,-41.04,-62.4
28,456.571,256.13,584.69,206.38769605572006,725.2676510089224,206.33293844425407,715.2100086321178,-66.21,-65.01
29,472.156,283.14,603.91,209.16708305180214,767.87482899233,209.1749838381056,772.7544400919701,-91.09,-66.6
30,488.067,311.43,623.72,210.82212133377223,779.0981579364695,210.85018555133615,777.5424032435573,-87.76,-45.34
31,503.263,339.9,643.66,211.7234227755837,786.8480740905451,211.92849227159232,781.5488817184159,-73.84,-25.63
32,519.493,368.15,663.54,212.53160103941278,792.9118551264069,212.39282130307174,789.4985084713819,-58.25,-4.96
33,535.21,395.02,683.02,213.2390933695106,799.1841017562849,213.3835230451024,804.2359668620669,-43.04,14.59
34,550.501,423.81,703.67,213.992046820161,806.1847274663543,213.98356538374674,802.8580467196166,-26.91,35.25
35,565.589,453.44,720.48,214.9480731344466,812.801189037024,214.96669578489687,834.1958634020517,-12.16,54.25
36,581.068,485.53,730.89,216.31299057851587,815.4565201161862,216.3152098594436,830.5709996688166,2.62,73.8
37,596.364,518.77,741.07,217.37077767217644,822.2474189682811,217.36022358634747,819.5648926561053,19.69,87.61
38,611.547,551.14,750.97,217.1713418142663,851.5217851000642,217.16035831479343,858.6034754915387,36.65,72.45
39,626.949,582.81,760.65,216.9130048133426,885.2122505365592,217.44296536774516,887.4718147778614,51.15,52.88
40,643.595,615.65,771.16,216.5460416010123,921.7447244221146,216.22966311010936,926.3678957389733,66.78,30.65
41,658.875,648.69,781.84,216.5397167027799,962.393980134955,216.5157948561092,959.2353968066175,75.7,8.61
42,674.29,680.96,791.24,217.5330524060624,1012.4438141941508,217.5021178980965,1022.07162294328,64.16,-11.63
43,689.38,713.8,792.45,218.8788267814234,1058.1583694797296,218.34422307910845,1061.5444216636686,49.62,-31.3
44,704.99,749.19,791.97,220.27864390777,1105.9767348366784,220.37514767280365,1110.7060036081423,34.17,-51.79
45,720.379,783.92,791.36,221.1961732515906,1146.5609606558214,221.14643688908444,1158.80662099694,28.75,-71.38
46,735.663,816.88,790.79,221.36010641342722,1161.0355350289672,221.2904569878026,1157.0452823206876,49.68,-80.65
47,751.269,850.67,790.42,221.92178550710878,1169.0493356569687,221.95547655791975,1134.7535796600353,69.61,-79.42
48,766.978,885.45,790.41,224.25485587345915,1192.9334537181862,224.3554969736029,1191.595791913851,52.96,-64.02
49,782.678,920.86,790.03,226.49467192008822,1228.301778106667,226.3369119741095,1214.8982191186112,29.96,-55.56
50,797.759,952.64,783.19,228.6067007270039,1260.8432681741217,228.68812772623127,1264.9761284506583,6.77,-50.51
51,813.377,983.98,773.07,230.21896033727313,1300.8407352939098,230.44261290451314,1296.6446868220637,-15.71,-59.28
52,828.478,1015.53,762.82,231.86283629610392,1323.2856653799283,231.85044698925478,1332.1277407819719,-25.28,-54.37
53,844.169,1049.01,751.42,233.2686129175141,1318.7378534416914,233.16152833321146,1324.6774712745307,-7.89,-37.27
54,859.57,1081.89,740.1,234.50070819157494,1313.4998020936282,235.43738307721952,1309.4810582858208,12.54,-22.64
55,874.757,1115.45,728.74,235.74955116865672,1309.568349686262,235.73280741162444,1309.5773673252613,32.98,-8.3
56,890.341,1147.61,718.25,236.93825803895368,1305.8011769790987,236.86192406121862,1306.4310888378739,53.24,5.88
57,906.161,1178.66,704.09,238.2433053791466,1299.2261998589777,238.3595622105804,1310.9915472191897,73.94,20.29
58,921.861,1206.7,684.07,240.1829034984845,1311.7998370559437,240.13865443917896,1317.769774007721,68.56,31.8
59,937.765,1234.08,664.18,241.78577409281414,1349.431187908446,242.34592423693812,1338.2660258994204,44.98,26.21
60,952.959,1260.61,644.36,243.1804969482367,1388.665573743369,243.2545197646737,1328.149556873835,21.32,17.82
61,968.561,1288.38,623.43,244.54972278352892,1428.8584955831,244.47727900037856,1418.2530022777062,-1.82,9.41
62,983.638,1315.44,603.14,245.80855906893566,1469.4227325381896,246.14140232999495,1469.072173443462,-24.94,0.99
63,998.951,1343.51,582.69,247.01908970136623,1511.0223074461871,247.01745981919356,1513.6453134753838,-47.59,-7.25
64,1014.544,1370.08,562.26,248.14644271736194,1552.645789418823,247.86915880795425,1560.2491083655561,-70.99,-15.69
65,1029.842,1390.61,535.69,249.3820060612784,1585.8663366437916,249.3962928117102,1587.7082991296038,-93.68,-22.75
66,1045.016,1409.68,508.61,251.07043122318956,1581.7543301663504,251.12213230866354,1509.808968629668,-86.53,-4.52
67,1060.822,1428.58,481.62,252.52842177198985,1567.4843224096373,252.45367367719493,1619.3045850244514,-66.59,11.01
68,1076.227,1449.01,452.44,254.06720451883837,1555.245792439253,253.99525874047714,1532.5070929003575,-46.49,25.51
69,1091.004,1468.96,424.33,255.56068226797402,1544.8688919452034,255.56478201014784,1549.8294749226698,-27.11,39.11
70,1106.405,1488.44,397.51,257.04615060032995,1533.7730796959502,257.0053408007697,1555.6078067772207,-6.3,53.69
71,1121.913,1508.05,370.0,258.5839336205605,1523.5013922212213,258.6315537641249,1522.5741078298806,14.69,68.45
72,1137.1,1522.87,340.34,260.1853000778748,1510.3045197906279,259.6786873524675,1512.9261565598501,34.67,82.89
73,1153.105,1532.97,308.13,261.9314261755166,1493.393412400095,262.29590230084494,1498.1899597915985,54.36,98.52
74,1168.619,1543.13,274.9,263.61520055879555,1516.2948844139785,263.51431928058724,1502.8499031293263,36.24,106.28
75,1183.313,1553.03,242.52,264.8249630240207,1546.1423987459887,264.41441675175065,1551.3489428274163,13.19,103.06
76,1199.102,1563.17,209.36,265.96419252057603,1579.286218327761,265.6937917330151,1578.3129540339205,-12.2,98.21
77,1214.291,1573.64,176.52,267.0496270900574,1611.9766891924958,266.99856665315735,1615.0157635709552,-36.2,93.55
