,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.518,1000.0,1000.0,225.0,1414.213562373095,224.96506415676419,1413.6016620426453,0.0,0.0
1,37.601,999.98,1000.17,224.99598949596583,1414.2842765158637,225.23655912017344,1396.657082847441,0.0,0.05
2,52.89,988.06,982.17,225.25695351302474,1392.2436132013677,225.24158621215753,1387.1399401156832,-0.81,2.13
3,68.405,987.39,951.07,226.26311182585744,1370.3523722751022,226.25098066893872,1384.3236830848293,-2.72,3.68
4,83.61,987.38,921.11,227.27756980075304,1351.0260400525224,227.29435408142427,1446.0644323756158,-5.15,4.51
5,98.706,987.38,890.51,228.33810884540588,1332.5338151431654,228.16707903943205,1325.3008002258184,-8.13,4.73
6,114.007,987.38,859.88,229.41217498257308,1314.9294296653338,229.40018266876007,1308.5681688911072,-11.19,4.37
7,129.116,987.38,829.26,230.49761274248053,1297.9036958495803,230.48927559430345,1297.3279588215437,-14.08,3.65
8,144.919,987.38,798.67,231.61313304397314,1282.5134846854437,231.71660858709933,1279.9453795115105,-17.9,2.27
9,160.214,987.38,767.23,232.7666786367886,1266.613479677206,232.93580746946319,1272.9475901423318,-21.07,0.85
10,175.813,987.38,736.01,233.930027905727,1250.9239123543846,233.76758019098912,1262.748795208003,-23.74,-0.5
11,191.934,987.38,704.58,235.13001644746788,1236.5752235104826,235.18455836110925,1216.9380353153315,-27.17,-2.39
12,207.374,987.38,674.76,236.2897966027984,1223.2415892619085,236.65382340293203,1227.368836914665,-30.18,-4.13
13,223.115,987.38,643.27,237.5384679042015,1210.0238068732367,237.52400000862812,1210.5480444494779,-33.58,-6.19
14,238.522,987.38,611.05,238.8426296698486,1196.7170998193349,238.7864757917204,1199.5307143599903,-36.71,-8.12
15,253.818,987.38,580.28,240.1136273358662,1184.3505148814686,240.07030285631305,1147.319842907885,-39.47,-9.86
16,269.225,987.38,548.69,241.4432691725139,1172.77482681033,241.36373232397037,1170.8418360281285,-42.72,-11.93
17,284.31,987.38,518.72,242.726843212841,1162.6831439820567,242.74603906645157,1168.0428430429774,-46.05,-14.06
18,299.715,987.38,487.9,244.07353914197998,1152.0132756613527,244.05947385378045,1197.1164309285687,-48.69,-15.78
19,315.011,987.38,456.31,245.4793319669963,1141.6758981865212,246.3667065827011,1141.4843446801744,-51.33,-17.51
20,330.395,987.38,425.34,246.88315781305397,1131.9702746980593,246.91627503331833,1123.0210573409774,-53.7,-19.08
21,346.014,987.38,394.56,248.29508303533433,1123.580948263186,248.22677565717714,1067.3223602181336,-56.54,-20.97
22,361.787,987.38,363.77,249.73067803688716,1115.6256055236452,249.36756894340357,1117.7463133336753,-59.16,-22.72
23,377.276,987.38,332.36,251.21454665487815,1108.2978650164405,251.18135493708917,1115.782601515983,-61.88,-24.54
24,392.69,987.38,301.59,252.68891490035531,1101.6616965747696,252.7318015048161,1064.7716163582652,-64.38,-26.22
25,407.992,987.38,269.98,254.22009997434424,1095.6720978467965,254.13605426384092,1096.7929224114644,-67.0,-27.98
26,423.371,987.38,237.78,255.79983149884382,1090.170566700459,255.79371173659996,1083.3019922663261,-69.48,-29.65
27,438.195,987.38,207.73,257.2829818482615,1086.0107097998618,257.2809473951032,1101.5680579821508,-71.99,-31.34
28,454.209,987.38,176.06,258.85500929289833,1082.5047555091849,258.9604815222872,1093.897582060893,-74.71,-33.18
29,470.254,987.38,145.26,260.38950081071846,1080.0276908487115,260.43308591119535,1074.3639494944664,-77.49,-35.05
30,485.966,987.38,115.27,261.8934953910504,1078.1936829716635,261.88628552761725,1076.35307265442,-80.04,-36.77
31,501.977,987.72,83.71,263.48309668866125,1077.3916573372935,263.45213976389186,1071.2543535601617,-82.71,-38.57
32,517.378,988.24,53.77,264.9902126389278,1077.6869847038147,265.1196257620936,1073.6932507193596,-85.33,-40.34
33,533.191,988.79,22.21,266.5685002514306,1079.1047571945924,266.7329818663136,1084.963136796131,-88.38,-42.38
34,548.473,989.33,-8.72,268.11464653096346,1081.1652793629657,268.04504356191063,1085.059530435405,-91.25,-44.29
35,564.194,989.88,-40.1,269.66501802564403,1084.408533579481,269.6874717745432,1107.691605218548,-94.51,-46.44
36,579.305,990.41,-70.88,271.1826867836043,1088.1618154024704,271.4135428051571,1071.3730290866029,-97.52,-48.42
37,594.712,990.94,-101.02,272.66216023600197,1092.6492224863384,272.6412746429247,1095.8011764913774,-100.53,-50.27
38,610.121,991.49,-132.63,274.25236227660827,1098.7246474435713,274.4151622834445,1106.8542126860953,-104.21,-51.16
39,626.42,992.04,-163.99,275.86234502702246,1105.6523874165875,275.8476238630274,1108.3140824117722,-107.83,-51.06
40,641.784,992.57,-194.54,277.4369354755339,1112.7606215624276,277.0128830536953,1118.1340138656335,-110.83,-50.51
41,658.178,993.13,-226.67,279.09616580103,1122.1314897996579,278.9226517866835,1125.8325252577783,-114.89,-49.27
42,673.994,993.72,-260.32,280.8101341156182,1131.774363113072,280.74147887393997,1142.700290929872,-117.97,-48.05
43,690.022,994.29,-292.75,282.44070755849793,1142.0458457522623,282.49545218113053,1146.0082584031625,-120.94,-46.72
44,705.425,994.81,-322.88,283.9446772866047,1153.3917645362305,284.03144606867585,1147.8981598097566,-124.59,-44.93
45,721.137,995.35,-353.64,285.46709845887875,1166.807384018459,285.35119073014073,1153.058868536333,-129.2,-42.47
46,736.742,995.9,-385.1,286.98033819760997,1180.2008182508603,286.8977193420879,1175.547115655675,-132.85,-40.43
47,752.138,996.43,-415.85,288.4185470989273,1193.0451908456778,288.5490238355638,1156.9513324789837,-135.5,-38.9
48,767.222,996.59,-446.58,289.8369832435251,1207.0011236531639,289.8449843272353,1205.416346845493,-138.79,-36.99
49,783.036,996.6,-477.54,291.2371269029428,1221.8250197552838,291.28870784611775,1236.8068773863556,-142.25,-34.96
50,798.741,996.6,-508.32,292.59578350382935,1237.210109278129,292.4350914722682,1242.0263605797886,-145.64,-32.95
51,814.023,996.6,-539.1,293.9210385811151,1253.3131738316645,293.865495565464,1258.2013757042353,-149.06,-30.91
52,830.051,996.6,-571.3,295.26779675465,1270.166193259764,294.6038765083217,1280.2349010679277,-152.04,-29.13
53,845.649,996.6,-601.43,296.49534104764297,1286.500302370738,296.4189028414311,1279.6436549475084,-154.78,-27.49
54,860.843,996.6,-633.64,297.77389790175505,1304.9600731440025,297.73951927735095,1309.6462692458376,-158.02,-25.55
55,876.543,996.6,-664.39,298.961303302808,1323.5545450414954,299.2687138972261,1323.5437664793515,-161.44,-23.5
56,892.346,996.6,-695.96,300.1454683140505,1342.799366472892,300.0929613077243,1343.5491038556631,-164.59,-21.61
57,907.743,996.9,-726.7,301.2593532513206,1362.2519708923162,301.1798164816784,1375.4862595502543,-167.59,-19.81
58,922.825,997.42,-756.82,302.315012048543,1382.0729766549957,302.4235324186256,1375.182375341323,-170.6,-18.0
59,938.115,997.97,-788.43,303.39104000223017,1402.9612962587387,303.6416393810328,1390.3718130618654,-173.41,-16.31
60,954.246,998.52,-820.01,304.4324989156175,1424.9031330585249,304.4535918354771,1364.236383063833,-176.73,-14.32
61,969.535,999.06,-850.6,305.411510119827,1446.4705508927584,305.13574170501306,1434.4846548436772,-179.83,-12.45
62,985.158,999.26,-882.17,306.3938430097211,1470.7607665762641,306.4808250303822,1470.3427356033742,-184.64,-9.52
63,1000.668,999.27,-912.36,307.3086542145086,1494.1878101831778,307.26579219798356,1491.1047069610088,-189.18,-6.72
64,1015.86,999.3,-942.95,308.20669747422033,1518.2532206453573,308.24466766460523,1509.5462634205223,-193.72,-3.91
65,1031.444,999.79,-974.54,309.0946510248088,1543.7596264963013,308.2464614731122,1541.5842990420829,-198.33,-1.04
66,1046.527,998.34,-1003.39,309.95533292176583,1564.0692982729377,309.4759624746067,1493.1227111117146,-200.59,1.04
67,1062.145,969.46,-1009.49,310.8819773528105,1548.1059102012368,310.96136358054133,1600.7946286839242,-201.0,3.75
68,1077.233,939.34,-1009.65,311.72951964556864,1526.888791791989,311.7691963850693,1551.536821129695,-200.17,6.67
69,1092.892,908.51,-1009.65,312.6256584013769,1504.5653566728165,313.3312913130116,1498.8100822170131,-198.54,9.25
70,1108.401,876.95,-1009.65,313.5715465929994,1481.516772399152,313.5729615920753,1457.7859083379906,-196.43,11.5
71,1124.22,846.21,-1009.65,314.56565904410877,1458.8739184041917,314.5613217552541,1459.9754269190862,-193.16,14.08
72,1139.403,814.58,-1009.65,315.5809941958815,1435.8187821936306,315.51558945969015,1438.9003009757694,-190.35,15.87
73,1154.6,785.28,-1009.65,316.5567464019391,1414.6296237885024,316.4659358390129,1420.1993949991195,-187.47,17.45
74,1170.093,754.54,-1009.65,317.6197349387747,1392.645639421601,317.6202980150197,1407.6714574753792,-184.17,19.08
75,1185.804,722.96,-1009.65,318.73777777895253,1370.4951158249344,318.7192454552599,1376.5280095520902,-180.89,20.55
76,1201.402,690.55,-1009.65,319.90357441998435,1348.3814383178078,319.8957168812526,1349.5372179087233,-177.91,21.81
77,1216.715,660.63,-1009.65,321.0430929552216,1328.221040527517,321.0170198613664,1331.7844997013528,-174.47,23.2
78,1232.206,629.66,-1009.65,322.24092636733144,1307.993505985408,322.2229206092047,1304.6994080412233,-171.28,24.44
79,1247.832,598.25,-1009.65,323.4863948812041,1288.104905083433,323.49806206045554,1291.0767690807768,-168.19,25.62
80,1263.76,565.86,-1009.65,324.79947093811927,1268.302296142367,324.7872680808524,1266.8685784798308,-165.24,26.73
