,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.527,0.0,-250.0,0.0,250.0,0.06429667965383573,250.60907738282512,0.0,0.0
1,38.177,0.0,-250.0,0.0,250.0,0.03977115572598615,267.4321016596709,0.0,0.0
2,53.407,0.72,-234.0,359.8583785022785,234.65071681117874,359.6746622512505,239.7202137124926,0.14,0.65
3,68.977,3.62,-199.48,359.42569671231604,201.53012380286972,359.39701552506676,215.36242858271982,1.6,2.04
4,84.003,6.55,-165.9,359.131845398531,168.299319368796,359.11690357309453,261.05500154994354,4.0,2.38
5,99.431,9.61,-130.73,358.6749276096847,132.3253856975297,358.64601974279554,139.50368812979355,6.55,1.56
6,115.198,10.62,-96.28,358.9628158736286,96.12574941190316,358.8367468586956,89.81039685824513,8.88,-0.17
7,130.535,10.64,-61.68,0.3306237068976401,58.920980983008086,0.3405417457541319,58.34788943949865,10.98,-2.76
8,145.557,10.64,-27.8,5.1520817022062175,22.04908161352758,5.090625397573341,24.602886240689394,12.62,-5.84
9,160.756,10.64,5.16,167.694131942046,14.216645173879808,167.71999648015566,20.50511297240969,13.67,-8.73
10,176.169,10.64,39.89,175.77297258022082,51.96134428592086,175.68927405453087,63.67695769689879,14.47,-11.93
11,191.642,10.63,73.01,177.16743024242254,88.2277960735731,177.15341017714346,107.6363856767791,14.99,-15.11
12,207.881,10.12,108.41,177.65771648408673,126.74589539705023,177.83821086578845,130.84724345852848,15.3,-18.23
13,223.265,13.33,142.3,179.25889146177485,163.90371106231856,179.64860384130827,163.38186852498364,15.45,-21.59
14,238.884,23.18,173.65,182.2336050649974,198.8510812140583,182.271449986204,201.64870654948623,15.43,-25.05
15,254.299,34.42,207.22,184.65225530353501,236.22829656922983,184.69573547595576,199.78012997976526,15.26,-28.23
16,269.688,45.22,238.59,186.4028136211337,271.7953386281671,186.3038372401833,269.87252958621366,14.91,-31.51
17,285.221,56.76,272.11,187.845463125504,309.1537281030264,187.6870583136841,314.476958262712,14.56,-34.15
18,300.802,67.28,303.49,188.6563036017443,343.7051599845426,188.66186922834535,388.03010614082154,15.55,-36.3
19,316.82,78.04,336.56,189.13896584514868,379.2745037568436,189.2659809071478,379.08379249581753,17.8,-37.9
20,332.218,88.85,367.43,189.46369481408107,411.7438397839123,189.67609299489726,420.6195014740826,21.15,-38.71
21,347.937,107.44,395.3,190.8060187623716,441.74318387497505,191.00015865450783,496.9272778670967,24.62,-38.61
22,363.34,127.44,422.86,192.13085438583352,471.1506945765866,192.07199479093197,473.2600412970718,28.43,-37.77
23,379.042,147.73,449.97,193.41483433700006,500.2591485420332,193.19446097071403,492.8317651711399,31.67,-36.64
24,394.335,169.05,478.27,194.64762451887583,530.7393938648232,194.7316991112704,494.42856622472027,34.84,-35.22
25,410.026,189.93,506.03,195.75850897028783,560.9327037176563,195.77818640880906,562.0480699404773,37.59,-33.82
26,425.526,209.45,532.78,196.61226050464722,589.2755240971748,196.57945170584046,582.4579165287157,40.98,-31.9
27,441.346,230.47,561.27,197.51912407170371,620.2493164042988,197.61641964858714,604.8545012269635,43.76,-30.21
28,456.633,254.17,583.5,198.73751667586788,646.1350676909589,198.6519755504729,657.424302563177,46.61,-28.39
29,471.901,281.44,602.82,200.25374440722445,671.0413493220817,200.45565376046844,676.6658347247501,49.14,-26.73
30,487.181,308.71,621.92,201.6086914967744,695.0690104586737,201.46313146441108,693.238013387023,52.74,-24.3
31,502.307,336.99,641.71,202.9447431108351,720.7769714689836,202.92179401715302,714.6834013207248,56.0,-22.04
32,517.678,363.6,660.35,204.12147526972205,745.3644279813734,204.17243467187132,749.3333351058401,58.99,-19.93
33,533.426,391.64,680.54,205.27751728857075,772.430042010278,205.46089814455294,778.247345277368,61.81,-17.93
34,548.844,419.21,700.44,206.33261846423372,799.2443537492148,206.26973685880043,803.1145678350898,64.68,-15.87
35,564.636,448.85,718.83,207.48315030824287,825.5907317793727,207.50763615129227,848.5800381818921,67.85,-13.59
