,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.353,0.0,-250.0,0.0,250.0,0.244570494133589,249.684454297922,0.0,0.0
1,37.791,7.03,-238.57,358.74444205559973,241.8780734171661,358.7106683916408,228.15505918072174,1.73,3.25
2,52.918,26.38,-213.79,356.9124354043862,219.07801715370712,357.1748454745044,216.08366306296972,14.58,4.97
3,68.345,26.24,-175.96,0.8350897288078727,175.64865641387638,0.9338422421635879,165.5430365433089,28.8,-0.33
4,83.621,25.57,-137.33,7.423273262630715,130.57437459164797,7.457285423541437,307.8638686021577,42.44,-7.85
5,99.046,24.92,-100.11,14.23103870843137,86.31892782003261,14.2261101444945,90.80270663143736,46.14,-16.44
6,114.171,24.25,-61.56,11.808778853826382,46.177294203969986,11.832247567531883,42.320167048995685,33.7,-16.36
7,129.991,23.57,-22.38,3.088246145546023,15.963182640062724,2.5563483395324753,16.259746871224404,24.43,-6.44
8,145.31,22.91,15.42,210.51526643967702,12.269384662647104,210.47001123258684,13.673602324100901,16.68,4.85
9,160.511,22.23,54.14,203.3948081695421,44.47637575162797,203.38052435698492,40.63839037745013,4.57,13.32
10,176.022,21.58,91.6,203.50332636450645,76.77989645734097,203.47341007102426,68.61336967756132,-9.04,21.19
11,191.199,20.92,129.31,203.11637339430203,109.80643059493376,202.83653407831824,125.68559220524341,-22.19,28.32
12,206.701,19.94,167.46,202.60407638182326,142.3661592514176,202.5892937753128,140.00790541501723,-34.78,36.03
13,221.899,18.68,203.84,198.31189439985408,163.43637324659403,198.1547788354815,163.1667681069716,-32.67,48.68
14,237.148,18.8,242.06,193.16154395043992,186.5195038059023,193.17334814469186,184.97011510962315,-23.67,60.44
15,252.866,29.88,279.39,191.51839557627073,211.83624548221204,191.03781622060114,172.45588591564209,-12.42,71.82
16,268.973,41.75,315.98,190.37674793156424,237.34180857994662,190.4454035687438,236.30432831724107,-1.0,82.52
17,284.786,53.42,351.89,189.07207899960184,269.85568902656104,189.06854615229912,266.6896490239108,10.87,85.41
18,300.696,65.93,390.38,188.20035534303878,319.48664025276554,187.84970304407128,266.3168367578525,20.36,74.16
19,316.605,77.86,427.11,187.7888375572934,370.6394222151767,187.75073503937642,370.5419295999089,27.63,59.89
20,331.812,90.11,464.82,187.65847805567262,422.3069618180595,187.52601181060265,428.09234406868325,33.83,46.28
21,347.417,103.16,503.63,187.59313188576505,475.9433632271806,187.52589261461017,551.1009719316982,40.27,31.86
22,363.026,115.8,540.34,187.55427703693948,527.1351284063699,187.5621271409178,525.9905785635586,46.5,17.78
