,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,22.541,0.0,1000.0,173.65980825409008,905.5385138137417,173.6178996293803,906.1392421614919,100.0,100.0
1,37.833,0.0,1000.0,173.65980825409008,905.5385138137417,173.9248373343128,923.0641492703575,100.0,100.0
2,52.952,1.28,1003.03,173.79027468058229,907.3839683948576,173.62596566788923,912.4148797045661,99.43,100.97
3,69.423,37.17,1009.85,176.73812006829473,926.541094609408,176.73270478336903,940.4013743627071,89.89,84.81
4,84.875,75.79,1009.94,179.02522107842117,951.077639312375,178.5803188885548,854.125943128691,91.97,59.0
5,99.925,114.46,1009.95,181.1391893987896,974.2825693811832,181.11748093941267,981.4245892812328,95.09,35.86
6,115.462,153.97,1009.57,183.16846001301036,1000.6897129979902,183.28785344074595,1006.9666732519422,98.66,10.41
7,130.51,190.3,1008.94,185.47784353322191,1020.2091033704806,185.04873283235472,1020.7743083488687,92.91,-6.61
8,146.254,228.6,1008.27,188.93871279162636,1022.3462854630029,188.70721471470443,1024.8722040316848,69.75,-1.66
9,161.912,266.87,1007.6,192.46417372037126,1024.0046078997889,192.5314881468352,1030.2546431510534,45.86,7.73
10,177.679,304.01,1006.96,195.91663683991484,1028.958498920146,195.45882047303184,1040.673079591056,21.83,17.45
11,193.003,342.59,1006.28,199.39969764360617,1037.6745860335984,199.272480642813,1018.1284652732161,-2.08,27.52
12,208.745,378.97,1005.65,202.74608688566738,1049.2748538395456,202.7730640605536,1045.2097963222734,-26.73,37.98
13,223.823,418.34,1004.96,206.07045443130085,1065.6781493959609,205.5080772015367,1065.1635281963656,-50.0,47.71
14,239.233,456.97,1004.29,209.21570155677685,1085.3948732143522,209.30246120088333,1088.1628856976647,-72.81,56.97
15,254.542,493.83,1003.64,211.25224999559885,1115.1356661859577,211.28941274648056,1077.9776360180076,-84.71,50.32
16,270.285,533.67,1002.95,211.82422658204285,1146.904358915773,211.88047849431618,1148.8044789446596,-71.11,28.46
17,285.688,570.95,1002.63,212.25291615638568,1174.5172319723538,212.27288574713359,1169.2328294596052,-55.84,9.34
18,300.997,609.21,1002.63,212.6656317144565,1203.01528822372,212.7541502345422,1248.4105225490364,-40.1,-10.11
19,316.412,645.86,1002.63,213.00512951445205,1230.590469002584,213.09173747612604,1230.4024921583293,-24.46,-29.37
20,331.6,684.93,1002.63,213.42604924727112,1259.1578520979806,213.44203659217084,1268.0058355771546,-8.69,-48.26
21,346.892,721.49,1002.63,213.75641423061236,1286.1925278122246,213.80895869074095,1229.361640065132,6.8,-66.72
22,362.301,758.02,1002.63,214.02268442652723,1313.8378740544817,214.05184232034136,1311.7528635470346,22.9,-86.3
23,377.412,796.9,1002.3,214.70334119559632,1332.1682963124442,214.39651895513688,1324.7762965363445,38.46,-92.89
24,392.706,834.13,1001.66,216.48744834348486,1333.0436971832544,216.5075215801942,1370.058581977337,41.44,-70.09
25,408.026,872.22,1000.99,218.52126686948122,1336.3250027594333,218.4223622080732,1335.2240916773787,39.95,-44.52
26,423.537,910.81,1000.49,220.56766990304934,1341.8094774221859,220.67720489229012,1335.0292256282164,38.17,-18.8
27,439.274,947.53,1000.47,222.5477191013412,1347.537096558013,222.45027695513113,1332.0882588991929,36.32,7.72
28,454.868,984.89,1000.17,224.52323120364,1355.3938477431568,224.56845888354127,1366.6771236702812,34.49,33.82
29,470.354,1008.77,983.87,226.62156975734837,1343.100299940403,226.64784934521583,1337.514740585993,32.56,61.41
30,486.351,1009.81,946.79,228.69716002649292,1303.2868116036468,228.6979005287632,1301.4776581631552,30.74,86.57
31,502.071,1009.83,909.26,230.62277524908674,1282.5979140011107,230.64403409521287,1276.543021355137,18.4,95.55
32,517.478,1009.83,871.35,231.70011727183933,1283.3316723668904,231.49590216912037,1279.3985689201922,2.7,75.97
33,532.769,1009.83,835.19,232.58932699776116,1284.1471965861235,232.62008791589778,1278.3687759612937,-10.17,55.04
34,548.082,1009.83,799.02,233.47564409933523,1284.7373635494532,233.55367274346645,1280.902562712087,-22.59,34.39
35,563.794,1009.83,761.31,234.39834234380814,1285.6729491204208,234.36482907404329,1262.4531966097188,-35.53,12.86
36,579.0,1009.83,724.44,235.28562422163148,1287.565061229917,235.29161362729045,1304.248988538026,-48.55,-8.81
37,594.31,1009.83,686.55,236.238006670785,1288.056473063196,236.1842331364426,1284.9546623188228,-61.0,-29.28
38,610.123,1009.83,650.62,237.11176814553374,1290.8055907068267,238.25819640154037,1298.8383383485261,-74.1,-50.29
39,625.212,1009.83,611.76,238.00003445502574,1277.9694897766535,238.05020656052696,1280.5876841361264,-73.95,-65.46
40,640.623,1009.83,576.51,239.46532828053154,1235.9374970037927,239.42644856614044,1230.6395341002003,-54.71,-51.42
41,656.208,1009.83,539.58,241.34693484561703,1194.5448554575087,241.43529903516426,1190.9009330438926,-38.43,-33.21
42,671.301,1009.83,501.71,243.45317684228024,1152.688628598374,243.49600695689486,1141.8712026245948,-21.33,-13.46
43,686.82,1009.83,464.93,245.6466309195183,1114.454654842448,245.67180398424006,1118.3568068801446,-5.46,5.37
44,702.452,1009.83,427.01,248.05235356788427,1077.511851118121,248.00567057196935,1072.0948303202806,10.41,24.28
45,717.959,1009.83,389.13,250.64256215493947,1041.9948620314785,250.95843584560322,1055.6321959778104,26.74,43.75
46,733.858,1009.83,352.24,253.35642070264797,1008.5637773586756,253.37052489890837,1003.9781449962725,43.52,63.37
47,749.248,1009.83,316.07,256.20344062774046,977.502307976815,256.19060073905285,1013.7067239196343,60.53,82.96
48,764.336,1009.83,277.42,259.345334520454,950.0290758708388,259.1838688439911,948.4717608684198,76.18,101.77
49,779.746,1009.83,239.45,262.3292569137569,959.2438048796563,262.3484756852327,944.3716620539151,59.17,111.41
50,795.462,1009.83,203.51,264.5433591307134,979.2575589700598,264.5561773991655,984.0040101279496,35.01,110.39
51,811.389,1009.83,166.53,266.6631030443647,1002.6299190129927,266.636981295842,1007.447567745111,8.9,108.17
52,826.687,1009.83,128.58,268.73327299856487,1025.930721247785,268.4488826644424,1015.9679351668854,-15.85,105.9
53,842.189,1009.83,92.68,270.5826710504217,1050.2143057490696,270.1545655262793,1043.445890464747,-40.33,103.36
54,858.008,1009.83,54.79,272.44641730374144,1077.1917770295129,272.04623207333776,1081.8095538893026,-66.38,100.77
