,Time,Xu,Yu,Bs,Rs,Bs_n,Rs_n,Xs,Ys
0,23.752,0.0,0.0,95.71059313749964,502.4937810560445,95.33368824055904,502.2734759770377,500.0,-50.0
1,39.189,-0.75,1.09,95.71070646074492,503.08682322239366,95.71965801647218,515.8352909474746,499.84,-48.97
2,54.419,-7.85,-25.07,91.90301694359351,488.439389586876,92.01699185093428,486.1605665120123,480.32,-41.29
3,69.339,8.42,-54.7,88.35066417068269,448.88597260328817,88.32110583012218,439.9796680997385,457.12,-41.78
4,84.834,23.42,-27.14,92.23516124730645,408.4507614143962,92.20510880133808,716.3038910042427,431.56,-43.07
5,100.125,21.83,10.12,98.04804541035935,389.0618637183552,98.11760114778691,392.60619633538437,407.06,-44.35
6,115.789,23.18,46.81,104.4783236441375,369.97970606507596,104.52247943301377,372.9823394574166,381.41,-45.69
7,131.224,53.46,42.21,106.3994663944431,315.97493334123834,106.37079732346756,315.76803132237734,356.58,-47.0
8,146.497,30.29,19.94,102.74096645155828,309.32651438245637,102.74090818615142,308.30755841714495,332.0,-48.28
9,161.677,-4.49,5.43,100.02551445033208,316.1068479169662,100.02965305790059,319.0931406407064,306.79,-49.6
10,176.664,-38.17,-9.2,96.51066615864158,324.0196791863112,96.60808240300656,330.98406798715524,283.76,-45.94
11,192.294,-47.43,-39.22,89.13627270492255,309.13512514756394,89.09186380167196,293.97536958935126,261.67,-34.56
12,207.273,-16.87,-41.14,85.90947462787602,257.8067388568421,85.81795768110041,259.5694048971304,240.28,-22.75
13,223.076,16.79,-20.77,86.87750666324895,200.65790415530608,87.69693883291804,200.4700056536017,217.15,-9.84
14,238.11,49.36,-0.43,88.24206416298883,148.3198064993344,88.32816241573242,147.19017823839465,197.61,4.12
15,253.217,41.86,-12.82,78.65297108952808,172.654798079868,78.6506849546556,218.47730748109905,211.14,21.15
16,269.045,10.34,1.97,81.64184767545834,224.2012945992953,81.6599658749037,224.94488846402913,232.16,34.56
17,284.014,-18.28,28.26,85.9429796786932,272.6532321466225,85.88454951827462,275.07397156594885,253.69,47.55
18,299.411,-43.66,23.03,83.33871131682623,320.6043195279814,83.35119490774711,253.9689379170722,274.78,60.22
19,315.162,-20.72,-3.65,76.41098176365,326.5720407505823,75.36548934774555,326.63953137143295,296.71,73.08
20,330.961,10.61,-24.16,71.62500953071356,326.35988233850065,72.28538283172468,321.65076440349316,320.33,78.72
21,346.529,42.72,-45.08,67.76181544303131,326.90571500051817,67.54158119583855,429.93813459739016,345.31,78.64
22,361.812,76.72,-48.64,66.64058691030985,319.9766544609153,66.67671290458887,320.8000035828413,370.47,78.23
23,377.318,114.62,-38.05,67.65372787933867,304.62654989347203,67.44462137260004,308.3334966711478,396.37,77.77
24,393.324,154.12,-26.73,68.69749660908698,286.4087779730223,68.69135649902908,240.90973395171605,420.96,77.32
25,408.727,191.2,-16.1,70.14851975368998,272.5989084717692,70.13041160438134,273.01299824424603,447.6,76.47
26,424.107,227.91,-5.57,71.58901192084669,257.0995208085772,71.55420376342038,253.78568083061887,471.85,75.63
27,439.613,266.91,5.61,73.15795371624755,239.80596489662219,73.04355159073691,229.31720881699613,496.43,75.09
28,455.208,304.38,16.44,76.80986453414603,220.08627126651945,76.84798146009119,213.48565711015945,518.66,66.66
29,470.941,341.79,27.84,83.1291409874304,197.68974530814685,83.12268870837434,200.2826098695549,538.06,51.49
30,486.636,376.46,38.44,91.28630451134387,182.19591268741462,91.26510484841705,181.49106916681654,558.61,34.35
31,502.639,414.73,50.04,101.13466297021245,166.68772780261895,101.15412621536707,169.55652036573608,578.28,17.85
32,518.456,451.43,60.6,111.90921711510492,157.9044533887502,111.8918026836801,159.59959539277645,597.93,1.68
33,533.766,489.05,71.72,129.5971688921411,136.22830029035813,129.60523399396897,133.52318633318347,594.02,-15.11
34,549.87,522.35,65.56,152.1759036157468,102.98685013146093,152.14723269269433,104.63215183637554,570.42,-25.52
35,565.057,552.9,40.37,184.5234964856133,74.3014434583878,184.55629380770011,94.40051247124103,547.04,-33.7
36,580.389,581.44,15.91,225.27084180500034,82.27279319434831,225.40749535469692,94.07901727419318,522.99,-41.99
37,596.019,599.9,-9.21,247.82912880240266,108.56717966310073,247.67419531450992,107.28112521207544,499.36,-50.18
38,611.743,567.48,-26.43,254.15653201317124,96.51655298444928,254.11246660837477,92.3802107138792,474.63,-52.78
39,627.13,531.28,-39.06,260.6130654290955,82.46424740455704,260.57858441953107,83.52511241836407,449.92,-52.51
40,642.552,494.94,-51.17,269.2835382060084,71.17556462719493,269.1442940791711,73.60397202449208,423.77,-52.06
41,658.106,458.85,-52.26,270.6096063410529,61.093457914902835,270.30192683874355,59.54380661248224,397.76,-51.61
42,673.957,420.06,-51.62,270.55430580946165,48.58227351617047,270.63734425547244,42.36473721318781,371.48,-51.15
43,689.175,381.5,-50.95,270.4051306610057,36.77091921614142,270.24628053897135,38.4503259468417,344.73,-50.69
44,704.5,343.32,-50.28,270.09593256755437,23.890033486791086,269.5021463383815,26.38609768639646,319.43,-50.24
45,719.82,306.49,-50.09,274.1067500351227,11.58975840990657,274.10502302083563,2.8955949270608485,294.93,-49.26
46,735.348,268.77,-46.09,25.46664474970011,7.465366702312771,25.19073222965256,5.429315093448444,271.98,-39.35
